sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.0031198112,0.0023879737,0.014369749,0.0036536441,0.0008575456,0.0062960717,0.005006397,0.55011797,0.0038645184,0.0016831389
S0767,0.021276755,0.031579413,0.0020492657,0.041479304,0.0008575456,0.0045260014,0.004723343,0.29871923,0.007477686,0.00066847616
S0768,0.08572296,0.17011133,0.0012757131,0.0095424885,0.0020395692,0.0019017527,0.075703785,0.8445,0.03365767,0.0011738888
S0769,0.004951687,0.0012280395,0.07062007,0.01147349,0.0008575456,0.996119,0.0061410195,0.0026935479,0.46873516,0.0017157814
S0770,0.003026114,0.0016826228,0.0059883855,0.5454892,0.0010581465,0.9961267,0.9657995,0.0011276948,0.00434672,0.00082240003
S0771,0.02996616,0.008922576,0.004122216,0.056660336,0.0008575456,0.09483458,0.0041114343,0.36440206,0.0103500355,0.00053782127
S0772,0.015568014,0.0020518876,0.010321107,0.008537079,0.0008575456,0.09250578,0.9651958,0.003178757,0.0020698959,0.0011411319
S0773,0.003258131,0.02358687,0.0099685285,0.24756923,0.0008575456,0.26513478,0.017275564,0.0063971137,0.0019762453,0.0018591098
S0774,0.30019587,0.0018446882,0.0035822561,0.007100377,0.0008575456,0.0021403306,0.032541897,0.096357405,0.0024046768,0.00071437005
S0775,0.028019868,0.0012819141,0.0032779968,0.0046799323,0.0008575456,0.0017306422,0.9457344,0.003012551,0.0025100855,0.00054454873
S0776,0.038602285,0.0045858594,0.73173857,0.026627481,0.0008575456,0.030810183,0.07475066,0.02802529,0.0051778313,0.00054987683
S0777,0.003629756,0.009096914,0.7178294,0.012678677,0.0013216006,0.005987009,0.0556015,0.031789716,0.0086416975,0.0035089832
S0778,0.5257525,0.8745032,0.0066763805,0.92318344,0.0008575456,0.85619605,0.3664581,0.88911706,0.79629797,0.00053594296
S0779,0.07145705,0.011249609,0.41560954,0.07187442,0.0019331079,0.08542898,0.005943066,0.009265015,0.25651973,0.10626182
S0780,0.055441592,0.0020258308,0.010745868,0.0076967254,0.0009762625,0.998116,0.87009656,0.0016648853,0.006584695,0.00053135416
S0781,0.0025486797,0.0052297944,0.0013999369,0.0027835048,0.0008575456,0.0015780502,0.0029666726,0.018274674,0.007704326,0.0008853872
S0782,0.06364122,0.026221469,0.006874115,0.0029607378,0.14705156,0.08639692,0.11697507,0.12815145,0.005941652,0.019598532
