sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.0019887905,0.0020994982,0.006101522,0.0033490972,0.00060972816,0.0039423686,0.0038321288,0.048487414,0.0017615167,0.0018606156
S0767,0.009929891,0.0039025152,0.0010107148,0.0027966378,0.00057223125,0.0019363943,0.0044819103,0.022559514,0.0033260076,0.000592324
S0768,0.96072483,0.023267427,0.0010889797,0.01600464,0.0011782342,0.0020421243,0.94025564,0.98772836,0.015666848,0.0009793218
S0769,0.0033770327,0.0015572506,0.010894227,0.00449394,0.00057223125,0.99660265,0.0042858957,0.0015986764,0.971047,0.001008066
S0770,0.0013717734,0.0012710976,0.00730068,0.9438867,0.00072720513,0.9957182,0.990076,0.0020048143,0.0019187982,0.00094967213
S0771,0.015576547,0.0033725437,0.0019507164,0.022867577,0.000849643,0.019907873,0.015695147,0.023211014,0.007584922,0.00067002926
S0772,0.0040843342,0.0017751388,0.008283384,0.004442292,0.00057223125,0.004543978,0.98440766,0.0029762448,0.0024068067,0.0007408254
S0773,0.0022251266,0.0059789466,0.00411564,0.071583435,0.000849643,0.059036177,0.015485332,0.009181271,0.0049999426,0.0022508907
S0774,0.96365756,0.0016335922,0.0023625002,0.0020131904,0.00057223125,0.0033557364,0.009901186,0.011867482,0.0012766187,0.0005700005
S0775,0.02412015,0.0028792734,0.0068018083,0.005590654,0.00057223125,0.0017995944,0.98984444,0.0016092684,0.004990818,0.00045737502
S0776,0.005920269,0.0032932828,0.9741776,0.008681675,0.00057223125,0.010045613,0.012784085,0.004307921,0.013631058,0.000828454
S0777,0.002475032,0.0031650537,0.96081656,0.0063460167,0.0011906803,0.004037964,0.013661384,0.013569685,0.0039216126,0.0035999306
S0778,0.98835456,0.9852077,0.0016711345,0.9916495,0.00057223125,0.9834187,0.97877926,0.9854499,0.98449576,0.0005297357
S0779,0.0043144054,0.0028494976,0.011873702,0.018249685,0.0011410145,0.009988035,0.0038921044,0.0045377794,0.984365,0.022647796
S0780,0.0060594543,0.0011621857,0.010719425,0.0040018554,0.00057223125,0.9988747,0.9702299,0.001341282,0.002836685,0.00050279853
S0781,0.0027789632,0.004365225,0.0035332462,0.0021659208,0.00057223125,0.0008986296,0.003612287,0.0037073619,0.0039456952,0.00074069545
S0782,0.9570493,0.00798074,0.0017908324,0.0050394717,0.0048539564,0.014966657,0.022682194,0.019374594,0.006018713,0.007180994
