sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.002408929,0.0037994068,0.009793472,0.0025403725,0.00084620074,0.0033254907,0.0033544078,0.5137325,0.0029301345,0.0015766752
S0767,0.0361559,0.044528972,0.0017465209,0.033399414,0.00084620074,0.002805647,0.0077694487,0.26674998,0.0021189738,0.0010118546
S0768,0.73129314,0.058557145,0.0013724093,0.021561977,0.0025863822,0.004801921,0.15779962,0.94447756,0.09457998,0.0011827169
S0769,0.013360208,0.0022312435,0.04692903,0.080239266,0.00084620074,0.99520123,0.008858397,0.003678065,0.18662027,0.0013004905
S0770,0.0017696804,0.0012387088,0.0028491074,0.64376634,0.0011322632,0.9965731,0.9598178,0.0016254314,0.003080151,0.00092565693
S0771,0.11225935,0.003959533,0.006899481,0.04590765,0.00084620074,0.100082256,0.025046466,0.1675613,0.008203045,0.0007674186
S0772,0.015623843,0.002499979,0.011613403,0.017399535,0.00084620074,0.257004,0.97044826,0.0038301595,0.0018987147,0.00067443855
S0773,0.0029758022,0.03034223,0.008396803,0.5746774,0.00084620074,0.6537574,0.020618783,0.011965957,0.007631546,0.0013056017
S0774,0.13981839,0.0009146041,0.003812987,0.0024704612,0.00084620074,0.0020405613,0.015754404,0.43781048,0.004415388,0.0010445013
S0775,0.025038257,0.0017155095,0.02784463,0.013181833,0.00084620074,0.0033314656,0.9713769,0.003830436,0.0033811487,0.00063475856
S0776,0.06279561,0.0036434121,0.81715894,0.08193718,0.00093563984,0.015213876,0.042402823,0.019302534,0.0056387424,0.00056321564
S0777,0.0025399246,0.0056837266,0.8145113,0.009947514,0.00084620074,0.0037344284,0.042731844,0.02188995,0.002310517,0.002098942
S0778,0.8690189,0.9163356,0.0032427977,0.8806717,0.00084620074,0.6998219,0.44448006,0.8579564,0.46946326,0.00056321564
S0779,0.18553247,0.010316861,0.15384212,0.020178096,0.0025123404,0.16016588,0.006577712,0.022687087,0.23211612,0.045386914
S0780,0.5365304,0.0030536214,0.014533074,0.01113886,0.0011553399,0.99782217,0.7820087,0.0024068845,0.0042615742,0.00054230023
S0781,0.002661924,0.0013621326,0.0049070376,0.0032690477,0.00084620074,0.0021372878,0.0048638475,0.004682954,0.0023371407,0.0011346543
S0782,0.05904744,0.011810582,0.01176377,0.002520176,0.16588353,0.070494235,0.201549,0.07288817,0.002224592,0.008154155
S0783,0.107125245,0.0015648276,0.0050622555,0.09175501,0.00084620074,0.80129284,0.20375258,0.0013658219,0.042828977,0.002468819
S0784,0.42053849,0.004775882,0.003680916,0.0017456615,0.00084620074,0.0125835035,0.003025714,0.20843698,0.0016904498,0.0027426588
S0785,0.009612793,0.007089202,0.00093391864,0.009994991,0.00084620074,0.0024032167,0.01355461,0.12204054,0.26119608,0.89783
S0786,0.0013732892,0.0013074919,0.006588033,0.875648,0.00084620074,0.94915485,0.9651618,0.0013294474,0.0012190233,0.00065503584
S0787,0.008276657,0.0011142598,0.37515882,0.20265083,0.00084620074,0.15332147,0.9871066,0.00383864,0.0023651787,0.001113463
S0788,0.9897041,0.98087454,0.0114965625,0.9913209,0.00084620074,0.94083065,0.9823325,0.98907757,0.89747614,0.025080966
S0789,0.0076693287,0.004017047,0.004998166,0.009148272,0.00084620074,0.12015719,0.4255844,0.13380367,0.004190474,0.0006957902
S0790,0.002249176,0.0065462166,0.004559506,0.006192048,0.00084620074,0.005007927,0.997778,0.0013889088,0.0018310063,0.00060640735
S0791,0.002394651,0.0011081652,0.21441944,0.85988975,0.0025863822,0.46270528,0.99067265,0.0019441692,0.0016050625,0.0011608304
S0792,0.053559165,0.0069605783,0.3780614,0.0065927436,0.00084620074,0.008439116,0.018250002,0.0037572428,0.003333832,0.00063475856
S0793,0.006490191,0.038942862,0.008000833,0.0080575,0.9681742,0.027718324,0.04326587,0.0028223377,0.011205762,0.031626754
S0794,0.012058595,0.016797487,0.002335078,0.89659745,0.00084620074,0.0012582085,0.025718218,0.13299118,0.0021640512,0.0019008685
S0795,0.00698907,0.0009947645,0.0018353838,0.0022306163,0.00084620074,0.0073358575,0.9799662,0.005238687,0.0024407895,0.0036535903
S0796,0.0016807745,0.0012641925,0.23670745,0.0028833093,0.0010449213,0.068398215,0.7407789,0.0016622562,0.0024942115,0.0012345298
S0797,0.042864695,0.0022188355,0.010548702,0.019691505,0.0010449213,0.019914573,0.0053778403,0.0055705667,0.97447646,0.0031377175
S0798,0.040035296,0.02986123,0.001995136,0.006449132,0.969558,0.0025306323,0.008565305,0.0077558123,0.008041449,0.0015317585
S0799,0.004348625,0.0096784895,0.046995297,0.47778833,0.00084620074,0.0032141337,0.03711807,0.05392048,0.0103191985,0.0026516393
S0800,0.0012373256,0.00087268394,0.0035531167,0.05866083,0.0010449213,0.99304914,0.042550985,0.00093707396,0.0039387355,0.0005207078
S0801,0.011028299,0.0016232498,0.052637428,0.9741484,0.0010449213,0.8348108,0.98507094,0.004211962,0.0034805222,0.0012880537
S0802,0.0032369876,0.00489377,0.0024768866,0.08195474,0.00084620074,0.0017056899,0.019279854,0.81848264,0.0035290248,0.0027274536
S0803,0.0023849597,0.0010200775,0.035723783,0.012288603,0.00084620074,0.001891088,0.9592237,0.0021620893,0.0056540715,0.0015119072
S0804,0.0072615505,0.0077906474,0.03271754,0.20747608,0.0010449213,0.005576865,0.017261121,0.017913511,0.031452056,0.0010296337
S0805,0.060908746,0.006174622,0.00421533,0.3002308,0.00084620074,0.9814772,0.47925565,0.0049734768,0.7220916,0.351363
S0806,0.0019855278,0.0042047407,0.36071786,0.63606393,0.00084620074,0.35037136,0.36140466,0.0034215671,0.005729372,0.0006329257
S0807,0.0029278744,0.0009092773,0.5717183,0.005969067,0.0011553399,0.0013390235,0.96891874,0.0025168818,0.014770482,0.0026001835
S0808,0.003746997,0.015176345,0.042638857,0.0057424274,0.0011553399,0.022226676,0.008101727,0.0071604904,0.99163145,0.02779432
S0809,0.0032239656,0.023237541,0.016872061,0.013183,0.00084620074,0.006053619,0.022816204,0.013656084,0.020966271,0.0011374375
S0810,0.0022612184,0.004630248,0.002038496,0.013712166,0.97872525,0.001548835,0.0030598685,0.005170374,0.004138796,0.0026471461
S0811,0.004670513,0.0017841299,0.004315198,0.14143533,0.0010449213,0.9977646,0.8677244,0.005117182,0.0028202625,0.0010309363
S0812,0.00237466,0.6334044,0.003180894,0.009945105,0.0013859933,0.0022704578,0.0060782423,0.015456941,0.005648295,0.0023085799
