sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.0019870657,0.0019620527,0.005239535,0.0025403472,0.00056893367,0.0022486795,0.0074570077,0.044770025,0.002021901,0.0021894814
S0767,0.015197439,0.0047821933,0.0009483028,0.004961939,0.0005351885,0.0027335798,0.013335741,0.02678638,0.0035541803,0.00095016084
S0768,0.9682717,0.014938207,0.00093853177,0.037366994,0.0013401896,0.003777812,0.94364494,0.9806168,0.008260649,0.001018371
S0769,0.002439335,0.0011420334,0.0072044763,0.008707527,0.0005351885,0.9943606,0.011526069,0.0014194868,0.96078444,0.0010685597
S0770,0.0023066292,0.0021154406,0.007413098,0.93166727,0.00063779217,0.994528,0.99176204,0.0012577957,0.0013625361,0.001297421
S0771,0.017747285,0.0025749477,0.005489545,0.017759083,0.00076466135,0.015605857,0.028876482,0.028452827,0.008178478,0.0008077711
S0772,0.004904798,0.0009311763,0.0098124435,0.011759358,0.0005351885,0.005250021,0.99210125,0.0018784603,0.00089524104,0.0005693164
S0773,0.0021576735,0.013344402,0.004034773,0.06867297,0.000713477,0.071996786,0.010976823,0.008548355,0.004183833,0.0021287156
S0774,0.9498669,0.0019362736,0.0033438918,0.001853751,0.0005351885,0.0018421236,0.010308626,0.032840356,0.0025597066,0.000713423
S0775,0.017724166,0.0013879898,0.004951821,0.014810637,0.0005351885,0.0021679602,0.990144,0.0038905756,0.011949359,0.00064314966
S0776,0.008207647,0.004206512,0.9662159,0.0106001925,0.0005351885,0.00862988,0.0123787755,0.0035502613,0.008276313,0.00080307364
S0777,0.0019705053,0.0021225177,0.9568253,0.0035910117,0.00087774923,0.002943157,0.010777738,0.0135444645,0.0023317458,0.0023349526
S0778,0.9796254,0.9852486,0.0027681617,0.9776273,0.0005351885,0.98692864,0.9728325,0.98060566,0.9843513,0.00060682424
S0779,0.012007758,0.0031757564,0.01091167,0.018570762,0.0013970335,0.012403792,0.008370109,0.0023156593,0.9654307,0.02164809
S0780,0.016091086,0.0013023112,0.00844843,0.0037451873,0.0005351885,0.9982711,0.96542305,0.0012477903,0.004402459,0.0005964553
S0781,0.002217415,0.0009686845,0.003003189,0.0017687036,0.0005351885,0.0010657299,0.0038291516,0.0027594417,0.00294977,0.0009915177
S0782,0.9578582,0.0044774762,0.0030335765,0.006957464,0.0070093726,0.016275452,0.03370092,0.01628956,0.0073216865,0.0041909334
S0783,0.007989646,0.0008766701,0.003598542,0.026926974,0.0005351885,0.974738,0.02553055,0.0020514599,0.9128129,0.001282027
S0784,0.037363555,0.001853175,0.0019659363,0.0021770566,0.0005351885,0.0022925495,0.005372079,0.96879536,0.0020331377,0.0012800077
S0785,0.9516491,0.004148806,0.0024206121,0.9198637,0.0005351885,0.011333078,0.894496,0.9084113,0.8574491,0.98411626
S0786,0.00080994074,0.0007008514,0.007679544,0.98331016,0.0005351885,0.9921708,0.9916454,0.00090419815,0.0009312459,0.0006352857
S0787,0.0050683953,0.0018093702,0.93361914,0.035963006,0.0005351885,0.019180529,0.99557483,0.0011993113,0.0011968948,0.0008533896
S0788,0.99032646,0.99010324,0.0028289573,0.99578995,0.0006220912,0.9925402,0.99178785,0.9915446,0.9598515,0.00695953
S0789,0.006610055,0.0038250885,0.0032647839,0.010724336,0.0005351885,0.0053377417,0.025900409,0.9385665,0.007264638,0.00059861946
S0790,0.002853443,0.0023551334,0.0028816483,0.0047975047,0.0005351885,0.0033415821,0.99442863,0.00196244,0.0023324657,0.0005709646
S0791,0.0013835812,0.0012606112,0.024204098,0.96655846,0.0013401896,0.94179016,0.99647516,0.0034388488,0.0014412969,0.00088942936
S0792,0.0075693745,0.0032196245,0.9654219,0.0074045835,0.0005351885,0.0052782763,0.0060338625,0.0033051213,0.006959447,0.0006907014
S0793,0.0039149164,0.027127268,0.0026079933,0.0047523393,0.120688446,0.0031212457,0.010882605,0.0020087834,0.0064592073,0.0101921465
S0794,0.005087772,0.005242722,0.0012806363,0.96266544,0.000741343,0.0011301786,0.009611645,0.013834292,0.0025107374,0.002727001
S0795,0.0026491396,0.0013750591,0.0014917473,0.0022496553,0.0005351885,0.0018784362,0.9887518,0.0034801734,0.004530713,0.0019496935
S0796,0.0013128589,0.0007754742,0.023581715,0.0028307051,0.0005351885,0.004740367,0.980232,0.0018565624,0.002173887,0.0011493745
S0797,0.008118244,0.0033151107,0.016246779,0.012562843,0.0005351885,0.0044034687,0.009768172,0.0073225605,0.9787819,0.0034110344
S0798,0.006794442,0.011583181,0.0018797707,0.0023588482,0.988531,0.004000168,0.0021328765,0.0029578789,0.0026101153,0.0012398355
S0799,0.0025231037,0.005550951,0.027772186,0.019800289,0.00087774923,0.0018304635,0.0135246515,0.048717484,0.002850804,0.0059364303
S0800,0.0008820456,0.0004466916,0.0034751412,0.9468904,0.0005351885,0.9956245,0.01154141,0.00063498697,0.0012636099,0.0005504479
S0801,0.004268384,0.0016484554,0.96605563,0.992136,0.00073137163,0.03519742,0.99443334,0.0014434748,0.0012331776,0.00125734
S0802,0.0012710327,0.0020273207,0.001500172,0.036115307,0.000741343,0.0013759126,0.0055877594,0.91344315,0.0028890069,0.002311479
S0803,0.0035109762,0.00050695526,0.9630885,0.0020072295,0.00073137163,0.0017083318,0.9932574,0.00097414217,0.001441393,0.0011808363
