sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.002715449,0.0021025473,0.0050291675,0.00333119,0.0020938634,0.0035948032,0.0038055733,0.41160706,0.0031036926,0.0015049594
S0767,0.0579305,0.064016856,0.002090396,0.07529647,0.0006378143,0.003325145,0.029944917,0.19071692,0.005904896,0.0010000103
S0768,0.36715618,0.1549973,0.0069859233,0.00189695,0.0006378143,0.0075105387,0.30430585,0.878475,0.1388418,0.0008589264
S0769,0.030032244,0.0010122726,0.16960129,0.030320456,0.00093350495,0.9350284,0.021918874,0.0030531613,0.94993347,0.002502894
S0770,0.0017749842,0.0012254117,0.0038389515,0.54600686,0.0036452801,0.9932794,0.9606506,0.0010744674,0.002306977,0.0005955884
S0771,0.15421067,0.08683815,0.0067312513,0.07814921,0.0057243435,0.56895036,0.11207077,0.19262609,0.09106896,0.0011397284
S0772,0.028431067,0.0022975074,0.021725008,0.022147238,0.0006378143,0.014733125,0.9661093,0.0038286136,0.00078435306,0.0007190035
S0773,0.0053608622,0.025922105,0.028077275,0.49246895,0.0031401676,0.29070163,0.036905263,0.007258279,0.00876265,0.0013702915
S0774,0.08587965,0.0019032013,0.017504858,0.0018258604,0.0006378143,0.004603107,0.010649772,0.0678345,0.00432667,0.0012311355
S0775,0.16254716,0.0027471478,0.006766507,0.003739925,0.00088127394,0.01755178,0.87847954,0.009451635,0.003950254,0.0005693015
S0776,0.011715569,0.004890824,0.9679519,0.073894836,0.00083742104,0.07518995,0.017951576,0.003928574,0.008438758,0.0008282488
S0777,0.00316381,0.006031518,0.83909607,0.0071172523,0.0031932618,0.0043502026,0.013328289,0.067932144,0.0051588155,0.0027423198
S0778,0.860228,0.84382707,0.006473235,0.8014727,0.00074419874,0.83619887,0.6063752,0.8295128,0.84398234,0.0010554036
S0779,0.024812013,0.01113625,0.15467376,0.038963668,0.0024135653,0.008568423,0.012973017,0.009460692,0.0810077,0.10555264
S0780,0.13718899,0.0021240655,0.044880014,0.0115761785,0.0012468618,0.99594456,0.6673709,0.0012352291,0.005269766,0.0007550055
S0781,0.0038980353,0.0023632443,0.009065458,0.002081462,0.0006378143,0.0054773805,0.13972828,0.00263327,0.0056005106,0.0011348926
S0782,0.07254442,0.0023721175,0.0013005987,0.0046612206,0.002556131,0.007624103,0.16884337,0.018984834,0.0065156743,0.02307528
S0783,0.088105746,0.0026577548,0.0027650911,0.03693091,0.00083742104,0.6233555,0.87253433,0.004184135,0.038924817,0.0035005165
S0784,0.63662016,0.0027566706,0.0054165274,0.002534148,0.0006378143,0.01173325,0.006518419,0.31688204,0.0018620251,0.0024809192
S0785,0.6768169,0.0459311,0.009408731,0.055194702,0.0006378143,0.003459512,0.030121205,0.18452488,0.372102,0.47858843
S0786,0.001120437,0.0012609697,0.045595653,0.7483672,0.00088127394,0.9653459,0.9894254,0.0022199377,0.001041378,0.00054275815
S0787,0.0044054952,0.001994873,0.47157806,0.26337406,0.0006378143,0.9259999,0.9489529,0.016971286,0.0016740502,0.00059000566
S0788,0.98885775,0.9846401,0.002321788,0.9884934,0.0006378143,0.8850918,0.9843239,0.972635,0.9770099,0.014137194
S0789,0.0049657947,0.0041011265,0.0035647913,0.010192103,0.0006378143,0.024265235,0.28267694,0.18203516,0.0040511065,0.0009137087
S0790,0.0036816173,0.015087558,0.002624104,0.0063244193,0.0006378143,0.03721206,0.9943416,0.0013242705,0.0017229165,0.00058920006
S0791,0.0024423746,0.0017980677,0.32930213,0.66133636,0.0006378143,0.40376052,0.9889382,0.0017720558,0.0010267847,0.0005156907
S0792,0.084051624,0.00898028,0.4856253,0.017876703,0.0006378143,0.16742218,0.00923717,0.0047946684,0.004414963,0.00059913716
S0793,0.01653977,0.42466637,0.0044016945,0.0057434463,0.01037282,0.0026995195,0.005807698,0.0035595482,0.0060388665,0.0010998946
S0794,0.003692846,0.018366152,0.0017182088,0.75630885,0.0006756258,0.00378171,0.022486707,0.14359675,0.0034856014,0.004165109
S0795,0.0042978367,0.0012165565,0.0036265342,0.002134879,0.0006378143,0.0046348455,0.9708466,0.0034679356,0.0025205512,0.008171241
S0796,0.0013346792,0.0014108736,0.16219358,0.004513671,0.00088127394,0.0050464435,0.7440662,0.00079512125,0.0018559633,0.00082265947
S0797,0.010158039,0.0021982004,0.07341659,0.005607034,0.0012468618,0.01254058,0.008515715,0.0018077759,0.9713089,0.013548154
S0798,0.01101289,0.030000448,0.0037158167,0.0057433587,0.9722553,0.02578024,0.018193437,0.008000114,0.010343078,0.0010484513
S0799,0.009160901,0.013717603,0.24517745,0.6558108,0.0044661174,0.02272874,0.030575927,0.057427466,0.022569537,0.0019775934
S0800,0.001045978,0.00072067766,0.0066222996,0.12621629,0.00088127394,0.5303475,0.04449831,0.0007593927,0.0038125466,0.0007252828
S0801,0.003023813,0.003017499,0.5534592,0.9720728,0.00088127394,0.17186064,0.99662906,0.03085938,0.0033490402,0.0005545674
S0802,0.004561727,0.0049430556,0.001980774,0.08635996,0.0006378143,0.011501175,0.010120089,0.78938836,0.0053525316,0.0032494569
S0803,0.0015856602,0.0022824742,0.36852068,0.003391006,0.00088127394,0.004268334,0.9394709,0.0014032926,0.0027531504,0.0006933414
S0804,0.059804637,0.0020269628,0.040994022,0.40133056,0.00088127394,0.0025693742,0.0025751917,0.012508864,0.039150212,0.0007639545
S0805,0.015906766,0.010313332,0.0063332235,0.026886236,0.0006378143,0.9462764,0.3208163,0.0044663143,0.3245439,0.5615502
S0806,0.0026076213,0.00444443,0.6773285,0.7442353,0.000851999,0.73543,0.05068905,0.0022838644,0.008759276,0.00074580894
S0807,0.0024585205,0.0007897407,0.9774671,0.0021260323,0.0012468618,0.0021020442,0.9284802,0.0008674555,0.014585799,0.0006643048
S0808,0.009894354,0.005187173,0.010977828,0.007299723,0.0011771186,0.021178367,0.0058386014,0.0031622055,0.99292094,0.0039118347
S0809,0.004384994,0.026233628,0.008949637,0.011569383,0.00088127394,0.07630383,0.023447296,0.0052633383,0.0035015463,0.0020608704
S0810,0.0048740343,0.009193911,0.0069888183,0.021106333,0.95489526,0.001976408,0.00248776,0.002149073,0.0032842346,0.0031765504
S0811,0.0028615447,0.0018779883,0.016650278,0.5479678,0.0012468618,0.9941849,0.9287337,0.006951214,0.0059994226,0.002402389
S0812,0.007149393,0.9797406,0.0076425103,0.014901532,0.0012468618,0.001756523,0.0019903583,0.011613755,0.00853787,0.0012321116
S0813,0.002107376,0.0065201116,0.0056871036,0.0037514053,0.9558951,0.0030490046,0.0026295835,0.0021290488,0.007908541,0.000822087
S0814,0.01815442,0.011811451,0.09487206,0.008790847,0.003332585,0.00921738,0.0152384285,0.008036288,0.22837558,0.0008387055
S0815,0.011106846,0.0018706617,0.6600454,0.3423916,0.0006378143,0.3591388,0.93036324,0.010945455,0.0027459841,0.0005693015
S0816,0.06980776,0.006826997,0.0011695899,0.0036900104,0.0006378143,0.04486116,0.043137982,0.028381499,0.0018990402,0.001231193
S0817,0.004685568,0.0021537943,0.0015478663,0.0028591496,0.0006378143,0.0017835007,0.05819354,0.006670296,0.0022332573,0.0012201257
S0818,0.021025531,0.05101833,0.0034127368,0.9432621,0.0011771186,0.04965057,0.009392337,0.0076790787,0.8931159,0.03707322
S0819,0.017475743,0.0028047427,0.2407013,0.962033,0.0012468618,0.030760717,0.9822449,0.011467922,0.09386478,0.0005693015
S0820,0.0013834691,0.0040526977,0.019174734,0.0012032842,0.0006378143,0.0058223275,0.98708296,0.002396154,0.0013425945,0.0008308407
S0821,0.0010470927,0.0007134047,0.97852486,0.8815224,0.00088127394,0.10538023,0.977504,0.0006848162,0.13318716,0.00057120353
S0822,0.021968761,0.0014287825,0.006051949,0.0025879263,0.00074419874,0.0042992127,0.95900035,0.0061590164,0.0015177311,0.0055167195
S0823,0.0073911347,0.008142065,0.0058396035,0.0076237097,0.0011771186,0.01281056,0.012101771,0.0033451968,0.99331117,0.00068439636
S0824,0.0010584283,0.00093806774,0.0069877063,0.35025448,0.0006378143,0.92680836,0.4375391,0.0018453362,0.0011705223,0.0005693015
S0825,0.0010877723,0.0014665856,0.9692612,0.01628383,0.0006378143,0.00535771,0.8237224,0.0018795792,0.0022305558,0.0009600734
S0826,0.007461392,0.016273102,0.0051878695,0.0021766308,0.9837104,0.011964998,0.0049216556,0.0018289725,0.007153642,0.001139845
S0827,0.0016428635,0.0007668052,0.11605055,0.02887496,0.0013166725,0.8646396,0.13752763,0.00079901353,0.021182042,0.0007767292
S0828,0.0010993152,0.00070401543,0.80426604,0.31219032,0.0006378143,0.0032042328,0.015780354,0.0010070043,0.033044983,0.00054275815
