sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.0017930962,0.0013846785,0.00742812,0.0026733365,0.00075187004,0.003168421,0.006895036,0.07063121,0.0031015526,0.0013714267
S0767,0.014301233,0.006039244,0.0020392546,0.007159876,0.00047888665,0.0026972818,0.012198505,0.042845517,0.009291234,0.0005109388
S0768,0.96225685,0.027019547,0.0010635747,0.01656095,0.0011172136,0.0059378147,0.952817,0.9889299,0.012073528,0.00077563274
S0769,0.002164563,0.0011410671,0.011236458,0.011147219,0.00047888665,0.98322934,0.010717251,0.0016949654,0.98152727,0.001337636
S0770,0.0018389795,0.0009370347,0.0047922917,0.9066252,0.0016064645,0.9955894,0.9803631,0.0006847088,0.0026445854,0.00074935216
S0771,0.02599824,0.02172604,0.0022211834,0.037121434,0.0011625079,0.0658888,0.03739705,0.065734416,0.013673687,0.000641764
S0772,0.0036094855,0.0014484029,0.008738442,0.00980476,0.00047888665,0.009472143,0.9835496,0.0018025829,0.0011894476,0.0007970105
S0773,0.0027442416,0.012753885,0.009559304,0.062090278,0.0010808449,0.09401615,0.018576754,0.0089561995,0.0037527015,0.0013461488
S0774,0.96105886,0.0013819488,0.0017859455,0.0022258414,0.00047888665,0.0019508945,0.009376597,0.025243169,0.002458965,0.00148311
S0775,0.019310597,0.0017486195,0.0058378903,0.005769667,0.00047888665,0.0055964836,0.9839631,0.0024075715,0.008803699,0.00052307843
S0776,0.0066469847,0.0054588267,0.96458447,0.0149016725,0.00047888665,0.008463735,0.005835652,0.0022126231,0.0058469693,0.00046634368
S0777,0.002284313,0.0047760764,0.93959075,0.0037153633,0.0014843668,0.0022756832,0.006159524,0.018978765,0.004107147,0.0038338294
S0778,0.9776494,0.989321,0.0021398163,0.9804416,0.00054199045,0.9712435,0.9796504,0.9725381,0.980379,0.0004901189
S0779,0.008696244,0.0038425582,0.010036291,0.036441214,0.0007832839,0.013149073,0.0043842113,0.0037520397,0.9628985,0.0092204325
S0780,0.012401742,0.002042758,0.016534293,0.01088681,0.00047888665,0.9978422,0.95552135,0.0008019984,0.0032735488,0.0007722751
S0781,0.0014760745,0.0008275881,0.008387188,0.0008781909,0.00047888665,0.0010851678,0.017769685,0.0012251678,0.004257315,0.0008552888
S0782,0.94610053,0.0017308597,0.0027597237,0.0028404656,0.00075187004,0.0018689638,0.027205307,0.012119839,0.0023117606,0.019156134
S0783,0.008052773,0.0014242782,0.003452342,0.012469091,0.00047888665,0.9750532,0.042094305,0.0029615753,0.9509755,0.001888761
S0784,0.03803587,0.0021203402,0.0013676279,0.0013756558,0.00047888665,0.0021145057,0.0055058026,0.970989,0.0025495272,0.0023660576
S0785,0.9473563,0.010993386,0.0019576205,0.90392125,0.00047888665,0.006005901,0.9231727,0.9659679,0.94497645,0.9540076
S0786,0.0011114182,0.0008096158,0.0034157222,0.9755744,0.00047888665,0.9926191,0.9878106,0.0008871881,0.00075764884,0.00066798995
S0787,0.0080048535,0.0013593148,0.9587274,0.025266511,0.00047888665,0.04697767,0.99571157,0.0036313308,0.0021580327,0.0005540153
S0788,0.9909499,0.9937263,0.0015773126,0.98844844,0.0006717018,0.9915667,0.990121,0.9936739,0.99347997,0.007497409
S0789,0.008592355,0.004512266,0.0015539157,0.002628852,0.00047888665,0.0040915795,0.03290078,0.9611966,0.0026453831,0.0004754211
S0790,0.00163213,0.0019732811,0.0028640453,0.003023011,0.00047888665,0.007046211,0.99081504,0.0015886818,0.0014387298,0.00049478264
S0791,0.0011086668,0.0008579191,0.028398242,0.96931356,0.00047888665,0.9409784,0.99418604,0.0026122264,0.0011554292,0.00048231933
S0792,0.011050185,0.0046962034,0.96469724,0.013292806,0.00047888665,0.010589627,0.0066679865,0.002496577,0.009000932,0.0006692592
S0793,0.0067405887,0.05297738,0.004109182,0.005165273,0.0017784829,0.002982907,0.0027007614,0.0016874477,0.0034514742,0.0010453206
S0794,0.002496843,0.0074385754,0.0011020268,0.9563942,0.0013777785,0.0037338412,0.017242486,0.02034759,0.0023899907,0.0051018777
S0795,0.0016843756,0.00076964975,0.0010207838,0.002741028,0.00047888665,0.0033785,0.9864841,0.0034048057,0.0040168543,0.0017997477
S0796,0.0009436943,0.0010303712,0.038690723,0.0030709405,0.00047888665,0.007734828,0.9638741,0.001097042,0.0015802454,0.0007576203
S0797,0.009829132,0.0013085777,0.025233809,0.0055515226,0.00047888665,0.0027607542,0.005112897,0.0010288459,0.9919485,0.0032625254
S0798,0.0033131468,0.012944309,0.0008225819,0.0038917975,0.9915808,0.0016034563,0.0017694294,0.002469802,0.0015159842,0.0020641102
S0799,0.0043077245,0.0055923034,0.033431657,0.011531693,0.005209049,0.00539237,0.013575239,0.0376414,0.008412234,0.004074661
S0800,0.0011325576,0.0006396613,0.006265017,0.952483,0.00047888665,0.9822044,0.010712454,0.0009691821,0.005578719,0.0006454422
S0801,0.006293453,0.0025732778,0.9782671,0.99280024,0.00047888665,0.022110326,0.99185526,0.003134751,0.0016410344,0.00046244133
S0802,0.001413077,0.002820163,0.0011025813,0.053818922,0.0013777785,0.002250819,0.0076602586,0.9245205,0.003841956,0.0051018777
S0803,0.0048853033,0.00080549624,0.96734047,0.0029309122,0.00047888665,0.007234757,0.993826,0.0008938168,0.0034649146,0.00064527703
S0804,0.004344935,0.00083577883,0.0074748867,0.04148903,0.00047888665,0.0015396653,0.002233967,0.0055655288,0.95223236,0.001030375
S0805,0.003483626,0.005566582,0.0024993215,0.021823104,0.00047888665,0.9786107,0.026526127,0.0012991391,0.013476431,0.034238875
S0806,0.00093871506,0.0015298038,0.9550142,0.032211207,0.00047888665,0.019908067,0.92981523,0.0016756336,0.0029250875,0.00046844172
S0807,0.0026954443,0.00075236853,0.99222964,0.005640734,0.00047888665,0.0024700041,0.9705231,0.0008012513,0.016651629,0.000751272
S0808,0.0050091906,0.004014665,0.005185756,0.004462464,0.001499328,0.005653624,0.0019468978,0.0027666537,0.9924011,0.004334835
S0809,0.001867694,0.01308366,0.0035277873,0.0060342285,0.0014601821,0.010636807,0.024127211,0.0053008893,0.017766837,0.00072862336
S0810,0.0010225981,0.005468642,0.00074529456,0.0071548517,0.99074006,0.0018347506,0.005942531,0.0012462877,0.0012620991,0.0030765543
S0811,0.0044590416,0.0031103774,0.003762131,0.031536993,0.0006717018,0.99861825,0.9625617,0.004734416,0.0032767865,0.001176621
S0812,0.004450961,0.99214935,0.0022639355,0.009281316,0.0034122695,0.0025437921,0.0044895844,0.0037868565,0.00404497,0.0016301374
S0813,0.00086641806,0.0053341705,0.0011054623,0.004297451,0.98513526,0.0020856624,0.0021636279,0.0021521489,0.0014074341,0.0011624454
S0814,0.05025019,0.01342127,0.9633041,0.005836139,0.0016064645,0.0071116243,0.013391016,0.005472004,0.035814147,0.0015587424
S0815,0.003794807,0.0014931437,0.03532255,0.059069872,0.00047888665,0.9448139,0.9952408,0.0026842223,0.0032345164,0.0005797687
