sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.0048104078,0.0030932573,0.022464393,0.0027248375,0.0006134809,0.0034344804,0.006057373,0.1002931,0.0019126385,0.0018669189
S0767,0.021188391,0.028526274,0.0012214337,0.030425936,0.0006134809,0.0040470622,0.092736,0.18456165,0.00529633,0.0009149645
S0768,0.532707,0.20806661,0.000850575,0.003436134,0.001189711,0.005741279,0.098296665,0.814066,0.022791848,0.00080326764
S0769,0.0084596425,0.0055930507,0.026593657,0.032924533,0.0006134809,0.9575088,0.029633295,0.0018545928,0.8997097,0.0039449288
S0770,0.0033399533,0.0023060313,0.004886273,0.685209,0.001257628,0.9955916,0.9254565,0.0009925792,0.0018670505,0.00065239856
S0771,0.05291825,0.0042167874,0.004431032,0.02151203,0.0019367593,0.07114209,0.07935262,0.35927805,0.017725928,0.0010008528
S0772,0.011491958,0.006364894,0.029865244,0.08889453,0.0006134809,0.017108925,0.8548538,0.015921902,0.0018858362,0.0007014872
S0773,0.007020998,0.04678004,0.030816043,0.06487558,0.0017056341,0.1067292,0.0148488395,0.033051644,0.007663499,0.0011328959
S0774,0.0758048,0.0013929801,0.001992085,0.0019276151,0.0006134809,0.0034473552,0.03731265,0.17357676,0.0025277259,0.0010781547
S0775,0.0621538,0.012823006,0.0024121844,0.04316129,0.0006134809,0.011040908,0.9645576,0.0062087993,0.0067907907,0.0006263957
S0776,0.00680165,0.0023047305,0.8290256,0.06427845,0.0006134809,0.019032557,0.016900426,0.0038039994,0.005904096,0.0013019813
S0777,0.0046408325,0.0028153786,0.8946347,0.010075461,0.0023654308,0.007684949,0.015306872,0.05050731,0.004096642,0.0021112554
S0778,0.5367967,0.52325046,0.003955873,0.8304768,0.0008511563,0.4650472,0.08738601,0.5646137,0.649138,0.0010584404
S0779,0.043037675,0.01947328,0.09000145,0.2018656,0.030323291,0.010058985,0.00845498,0.0044751833,0.61041516,0.03069512
S0780,0.12247267,0.0016291343,0.021323653,0.017967017,0.0008511563,0.9973648,0.49336123,0.001643713,0.023059275,0.00090162543
S0781,0.035401236,0.0030638683,0.006533933,0.0031018092,0.0006134809,0.00415359,0.02368924,0.014127335,0.018129045,0.0011587522
S0782,0.06660561,0.0025284847,0.003121563,0.0074079987,0.0015738988,0.058226123,0.09213364,0.026767753,0.00689857,0.008610413
S0783,0.106440485,0.011580566,0.0023164714,0.093964994,0.0006134809,0.622701,0.4627786,0.004258619,0.31968507,0.003651933
S0784,0.1757491,0.0025183344,0.0021695534,0.0039327727,0.0006134809,0.0044653094,0.007945864,0.13387734,0.004100599,0.0016560047
S0785,0.43250966,0.054866627,0.0012129453,0.032407857,0.0006134809,0.011713151,0.006447125,0.11920608,0.13838226,0.49271217
S0786,0.0012004005,0.0032555258,0.015504775,0.78416586,0.0006134809,0.9553123,0.9877198,0.0008592407,0.0011267205,0.0005686585
S0787,0.008178478,0.0049245427,0.21925321,0.7283675,0.002250257,0.58284456,0.9864487,0.011447091,0.0017743862,0.00078343763
S0788,0.98698366,0.88977,0.0017022435,0.83353144,0.0006134809,0.5480087,0.94924587,0.9822903,0.96495646,0.024900656
S0789,0.010153528,0.07648741,0.008555908,0.01026274,0.0009065532,0.068192035,0.18811342,0.23829854,0.0237911,0.0012835934
S0790,0.0040689493,0.0036032249,0.0045815166,0.0065045254,0.0006134809,0.007132705,0.9943334,0.002003098,0.0014944687,0.0006033145
S0791,0.0014788397,0.0030744825,0.33384034,0.49107897,0.030649442,0.31794953,0.9828613,0.0011892244,0.0013481382,0.0009502487
S0792,0.023233829,0.03353561,0.4701152,0.018809883,0.0006134809,0.042599235,0.017868636,0.0036915725,0.0025146166,0.00060440024
S0793,0.008251801,0.11836937,0.00476162,0.018447068,0.006813402,0.050410476,0.0587998,0.0050438754,0.08653475,0.002571379
S0794,0.005651625,0.004643115,0.0039275195,0.7165157,0.0011519914,0.002724164,0.0122507,0.21414609,0.0058072763,0.0035432845
S0795,0.02128607,0.001049684,0.0018741203,0.0026436034,0.0006134809,0.0035379028,0.9831239,0.0033458965,0.0026805345,0.0034188398
S0796,0.0014967823,0.0017728108,0.2836573,0.0050735245,0.0008009464,0.08719739,0.6293744,0.0012558828,0.027460624,0.00077059196
