sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.0020221581,0.0018729613,0.006993549,0.0019719575,0.0004980868,0.0029716187,0.0035107043,0.057192314,0.0014013788,0.002417296
S0767,0.007932333,0.005897352,0.0015597563,0.0036710366,0.0004980868,0.0054584253,0.019611912,0.038558673,0.010661942,0.00073796423
S0768,0.98720956,0.035445716,0.00072411704,0.015910564,0.0011736277,0.007112863,0.94303507,0.9763222,0.013383061,0.0012434715
S0769,0.002066818,0.0016656392,0.014065684,0.009971286,0.0004980868,0.9835622,0.019058168,0.001576332,0.98329586,0.001375513
S0770,0.0024898234,0.0034155517,0.008386086,0.9491,0.00069612154,0.9944883,0.9770483,0.0015135673,0.0015404095,0.0005643785
S0771,0.018127568,0.0037156772,0.0019377319,0.014407137,0.001313024,0.026202397,0.020995675,0.028434452,0.011450037,0.0006520371
S0772,0.00736984,0.004564805,0.014025,0.010733305,0.0004980868,0.0032165868,0.98303163,0.0036652666,0.0018863325,0.0020092574
S0773,0.0023807802,0.015252246,0.011241099,0.03705011,0.0012112488,0.04411354,0.008187542,0.017260756,0.0042558154,0.00087600545
S0774,0.9501478,0.0012838959,0.0012903067,0.0019286934,0.0004980868,0.0014704536,0.013819311,0.019859962,0.00097437424,0.0008171732
S0775,0.0175353,0.0035018674,0.0029732946,0.020661565,0.0004980868,0.0057829437,0.98941237,0.004252644,0.00800794,0.0013739511
S0776,0.0034817297,0.0026441554,0.97499555,0.0047067706,0.0004980868,0.007155404,0.0058423947,0.0018067705,0.0027744265,0.0012076079
S0777,0.00476464,0.0012363725,0.9531032,0.004208482,0.0017054464,0.0056117047,0.0061445823,0.009893392,0.0016980424,0.001722914
S0778,0.9777744,0.9815298,0.0020748768,0.9753298,0.0004980868,0.98145735,0.97068226,0.97108936,0.9862533,0.000809046
S0779,0.008642589,0.005309394,0.009478753,0.0284411,0.0036830467,0.012923392,0.0053104693,0.0012921097,0.98988974,0.010289622
S0780,0.010022565,0.0009740025,0.010132463,0.007133803,0.0004980868,0.9979582,0.9604277,0.0016014536,0.008567893,0.00063399883
S0781,0.0030104795,0.0011025056,0.0036048088,0.0013782496,0.0004980868,0.001397438,0.0036162813,0.0037119475,0.005030719,0.0013725607
S0782,0.92702,0.00311766,0.0020599253,0.0023571476,0.0010563361,0.014184876,0.026096787,0.01043871,0.00234523,0.007895913
S0783,0.0130608305,0.0017996714,0.0035243947,0.018171584,0.0004980868,0.9679345,0.028331213,0.006029803,0.96565217,0.0026556235
S0784,0.038592555,0.0027842938,0.0016240135,0.0016562499,0.0004980868,0.0026052995,0.0056282924,0.95172155,0.0016452075,0.0023772358
S0785,0.9576043,0.0043411595,0.0012802442,0.92914796,0.0004980868,0.004738118,0.9462731,0.91418797,0.9383001,0.963017
S0786,0.0013951255,0.0012045979,0.0064006182,0.9824226,0.0004980868,0.99329984,0.9897647,0.0020151888,0.0009318295,0.0007181208
S0787,0.0069936183,0.0028379504,0.939523,0.038671006,0.001549681,0.043463446,0.99623376,0.002546408,0.0015044938,0.0014607114
S0788,0.9929974,0.986754,0.0011857863,0.9760726,0.0004980868,0.9754758,0.98992926,0.9908631,0.9878664,0.0063068266
S0789,0.016717663,0.008932913,0.0019901225,0.007591325,0.0004980868,0.0038294715,0.028104281,0.9719881,0.0033551224,0.008847334
S0790,0.0015292882,0.0023277726,0.0018317439,0.0023652113,0.0004980868,0.0072784103,0.99512696,0.001662219,0.0016921881,0.00073652324
S0791,0.001308027,0.003981419,0.035595678,0.9629961,0.0045975046,0.950611,0.99094826,0.001992906,0.0012929314,0.0011384566
S0792,0.009890753,0.0056613362,0.96676105,0.010231035,0.0004980868,0.0052585094,0.010311205,0.00304548,0.002943813,0.0005165401
S0793,0.004542712,0.024067858,0.0018448498,0.012083069,0.003166265,0.0042680074,0.008700155,0.0046906257,0.0068075154,0.00440196
S0794,0.004788873,0.0031608082,0.0015974964,0.98044544,0.000842727,0.001279776,0.005554777,0.024805991,0.0028209786,0.002170589
S0795,0.0028389113,0.000587232,0.00093015167,0.0032201048,0.0004980868,0.0036546355,0.9956664,0.004214593,0.0018993584,0.0021270663
S0796,0.000650597,0.00074627605,0.026486784,0.006492802,0.0004980868,0.0056423335,0.98230875,0.0017069303,0.0050591296,0.0015802551
S0797,0.007084269,0.0031226494,0.013075418,0.0051388578,0.00060301065,0.0012609841,0.0037689966,0.002905287,0.99102074,0.0017618394
S0798,0.0026477603,0.010360957,0.0013020304,0.0028262415,0.99128354,0.008016073,0.0022886132,0.0021087392,0.0022382897,0.0007158987
S0799,0.0022114369,0.0013474751,0.01833121,0.00785476,0.002338569,0.008285417,0.0051019816,0.013641262,0.0041214684,0.0019124055
S0800,0.0011497894,0.00085220195,0.005675056,0.9569445,0.00060301065,0.99033993,0.024265308,0.002124026,0.001567285,0.0007195103
