sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.0032224061,0.0019120568,0.0053071985,0.0037738748,0.0025669106,0.004135847,0.0033829694,0.6737025,0.0019129161,0.0014319003
S0767,0.09042251,0.01842972,0.0010663546,0.05198321,0.0006093755,0.0026583134,0.015090762,0.27737868,0.003570611,0.00095663016
S0768,0.16495763,0.11233192,0.004582926,0.0037391274,0.0013877684,0.004786805,0.07471511,0.9125288,0.14944157,0.0009753895
S0769,0.04238294,0.0014061547,0.4054778,0.061627354,0.000796815,0.9500841,0.02090845,0.0017758445,0.9811998,0.003088012
S0770,0.0017976013,0.0012894265,0.0062750266,0.50772226,0.0028477167,0.98898214,0.94794476,0.0013103199,0.004016667,0.0005821344
S0771,0.14152414,0.037323155,0.009741199,0.060531415,0.0050283447,0.67065006,0.12455857,0.12782666,0.0123288175,0.0010186718
S0772,0.058528252,0.001995931,0.016218316,0.014986727,0.0006093755,0.0266257,0.96049106,0.005001326,0.0016195294,0.00066824077
S0773,0.009433397,0.010082673,0.046676736,0.5746354,0.0027545504,0.1775125,0.02725085,0.010330541,0.0029134469,0.0015578121
S0774,0.21331975,0.0014259721,0.031314716,0.0016343691,0.0006093755,0.0029089223,0.1041256,0.15039767,0.0036685297,0.0011583042
S0775,0.062233508,0.0023041088,0.0068798373,0.004963644,0.000796815,0.021126863,0.97359145,0.0072788647,0.0030546845,0.0005459095
S0776,0.03906068,0.004722489,0.94660467,0.1478736,0.0006727271,0.15515421,0.032646343,0.0041893874,0.010883852,0.00072528806
S0777,0.0031458223,0.10960754,0.8281352,0.017803296,0.0032476273,0.0040536774,0.011691786,0.03322933,0.010289744,0.0027623286
S0778,0.8833703,0.8584212,0.005974638,0.79824024,0.0007241612,0.8771099,0.91178083,0.69404995,0.29441953,0.00094624504
S0779,0.011028638,0.0098966295,0.19829923,0.035196245,0.0022795028,0.006000364,0.018581163,0.015733447,0.028628752,0.10602471
S0780,0.6146183,0.0038124833,0.03664304,0.010506437,0.0011697938,0.9967583,0.58703583,0.0013346138,0.0030575595,0.00061697955
S0781,0.004229418,0.0065519344,0.009016525,0.0026198644,0.00064201053,0.0076009007,0.18547265,0.004777231,0.0043551996,0.0011824252
S0782,0.025229594,0.022315603,0.002069612,0.006085921,0.003033699,0.009612452,0.15357082,0.027738018,0.0071557825,0.03764405
S0783,0.03959685,0.0012751003,0.0038691375,0.029386882,0.0006727271,0.45383596,0.89114964,0.002873823,0.04083506,0.0015574041
S0784,0.8694606,0.002322893,0.005611279,0.001956515,0.0006093755,0.01562297,0.01013906,0.49628535,0.009003866,0.0021659052
S0785,0.8157845,0.35126138,0.0027705978,0.01838445,0.0006093755,0.0036523426,0.01662957,0.2089878,0.2023594,0.4770232
S0786,0.001484352,0.0007989686,0.016916912,0.75771374,0.000796815,0.98414004,0.98221636,0.0014482298,0.0011061218,0.00053738087
S0787,0.0034419405,0.0028292816,0.472795,0.14560448,0.0011739375,0.8713195,0.9657666,0.014121099,0.0014241711,0.00053129415
S0788,0.9639411,0.98236763,0.0026021926,0.9875279,0.0006093755,0.89354944,0.99331516,0.97650605,0.98035645,0.006792138
S0789,0.0051537645,0.0032952195,0.0040414887,0.00481928,0.0006093755,0.025844138,0.29535514,0.15794317,0.0024936574,0.0008239999
S0790,0.0013310227,0.0043895496,0.004788861,0.005554664,0.0006093755,0.026118957,0.9941162,0.0014845683,0.0018512028,0.0005250496
