sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.0020215358,0.0012400356,0.0060024834,0.002785957,0.0008515323,0.0031637752,0.0051097353,0.070303574,0.0051063863,0.0013683679
S0767,0.014041265,0.003933899,0.0012232956,0.0074633174,0.00048504578,0.0039802752,0.0076886914,0.040689353,0.0034905903,0.00058587966
S0768,0.9694555,0.040568836,0.00079331815,0.013437689,0.0011945257,0.0048209885,0.8987571,0.9892307,0.012680612,0.00093272846
S0769,0.006457806,0.0006962973,0.012453787,0.020185946,0.00048504578,0.97629887,0.007983801,0.0015710285,0.9865194,0.0018140372
S0770,0.0015517208,0.0011249835,0.0039527537,0.94542,0.0016304952,0.9953982,0.9850751,0.0010286581,0.002807439,0.00060927507
S0771,0.02248035,0.021925392,0.0025846052,0.032129705,0.0012781535,0.049055964,0.030130483,0.043422587,0.017681338,0.00067067705
S0772,0.004590361,0.0015372948,0.006325762,0.010307327,0.00048504578,0.010581112,0.9820869,0.002286504,0.0012037611,0.0006101351
S0773,0.002284197,0.008272775,0.010973832,0.09070093,0.0010712908,0.08144781,0.014829726,0.00865453,0.0032187325,0.0014746224
S0774,0.96068716,0.0022672478,0.0013444942,0.0018683457,0.00048504578,0.0022537678,0.010622746,0.02406372,0.0022463473,0.0007346222
S0775,0.01689244,0.0028327235,0.00920652,0.0072686933,0.00048504578,0.0068062968,0.9805444,0.003435935,0.0064606704,0.00047540732
S0776,0.0072974907,0.0031573167,0.9592573,0.015854398,0.00048504578,0.013157058,0.008849558,0.0023218212,0.005840988,0.00048140876
S0777,0.0041773217,0.015797345,0.9426705,0.007869366,0.0014886133,0.00316684,0.009977638,0.020578254,0.007156521,0.002617859
S0778,0.98207575,0.97813284,0.0023816696,0.9810081,0.00054809876,0.97122633,0.9735947,0.9718069,0.97209734,0.00055003096
S0779,0.008826339,0.0038616078,0.015026691,0.025654472,0.00083641306,0.01300458,0.004177901,0.0042551993,0.97405845,0.0135393115
S0780,0.015849726,0.0015940632,0.009960502,0.009290686,0.00048504578,0.99880815,0.9600443,0.001226299,0.0037354948,0.0006175443
S0781,0.0019414241,0.004427825,0.0028142114,0.0020357214,0.00048504578,0.0014822206,0.01324307,0.0018043923,0.0038930066,0.0007845108
S0782,0.9467314,0.009564583,0.0018713314,0.0049437266,0.0008515323,0.0018791928,0.023000648,0.014073772,0.0020133138,0.038229663
S0783,0.008150052,0.0010768782,0.003906636,0.009355329,0.00048504578,0.97877306,0.054288007,0.001927761,0.9140682,0.0011659497
S0784,0.04467878,0.0015648014,0.0018082365,0.0018253007,0.00048504578,0.0019482902,0.004018875,0.9629772,0.0030325411,0.0017908342
S0785,0.9466476,0.009922618,0.0014407508,0.9017785,0.00048504578,0.008070965,0.9137535,0.9699251,0.94656825,0.9486317
S0786,0.0008459823,0.00047256716,0.0035522422,0.97131586,0.00048504578,0.99406046,0.98997587,0.0011626879,0.00097139424,0.00057483575
S0787,0.0061928784,0.0011909034,0.95904636,0.032179166,0.00048504578,0.05649552,0.9954028,0.0020643855,0.0011925214,0.00074902805
S0788,0.98632497,0.9903566,0.0021701138,0.9918543,0.00067418505,0.9908251,0.9935184,0.994183,0.985859,0.005571951
S0789,0.003787402,0.003616666,0.0018252044,0.0029492823,0.00048504578,0.003395612,0.022361165,0.9538476,0.0050553554,0.0006686641
S0790,0.0013488907,0.001029822,0.0043190145,0.001908453,0.00048504578,0.0042684837,0.99187344,0.0023455615,0.0024366041,0.00047540732
S0791,0.0010144047,0.0005426534,0.03751615,0.9571832,0.00057571114,0.9390112,0.99496526,0.002856473,0.0008854142,0.00058736606
S0792,0.01398504,0.0025596654,0.96727115,0.0070289075,0.00048504578,0.008676503,0.008004316,0.0043309634,0.004962379,0.0005998931
S0793,0.0059552877,0.031098183,0.0042606597,0.012075849,0.0019968457,0.0039697746,0.002197618,0.0015500372,0.0068519404,0.0010550024
S0794,0.002663588,0.009513261,0.0014925146,0.9570825,0.0013144522,0.0017314415,0.0123969475,0.016373463,0.002530253,0.0021260069
S0795,0.0024767253,0.0007063823,0.0012584956,0.0028551898,0.00048504578,0.0027339815,0.99289155,0.0019157698,0.0026202244,0.0014498298
S0796,0.0011925476,0.0010667793,0.043210283,0.0029835238,0.00048504578,0.0055857175,0.9600499,0.0013134918,0.0016964095,0.0006120321
S0797,0.015460671,0.001305611,0.009878134,0.004351328,0.00048504578,0.0028619203,0.005814345,0.0010936117,0.9904293,0.003196683
S0798,0.0021398326,0.017947467,0.00074040896,0.0037065537,0.9921489,0.002584507,0.0018704623,0.0024192412,0.0015602405,0.004255605
S0799,0.0036260379,0.003704874,0.03059632,0.01000696,0.0048821894,0.0050060856,0.013503497,0.029249458,0.004135847,0.0029800464
S0800,0.0014997863,0.0005516807,0.004224882,0.96584797,0.00048504578,0.98228896,0.018245261,0.0011354868,0.0037747,0.0008680724
S0801,0.0041626077,0.0020695215,0.9756585,0.99268484,0.00048504578,0.028789952,0.9898718,0.0020807388,0.0017562028,0.000514102
S0802,0.0009960168,0.0038723568,0.0012238288,0.044116996,0.0013144522,0.0016770454,0.006541223,0.90157664,0.0034888543,0.0021260069
S0803,0.004086377,0.002635909,0.9379812,0.010453088,0.00048504578,0.0050335196,0.9947066,0.0011284933,0.0039752536,0.00060116063
S0804,0.0073734825,0.0018863758,0.014288058,0.026844319,0.00048504578,0.0018961962,0.0030685035,0.004937378,0.9529831,0.0010129652
S0805,0.0026715815,0.0054250057,0.0016696252,0.016598275,0.00048504578,0.96298933,0.020455437,0.0018910888,0.017461462,0.050507158
S0806,0.0005768162,0.0016921615,0.97086215,0.029369077,0.00048504578,0.019411083,0.94769377,0.0009318796,0.0030191378,0.0005650252
S0807,0.0020126854,0.00075651216,0.9946577,0.003970691,0.00048504578,0.0012967866,0.96835977,0.00085760356,0.015579317,0.0010842351
S0808,0.0024357187,0.0025487489,0.0056852815,0.0035032171,0.0014442861,0.0034940287,0.002567609,0.0059154555,0.98925835,0.004248577
S0809,0.0030430632,0.0045302054,0.011043324,0.0047052675,0.0013144522,0.013368934,0.018075882,0.0049298364,0.0066409805,0.000778304
S0810,0.0009695487,0.0032906875,0.0012486314,0.004620937,0.990986,0.002848491,0.004027148,0.0012136127,0.0014727658,0.0017133272
S0811,0.0063903974,0.0016474521,0.005959978,0.04674978,0.00067418505,0.9989868,0.9782668,0.005056185,0.0031408302,0.0019279858
S0812,0.002647257,0.99414426,0.0012922523,0.010073878,0.003830971,0.0027618087,0.0046429588,0.003180702,0.003273342,0.0018359195
S0813,0.0010863582,0.004328435,0.0020166691,0.0028236827,0.9865122,0.0026444849,0.004184437,0.0016759359,0.0017995344,0.0011961574
S0814,0.06820583,0.031094354,0.97071123,0.004830847,0.0016304952,0.0055713197,0.010008703,0.0068004387,0.03654546,0.0012080617
S0815,0.0024089783,0.0015153404,0.027862396,0.04364708,0.00048504578,0.9468592,0.9956951,0.002303255,0.0017570499,0.0007105454
S0816,0.019812226,0.005959085,0.0011344504,0.011452439,0.00048504578,0.0033392708,0.016107937,0.007969886,0.0033709896,0.0005607439
S0817,0.0027634967,0.0009891975,0.0015586673,0.0011818998,0.00048504578,0.0014855475,0.007982216,0.0031428253,0.004553601,0.001129586
S0818,0.0047458056,0.0027707943,0.0022655388,0.9547365,0.00048504578,0.0123272445,0.0074616433,0.003652497,0.9815523,0.02574058
S0819,0.004758884,0.002262988,0.9721789,0.99055356,0.00048504578,0.016078936,0.996974,0.006455931,0.0071833027,0.0005377559
S0820,0.0022516502,0.0014098181,0.0058186934,0.00257607,0.00048504578,0.0020160328,0.99082243,0.0010977425,0.0015628464,0.00061513437
S0821,0.0010580714,0.00046278862,0.9781496,0.982732,0.00048504578,0.017540181,0.98210424,0.00069382327,0.00613685,0.0005120997
S0822,0.013251722,0.0015536952,0.004105856,0.0034928753,0.00051598425,0.0066536125,0.9951036,0.0041382145,0.0014033,0.0017007006
S0823,0.005038587,0.0026572947,0.00632403,0.006212625,0.0009458591,0.005724661,0.0032121104,0.0043980205,0.99394727,0.0009448414
S0824,0.0014152721,0.0006713655,0.0019893905,0.94436145,0.00048504578,0.9940912,0.026479961,0.0019261974,0.001303029,0.000843436
S0825,0.0011838954,0.00068648544,0.98159134,0.0056479387,0.00048504578,0.002806976,0.9475528,0.0015564924,0.002449036,0.0011689512
S0826,0.0016410125,0.007885319,0.0008717838,0.0031920914,0.9927349,0.0077606863,0.0019289384,0.0009976008,0.0020069766,0.0015933182
S0827,0.00084764126,0.00069176266,0.9324854,0.023310648,0.0006765508,0.08468496,0.023107324,0.0005995136,0.0111196,0.0011215012
S0828,0.0009863818,0.0013379685,0.9707111,0.027512003,0.00048504578,0.0034938115,0.005509496,0.0009371445,0.0046339217,0.00066415675
S0829,0.00166825,0.0019806044,0.004207873,0.0033848544,0.0016304952,0.007753079,0.0037963972,0.0010981064,0.99002975,0.00068947615
S0830,0.0013005163,0.00049899967,0.009322414,0.022564054,0.00048504578,0.9688308,0.9960418,0.001239011,0.0010514981,0.00057483575
S0831,0.04034086,0.0054121055,0.004319138,0.011709746,0.00052850053,0.0073189875,0.015211754,0.01602632,0.9805981,0.0005922029
S0832,0.0029032985,0.010212505,0.00068351993,0.010129814,0.99269366,0.002370166,0.002993802,0.0022944075,0.0017521299,0.0017274645
S0833,0.003919985,0.0072526326,0.006010813,0.0024324292,0.0013190617,0.9775328,0.0024680006,0.0022239645,0.0069071995,0.0015592759
S0834,0.005331181,0.0029472779,0.0040181573,0.015292726,0.00097571296,0.006050119,0.010831831,0.004204196,0.9907713,0.002956723
S0835,0.004069919,0.0076358737,0.007054944,0.008373359,0.00054809876,0.0039719716,0.01650012,0.9711619,0.0072023612,0.0028529384
S0836,0.0018302283,0.0034499823,0.015735604,0.010473453,0.00048504578,0.0036364687,0.0018784577,0.0015379552,0.99011785,0.0012636882
S0837,0.0021294672,0.0017553387,0.9734089,0.014328597,0.00048504578,0.0065829917,0.009516101,0.0016966406,0.9914449,0.0018371415
S0838,0.009443633,0.0073696827,0.00096835825,0.0018184928,0.00048504578,0.0034524929,0.99468213,0.01224026,0.0023467734,0.0006244036
S0839,0.007037756,0.0028064423,0.0058135316,0.004426211,0.0018331208,0.0045551946,0.010584426,0.9743517,0.004485526,0.0028511551
S0840,0.0018174761,0.0016865234,0.0052399,0.00812424,0.00048504578,0.010064438,0.9940188,0.0022518665,0.0038431226,0.0009416501
S0841,0.009992501,0.0012479936,0.0010064082,0.0020865698,0.00048504578,0.002303972,0.0035417173,0.004050241,0.006477573,0.00072265696
S0842,0.0078924885,0.0055450085,0.0025492872,0.90842813,0.0017054457,0.0048683737,0.0123803085,0.016053375,0.06180174,0.90878147
S0843,0.004458828,0.0026559075,0.0008933099,0.0036022353,0.00048504578,0.0012507704,0.06631512,0.93640375,0.003234604,0.00060683175
S0844,0.0023761007,0.0072100814,0.0014925146,0.004869781,0.0013144522,0.0025430177,0.008357398,0.06896086,0.0028319184,0.0039368095
S0845,0.99322045,0.97740114,0.0010513423,0.9830934,0.0007066699,0.9854402,0.9955844,0.9809414,0.9947109,0.008071985
S0846,0.0045726663,0.00277823,0.0008076283,0.0013004416,0.00048504578,0.0011851873,0.005184467,0.00593058,0.0020164857,0.0005282052
S0847,0.00206853,0.92861897,0.0043546413,0.9675414,0.0012095199,0.003442212,0.023292417,0.0033827333,0.008251088,0.0021571983
S0848,0.0014665485,0.0010239102,0.0006728461,0.0031539972,0.00048504578,0.0028526534,0.9854651,0.001844667,0.0026260829,0.00096836523
S0849,0.003141177,0.0057526515,0.0072630667,0.044140067,0.00048504578,0.012117978,0.027865607,0.003793571,0.9890984,0.0078079207
S0850,0.0030433338,0.0014258383,0.0034314524,0.8180962,0.0023404744,0.010337808,0.0478426,0.0025601462,0.94062304,0.0010395235
S0851,0.9741289,0.8781707,0.009145234,0.9154674,0.0011945257,0.007835648,0.04891801,0.9605487,0.8899424,0.0009584626
S0852,0.0023355992,0.00308696,0.0028137858,0.019844376,0.0016304952,0.98001397,0.010103698,0.003561908,0.010817382,0.0007086351
S0853,0.0024492398,0.005327006,0.05098819,0.014155561,0.0012182507,0.017722307,0.92764926,0.009031134,0.0049434924,0.0014456641
S0854,0.003988266,0.0006750305,0.0021184243,0.0056392397,0.00048504578,0.005566582,0.03935504,0.91550976,0.016998356,0.00082089566
S0855,0.001097846,0.0005402039,0.030616874,0.9922327,0.00048504578,0.9682367,0.9935126,0.0010936117,0.0012539709,0.0005120997
S0856,0.0029761686,0.0039220764,0.0032000975,0.0066106254,0.00048504578,0.002740817,0.010606101,0.0101767685,0.9880163,0.0016111196
S0857,0.0023406078,0.008371416,0.0014162516,0.9276753,0.00071717903,0.0021724931,0.039162688,0.013169025,0.0029595133,0.0058886926
S0858,0.0031240939,0.006452084,0.001451811,0.06951827,0.00071717903,0.0023133834,0.049755715,0.0089425435,0.0033683456,0.90117913
S0859,0.005802524,0.00775236,0.0008382505,0.0092722,0.0007066699,0.008151783,0.975626,0.005515315,0.012594142,0.030257408
S0860,0.009119267,0.0057114395,0.007435964,0.009290269,0.00097571296,0.0062745474,0.004680703,0.0032575084,0.9572215,0.0138506675
S0861,0.00062384445,0.00082243496,0.98969966,0.02399071,0.00048504578,0.030513616,0.9769721,0.0010449399,0.0020870783,0.0005826601
S0862,0.0009629513,0.00047042198,0.04320228,0.9388983,0.00083641306,0.013662264,0.015816528,0.0012189077,0.009383606,0.00077094015
S0863,0.0028378128,0.0020735175,0.0011427467,0.0035474724,0.00048504578,0.003159303,0.97241443,0.0037619148,0.0030812963,0.0008951004
S0864,0.0015094394,0.930337,0.0009104191,0.017349225,0.005584012,0.0031265125,0.013997821,0.0022437838,0.047427878,0.9537209
S0865,0.0011567468,0.000547142,0.009320698,0.008250685,0.0009458591,0.9966696,0.021887375,0.00076546037,0.0034953074,0.0008739995
S0866,0.005673985,0.0010692338,0.009936906,0.017469293,0.0022652799,0.003926115,0.94963604,0.0034894329,0.007523356,0.0011869017
S0867,0.0026870153,0.0009441435,0.0013830398,0.0028727984,0.00048504578,0.0020825665,0.0025788257,0.004922347,0.002662633,0.0005437738
S0868,0.014134089,0.01147911,0.002810467,0.04602242,0.00067418505,0.0744344,0.024207763,0.021357847,0.039325133,0.003074063
S0869,0.002177502,0.0021699644,0.0034016941,0.007742027,0.00048504578,0.9884189,0.006432358,0.0040281615,0.0066139703,0.9936608
S0870,0.010103441,0.9846876,0.0033337446,0.009557313,0.0015498801,0.0028929433,0.0037729214,0.0034515169,0.006255453,0.0021441234
S0871,0.0012285057,0.00063695654,0.0035064798,0.004202511,0.0016304952,0.99908805,0.9696284,0.0007167093,0.0033941823,0.0006213043
S0872,0.0017790959,0.0005982829,0.0011914065,0.0060208533,0.00048504578,0.0012169576,0.9886318,0.00457404,0.0016782328,0.0005160184
S0873,0.0017915,0.007790788,0.0029209019,0.0044811824,0.0013777451,0.0024392284,0.0213004,0.0009082915,0.9687043,0.0010156706
S0874,0.99365765,0.9971444,0.0044864314,0.9953223,0.0007066699,0.99709964,0.9967506,0.98995066,0.9961677,0.005550575
S0875,0.9675959,0.97941375,0.005258053,0.9712861,0.00051598425,0.9708636,0.954698,0.9779914,0.9694325,0.0005617365
S0876,0.0016978218,0.004310595,0.0014776932,0.029002411,0.00071717903,0.0028864504,0.008106618,0.003111479,0.0030378932,0.99037474
S0877,0.004298157,0.001158632,0.0026759936,0.0015686698,0.0010712908,0.002675121,0.976233,0.01818274,0.001199308,0.0010175379
