sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.0034327002,0.0034733731,0.03128041,0.0029304551,0.0006535692,0.0028114293,0.006022377,0.22398391,0.001285494,0.001240025
S0767,0.030689813,0.03469597,0.0011690959,0.043791883,0.00062098226,0.005587895,0.079940185,0.16962203,0.0029640347,0.00069253345
S0768,0.39675716,0.19570863,0.00092762406,0.0038725336,0.0011453448,0.0059148977,0.03958238,0.78116953,0.006562113,0.0008341947
S0769,0.021008186,0.005841578,0.0631514,0.04345546,0.00062098226,0.9658283,0.023333127,0.0031818983,0.8730514,0.0038191646
S0770,0.0028039252,0.0037677526,0.0078523625,0.6937644,0.0011514572,0.9950832,0.8648009,0.00087020075,0.0016333403,0.0005766741
S0771,0.029462414,0.005555367,0.003958559,0.014486489,0.0020165097,0.047049947,0.04135965,0.23626325,0.01128295,0.0008080509
S0772,0.042411577,0.006298196,0.05764882,0.054189015,0.00062098226,0.01764101,0.9535558,0.019956402,0.002201294,0.0006777124
S0773,0.006175357,0.05616005,0.0148373,0.13463457,0.0017576738,0.11453995,0.019936189,0.018112712,0.0037082061,0.0011490444
S0774,0.09662535,0.0016666593,0.0025811521,0.0020640327,0.00062098226,0.0031631002,0.033179678,0.10980345,0.0023918538,0.0008399332
S0775,0.036016054,0.012197332,0.0023639256,0.045117375,0.00062098226,0.0048542167,0.98811674,0.0068362365,0.010543149,0.0005223239
S0776,0.008232835,0.0024817006,0.85713315,0.05502392,0.00062098226,0.048871387,0.023537913,0.0025668936,0.0023587234,0.0008808869
S0777,0.0072445753,0.005241208,0.9035842,0.01838683,0.0022808837,0.006925491,0.017865457,0.034195937,0.002794325,0.0025676335
S0778,0.61638254,0.43156037,0.0030478756,0.8480236,0.0008590324,0.5539658,0.14634927,0.48929486,0.52143663,0.00084611727
S0779,0.075125314,0.018390045,0.13107593,0.22207718,0.0210394,0.01534715,0.0088692885,0.005362098,0.6180117,0.03227974
S0780,0.5491815,0.0018154018,0.014423979,0.009497916,0.0009062004,0.9978612,0.45229086,0.0012463655,0.02387234,0.0009454871
S0781,0.06604426,0.004885668,0.0063239643,0.0048555373,0.00062098226,0.004091414,0.014842549,0.012525655,0.011444953,0.0013295929
S0782,0.044558097,0.0036534013,0.004073543,0.009472604,0.0024121946,0.11476406,0.057107717,0.024621412,0.0075722765,0.020789333
S0783,0.075061314,0.0086111175,0.0041448344,0.026834024,0.00062098226,0.66225374,0.50147355,0.0031445948,0.2556454,0.0022465952
