sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.0032527002,0.0014244633,0.0073627615,0.002474001,0.00050305977,0.0026561208,0.0044857264,0.045012478,0.0015938765,0.0019331513
S0767,0.009362486,0.003836456,0.0018413741,0.005965611,0.00050305977,0.004246542,0.012309219,0.041335676,0.008444142,0.0006336874
S0768,0.98139614,0.038636297,0.000712484,0.015778739,0.0011407705,0.0038685678,0.9441389,0.9763798,0.012978825,0.0009603464
S0769,0.002069479,0.0027893796,0.010704281,0.00800078,0.00050305977,0.98233783,0.02033412,0.0017817848,0.98031116,0.002175462
S0770,0.0018394846,0.0024022302,0.006455432,0.9465476,0.00064873236,0.99332523,0.975685,0.0011897649,0.0011554082,0.0006268439
S0771,0.013506692,0.0036464478,0.0017326147,0.0084812045,0.0014013107,0.018701814,0.019984812,0.029440545,0.010525103,0.00058338605
S0772,0.0073249624,0.0036252372,0.013363633,0.0111930305,0.00050305977,0.005999056,0.9855468,0.0037478036,0.0016265948,0.0016473485
S0773,0.0017726504,0.012789742,0.016112532,0.043319207,0.0012443027,0.048743706,0.00750787,0.013901111,0.005221347,0.0010589462
S0774,0.95110077,0.0012809652,0.0016744973,0.0026760828,0.00050305977,0.0011206223,0.00990814,0.022332551,0.0014348255,0.0005682855
S0775,0.015563215,0.0037459545,0.0031174037,0.0145406285,0.00050305977,0.0047092396,0.9896361,0.0050327624,0.011067514,0.00088810147
S0776,0.0045492416,0.0019269777,0.9588162,0.007206188,0.00050305977,0.0070257736,0.0055888146,0.002226891,0.004645174,0.0014396337
S0777,0.0043198513,0.0018544587,0.9629363,0.0039680554,0.0014777348,0.005794519,0.0054675005,0.011573592,0.003035058,0.0015583386
S0778,0.9706882,0.983432,0.003118305,0.9703333,0.00050305977,0.980121,0.9790983,0.9728842,0.9892335,0.00077153585
S0779,0.010289384,0.0042982083,0.010078414,0.027732044,0.0038468447,0.006745673,0.0045138877,0.0010499406,0.98235476,0.011438319
S0780,0.012926774,0.0010783894,0.009744374,0.005269791,0.00050305977,0.99815613,0.95675665,0.001823624,0.009100784,0.000749329
S0781,0.0034476616,0.0016321812,0.0044582016,0.0014501502,0.00050305977,0.002151337,0.00523132,0.0046532103,0.0038601938,0.0013077211
S0782,0.92336756,0.0033434264,0.002608848,0.002496918,0.0012472395,0.021654388,0.02740337,0.017073246,0.0019851178,0.009150342
S0783,0.01304341,0.0022690077,0.003173241,0.018663222,0.00050305977,0.9621582,0.034025613,0.0068347473,0.96863437,0.0020643843
