sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.0026331763,0.0033028491,0.005646493,0.0038253176,0.002184702,0.0037012347,0.003796594,0.40000495,0.0029062722,0.0013613261
S0767,0.06385682,0.02739039,0.001434557,0.075141735,0.00063936505,0.0034694455,0.021266121,0.17736378,0.003104364,0.0009929518
S0768,0.22096245,0.0028345897,0.004660533,0.002938188,0.00063936505,0.0050115776,0.41067103,0.9020242,0.035425838,0.000908108
S0769,0.024436802,0.001491866,0.20894378,0.10200335,0.0009324779,0.954296,0.027462156,0.0037269085,0.91655856,0.0023242137
S0770,0.0024483919,0.0016793293,0.004511964,0.53729934,0.0036622067,0.9902908,0.9503276,0.0010010946,0.0020946765,0.0006242766
S0771,0.20045958,0.03293731,0.0040048156,0.051202416,0.0057170936,0.6167494,0.16039269,0.20559879,0.04069637,0.0012323685
S0772,0.023479996,0.0034138998,0.022049675,0.009590466,0.00063936505,0.03554794,0.9491097,0.0036584437,0.0010169337,0.00074730447
S0773,0.0070500155,0.023693658,0.043882813,0.62095666,0.0031367259,0.48679006,0.04212975,0.0070846956,0.0075276615,0.0012249688
S0774,0.13653123,0.001103763,0.02286137,0.0016804152,0.00063936505,0.005091775,0.015079729,0.09358495,0.0046811337,0.0012155471
S0775,0.12905999,0.0025659683,0.0082824435,0.0043252385,0.00088193506,0.028080143,0.91436684,0.0067561544,0.0027439282,0.0005589877
S0776,0.014743395,0.0036604933,0.9374995,0.08777261,0.0008285933,0.049803272,0.024989385,0.003132509,0.0145640895,0.0008417824
S0777,0.0031252408,0.00496933,0.90178996,0.0067390376,0.0033899266,0.004157807,0.010061916,0.06330131,0.0050587934,0.0025426054
S0778,0.7145201,0.86518866,0.0061518494,0.7856546,0.0008370022,0.91177833,0.7977986,0.6770184,0.67776895,0.0011888286
S0779,0.020942776,0.005551654,0.17520544,0.06425165,0.0024241842,0.0057220915,0.01444991,0.013469834,0.092943,0.0978474
S0780,0.15541488,0.0035622362,0.038441405,0.0121175265,0.0011775572,0.9963482,0.45176026,0.001185757,0.006214047,0.0008362051
S0781,0.0057542855,0.0019513968,0.010224996,0.0016255466,0.00063936505,0.006341028,0.17051642,0.003343738,0.0048186877,0.0010976237
S0782,0.09904297,0.002071768,0.0008627163,0.0041872915,0.002933218,0.010749447,0.13527346,0.01857558,0.009083183,0.016270544
S0783,0.06859286,0.0010691631,0.0030991798,0.048572224,0.0008285933,0.5548749,0.85340494,0.0032247258,0.023641469,0.00278179
S0784,0.6758724,0.003327742,0.0030541965,0.0020269926,0.00063936505,0.012581352,0.006601069,0.33061868,0.0022170246,0.0020753685
S0785,0.4999565,0.20250794,0.0034314345,0.04334373,0.00063936505,0.005281216,0.020526377,0.24400173,0.37544155,0.4762743
S0786,0.0013954266,0.001219644,0.043552257,0.710219,0.00088193506,0.9794,0.9894023,0.002423692,0.0011477175,0.00052464084
S0787,0.0077056205,0.0016775844,0.29793298,0.27500892,0.00063936505,0.8788553,0.9804212,0.013258084,0.0022062212,0.00057011977
S0788,0.9887933,0.98055524,0.0021930262,0.9826272,0.00063936505,0.901628,0.9805597,0.980121,0.958178,0.01562941
S0789,0.0051325234,0.003156844,0.0047488986,0.008436141,0.00063936505,0.036524292,0.39075536,0.3563672,0.001784106,0.0008678503
S0790,0.0016858557,0.0046576206,0.002368392,0.0052752728,0.00063936505,0.024003785,0.99284315,0.0015589175,0.0022610817,0.000545523
S0791,0.0020031587,0.0011782207,0.31140283,0.61353797,0.00063936505,0.26124322,0.9915418,0.002318876,0.0014430782,0.0004995846
S0792,0.09996656,0.010465175,0.44924277,0.019003319,0.00063936505,0.11424928,0.010612313,0.0042390805,0.003160153,0.0006414292
S0793,0.01575526,0.04099613,0.006035931,0.0041623134,0.011159983,0.0026234002,0.0028190343,0.0025801125,0.0037091044,0.0009283738
S0794,0.0033376017,0.014768566,0.0022865573,0.83216363,0.0006760158,0.0037865206,0.020292282,0.108395904,0.0033405707,0.004066903
S0795,0.0062353383,0.002256725,0.0042789276,0.0016631093,0.00063936505,0.004004677,0.97425044,0.0036599578,0.005816672,0.0064858054
S0796,0.0010467108,0.0017257064,0.092321746,0.004608043,0.00088193506,0.004576961,0.7153586,0.0011180477,0.0012428488,0.00078860775
S0797,0.007149075,0.001970994,0.128501,0.006125329,0.0011775572,0.0068568997,0.005867908,0.0025491137,0.9444519,0.013108873
S0798,0.01782094,0.009599728,0.002711583,0.0059661823,0.9722334,0.016578555,0.018893294,0.0058549624,0.0065413434,0.0012064081
S0799,0.011078114,0.013407279,0.3382629,0.6832148,0.004400656,0.019972857,0.019167118,0.05179451,0.0096167475,0.0018899802
S0800,0.0023346683,0.0006292843,0.0065438636,0.10356306,0.00088193506,0.5478631,0.025993304,0.0009804701,0.002209366,0.0008038822
S0801,0.004594987,0.0028654127,0.49036273,0.9926761,0.00088193506,0.099761955,0.9978695,0.018992903,0.0024728465,0.0005375904
S0802,0.0030297255,0.0046772673,0.0022865573,0.10076758,0.0006760158,0.0037650187,0.011265176,0.72261196,0.004868646,0.0031166954
S0803,0.0024496524,0.0014177779,0.324897,0.00955567,0.0009324779,0.004486495,0.946149,0.0015019816,0.0021404284,0.0006549056
S0804,0.036768455,0.0021430769,0.023957893,0.5109065,0.00088193506,0.0026568815,0.0017175301,0.013554777,0.009216713,0.0008038822
S0805,0.011695693,0.009018327,0.0036224462,0.052669633,0.00063936505,0.9080352,0.4594739,0.0049745906,0.13817312,0.6317724
S0806,0.0016128647,0.0022065414,0.7383834,0.61719656,0.000807469,0.7206263,0.084836386,0.0039134664,0.003723532,0.0007379375
S0807,0.0040550274,0.0013053984,0.98077685,0.004605948,0.0011775572,0.0033061362,0.907242,0.0012879813,0.017934764,0.0006107818
S0808,0.004679141,0.005527477,0.007202222,0.007969848,0.0011137452,0.02368021,0.0056236777,0.005019983,0.9890148,0.0039488208
S0809,0.004091898,0.02398694,0.012804164,0.019033277,0.0009324779,0.07284597,0.03475176,0.005568599,0.003125731,0.0019068251
S0810,0.0063063186,0.004223115,0.0076966267,0.018669127,0.9511117,0.0025432792,0.0033265122,0.0023754826,0.0039880844,0.0031361445
S0811,0.0036238148,0.0035951822,0.009563319,0.4160074,0.0011775572,0.9932122,0.9496422,0.010978137,0.0049712094,0.002462303
S0812,0.006507654,0.08986905,0.005898244,0.01361128,0.0011775572,0.0022382534,0.0015408921,0.012193214,0.0058659557,0.0012822034
S0813,0.0043481626,0.006278158,0.005672153,0.003925901,0.9522439,0.0019955377,0.0029701428,0.0017300278,0.0069191162,0.0008534038
S0814,0.014442856,0.014135638,0.088344015,0.010143962,0.0033416378,0.012799699,0.014296904,0.010256446,0.12464332,0.0008969855
S0815,0.014575885,0.0016635148,0.80027646,0.4122555,0.00063936505,0.24800293,0.97973686,0.009357433,0.002302499,0.0005589877
S0816,0.027669469,0.0122948205,0.001101945,0.0064374376,0.00063936505,0.043338757,0.04759852,0.022723284,0.0012876929,0.0013209991
S0817,0.007876946,0.001957749,0.0014699146,0.0025752527,0.00063936505,0.0024052123,0.025205031,0.008275663,0.0018610017,0.0012342428
S0818,0.022615584,0.017941693,0.0068718144,0.9662741,0.0011137452,0.056922298,0.014264231,0.009797356,0.71296996,0.040202647
S0819,0.019954365,0.002436933,0.43374342,0.95830107,0.0011775572,0.04979603,0.9774105,0.013295245,0.030814238,0.00058664265
