sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.0022059765,0.0012789627,0.008428378,0.002044876,0.0008515323,0.0032971841,0.008763131,0.058947913,0.0026648804,0.0015306183
S0767,0.013279422,0.006743645,0.001585116,0.0069890134,0.00048504578,0.002175172,0.012650349,0.039910987,0.004194081,0.0006845568
S0768,0.97146916,0.0020645102,0.0008969141,0.017194767,0.0011945257,0.008800139,0.92079914,0.98843855,0.008387292,0.0010670912
S0769,0.0041063298,0.0018101085,0.013180451,0.012264995,0.00048504578,0.98395306,0.012594445,0.0016064784,0.98056865,0.0014451403
S0770,0.0016830788,0.0006144114,0.0044965823,0.9244632,0.0016304952,0.9951674,0.9833415,0.00065437815,0.0021841773,0.0005463413
S0771,0.033604577,0.013877541,0.0022552868,0.043026067,0.0012781535,0.05656588,0.026493061,0.054361407,0.013709864,0.0006540973
S0772,0.003589867,0.001585565,0.0106314095,0.0164584,0.00048504578,0.010174421,0.9775095,0.0015060002,0.0015868685,0.0006908927
S0773,0.0022263888,0.012532452,0.010559198,0.066494144,0.0010712908,0.07878592,0.019518545,0.009897227,0.0043694503,0.0013325809
S0774,0.9456457,0.0014144885,0.0012044023,0.0022263634,0.00048504578,0.0017992468,0.00840646,0.026235133,0.0028276125,0.0008686172
S0775,0.014743985,0.0033924037,0.00897345,0.00871531,0.00048504578,0.005099119,0.98117447,0.0024240285,0.020153768,0.000537122
S0776,0.0095492825,0.004228336,0.9678774,0.014318558,0.00048504578,0.01271022,0.008510889,0.0031767662,0.0025283175,0.00045542856
S0777,0.002514673,0.0035623703,0.9396935,0.0030899919,0.0014886133,0.0022513599,0.007219857,0.017745016,0.0027799043,0.0035212156
S0778,0.9797361,0.9707314,0.00250718,0.9818479,0.00054809876,0.9778437,0.98114717,0.9620794,0.9776912,0.00045009435
S0779,0.0070207887,0.0052498863,0.009025042,0.033971112,0.00083641306,0.008684574,0.0037051314,0.0055498513,0.97243,0.012682707
S0780,0.011830723,0.0018900261,0.015364549,0.007712543,0.00048504578,0.99790645,0.9508731,0.000864483,0.0038346485,0.00091135333
S0781,0.0012444912,0.0011104981,0.006739379,0.0015434736,0.00048504578,0.0015042853,0.02178135,0.0020985862,0.0033644803,0.0010322708
S0782,0.94286174,0.0010829453,0.002028055,0.0030879169,0.0008515323,0.0013117833,0.038533628,0.015020637,0.003156868,0.029532393
S0783,0.008774973,0.0014500223,0.004344279,0.0063615055,0.00048504578,0.9837811,0.040827747,0.0018056261,0.92936313,0.0010480639
S0784,0.042891346,0.0020603,0.0012391265,0.0015990173,0.00048504578,0.001751165,0.008706527,0.9506802,0.0012328929,0.0021439653
S0785,0.9573877,0.008367617,0.0019263872,0.8987607,0.00048504578,0.008188139,0.9042878,0.9711521,0.8930968,0.94167274
S0786,0.0010963796,0.00060523866,0.004321406,0.965982,0.00048504578,0.99402124,0.98895556,0.0014450792,0.0007432512,0.00069267733
S0787,0.008217307,0.0014389841,0.96177465,0.026821084,0.00048504578,0.05046244,0.9945327,0.0030410113,0.0012137844,0.0006157409
S0788,0.98891723,0.9859533,0.0014416847,0.9888504,0.00067418505,0.99017173,0.99097544,0.9947798,0.9906887,0.0070420755
S0789,0.01139208,0.0040539145,0.0013529487,0.003180988,0.00048504578,0.0033326517,0.02686055,0.94522434,0.005404398,0.0005701347
S0790,0.0015653775,0.0022542034,0.0027601295,0.0029653315,0.00048504578,0.0041018687,0.99113387,0.0027791853,0.006414279,0.0005172195
S0791,0.0013844696,0.000657591,0.03163727,0.9598051,0.00057571114,0.9467202,0.9964307,0.003201173,0.00074935326,0.00046427123
S0792,0.015794208,0.0028078198,0.95610327,0.010792863,0.00048504578,0.012145929,0.00575771,0.001994256,0.007937866,0.00074268226
S0793,0.006840855,0.025294308,0.004765232,0.004712721,0.0019968457,0.0037729107,0.0029991786,0.0021106005,0.006200593,0.0011934049
S0794,0.0025429332,0.007531328,0.0011493241,0.96012026,0.0013144522,0.0032049245,0.013091974,0.014501754,0.0024198845,0.0035447408
S0795,0.0014691995,0.0010618722,0.0007510386,0.003169165,0.00048504578,0.0033145926,0.9917109,0.0030751082,0.0029237336,0.0025664065
S0796,0.0009423282,0.001176246,0.04926673,0.0032074067,0.00048504578,0.006168694,0.956548,0.0022805843,0.0009263376,0.0006980294
S0797,0.0070893024,0.0015854375,0.024176784,0.0065821903,0.00048504578,0.0018781947,0.0064614112,0.0016227338,0.95078987,0.0030400644
S0798,0.0027041554,0.0047395304,0.00074609084,0.002430818,0.9921489,0.0023199453,0.0018509025,0.0026992077,0.002205879,0.0018819378
S0799,0.0043556024,0.0046397774,0.032754403,0.014385195,0.0048821894,0.008630692,0.0103443125,0.032399777,0.0050159525,0.004199096
S0800,0.0014965557,0.00059938844,0.0073829605,0.95990425,0.00048504578,0.97987753,0.023662578,0.00077850174,0.006434349,0.0007348599
S0801,0.004373103,0.0019406066,0.98372674,0.9955485,0.00048504578,0.020584194,0.9862898,0.0023491404,0.0014179838,0.0005504162
S0802,0.0012497886,0.0023727145,0.0011751794,0.041164134,0.0013144522,0.002064522,0.0063948166,0.92281824,0.0030769887,0.0032643634
S0803,0.00532526,0.00087472063,0.95224965,0.0036145085,0.00048504578,0.0037109656,0.9953343,0.0014155693,0.0017233668,0.0006574863
S0804,0.004392981,0.0015855032,0.009507557,0.0395502,0.00048504578,0.0023528512,0.0034828002,0.007849833,0.89881897,0.0013547976
S0805,0.003920039,0.007707345,0.0018687664,0.017163303,0.00048504578,0.9695039,0.026570627,0.0009586598,0.015504856,0.03651727
S0806,0.00074889883,0.0015905519,0.9473004,0.03151907,0.00048504578,0.013700974,0.9034964,0.001316119,0.0025133588,0.0005804659
S0807,0.0036726347,0.0011310412,0.9935688,0.0033998583,0.00048504578,0.001630798,0.97045106,0.0013364422,0.006678411,0.0006896924
S0808,0.0053698835,0.0027188007,0.0052573225,0.004602338,0.0014442861,0.004863031,0.0016852177,0.006097305,0.9927094,0.0031280008
