sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.004306187,0.008167837,0.0063631725,0.0074234596,0.00060526666,0.00516816,0.024529602,0.20988362,0.003924055,0.0032803877
S0767,0.029730802,0.003613252,0.002142724,0.011348755,0.00060526666,0.011274002,0.1643357,0.350005,0.029396424,0.0008848331
S0768,0.82407606,0.5227126,0.0010554242,0.107660644,0.0023102302,0.010898359,0.50406814,0.58280945,0.28157014,0.00207983
S0769,0.002817571,0.0029382885,0.30271864,0.09575871,0.00063460396,0.8650915,0.015638804,0.001896873,0.70030445,0.002830296
S0770,0.003698577,0.0017185989,0.045407135,0.1653928,0.00063460396,0.99437666,0.959889,0.00095442747,0.0015857129,0.00092932914
S0771,0.07479711,0.0049217306,0.0034167366,0.115833804,0.0021143064,0.12478297,0.13854483,0.12766048,0.045242276,0.0037637542
S0772,0.00516954,0.00082471827,0.13083574,0.010229388,0.00060526666,0.14382568,0.42058447,0.000849104,0.0016380473,0.0024744067
S0773,0.0028811002,0.008629508,0.078474715,0.09226065,0.0021143064,0.037985653,0.032773443,0.008337316,0.0022465428,0.0034842254
S0774,0.34694114,0.0027611034,0.011687986,0.014108691,0.00060526666,0.006676653,0.13964571,0.4764593,0.018596588,0.0013597226
S0775,0.0050728577,0.0011567357,0.01887671,0.010880147,0.00060526666,0.0040780334,0.9753572,0.0022819117,0.018687481,0.0011637283
S0776,0.058219615,0.0053595505,0.71544266,0.05866977,0.00060526666,0.010573746,0.037670366,0.005810038,0.008528257,0.001123153
S0777,0.0023944632,0.0065791137,0.5926447,0.039884124,0.0018534616,0.0040327725,0.05286058,0.055642363,0.018746149,0.012520749
S0778,0.6411734,0.56809175,0.004715806,0.17449035,0.00060526666,0.06595943,0.41434693,0.09205486,0.1344599,0.008222527
S0779,0.07859078,0.049127936,0.289014,0.20438337,0.00063460396,0.036499158,0.8763723,0.030212937,0.62200475,0.0052554547
S0780,0.020077206,0.0017056323,0.0434062,0.0044352724,0.00060526666,0.98994046,0.099504836,0.002131074,0.013015582,0.00097307406
S0781,0.024136037,0.042208105,0.021388555,0.09568401,0.00060526666,0.15979171,0.15211801,0.008392437,0.14543821,0.00427057
S0782,0.026152194,0.0020677447,0.0067437147,0.008479292,0.0021351024,0.059387993,0.36892134,0.029846536,0.0056363577,0.012998596
S0783,0.4735474,0.05208016,0.007835441,0.15574703,0.0013838804,0.31948626,0.9308878,0.111874625,0.12322235,0.0074677547
S0784,0.54461706,0.0026945085,0.003354389,0.018605875,0.00060526666,0.010228114,0.005660367,0.032573722,0.011035552,0.0074042934
S0785,0.022490218,0.012935893,0.025983445,0.016281247,0.00060526666,0.014538312,0.024612056,0.019258693,0.46955913,0.36444065
S0786,0.0010767694,0.0016887793,0.10919245,0.9007155,0.00063460396,0.74503857,0.9883513,0.0019701987,0.0014133649,0.001298776
S0787,0.020141996,0.0020538159,0.21957603,0.01880048,0.00060526666,0.14197509,0.9760224,0.0048770257,0.0018773084,0.0010243084
S0788,0.94016486,0.806758,0.0033739978,0.65112936,0.00060526666,0.31980696,0.97711825,0.9892461,0.73891044,0.0032481332
S0789,0.05350582,0.012729371,0.009366238,0.114465415,0.0013102912,0.3437207,0.67365855,0.24602534,0.014132642,0.002876918
S0790,0.007951238,0.0014919632,0.023964897,0.0075742123,0.00060526666,0.004488525,0.9937402,0.001837061,0.0010454401,0.0010139163
S0791,0.0045980564,0.0017287617,0.006120649,0.6682247,0.0024220068,0.9102485,0.8078665,0.002979841,0.006797889,0.0016252619
S0792,0.0036199223,0.005826657,0.3883596,0.009505487,0.00060526666,0.0044732294,0.12905872,0.004068238,0.0040928675,0.001896271
S0793,0.011816438,0.020031035,0.002015091,0.027966019,0.0032651254,0.010263481,0.0112110935,0.119683325,0.0121401,0.0041619157
S0794,0.0031343696,0.0017927865,0.00348607,0.8381354,0.0015216259,0.0010677207,0.051055547,0.048319247,0.0026776039,0.0018209005
S0795,0.006850717,0.00490633,0.0025281252,0.009859948,0.0013838804,0.020986728,0.9675106,0.0031214445,0.004473489,0.001194148
S0796,0.0024828897,0.00088541507,0.045420993,0.047437247,0.00060526666,0.009359422,0.8630577,0.0009094194,0.0019924946,0.0016356808
S0797,0.007189519,0.002393313,0.06532346,0.007296693,0.00060526666,0.0020295505,0.020155746,0.008406981,0.99123174,0.0038762912
S0798,0.006967542,0.0072349557,0.001481491,0.0031704833,0.7232953,0.013201759,0.010271796,0.005807582,0.0034528542,0.004843945
