sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.003963106,0.0036754066,0.0024196496,0.007640026,0.00061873463,0.004789304,0.020289807,0.26379433,0.008302526,0.002746778
S0767,0.05075685,0.0036315827,0.0025621683,0.010520932,0.00061873463,0.0069537982,0.16533884,0.23089609,0.029019758,0.000808686
S0768,0.53178984,0.2663469,0.0011805216,0.08930289,0.0021785735,0.0070283487,0.6405905,0.3126009,0.22844549,0.0022357255
S0769,0.0033904086,0.0012420169,0.074981764,0.074170575,0.0006487219,0.63044494,0.020172771,0.001329227,0.7750313,0.0037363344
S0770,0.0019024985,0.0017741245,0.048218995,0.13948955,0.0006487219,0.98486567,0.97221226,0.0013852873,0.001421688,0.00097568275
S0771,0.07647697,0.036680907,0.006139692,0.10828294,0.0022278014,0.13410307,0.038734794,0.3317925,0.037782088,0.0037717458
S0772,0.0017138149,0.00073985354,0.1971358,0.010347159,0.00061873463,0.11016384,0.5061415,0.0016546508,0.0013808471,0.0024302688
S0773,0.0181026,0.014862357,0.14708671,0.14106049,0.0022278014,0.04067335,0.03271459,0.07979849,0.0025696529,0.0032927399
S0774,0.5829994,0.0021161514,0.005336661,0.010611341,0.00061873463,0.01052201,0.101901606,0.16551258,0.027149804,0.0013866865
S0775,0.023288747,0.0019500063,0.0077932356,0.009696678,0.00061873463,0.0038928825,0.9728704,0.002873681,0.020782238,0.0011292665
S0776,0.009366892,0.02743857,0.95606685,0.049607825,0.00061873463,0.0061365888,0.05298738,0.007674665,0.010084997,0.0008042798
S0777,0.003032273,0.008712068,0.81748295,0.036706775,0.0019805564,0.004663615,0.03283479,0.020161275,0.031584483,0.0116416095
S0778,0.31937554,0.19729458,0.003279772,0.23648523,0.00061873463,0.061113063,0.47528258,0.23715396,0.23868996,0.0078016613
S0779,0.020782072,0.09376667,0.13303322,0.17195374,0.0006487219,0.047039162,0.9300002,0.013113445,0.7600433,0.0054590856
S0780,0.018218208,0.0028879025,0.07149331,0.0074297367,0.00061873463,0.98572356,0.087033436,0.0040540914,0.013238004,0.001003087
S0781,0.008002808,0.0031844568,0.010574633,0.10485966,0.00061873463,0.15198,0.108359225,0.035868704,0.10524013,0.0033986804
S0782,0.024662584,0.005354746,0.0058831233,0.013755944,0.0019805564,0.009278348,0.49672115,0.043449383,0.0055116415,0.010224769
S0783,0.7149558,0.055395037,0.0239031,0.1597692,0.0014203258,0.391159,0.9280401,0.014832589,0.22155112,0.009033102
S0784,0.23533307,0.004053741,0.0035435676,0.012480605,0.00061873463,0.012353919,0.006233403,0.23989993,0.013273976,0.006632295
S0785,0.032088686,0.02744157,0.06297168,0.025583662,0.00061873463,0.03039792,0.05747765,0.21837926,0.39416143,0.5784798
S0786,0.0014715266,0.0033963765,0.11340477,0.9246542,0.0006487219,0.55776703,0.989218,0.01127153,0.0013844003,0.0010971632
S0787,0.02149993,0.0011620839,0.4541074,0.019349346,0.00061873463,0.102932215,0.98097205,0.010341097,0.0011562835,0.0011431272
S0788,0.6437212,0.37469223,0.002469485,0.61106014,0.00061873463,0.61047506,0.9739387,0.98043835,0.82520765,0.002612132
S0789,0.083478525,0.0068718405,0.003535226,0.12567528,0.0014203258,0.34159204,0.61294615,0.6173643,0.010415939,0.0033053616
S0790,0.004082905,0.0019518592,0.024263332,0.0070919883,0.00061873463,0.0024752344,0.9818444,0.002220953,0.00093953253,0.0011618498
S0791,0.017278204,0.0024954148,0.02586497,0.74424326,0.0022839862,0.8525287,0.8617124,0.031724855,0.003994279,0.0016136704
S0792,0.0072807465,0.016475776,0.2337141,0.01451251,0.00061873463,0.0035687129,0.20492415,0.010091278,0.0037740364,0.0017537469
S0793,0.0058958624,0.024042858,0.0014609764,0.0333433,0.0034401678,0.005992966,0.014570689,0.14878891,0.01092362,0.0035784317
S0794,0.001662234,0.001328801,0.0024202506,0.87513167,0.0015616876,0.0013144835,0.069265,0.086140685,0.0033681502,0.0019546035
S0795,0.01013873,0.015674945,0.0015782665,0.008260387,0.0014203258,0.011519969,0.98031074,0.0033221531,0.003133738,0.0011401888
S0796,0.0043100547,0.0014199323,0.03145367,0.059609815,0.00061873463,0.013072285,0.8850993,0.0014181539,0.0016981029,0.0015068041
S0797,0.006212784,0.0057403916,0.14135584,0.0060712895,0.00061873463,0.0030040774,0.0061260466,0.0075790053,0.9866736,0.0044867126
S0798,0.008714634,0.0061238897,0.0011624619,0.0050152717,0.74895644,0.018442212,0.023457518,0.010810058,0.002011098,0.0044657295
S0799,0.0032317995,0.0062651923,0.05131964,0.06902798,0.0019805564,0.0077547263,0.06882215,0.02078063,0.02202555,0.012371392
S0800,0.0090967,0.0016868961,0.0035935412,0.1589906,0.00061873463,0.995378,0.18786843,0.0034586296,0.0022130758,0.00091609376
S0801,0.0021003985,0.003371329,0.28044343,0.93815565,0.0006487219,0.41686347,0.994928,0.012272113,0.003393676,0.0010235723
S0802,0.0015181929,0.001328801,0.0027076965,0.0509557,0.0015616876,0.0011763374,0.08045682,0.504177,0.030604813,0.0015290945
S0803,0.006224312,0.0011534145,0.18127856,0.06702741,0.00061873463,0.0015116286,0.88227266,0.0011454833,0.00410013,0.0015149097
S0804,0.11551429,0.0024489115,0.007542075,0.26037082,0.00061873463,0.012680497,0.027689397,0.033453137,0.11765351,0.0011166491
S0805,0.0040896134,0.005665635,0.0071913567,0.49643114,0.0006487219,0.77673334,0.111590125,0.0025637543,0.40020704,0.009950788
S0806,0.0077223033,0.006231262,0.063061185,0.16796821,0.0006487219,0.7054377,0.15352382,0.0027115315,0.003709108,0.0011780901
