sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.0035278024,0.005299554,0.004998427,0.010266025,0.00044528756,0.005812986,0.024080904,0.08020018,0.006613751,0.002583718
S0767,0.02235368,0.0041787582,0.001406454,0.010613549,0.00044528756,0.0068621784,0.05511846,0.07645378,0.008175427,0.0008973924
S0768,0.93956864,0.052074164,0.0009539888,0.049447984,0.0013906069,0.010003686,0.87997174,0.9294997,0.024005493,0.0018255432
S0769,0.0019387584,0.0011251437,0.03248582,0.018295432,0.00044528756,0.97032017,0.014794656,0.0013026703,0.9582786,0.0037263366
S0770,0.002097559,0.0010898863,0.019908816,0.8440209,0.000599904,0.980601,0.9752646,0.00094471045,0.0012094906,0.0005905421
S0771,0.0150130205,0.013313505,0.0024686556,0.06786768,0.0015529454,0.06349467,0.04282548,0.055470638,0.013190924,0.004549641
S0772,0.0046783886,0.0006768771,0.039342694,0.0182425,0.00047201998,0.016079864,0.9387395,0.0008710116,0.0018224057,0.00091560854
S0773,0.0051168986,0.004537245,0.0229648,0.12631907,0.0015529454,0.025795668,0.03492444,0.008057658,0.004396323,0.0015426083
S0774,0.9218518,0.0022094871,0.009563409,0.0093323905,0.00044528756,0.0035667822,0.025860433,0.04249122,0.0054687355,0.0010990703
S0775,0.007784203,0.001270706,0.010291016,0.024287615,0.000521223,0.0027368588,0.96688575,0.0021038614,0.01020167,0.0006718183
S0776,0.009902079,0.01077327,0.9686572,0.025373109,0.00044528756,0.0075737317,0.034996513,0.0071476265,0.0072639366,0.0009892823
S0777,0.0016743842,0.0050156973,0.94401777,0.050246324,0.0014188666,0.0034751494,0.07601626,0.013245544,0.006781727,0.009070303
S0778,0.9554255,0.9443249,0.004343809,0.90273905,0.00044528756,0.9206998,0.8866454,0.8871888,0.94249064,0.0026363602
S0779,0.006697696,0.013762906,0.011310245,0.04112625,0.0005125116,0.01407163,0.044587336,0.002067246,0.9741347,0.0043331455
S0780,0.019677434,0.0009331177,0.026182886,0.0046184,0.0005125116,0.99559915,0.77941316,0.0016356783,0.00795931,0.0007630138
S0781,0.012360106,0.01172687,0.009571972,0.035464305,0.00044528756,0.028182736,0.011813043,0.006923517,0.026506491,0.0022066045
