sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.0038054197,0.005458511,0.004079271,0.010531794,0.00044024875,0.0058506564,0.029065218,0.08020018,0.0068645678,0.002583718
S0767,0.018458057,0.0034256948,0.0011734427,0.0082244715,0.00044024875,0.008763732,0.053838592,0.07645378,0.0076628793,0.0008973924
S0768,0.93430823,0.06507251,0.000978097,0.054903492,0.0016727566,0.0072830315,0.92670685,0.9294997,0.040113054,0.0018255432
S0769,0.001840631,0.0011380076,0.037527144,0.017106198,0.00044024875,0.9610756,0.010677193,0.0013026703,0.9714783,0.0037263366
S0770,0.0022390063,0.0011543895,0.015633358,0.8657579,0.0008686768,0.98076564,0.9743716,0.00094471045,0.0012203947,0.0005905421
S0771,0.022952393,0.010453872,0.0025627534,0.073348165,0.0015302809,0.06436468,0.032123722,0.055470638,0.008373185,0.004549641
S0772,0.002395467,0.0006377298,0.037395775,0.018286869,0.0006321257,0.015194428,0.9429084,0.0008710116,0.0012617637,0.00091560854
S0773,0.005969741,0.0042278217,0.02545722,0.12116813,0.0015302809,0.033095963,0.022479592,0.008057658,0.0036493505,0.0015426083
S0774,0.9203117,0.0016774102,0.014606354,0.007943452,0.00044024875,0.0033679744,0.027079187,0.04249122,0.0078286305,0.0010990703
S0775,0.004529438,0.0009527417,0.011360016,0.022613255,0.0008686768,0.002594716,0.97738695,0.0021038614,0.011985372,0.0006718183
S0776,0.011438649,0.011252075,0.9725867,0.02728626,0.00044024875,0.005143133,0.037454896,0.0071476265,0.008598597,0.0009892823
S0777,0.0016768099,0.005374997,0.95588195,0.04449236,0.0013990152,0.004442829,0.05011233,0.013245544,0.006629518,0.009070303
S0778,0.95812994,0.9426444,0.003367214,0.8606017,0.00044024875,0.92001563,0.9188507,0.8871888,0.9471325,0.0026363602
S0779,0.0070729116,0.013318829,0.010999878,0.026191495,0.00044024875,0.013536828,0.03557933,0.002067246,0.9699112,0.0043331455
S0780,0.013119931,0.0007700862,0.021733146,0.0042541767,0.00044024875,0.99456304,0.8394483,0.0016356783,0.0074235504,0.0007630138
S0781,0.020468047,0.013219519,0.006264243,0.03477833,0.00044024875,0.033745453,0.008471458,0.006923517,0.032271143,0.0022066045
S0782,0.84651464,0.0039978432,0.024838598,0.009571412,0.0013990152,0.01939177,0.06824893,0.027553324,0.0073718354,0.0058103
S0783,0.018837241,0.012648598,0.015290537,0.028414488,0.00044024875,0.9610755,0.18022709,0.03647744,0.9207184,0.0051119076
S0784,0.031575404,0.0018381639,0.0029723705,0.011668326,0.00044024875,0.0038529306,0.010149148,0.78936654,0.0061126305,0.005415371
S0785,0.8839978,0.004401638,0.00916546,0.74477524,0.00044024875,0.0058565866,0.78248847,0.83446467,0.9350633,0.9377908
S0786,0.00077084394,0.001281264,0.043332152,0.96624994,0.0006321257,0.9500818,0.9884294,0.0016811034,0.0009801792,0.000893352
S0787,0.0069603436,0.0015848639,0.91291183,0.023504335,0.00044024875,0.039776307,0.98557013,0.006971737,0.00094406714,0.0011436216
S0788,0.9688131,0.9802033,0.0012664088,0.95301276,0.00044024875,0.9579558,0.9758448,0.99280906,0.9666041,0.001747473
S0789,0.043243207,0.014765728,0.0068512913,0.01929867,0.00044024875,0.014276235,0.15749407,0.9077198,0.0074706143,0.0017803827
S0790,0.006204623,0.0009128133,0.0058104075,0.0065850937,0.0006321257,0.001561483,0.9872196,0.0011218169,0.0010278975,0.00082165824
S0791,0.002146171,0.0019594317,0.0043511298,0.89058584,0.0025869543,0.9712218,0.93396914,0.003535125,0.0031396453,0.0013308072
S0792,0.005951611,0.0043684007,0.92863786,0.01209013,0.0008686768,0.004234142,0.031803206,0.0041544307,0.008092685,0.0031549598
S0793,0.011223677,0.021324182,0.0027074842,0.013582093,0.0015302809,0.0062822886,0.0067682154,0.022007609,0.0025494788,0.0023682185
S0794,0.0016778654,0.0015481905,0.003352671,0.94869125,0.001090124,0.0009012775,0.014033364,0.03563156,0.0029464513,0.00316044
S0795,0.005715427,0.014809244,0.0017523475,0.015898034,0.00044024875,0.014366845,0.9796423,0.003501871,0.0036689462,0.0013003988
S0796,0.003442408,0.00060431875,0.028793711,0.017424809,0.0006321257,0.0038306764,0.9611572,0.0010850478,0.0036450087,0.00061767496
S0797,0.007093751,0.0022718874,0.009783165,0.003848369,0.00044024875,0.0016583232,0.0068712574,0.0046898997,0.9925453,0.005593775
