sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.004105893,0.006394656,0.010048142,0.0029178897,0.00063470047,0.008277655,0.0041791135,0.1715937,0.0025058852,0.016645836
S0767,0.01888687,0.0066068997,0.0017431763,0.0098979,0.00063470047,0.015255261,0.21029754,0.20025411,0.009774849,0.0007084376
S0768,0.8588757,0.62086767,0.00093385775,0.049730573,0.0013604271,0.01662196,0.19232295,0.7033793,0.022778725,0.0009118033
S0769,0.0054178378,0.0044203587,0.052861046,0.060659964,0.00063470047,0.918242,0.40699595,0.0043891305,0.8304498,0.0012820776
S0770,0.0040298244,0.0050470945,0.016367996,0.07924624,0.0007106233,0.98523825,0.7913805,0.0012716758,0.0017107544,0.0007964024
S0771,0.020727826,0.007281573,0.0033267727,0.017741583,0.0013049173,0.009722464,0.015182339,0.37646317,0.008992195,0.00072121836
S0772,0.0035916446,0.0050977957,0.07013476,0.051241066,0.00063470047,0.027240476,0.759348,0.0023194288,0.0035539186,0.0011303993
S0773,0.003020118,0.019982928,0.120989926,0.06488537,0.0013049173,0.016731339,0.03278297,0.015649818,0.0028722973,0.0020313775
S0774,0.038374666,0.002080642,0.0016800129,0.0044155037,0.00063470047,0.0062885224,0.12865105,0.21068405,0.0033275636,0.0011664296
S0775,0.0023569076,0.005348147,0.0030969959,0.015306382,0.00063470047,0.0063635255,0.90981174,0.0024980616,0.015619254,0.0020932585
S0776,0.016412452,0.0019593132,0.92196494,0.026840147,0.00102548,0.023490937,0.0070717996,0.005986921,0.0033105467,0.0014744849
S0777,0.007321645,0.0040027793,0.8983212,0.0067572966,0.0017075854,0.007702543,0.0056290906,0.022856578,0.0025004644,0.0024467143
S0778,0.11753642,0.109314196,0.0033081009,0.1300761,0.0006720626,0.23827901,0.032753874,0.082952365,0.47081083,0.0050259978
S0779,0.031302925,0.018211335,0.09751444,0.26591554,0.027324442,0.11401392,0.010630557,0.0018248787,0.6418177,0.04465927
S0780,0.009872278,0.0017474015,0.011197158,0.008532919,0.0006720626,0.99600285,0.42261007,0.0013553402,0.019993013,0.0017515544
S0781,0.02369615,0.011917217,0.0013231913,0.03784506,0.00063470047,0.013313529,0.013570892,0.045163322,0.029184721,0.0013047608
S0782,0.15552098,0.0031284764,0.0035493607,0.025417976,0.0029924717,0.046513427,0.06416159,0.021721339,0.021026086,0.0075048003
S0783,0.66573066,0.02017653,0.005593833,0.057637107,0.0016290272,0.06936621,0.076265395,0.035040278,0.1857672,0.0024718728
S0784,0.13535921,0.006350875,0.001900352,0.0038419014,0.00063470047,0.007208225,0.027725862,0.045086436,0.0029089747,0.004981107
S0785,0.0848426,0.0139311645,0.0011323948,0.019594854,0.00063470047,0.0041627875,0.013553361,0.007928365,0.34824848,0.27039725
S0786,0.002437237,0.0033230293,0.24435262,0.95287097,0.00063470047,0.84904903,0.9901002,0.0069340924,0.0008572951,0.0008672117
S0787,0.006243235,0.0017473307,0.11625315,0.32745183,0.0030821783,0.14154905,0.9889815,0.0027398695,0.0016160682,0.0024624097
S0788,0.9649895,0.098082826,0.00112508,0.07767648,0.00063470047,0.17640568,0.47664234,0.9078688,0.4542266,0.00440707
S0789,0.026395755,0.1911843,0.0024055715,0.2284722,0.00082623714,0.03583981,0.2690141,0.9092782,0.09183474,0.010084092
S0790,0.003690182,0.004092788,0.015147372,0.015004759,0.00063470047,0.0050562406,0.991267,0.0017839277,0.001728263,0.0015794722
