sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.0041812174,0.006394656,0.0071804062,0.0036214169,0.00060843537,0.004482919,0.0049912487,0.078888215,0.0025058852,0.0036655872
S0767,0.057267223,0.0066068997,0.0012850778,0.020408807,0.00060843537,0.025276778,0.2533007,0.2209951,0.009774849,0.00087741687
S0768,0.8571632,0.62086767,0.0007583361,0.034420382,0.001731969,0.03436739,0.17355566,0.61217445,0.022778725,0.0007416889
S0769,0.005810449,0.0044203587,0.05192983,0.06255246,0.00060843537,0.8797164,0.08998591,0.0039183134,0.8304498,0.002126119
S0770,0.005246563,0.0050470945,0.008456959,0.1674631,0.0012056046,0.98390365,0.61223656,0.0029410224,0.0017107544,0.00066338904
S0771,0.17145479,0.007281573,0.0019790009,0.020237168,0.0012962661,0.0058415276,0.0199491,0.22003064,0.008992195,0.0011255763
S0772,0.005637101,0.0050977957,0.03819923,0.024368644,0.00060843537,0.02545256,0.70914316,0.0064204633,0.0035539186,0.0008246585
S0773,0.0039107236,0.019982928,0.04336931,0.015525678,0.0012962661,0.018811537,0.03851268,0.041899703,0.0028722973,0.0010963571
S0774,0.3537158,0.002080642,0.0020091066,0.0033864502,0.00060843537,0.004014125,0.09078843,0.13863276,0.0033275636,0.00084608706
S0775,0.0055703553,0.005348147,0.0016060759,0.021493249,0.00060843537,0.006704486,0.95231634,0.0050001345,0.015619254,0.001597079
S0776,0.0052308934,0.0019593132,0.9155722,0.040155333,0.00060843537,0.03512149,0.020920772,0.011024036,0.0033105467,0.0024422863
S0777,0.0045044417,0.0040027793,0.9350043,0.011279594,0.0026406317,0.006182337,0.014183143,0.050331976,0.0025004644,0.003213752
S0778,0.24430016,0.109314196,0.0024450785,0.3222166,0.0007670797,0.14108248,0.013633571,0.09388778,0.47081083,0.002242821
S0779,0.13124874,0.018211335,0.07518927,0.15634362,0.024873791,0.0746042,0.0095780855,0.0030789874,0.6418177,0.04489237
S0780,0.022748303,0.0017474015,0.021474011,0.008432631,0.0007670797,0.9954385,0.5466556,0.0028840222,0.019993013,0.0023240854
S0781,0.28480682,0.011917217,0.003737598,0.00694441,0.00060843537,0.01612153,0.020221993,0.09871604,0.029184721,0.0010380632
S0782,0.09884203,0.0031284764,0.0062471475,0.020469075,0.0020366984,0.05438383,0.06596837,0.029195432,0.021026086,0.016750725
