sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.0033041271,0.0024600658,0.011552796,0.0019870838,0.00040747618,0.003018271,0.0041594007,0.037352923,0.0022988478,0.0034613733
S0767,0.006844857,0.0052143075,0.0011284971,0.00765391,0.00040747618,0.011809141,0.01956004,0.04433635,0.010423944,0.0006718731
S0768,0.965225,0.03384058,0.00057037553,0.025807038,0.0010986537,0.01284966,0.9327344,0.96491873,0.012666464,0.0007699692
S0769,0.0031308895,0.0013223378,0.028043674,0.012841255,0.00040747618,0.9793575,0.013984493,0.0017021236,0.97954774,0.0012289574
S0770,0.0032354726,0.004469942,0.009282653,0.95586616,0.0005551121,0.9889255,0.9699304,0.0013417688,0.0010333871,0.00052913715
S0771,0.027217323,0.009101274,0.0027013163,0.009707092,0.0009367673,0.0066154273,0.018419433,0.021635732,0.0040347134,0.0006858197
S0772,0.0021798853,0.0012378567,0.012115631,0.0041947262,0.00040747618,0.013708793,0.98245114,0.0025392817,0.0022449114,0.0025683187
S0773,0.0033790716,0.009768647,0.0141841965,0.02216027,0.0009367673,0.028254895,0.012359274,0.0070805172,0.0037760467,0.0011928998
S0774,0.9442187,0.0016685446,0.0011518889,0.005417804,0.00040747618,0.0017565733,0.02492432,0.025913034,0.0012709275,0.0006068528
S0775,0.0051952773,0.0020404418,0.002199078,0.007910049,0.00040747618,0.004973342,0.98551744,0.0034818933,0.019069297,0.0018727651
S0776,0.0052720406,0.0014329705,0.9703196,0.008792788,0.00047326207,0.006169957,0.006753771,0.0015810726,0.0014085552,0.0012637494
S0777,0.006350222,0.0031191276,0.96031886,0.0031378951,0.0026326342,0.004010878,0.0051299483,0.01491107,0.002205832,0.001411756
S0778,0.96819055,0.97258604,0.0021674682,0.9493924,0.000488547,0.9653064,0.95289356,0.96799076,0.9792327,0.0009599618
S0779,0.009810549,0.0041886475,0.014203338,0.035583667,0.002914095,0.0067984685,0.003785382,0.0020274373,0.9855278,0.0034870645
S0780,0.014572584,0.0013625395,0.0171779,0.0064671473,0.000488547,0.9953317,0.9654498,0.0026214137,0.012158751,0.00060577685
S0781,0.006181277,0.0049217753,0.0046358197,0.006675609,0.00040747618,0.010813387,0.0075545846,0.0033024598,0.013316843,0.0016217113
