sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.012185842,0.0048717153,0.009367706,0.009604439,0.0009842761,0.0066838507,0.013764324,0.10812541,0.007206983,0.0016286629
S0767,0.0043855063,0.007988539,0.02253306,0.0025990857,0.0009912679,0.002371719,0.010945826,0.05724837,0.004804465,0.002430255
S0768,0.3491026,0.8412075,0.000958348,0.029639857,0.000973343,0.01594665,0.067213826,0.21295476,0.024952374,0.0009198403
S0769,0.023457645,0.001950341,0.014256165,0.04040285,0.0005382544,0.32867965,0.32147372,0.0013537923,0.15976597,0.0021228793
S0770,0.0014544798,0.0055187945,0.027599318,0.48124182,0.0010891152,0.818201,0.9868016,0.027314324,0.0082290545,0.0023972827
S0771,0.0032787214,0.0014973668,0.18696535,0.0032938668,0.0008276035,0.0022901422,0.0062370906,0.11172936,0.02501846,0.0013233753
S0772,0.025989477,0.0018427497,0.015912214,0.12586665,0.00059588824,0.006576814,0.97278047,0.002027721,0.026801936,0.0007887765
S0773,0.042231113,0.21463968,0.08389345,0.185081,0.001526787,0.080264166,0.2361244,0.09048772,0.100452304,0.016283052
S0774,0.024001025,0.0057595666,0.022531405,0.022541542,0.00069333083,0.015806792,0.023986682,0.07855125,0.04223697,0.0010420961
S0775,0.031438444,0.011527269,0.0020020753,0.016276874,0.000775653,0.043571033,0.88389,0.019125955,0.016939066,0.0010244556
S0776,0.020234307,0.0019859674,0.79061556,0.013267931,0.0007843038,0.007398453,0.023131339,0.0011759318,0.0030589465,0.0013282734
S0777,0.015446197,0.021871354,0.03803259,0.027548578,0.0013306672,0.010391747,0.017951284,0.034810614,0.0060663912,0.0032191162
S0778,0.4530856,0.84253466,0.010797344,0.0756535,0.0007188658,0.56164986,0.31206036,0.621532,0.7075986,0.0014673553
S0779,0.047153834,0.04595079,0.11271273,0.041316207,0.28854054,0.07696675,0.018798511,0.030955758,0.14558396,0.038217813
S0780,0.37377012,0.050148454,0.0046821004,0.015972741,0.007365658,0.9892425,0.36371553,0.0071705645,0.040306512,0.0014283471
