sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.011109889,0.0066321283,0.019282218,0.010444563,0.0012041442,0.0066838507,0.016729338,0.10812541,0.007206983,0.0013631864
S0767,0.0045197434,0.0059102955,0.3904317,0.0026659742,0.0010868214,0.002371719,0.018483905,0.05724837,0.004804465,0.0023102576
S0768,0.4727957,0.89310056,0.003330511,0.02085737,0.0010915903,0.01594665,0.06687965,0.21295476,0.024952374,0.0007950861
S0769,0.040143013,0.002589198,0.1414646,0.030712184,0.0025376447,0.32867965,0.3153392,0.0013537923,0.15976597,0.0017685858
S0770,0.002090789,0.004255696,0.0037371705,0.4007316,0.013530195,0.818201,0.9880238,0.027314324,0.0082290545,0.0018439885
S0771,0.003893611,0.0017385762,0.046187315,0.0043535433,0.0006931,0.0022901422,0.0076135183,0.11172936,0.02501846,0.0012738511
S0772,0.019339673,0.0020447331,0.007205772,0.123966224,0.006845369,0.006576814,0.96266824,0.002027721,0.026801936,0.000674843
S0773,0.04233249,0.21813068,0.046226714,0.17971809,0.0012041442,0.080264166,0.21902613,0.09048772,0.100452304,0.016405826
S0774,0.032674022,0.007983091,0.031059304,0.010198301,0.0010868214,0.015806792,0.008272301,0.07855125,0.04223697,0.0009738119
S0775,0.036132235,0.0103551205,0.0034373605,0.020340504,0.0009014742,0.043571033,0.86311024,0.019125955,0.016939066,0.0009275268
S0776,0.018816458,0.0017818883,0.40035772,0.012149636,0.001298557,0.007398453,0.021118252,0.0011759318,0.0030589465,0.0009009431
S0777,0.016720649,0.021035932,0.17275903,0.018846668,0.0012041442,0.010391747,0.0151508935,0.034810614,0.0060663912,0.0027731697
S0778,0.43985093,0.86598206,0.14087172,0.19152024,0.0012041442,0.56164986,0.29976723,0.621532,0.7075986,0.0014222838
S0779,0.05754277,0.050125495,0.13754109,0.0859577,0.047780152,0.07696675,0.024481744,0.030955758,0.14558396,0.052121144
S0780,0.5356181,0.084490344,0.004110486,0.019359663,0.007851055,0.9892425,0.5007802,0.0071705645,0.040306512,0.0013386378
S0781,0.013916741,0.018734062,0.012582645,0.010500594,0.0012041442,0.005447293,0.00899319,0.11379751,0.033243522,0.0026233203
S0782,0.0064876946,0.0016553978,0.014080721,0.005785746,0.005109551,0.025888298,0.15336584,0.0023584957,0.014503238,0.026812976
S0783,0.006696599,0.022217669,0.01608747,0.25681752,0.0025390547,0.070985965,0.1032115,0.005339365,0.2550945,0.0019322535
