sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.012714134,0.001851788,0.015573643,0.0094494475,0.00076538493,0.010184453,0.026308846,0.10938709,0.008765132,0.00092045794
S0767,0.004988271,0.005720339,0.0094353,0.0031464414,0.00078559,0.0014105365,0.020035313,0.1200693,0.0050071757,0.0018117358
S0768,0.9504093,0.12814566,0.0027948443,0.049150907,0.0006584564,0.0062247016,0.8359272,0.9091631,0.079231,0.00068518176
S0769,0.010807922,0.004763957,0.0038838307,0.009803566,0.00046433587,0.95967627,0.03915902,0.0012725785,0.9244168,0.0005673
S0770,0.001626481,0.002611661,0.014312147,0.93829095,0.0010832234,0.9680598,0.99141055,0.0077767856,0.0059132436,0.0020022867
S0771,0.010774947,0.0019936468,0.024452573,0.005127415,0.00058032235,0.0018119799,0.0046364362,0.026426513,0.010555762,0.0012841356
S0772,0.0060151485,0.0011943586,0.0033686836,0.013848884,0.0004200307,0.006894909,0.9815181,0.0010931357,0.010149494,0.0008169802
S0773,0.036624517,0.20735528,0.061182726,0.15997332,0.001093881,0.08698308,0.16457774,0.059339114,0.08539197,0.011488768
S0774,0.8130227,0.0062982584,0.0070179165,0.0049809436,0.00066146796,0.004797359,0.020063715,0.039017797,0.0137519855,0.0007139682
S0775,0.024765247,0.0111612575,0.0019079972,0.010388947,0.00058098114,0.010401759,0.9629449,0.01703143,0.013460586,0.00071360794
S0776,0.018091148,0.0019696353,0.9674955,0.015750913,0.0006648622,0.0056047826,0.008279041,0.0027252198,0.0062573864,0.0010034575
S0777,0.035005152,0.008024932,0.7212865,0.03200426,0.00096762646,0.017573508,0.015535572,0.05773898,0.0104734395,0.002266138
S0778,0.9657817,0.9585938,0.00721699,0.93542916,0.0007836949,0.9465108,0.9032112,0.92095894,0.9323542,0.0008959319
S0779,0.018977748,0.009505473,0.009143134,0.01345944,0.02495883,0.02229383,0.005311074,0.007459627,0.96352273,0.011197121
S0780,0.04035036,0.01821828,0.002373438,0.008909379,0.0030300887,0.99482477,0.9675936,0.006142885,0.021725211,0.0022441405
S0781,0.023527367,0.008919014,0.0028180974,0.01885217,0.00064007565,0.0028341692,0.0036885361,0.041008066,0.023841111,0.0014630759
S0782,0.84346765,0.0032194806,0.0067106993,0.008715808,0.0010699253,0.008804898,0.03262233,0.00097632344,0.0060599395,0.0041181915
S0783,0.0035291486,0.004508532,0.015618286,0.04157592,0.0007251052,0.9114581,0.028208705,0.0033274717,0.9331465,0.005947516
S0784,0.02225769,0.0041695354,0.0112066595,0.0049980734,0.0014279846,0.0013464483,0.0062809195,0.83387256,0.01101461,0.0015629543
S0785,0.7078534,0.005305087,0.011202375,0.78919,0.00070974004,0.0035983096,0.8056892,0.7891315,0.80334353,0.82134527
S0786,0.0013855913,0.0020335237,0.016385056,0.94760215,0.0007197723,0.96434826,0.98796254,0.0012357009,0.0030833564,0.0008895692
S0787,0.0053262603,0.00090045785,0.9536382,0.041486897,0.00087601424,0.019308696,0.98613214,0.0007363384,0.008391862,0.001049731
S0788,0.8993073,0.93506664,0.018899107,0.926601,0.0009115579,0.96380323,0.9598703,0.858951,0.9688931,0.012575591
S0789,0.0053427997,0.0044317786,0.027938752,0.0062492047,0.0012183134,0.0049189897,0.01527287,0.9082091,0.0093095945,0.018656777
S0790,0.009592299,0.0024797241,0.0050027473,0.010966081,0.00056994864,0.006472986,0.9823433,0.005932101,0.004384447,0.00049265195
S0791,0.0055936896,0.0027196375,0.035950553,0.9421371,0.002059896,0.9239143,0.9520475,0.001124788,0.0054597873,0.00048004434
S0792,0.001509249,0.00684687,0.92341477,0.011360681,0.00067893416,0.007221563,0.03433145,0.006207796,0.022256153,0.0025998903
S0793,0.0042911083,0.009952413,0.020329913,0.00664407,0.07115478,0.0040419265,0.012905065,0.0013851369,0.0070229424,0.018449757
S0794,0.00436204,0.0064634746,0.0028863885,0.9044758,0.00080053625,0.0022946214,0.011337022,0.09107184,0.0068413536,0.0024306271
S0795,0.001456907,0.0019721303,0.0025405274,0.030662447,0.0033763044,0.026743988,0.992761,0.010531998,0.004833374,0.002104456
S0796,0.0016897644,0.0008397175,0.015071538,0.0040740403,0.00114476,0.017423175,0.96992123,0.0017952448,0.008304469,0.00094207545
S0797,0.0037752339,0.009571339,0.013396624,0.0060057733,0.001896171,0.026294181,0.011420529,0.012062369,0.984107,0.0014048972
S0798,0.024111807,0.007862839,0.004471435,0.0069769584,0.9849178,0.0045916424,0.023789367,0.041757498,0.031475626,0.0026738755
S0799,0.022991316,0.0077368524,0.04504355,0.0058395984,0.00062779477,0.0018758051,0.010026148,0.037859045,0.0086251935,0.0018864566
S0800,0.0032247321,0.001500177,0.015792504,0.9536739,0.0014256957,0.9873941,0.043150946,0.001988707,0.011618342,0.00080672646
S0801,0.0016115821,0.0027866235,0.94569683,0.9794922,0.007428225,0.060736734,0.98990226,0.0022822656,0.004402497,0.00121086
S0802,0.0071511874,0.010811843,0.0047900886,0.11275331,0.00087867974,0.0023303297,0.010824803,0.7441238,0.0062234006,0.003783234
S0803,0.0028818687,0.0010079829,0.8442247,0.0043950854,0.0011734097,0.010186764,0.9761318,0.0025673294,0.0065598353,0.0015240099
S0804,0.013500816,0.0049251528,0.004327837,0.030462496,0.0008672576,0.014405302,0.03820496,0.011502141,0.9338799,0.000701289
S0805,0.014429653,0.0042113424,0.018227093,0.031476732,0.00089212495,0.9364168,0.0695494,0.0066476148,0.0493036,0.011070442
S0806,0.009520034,0.00804997,0.9105297,0.032030784,0.0006049483,0.11128852,0.96626097,0.0043926826,0.020215949,0.0034843776
