sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.013272739,0.001851788,0.015573643,0.0094494475,0.00076538493,0.010184453,0.025148926,0.1059774,0.008858836,0.00092045794
S0767,0.0039805626,0.005720339,0.0094353,0.0031464414,0.00078559,0.0014105365,0.021031508,0.07052996,0.005885885,0.0018117358
S0768,0.96289176,0.12814566,0.0027948443,0.049150907,0.0006584564,0.0062247016,0.8407841,0.93713325,0.07041629,0.00068518176
S0769,0.009226368,0.004763957,0.0038838307,0.009803566,0.00046433587,0.95967627,0.033248886,0.0025053476,0.9171286,0.0005673
S0770,0.0016026641,0.002611661,0.014312147,0.93829095,0.0010832234,0.9680598,0.9893882,0.0126505345,0.0033297827,0.0020022867
S0771,0.009907653,0.0019936468,0.024452573,0.005127415,0.00058032235,0.0018119799,0.005896472,0.045918234,0.00947746,0.0012841356
S0772,0.0067228014,0.0011943586,0.0033686836,0.013848884,0.0004200307,0.006894909,0.9840943,0.0010370768,0.0072053354,0.0008169802
S0773,0.03985841,0.20735528,0.061182726,0.15997332,0.001093881,0.08698308,0.16311936,0.05519541,0.08436851,0.011488768
S0774,0.8405376,0.0062982584,0.0070179165,0.0049809436,0.00066146796,0.004797359,0.021452792,0.045962393,0.025326844,0.0007139682
S0775,0.034354616,0.0111612575,0.0019079972,0.010388947,0.00058098114,0.010401759,0.96211076,0.02069069,0.011209185,0.00071360794
S0776,0.015399567,0.0019696353,0.9674955,0.015750913,0.0006648622,0.0056047826,0.005328433,0.0024738184,0.012501797,0.0010034575
S0777,0.026735917,0.008024932,0.7212865,0.03200426,0.00096762646,0.017573508,0.014277195,0.04414231,0.010088453,0.002266138
S0778,0.9655867,0.9585938,0.00721699,0.93542916,0.0007836949,0.9465108,0.8980014,0.94793516,0.9302214,0.0008959319
S0779,0.023111776,0.009505473,0.009143134,0.01345944,0.02495883,0.02229383,0.0034572524,0.018418118,0.9709953,0.011197121
S0780,0.03845244,0.01821828,0.002373438,0.008909379,0.0030300887,0.99482477,0.94040626,0.006164655,0.018713439,0.0022441405
S0781,0.019672005,0.008919014,0.0028180974,0.01885217,0.00064007565,0.0028341692,0.0033893695,0.034214318,0.013723573,0.0014630759
S0782,0.82771146,0.0032194806,0.0067106993,0.008715808,0.0010699253,0.008804898,0.036178384,0.0010866045,0.0037538244,0.0041181915
S0783,0.0043979115,0.004508532,0.015618286,0.04157592,0.0007251052,0.9114581,0.026234817,0.0034953256,0.926247,0.005947516
S0784,0.025670463,0.0041695354,0.0112066595,0.0049980734,0.0014279846,0.0013464483,0.0050023156,0.8839503,0.011843847,0.0015629543
S0785,0.71071887,0.005305087,0.011202375,0.78919,0.00070974004,0.0035983096,0.82551765,0.7991577,0.79333586,0.82134527
S0786,0.0012239191,0.0020335237,0.016385056,0.94760215,0.0007197723,0.96434826,0.9773766,0.0016837639,0.0071602697,0.0008895692
S0787,0.0029046738,0.00090045785,0.9536382,0.041486897,0.00087601424,0.019308696,0.98006815,0.00095521205,0.0028923342,0.001049731
S0788,0.9353832,0.93506664,0.018899107,0.926601,0.0009115579,0.96380323,0.95904255,0.8407904,0.9576521,0.012575591
S0789,0.0036613403,0.0044317786,0.027938752,0.0062492047,0.0012183134,0.0049189897,0.014817921,0.88124436,0.007845442,0.018656777
S0790,0.0074401284,0.0024797241,0.0050027473,0.010966081,0.00056994864,0.006472986,0.97823495,0.0033616165,0.0040835836,0.00049265195
S0791,0.0052378406,0.0027196375,0.035950553,0.9421371,0.002059896,0.9239143,0.9643917,0.0012658553,0.0071904375,0.00048004434
S0792,0.0015798038,0.00684687,0.92341477,0.011360681,0.00067893416,0.007221563,0.03248068,0.0050527705,0.018180314,0.0025998903
S0793,0.0041916776,0.009952413,0.020329913,0.00664407,0.07115478,0.0040419265,0.0063360333,0.0010795004,0.0050970004,0.018449757
S0794,0.0034260286,0.0064634746,0.0028863885,0.9044758,0.00080053625,0.0022946214,0.01093215,0.09211131,0.0064943065,0.0024306271
S0795,0.0016582704,0.0019721303,0.0025405274,0.030662447,0.0033763044,0.026743988,0.99517006,0.0077127,0.004764798,0.002104456
S0796,0.001718559,0.0008397175,0.015071538,0.0040740403,0.00114476,0.017423175,0.9787159,0.0016813235,0.0039507193,0.00094207545
S0797,0.0037695894,0.009571339,0.013396624,0.0060057733,0.001896171,0.026294181,0.009997761,0.010574863,0.982129,0.0014048972
S0798,0.034189496,0.007862839,0.004471435,0.0069769584,0.9849178,0.0045916424,0.00847129,0.036971092,0.015088869,0.0026738755
S0799,0.020977095,0.0077368524,0.04504355,0.0058395984,0.00062779477,0.0018758051,0.011730208,0.027147029,0.0077425945,0.0018864566
S0800,0.0027244992,0.001500177,0.015792504,0.9536739,0.0014256957,0.9873941,0.04640963,0.0015224636,0.008072756,0.00080672646
S0801,0.0021092982,0.0027866235,0.94569683,0.9794922,0.007428225,0.060736734,0.9921582,0.0020752382,0.0058939345,0.00121086
S0802,0.004399846,0.010811843,0.0047900886,0.11275331,0.00087867974,0.0023303297,0.014243145,0.7595345,0.005162441,0.003783234
S0803,0.0021606742,0.0010079829,0.8442247,0.0043950854,0.0011734097,0.010186764,0.97699696,0.0022754148,0.005101251,0.0015240099
S0804,0.015748393,0.0049251528,0.004327837,0.030462496,0.0008672576,0.014405302,0.0385555,0.0064936415,0.9063757,0.000701289
S0805,0.009339196,0.0042113424,0.018227093,0.031476732,0.00089212495,0.9364168,0.06123175,0.011123874,0.03285689,0.011070442
S0806,0.017247465,0.00804997,0.9105297,0.032030784,0.0006049483,0.11128852,0.9357373,0.0022752644,0.02265935,0.0034843776
S0807,0.0039727795,0.0021387495,0.95221406,0.0027740954,0.0012296911,0.0057739005,0.9837481,0.0012018044,0.010220225,0.001209501
S0808,0.0010843937,0.00956354,0.0201844,0.010150198,0.0045877798,0.025119202,0.006198419,0.0036215493,0.96501976,0.0015237567
S0809,0.0030909819,0.004093756,0.009332557,0.031049024,0.0005650912,0.00279496,0.020353453,0.0066657006,0.01638673,0.0005834433
S0810,0.0017579333,0.009584611,0.006711329,0.008239892,0.9950761,0.0040455903,0.0034028857,0.0011709521,0.006945265,0.00475687
S0811,0.005483171,0.005119795,0.0024707199,0.006722015,0.0006931478,0.9944179,0.97851664,0.0013836768,0.0044851494,0.0005866558
S0812,0.0021391048,0.9848786,0.008285786,0.019681782,0.0011312331,0.009106582,0.014716696,0.0018406808,0.005677187,0.0012010491
