sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.0017386872,0.0049615433,0.010156893,0.008339473,0.00058412045,0.009786284,0.014379647,0.1078324,0.007879033,0.006399257
S0767,0.041888095,0.011107621,0.0024435518,0.0037266042,0.00058412045,0.003538431,0.009246955,0.5973764,0.014400475,0.002180463
S0768,0.4941752,0.043003928,0.0016473054,0.023107905,0.00058412045,0.0022888898,0.026686847,0.2131198,0.006722378,0.001304462
S0769,0.0047271913,0.0018038307,0.09645724,0.011747341,0.0010215562,0.98141325,0.02075237,0.0022589131,0.9196191,0.0025620123
S0770,0.0013464116,0.0017348487,0.0052141245,0.06645317,0.0015736396,0.990271,0.98269516,0.0017478041,0.0022908475,0.0012821503
S0771,0.19110134,0.18401517,0.00336783,0.19847646,0.00058412045,0.25051013,0.12713045,0.3724032,0.015719496,0.002175728
S0772,0.013704642,0.0010180188,0.028675,0.01458933,0.00061217207,0.0048793615,0.98443097,0.004665794,0.0024815577,0.00059334864
S0773,0.0026374615,0.005113894,0.023526179,0.037956398,0.002662738,0.03425421,0.020317689,0.011059819,0.0027375042,0.005154168
S0774,0.5455794,0.0022580193,0.0028645382,0.0064990455,0.00058412045,0.054280993,0.1767587,0.07018151,0.004745146,0.0013044091
S0775,0.024741633,0.0011425981,0.003313914,0.0048898794,0.00061217207,0.002194026,0.95655024,0.002902683,0.020701332,0.0027305072
S0776,0.012606512,0.0033749791,0.49149334,0.018914541,0.00058412045,0.015014467,0.032933954,0.010561416,0.07570677,0.0010191274
S0777,0.0028966363,0.005926949,0.82702374,0.1742302,0.0017550505,0.027399288,0.14467707,0.018277993,0.0050609466,0.0022148106
S0778,0.89498246,0.80332816,0.007855591,0.8189922,0.00058412045,0.6710281,0.37316003,0.5877501,0.9287439,0.0017421782
S0779,0.041645385,0.034451384,0.031116514,0.16071983,0.0014022933,0.04837673,0.005325015,0.23395662,0.28986496,0.010600894
S0780,0.0016827022,0.0025439758,0.0031266806,0.008261781,0.0010019729,0.9982146,0.34791285,0.0023934233,0.0028802578,0.0010109397
S0781,0.0033502865,0.0016294585,0.008492531,0.0024824112,0.00058412045,0.0019907362,0.018772766,0.0030463778,0.282496,0.0012021931
S0782,0.051515628,0.012659668,0.012762005,0.0040690266,0.00058412045,0.012443007,0.08430965,0.16101938,0.08678383,0.010016355
S0783,0.013162464,0.011909421,0.003995848,0.37485054,0.003799107,0.9805895,0.9329957,0.0031253388,0.005175741,0.0011466105
S0784,0.06489629,0.073658004,0.003918226,0.0046238173,0.00058412045,0.0066266013,0.0038888312,0.16849147,0.011492289,0.0077742655
S0785,0.053188782,0.021474218,0.0018922572,0.008866853,0.00058412045,0.017806951,0.037979435,0.023900913,0.5138731,0.29189605
S0786,0.00149532,0.0030103019,0.006888914,0.65222144,0.00088582933,0.98940897,0.9921061,0.0012941924,0.0015167559,0.00066223746
S0787,0.002653443,0.0021893887,0.4468503,0.19015548,0.00069167634,0.44889352,0.9813763,0.0060313726,0.0025488166,0.00059334864
S0788,0.98675936,0.9947738,0.0008626189,0.96957254,0.0006214177,0.9338921,0.9838981,0.9592132,0.9544982,0.005236456
S0789,0.01078144,0.0016371547,0.008633344,0.010094593,0.00058412045,0.0034027805,0.7224965,0.17118342,0.0011579831,0.0012021931
S0790,0.0029180895,0.0041441335,0.0013348598,0.001441137,0.00061217207,0.007283118,0.98696226,0.0011418881,0.0011142328,0.0011225187
S0791,0.0020490473,0.0020252273,0.6950631,0.40106276,0.0007518346,0.10574506,0.98129416,0.0030411268,0.0019425333,0.0006976264
S0792,0.004568167,0.00129605,0.7977779,0.25898322,0.0007518346,0.019525373,0.011475156,0.00221877,0.0015819451,0.002448886
S0793,0.010562936,0.65568554,0.0016786803,0.0056194207,0.0008717684,0.022240955,0.002818064,0.04719537,0.036077276,0.014859887
S0794,0.0031687387,0.0072178333,0.0017530166,0.62346566,0.0006214177,0.002691522,0.012977243,0.3666287,0.0036623825,0.0040275324
S0795,0.0027456942,0.0025637373,0.0015063401,0.0012339014,0.00058412045,0.007174409,0.96698284,0.0022086117,0.004769445,0.0052057193
S0796,0.0023833853,0.0013466489,0.4654945,0.0021469698,0.00061217207,0.004854164,0.9198472,0.0021349886,0.007838474,0.0011941065
S0797,0.025011273,0.0028628171,0.07671424,0.0087535065,0.00060913514,0.003117789,0.0068113143,0.00783959,0.7467217,0.021749603
S0798,0.006760863,0.027796196,0.0012853825,0.0067239664,0.9488615,0.0017999577,0.0015986528,0.0021006214,0.008066981,0.002513739
S0799,0.003854849,0.044063188,0.8670941,0.10448453,0.007967255,0.030980067,0.05301401,0.026030675,0.005670142,0.010192949
S0800,0.002219958,0.0012869248,0.0067077954,0.4691102,0.00074811064,0.99774617,0.028569728,0.0012251678,0.0042197015,0.0011087682
S0801,0.010774072,0.0014532731,0.8784614,0.987992,0.0011582099,0.04793796,0.99060094,0.002287713,0.002030529,0.0016785748
S0802,0.0034934245,0.006094523,0.0016741665,0.11508945,0.0006214177,0.002691522,0.11319298,0.067200586,0.001772496,0.07433174
S0803,0.0030688404,0.0017252736,0.14335974,0.003207175,0.0007518346,0.0014225155,0.9640465,0.0017041116,0.0031054502,0.0013492068
S0804,0.0053687706,0.002404207,0.02242666,0.106487095,0.00061217207,0.0031830193,0.0041454285,0.035238765,0.022290446,0.0008469526
S0805,0.006484336,0.023499275,0.0014233373,0.049191907,0.00058412045,0.8077673,0.41756082,0.002788234,0.014363192,0.3013198
S0806,0.0010743958,0.0023955922,0.5394627,0.60961634,0.0010705926,0.5138416,0.054752376,0.0020878152,0.0019443877,0.0008920298
S0807,0.0033187903,0.0010577948,0.7667181,0.0028038265,0.00075942883,0.0020163292,0.9731505,0.0013938625,0.005996978,0.0010987311
S0808,0.016299175,0.0037055465,0.007063196,0.0019416468,0.001029877,0.02461266,0.002455093,0.0070807114,0.9739838,0.016053647
S0809,0.0028188052,0.0028113185,0.021064615,0.016269255,0.0014239338,0.109415725,0.01669486,0.003356178,0.016567862,0.0048509403
