sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.012415626,0.4103695,0.050084542,0.039762232,0.0010882071,0.0128423,0.032367084,0.17702119,0.18420751,0.012676625
S0767,0.24216127,0.017476013,0.017640637,0.0231879,0.0010548045,0.017697006,0.009997728,0.07492629,0.5033735,0.002133174
S0768,0.07906141,0.0066271285,0.014044255,0.10956716,0.0008359365,0.006170928,0.029446118,0.07504412,0.1965835,0.0018121344
S0769,0.0051246574,0.009709008,0.03402369,0.12623432,0.0012899055,0.0054824273,0.019088885,0.062860265,0.1811048,0.0035910665
S0770,0.03583414,0.028676467,0.04085984,0.5402178,0.007655978,0.014880933,0.13719226,0.13254128,0.05342698,0.0054987785
S0771,0.060057566,0.08979667,0.04241047,0.15280567,0.0010281164,0.009999059,0.024217384,0.11175516,0.19009534,0.0017463904
S0772,0.011001838,0.02551029,0.41105258,0.3436999,0.0013098945,0.011533949,0.03380576,0.047439996,0.11681681,0.0041302377
S0773,0.015813256,0.012483696,0.057430338,0.060709067,0.0004906326,0.009191258,0.031192854,0.09704911,0.057467368,0.003456321
S0774,0.14448161,0.011759597,0.01302868,0.022169476,0.00059452414,0.004018419,0.019351827,0.04052277,0.06189558,0.0017121099
S0775,0.04979497,0.027420843,0.034548018,0.16612008,0.001500742,0.012387711,0.040501077,0.020899266,0.19190349,0.004071398
S0776,0.024116972,0.005647296,0.4806681,0.027064096,0.0006539009,0.020849241,0.008476975,0.02099151,0.35835665,0.0011980998
S0777,0.0067105372,0.009604539,0.52342916,0.02014277,0.0004906326,0.016691605,0.09183257,0.052954517,0.010480583,0.006204014
S0778,0.20872575,0.030827237,0.04056571,0.6426991,0.0010281164,0.023008937,0.024000837,0.19817525,0.4705734,0.0015720669
S0779,0.21009181,0.088741966,0.016227912,0.041702267,0.002511319,0.047596212,0.040852983,0.4199661,0.19646043,0.003253226
S0780,0.23357417,0.017112382,0.04748599,0.031318102,0.004251784,0.012376684,0.042379554,0.02578565,0.040422443,0.0042455043
S0781,0.0087779015,0.17678566,0.07882178,0.073789306,0.0012432116,0.0051509705,0.025730168,0.029837865,0.22648704,0.0034288953
