sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.0016312072,0.0025018384,0.009034105,0.0052666045,0.0009605881,0.008033625,0.009381766,0.048152253,0.003248592,0.0021232602
S0767,0.014848833,0.00463065,0.0017226803,0.0028851193,0.0004750974,0.003790948,0.0076876986,0.025425967,0.00737015,0.0009810233
S0768,0.9501144,0.01901189,0.0010693413,0.009381722,0.0009922133,0.001340069,0.92668885,0.9723098,0.021191807,0.0013059257
S0769,0.003970825,0.00325164,0.022369405,0.00961742,0.0008003189,0.99537754,0.0046876366,0.0016255281,0.98221153,0.0029955762
S0770,0.001148743,0.0018952561,0.005551746,0.9315039,0.0012010679,0.99095976,0.99131435,0.0011466973,0.0014940952,0.0006371481
S0771,0.042459026,0.030628672,0.003546003,0.039736886,0.0015570439,0.02646683,0.031959984,0.057716776,0.007403806,0.0007117785
S0772,0.00824158,0.0010226414,0.014525917,0.004144403,0.0004750974,0.0038038925,0.9868537,0.0025665176,0.003129998,0.00062349613
S0773,0.0016169308,0.00657826,0.018403856,0.046044394,0.002276891,0.024700344,0.013903275,0.011581816,0.0028206042,0.0063693626
S0774,0.9568659,0.001656925,0.0010806632,0.0037955553,0.0004750974,0.004942786,0.023901666,0.012982735,0.0019248201,0.0012030184
S0775,0.028069733,0.0010573101,0.0038782875,0.0043820497,0.0004750974,0.0025993686,0.98708516,0.0022307097,0.00612884,0.0006477164
S0776,0.0047910707,0.0042302916,0.96768713,0.008027627,0.0004750974,0.01103371,0.011656081,0.0033808,0.009277256,0.00053320243
S0777,0.0015473195,0.003983053,0.95978576,0.030829322,0.00454551,0.00593076,0.017414477,0.014985305,0.0028135946,0.004019541
S0778,0.9668596,0.96956336,0.0057392702,0.98301536,0.0004750974,0.97379565,0.956032,0.9627721,0.9828992,0.00095228705
S0779,0.003525428,0.010753033,0.005639504,0.021731555,0.0012010679,0.012331872,0.005284619,0.008064017,0.97411335,0.012228971
S0780,0.0037313818,0.0015422162,0.0062478906,0.010145547,0.00084382866,0.9987368,0.94766635,0.0012737693,0.0012936951,0.0008538178
S0781,0.0029315476,0.0020548003,0.0034644473,0.0021997918,0.0004750974,0.0009496088,0.006300077,0.0042004944,0.014513826,0.00089075364
S0782,0.94080895,0.007610795,0.0012147115,0.0040956517,0.0004750974,0.0064338064,0.027149463,0.03075143,0.0047579673,0.008631373
S0783,0.0027214978,0.0044036903,0.0034905274,0.025574666,0.0018706938,0.99684405,0.042694397,0.0065397695,0.919766,0.002624426
S0784,0.011789425,0.011435268,0.0032069755,0.002951921,0.0004750974,0.0055732587,0.005617633,0.9286225,0.0069273347,0.0068721855
S0785,0.9392881,0.0034315994,0.0010505634,0.8811219,0.0004750974,0.0067699305,0.9164362,0.9477274,0.9674779,0.9579258
S0786,0.00084524817,0.0021325508,0.007815837,0.9658462,0.0005735956,0.99571663,0.99122566,0.0013348719,0.0009268346,0.00056190166
