sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.018667996,0.0661971,0.008221147,0.091731295,0.00095129316,0.038331386,0.04093037,0.13782755,0.023399891,0.01348918
S0767,0.0090872785,0.011497733,0.010408604,0.061622437,0.00095129316,0.026753174,0.05454588,0.06517536,0.0946606,0.087247364
S0768,0.0071847755,0.06657848,0.034112208,0.026980625,0.0014962736,0.37190214,0.055254884,0.017588051,0.009519508,0.009345316
S0769,0.14619943,0.09042598,0.0075739217,0.048359558,0.004408688,0.10088422,0.16965602,0.084799826,0.012082017,0.009078584
S0770,0.14619943,0.09042598,0.0075739217,0.048359558,0.004408688,0.10088422,0.16965602,0.084799826,0.012082017,0.009078584
S0771,0.0090872785,0.018268429,0.032495182,0.06313473,0.00095129316,0.060635768,0.06755498,0.018542325,0.104035586,0.101021715
S0772,0.058971155,0.015674533,0.011496172,0.0163881,0.0019252094,0.012171242,0.039732948,0.10742945,0.30784062,0.008605596
S0773,0.058971155,0.015674533,0.011496172,0.016880946,0.0019252094,0.012171242,0.0287813,0.12259788,0.34361032,0.008510028
S0774,0.058971155,0.015674533,0.011496172,0.0163881,0.0019252094,0.012171242,0.039732948,0.10742945,0.30784062,0.008605596
S0775,0.0090872785,0.011497733,0.010408604,0.061622437,0.00095129316,0.026753174,0.05454588,0.06517536,0.0946606,0.087247364
S0776,0.058971155,0.015674533,0.011496172,0.0163881,0.0019252094,0.012171242,0.039732948,0.10742945,0.30784062,0.008605596
S0777,0.0148880575,0.039106306,0.053550582,0.10901221,0.013632006,0.13547081,0.106964305,0.025131624,0.078479946,0.018361403
S0778,0.058971155,0.015674533,0.011496172,0.0163881,0.0019252094,0.012171242,0.039732948,0.10742945,0.30784062,0.008605596
S0779,0.14619943,0.09042598,0.0075739217,0.048359558,0.004408688,0.10088422,0.16965602,0.084799826,0.012082017,0.009078584
S0780,0.058971155,0.015674533,0.011496172,0.0163881,0.0019252094,0.012171242,0.039732948,0.10742945,0.30784062,0.008605596
S0781,0.035587847,0.07232089,0.008221147,0.09966959,0.00095129316,0.038331386,0.04093037,0.2367288,0.22004615,0.0059526996
S0782,0.33409232,0.030537834,0.13660096,0.17699386,0.006206552,0.11884106,0.35771084,0.10347409,0.21644527,0.0050668735
S0783,0.058971155,0.015674533,0.011496172,0.0163881,0.0019252094,0.012171242,0.039732948,0.10742945,0.30784062,0.008605596
S0784,0.058971155,0.015674533,0.011496172,0.0163881,0.0019252094,0.012171242,0.039732948,0.10742945,0.30784062,0.008605596
S0785,0.0090872785,0.011497733,0.010408604,0.061622437,0.00095129316,0.026753174,0.05454588,0.06517536,0.0946606,0.087247364
S0786,0.14619943,0.079336874,0.007593017,0.048359558,0.004408688,0.029113293,0.16224703,0.26711914,0.01175455,0.009078584
S0787,0.049454704,0.10296807,0.13395178,0.21386859,0.009293873,0.17477135,0.09529933,0.11510206,0.16897944,0.0049964665
S0788,0.0090872785,0.011497733,0.010408604,0.061622437,0.00095129316,0.026753174,0.05454588,0.06517536,0.0946606,0.087247364
