sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.010258532,0.044305567,0.010736372,0.05997703,0.0007813799,0.019227339,0.040992483,0.12931511,0.01794124,0.0111887455
S0767,0.027413437,0.0065623745,0.0050866688,0.06766402,0.0008330664,0.01259642,0.061278272,0.052736156,0.062069055,0.05442801
S0768,0.008308456,0.0548229,0.07051034,0.048828427,0.00078150607,0.35026062,0.08107856,0.017930144,0.016833404,0.0054154717
S0769,0.19929951,0.035307184,0.008079082,0.04946183,0.0011850495,0.042630628,0.10328009,0.08609494,0.0138984835,0.00640899
S0770,0.19929951,0.035307184,0.008079082,0.04946183,0.0011850495,0.042630628,0.10328009,0.08609494,0.0138984835,0.00640899
S0771,0.027895248,0.009908906,0.035691693,0.061955888,0.0008330664,0.041705374,0.1314646,0.016392896,0.062069055,0.07318787
S0772,0.15153441,0.024757257,0.01018004,0.012642449,0.0013625271,0.021567998,0.019278254,0.14043333,0.24359809,0.004994473
S0773,0.15153441,0.024757257,0.01018004,0.013657728,0.0013625271,0.021298252,0.022366257,0.16442235,0.24359809,0.0058629783
S0774,0.15153441,0.024757257,0.01018004,0.012642449,0.0013625271,0.021567998,0.019278254,0.14043333,0.24359809,0.004994473
S0775,0.027413437,0.0065623745,0.0050866688,0.06766402,0.0008330664,0.01259642,0.061278272,0.052736156,0.062069055,0.05442801
S0776,0.15153441,0.024757257,0.01018004,0.012642449,0.0013625271,0.021567998,0.019278254,0.14043333,0.24359809,0.004994473
S0777,0.037595194,0.095173836,0.046268642,0.17242377,0.010872371,0.088975914,0.18978386,0.035296116,0.0441618,0.016266432
S0778,0.15153441,0.024757257,0.01018004,0.012642449,0.0013625271,0.021567998,0.019278254,0.14043333,0.24359809,0.004994473
S0779,0.19929951,0.035307184,0.008079082,0.04946183,0.0011850495,0.042630628,0.10328009,0.08609494,0.0138984835,0.00640899
S0780,0.15153441,0.024757257,0.01018004,0.012642449,0.0013625271,0.021567998,0.019278254,0.14043333,0.24359809,0.004994473
S0781,0.02521723,0.047663227,0.010736372,0.07522117,0.0007813799,0.019227339,0.040992483,0.17035781,0.13511406,0.004667034
S0782,0.19808404,0.032019734,0.13205697,0.17744626,0.005505858,0.12141049,0.41909596,0.08943066,0.24455796,0.016558837
S0783,0.15153441,0.024757257,0.01018004,0.012642449,0.0013625271,0.021567998,0.019278254,0.14043333,0.24359809,0.004994473
S0784,0.15153441,0.024757257,0.01018004,0.012642449,0.0013625271,0.021567998,0.019278254,0.14043333,0.24359809,0.004994473
S0785,0.027413437,0.0065623745,0.0050866688,0.06766402,0.0008330664,0.01259642,0.061278272,0.052736156,0.062069055,0.05442801
S0786,0.15897371,0.035307184,0.008089211,0.04946183,0.0011850495,0.013038831,0.10106592,0.18571936,0.0138984835,0.00640899
S0787,0.099882856,0.06008956,0.108609304,0.3207495,0.008394814,0.11702118,0.07141778,0.094272725,0.23914512,0.016010739
S0788,0.027413437,0.0065623745,0.0050866688,0.06766402,0.0008330664,0.01259642,0.061278272,0.052736156,0.062069055,0.05442801
S0789,0.027413437,0.0065623745,0.0050866688,0.06766402,0.0008330664,0.01259642,0.061278272,0.052736156,0.062069055,0.05442801
S0790,0.027413437,0.0065623745,0.0050866688,0.06766402,0.0008330664,0.01259642,0.061278272,0.052736156,0.062069055,0.05442801
S0791,0.17382348,0.044514634,0.08521561,0.012955006,0.0016253291,0.011087233,0.08212548,0.32681265,0.01144395,0.006465802
