,XGB_tempb_peaks_slope_stats,XGB_tempb_stats_opt,XGB_tempb_spectra_opt,XGB_tempb_peaks_slope_topi_opt,XGB_tempb_peaks_slope_opt,XGB_opt_area_filtered,XGB_opt_area,XGB
basalt,0.1210790161882152,0.13202951708252292,0.12363017055662126,0.12879767017907848,0.12879767017907848,0.876162442799861,0.40246086056684316,0.15140587617383428
carbonate,0.11787793349451624,0.11335218665980712,0.11098887270424553,0.10948810789916098,0.11606287385941778,0.8348014307813878,0.5853198289286358,0.09093068894056722
chloride,0.19438167849222657,0.19835390397919653,0.19766162486159666,0.19210218382604363,0.19210218382604363,1.0367501847674028,0.43926017326477645,0.21076289102771198
iron_oxide,0.2949073084295527,0.2751968109093403,0.28712046620278675,0.29049421751112026,0.2837370101385511,1.6025993509763223,0.7128022510666439,0.3537464475621195
oxalate,0.010823564402283879,0.014017794603671014,0.014407206871848769,0.014407206871848769,0.014407206871848769,0.5029006179725297,0.24474988287491978,0.013059370402872894
oxychlorine,0.18148870097152228,0.17998470775798955,0.16292711600415732,0.16159724149338062,0.16130069043084427,1.3646457365204647,0.6544091612666387,0.16299729796667636
phyllosilicate,0.2551809408691626,0.276656094112087,0.2258218433735765,0.2321027304830964,0.22987795068879227,1.8606864050298504,1.2615405059635716,0.26635226092840475
silicate,0.1660135246882034,0.16634443235335675,0.16217433966941808,0.16999576757534857,0.1759025618640957,0.9808439332753446,0.4692518588142794,0.1727148545222554
sulfate,0.20492931492920685,0.21061699451527435,0.23110348827888197,0.24512945233034478,0.23994190685821334,1.502993540551097,0.5675113734855943,0.21740255957029955
sulfide,0.08004892317575416,0.08075716956729172,0.06671915233300907,0.06606799804819302,0.06840793974101607,0.4060674627419202,0.23819640010862322,0.07672685057331032
