sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.0021231158,0.0022006617,0.0032533496,0.0042856717,5.203565409727718e-05,0.0031965647,0.0065139835,0.48234585,0.0056750234,0.0017779624
S0767,0.024597093,0.044188257,0.0009204574,0.041713,0.00013187352467018725,0.005499535,0.004604941,0.20853548,0.017686043,0.00072695635
S0768,0.43435955,0.18736927,0.0008530973,0.004061281,0.0007628413346984922,0.0034317411,0.13514435,0.91673046,0.016389268,0.0006342131
S0769,0.004024928,0.0021874364,0.005161217,0.035368618,8.33221615075681e-05,0.9934562,0.011854344,0.0026174856,0.932003,0.0024227167
S0770,0.0044133137,0.0023365938,0.0036098338,0.1716257,0.00035829825446558224,0.99643046,0.9760617,0.0011452798,0.0032777272,0.0010120152
S0771,0.06105492,0.05791899,0.0058953622,0.060765807,0.06370874723782328,0.03727331,0.020423139,0.20003642,0.036985938,0.0008824878
S0772,0.008621313,0.0034537038,0.008507743,0.02620564,1.7163364978042134e-05,0.20832579,0.9739854,0.003351223,0.0017742274,0.0010541872
S0773,0.0023741077,0.01688473,0.00963646,0.5171879,5.313877454083556e-05,0.22727938,0.022348715,0.008218799,0.007769949,0.0017779624
S0774,0.17239444,0.0012475495,0.0057305777,0.0013086444,8.428595540742746e-05,0.0061873402,0.016398532,0.08508863,0.0023080024,0.0009858819
S0775,0.030870361,0.0018363651,0.007899257,0.0073990277,2.7594020520787483e-05,0.003492543,0.96079314,0.0054105935,0.005634447,0.0004628146
S0776,0.01372964,0.004534997,0.76645005,0.032290783,9.702943231409503e-05,0.008495708,0.03836377,0.0033930293,0.012089144,0.0010204653
S0777,0.0038927123,0.0060832542,0.8738418,0.0101291165,0.00019750021684744473,0.0062259287,0.021032048,0.0773696,0.005044385,0.004267055
S0778,0.8552557,0.8394247,0.012139551,0.89097416,3.478323715362069e-05,0.94667435,0.59328884,0.7857552,0.7718039,0.00067343534
S0779,0.04145529,0.013892584,0.061317693,0.06978708,8.821962101182025e-05,0.4362208,0.007273399,0.012025369,0.24459064,0.051017966
S0780,0.012403127,0.0023337866,0.004818301,0.010444001,0.0010203806798379047,0.99787974,0.66817945,0.0012240974,0.0059478204,0.0005598574
S0781,0.0014200616,0.0021528946,0.0027088597,0.0017381558,6.858785087716696e-05,0.000820688,0.003247161,0.0025078014,0.004176312,0.0009922165
S0782,0.05149253,0.0030587516,0.010277993,0.0025816555,0.001445707625416935,0.014563076,0.17416853,0.012696226,0.0044383137,0.009263027
S0783,0.016504824,0.0018421385,0.0021634446,0.047038883,0.0003358527172248275,0.60955954,0.36492878,0.003689742,0.005085361,0.0010427013
S0784,0.27734298,0.0027221541,0.0015553996,0.0024575687,0.00012305895956494435,0.0034428663,0.011600506,0.3429892,0.0024641086,0.0027982646
S0785,0.07448318,0.038216833,0.0031249346,0.05159732,3.0936840411565524e-05,0.0052666645,0.0072298236,0.21697025,0.5063136,0.87296563
S0786,0.0010657253,0.001540807,0.018840443,0.85640574,0.0002687584694231061,0.988384,0.98305285,0.0016487145,0.0012812341,0.0006849203
S0787,0.029094912,0.0017233078,0.31932074,0.2526252,1.0044943005502465e-05,0.16811422,0.9841382,0.011100207,0.0013181757,0.00107018
S0788,0.98816395,0.9824157,0.0033881438,0.98937947,3.7511981994982245e-05,0.957911,0.9872959,0.9725219,0.98132783,0.014424575
S0789,0.0044759377,0.00518797,0.0019533471,0.008250155,5.677022483288859e-06,0.036682844,0.21628608,0.1788073,0.0033380426,0.0005610722
S0790,0.0025419523,0.00808783,0.0022683989,0.006887785,9.858720601415052e-06,0.0037130886,0.99700636,0.0012125913,0.0018603827,0.0004749301
S0791,0.0017039274,0.0011979452,0.18897447,0.6384293,8.424665950389114e-06,0.14200482,0.9923369,0.0035618185,0.0013746205,0.00090653374
S0792,0.02235431,0.0030777594,0.54521745,0.016998261,0.0005735193517509379,0.0030398434,0.01352602,0.006107465,0.004191025,0.000815804
