sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.0025209794,0.0028590804,0.0038461448,0.002531806,8.922020599343849e-06,0.0018911617,0.0072453097,0.8343261,0.0021170569,0.0015522306
S0767,0.005756823,0.0049874024,0.0010176179,0.004441349,3.796116414109413e-05,0.0032810674,0.011697871,0.08450155,0.007976848,0.0007456679
S0768,0.9789413,0.04562529,0.0012272443,0.012975453,0.0004250854160365,0.0047288025,0.9310225,0.95739514,0.017577607,0.00084046234
S0769,0.0019447792,0.0012060094,0.008039505,0.009534627,2.5052798357902103e-05,0.9944457,0.005793137,0.005593035,0.9490955,0.00089585164
S0770,0.0038420546,0.001277823,0.009604716,0.9479104,0.0001804270230688,0.99600875,0.9924108,0.000994966,0.001732322,0.00071811874
S0771,0.010844064,0.0034042087,0.0027236987,0.018607294,0.0067507240561052,0.018114608,0.018512921,0.03624878,0.012686248,0.00064371724
S0772,0.006905211,0.0013153357,0.0055001243,0.005190875,2.7743219222286e-06,0.006314643,0.98581195,0.007615003,0.0023895644,0.0006139957
S0773,0.001330479,0.012140906,0.0056837993,0.07996442,3.4301157017494346e-05,0.09112684,0.012534163,0.007862582,0.0069001024,0.0014220555
S0774,0.9609958,0.0012044195,0.0039434754,0.0022511156,1.895324446304996e-05,0.0036334153,0.013243905,0.1813537,0.003275295,0.0006041676
S0775,0.01870066,0.0011954978,0.0055822567,0.012979772,5.287061569854454e-06,0.0015599852,0.9879693,0.0074916454,0.009936888,0.00042813885
S0776,0.009117866,0.0023270373,0.9592338,0.009799345,1.8048253754796676e-05,0.008290108,0.018966205,0.007820716,0.0070318766,0.000893352
S0777,0.0029961073,0.0037227557,0.9664708,0.0034041733,4.348550040058972e-05,0.0026099451,0.011446307,0.02725834,0.0024605491,0.0019227957
S0778,0.9788397,0.9787998,0.0031507083,0.98620945,4.648760686272376e-06,0.9797785,0.975738,0.92764074,0.9752897,0.0006384374
S0779,0.006412,0.004529412,0.011884935,0.016091704,2.1926720390671144e-05,0.01342919,0.008555794,0.008758108,0.9712792,0.020648673
S0780,0.0065426053,0.0033398722,0.01626261,0.0029520164,0.0006950264168251,0.9986603,0.95911723,0.002097654,0.008007595,0.00046875258
S0781,0.0023079836,0.0010102051,0.003764868,0.0014701813,1.8639020015210605e-05,0.00077507115,0.003133534,0.005601403,0.0025019099,0.0006246614
S0782,0.94461167,0.007685385,0.002488365,0.009456029,0.0007328837437241,0.008994622,0.03227909,0.070980854,0.004767284,0.003441427
S0783,0.010920308,0.0009057792,0.002815965,0.012616024,0.0001569045878184,0.98676664,0.023287298,0.0016294399,0.93071604,0.0013526891
S0784,0.03421717,0.0023835679,0.0018439629,0.0023957267,3.202232898826198e-05,0.003533085,0.005442828,0.09346268,0.0017890476,0.0013463956
S0785,0.9464164,0.0030443089,0.0019962196,0.8977714,7.878826570007948e-06,0.008572187,0.8831564,0.04579099,0.9365172,0.98040503
S0786,0.0009052421,0.00051326054,0.0059281066,0.98190767,0.0001188515793741,0.99603313,0.9923592,0.0008104178,0.0011326342,0.0007311497
S0787,0.0060185306,0.0015347156,0.94662035,0.021631772,1.7527498995586303e-06,0.024534553,0.9933409,0.004485686,0.0016122843,0.0007047588
S0788,0.9943283,0.9897551,0.0021830623,0.99518764,7.48675858097826e-06,0.9925747,0.9939389,0.9873334,0.98346496,0.007563492
S0789,0.010870446,0.0023305803,0.001782159,0.0049508745,6.742771951469328e-07,0.0070084925,0.023639074,0.3040376,0.0054123495,0.00044249804
S0790,0.0023544142,0.0020403313,0.0020473786,0.003983365,1.164284058297441e-06,0.0028217298,0.9941995,0.0016286729,0.004045971,0.00042813885
S0791,0.0012231953,0.00088885106,0.014807429,0.97349745,1.313069070967234e-06,0.93779004,0.99514455,0.0031617035,0.0012520476,0.0007118434
S0792,0.0046093753,0.00200557,0.9786362,0.005499386,0.0002703283674756,0.0028692903,0.015894305,0.006268254,0.0142958155,0.00052047934
S0793,0.0050668856,0.023372116,0.0017062641,0.0057380735,0.0003568145090208,0.003646602,0.0048637395,0.011909898,0.005955866,0.008588635
S0794,0.004278877,0.0089373,0.0014695744,0.9867452,1.988743040124598e-05,0.0010491462,0.011630944,0.18282478,0.0020561833,0.0035846329
S0795,0.004380425,0.00078060926,0.0010193421,0.0024918872,0.0001656151062061,0.0028886346,0.9910966,0.007852069,0.003394216,0.0013475623
