sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.0015863306,0.0015630168,0.0040263217,0.00206635,5.203565409723817e-05,0.0022594354,0.0041467673,0.05235944,0.002550193,0.0011381215
S0767,0.014361458,0.0049356613,0.00087211403,0.0026897243,0.00013187352467014697,0.0033475456,0.010526141,0.04370082,0.006487286,0.00066360657
S0768,0.97468114,0.027185854,0.0014838935,0.012094761,0.000762841334697677,0.005064208,0.9452578,0.9861369,0.00796401,0.0008788259
S0769,0.0019956382,0.0011869051,0.0069254716,0.0103988685,8.332216150757535e-05,0.99109334,0.010848806,0.0013111032,0.9383867,0.0008434428
S0770,0.0026399961,0.0011950932,0.008555535,0.92560756,0.0003582982544660375,0.9947462,0.99116486,0.0008372546,0.0014971215,0.00085162284
S0771,0.018720593,0.01996421,0.0039409515,0.016685696,0.06370874723782285,0.015285275,0.013399296,0.04079725,0.011840834,0.0005827203
S0772,0.0038474055,0.0022539685,0.0076718656,0.007153801,1.7163364978029422e-05,0.0069809826,0.9840365,0.0017167372,0.0016872165,0.0006519088
S0773,0.0019228451,0.009566192,0.0053569963,0.08138039,5.313877454063093e-05,0.08989628,0.014678281,0.00728696,0.007999296,0.0014222391
S0774,0.9631543,0.002004513,0.0043368214,0.0022655677,8.428595540740937e-05,0.0027116707,0.016806373,0.028171532,0.0034856678,0.00061228906
S0775,0.014776722,0.0017749268,0.005163771,0.015827406,2.7594020520762824e-05,0.002076637,0.98950243,0.003139035,0.0075533795,0.00039773033
S0776,0.00740443,0.005417452,0.95860064,0.008096395,9.702943231403401e-05,0.008518453,0.02300263,0.002092201,0.005377817,0.00080366153
S0777,0.0027363682,0.003987003,0.9621009,0.0032993553,0.0001975002168470322,0.0025872851,0.008861223,0.018164597,0.002594965,0.0015553398
S0778,0.985581,0.9853189,0.0032371015,0.98628056,3.4783237153581145e-05,0.9818871,0.9818487,0.97358614,0.98290133,0.0005827203
S0779,0.012308454,0.0037274787,0.008326592,0.012178222,8.821962101201096e-05,0.014153531,0.006804611,0.0037437147,0.9786189,0.017246092
S0780,0.017444495,0.0017768338,0.013421737,0.0035884378,0.0010203806798388317,0.99810237,0.95841086,0.0011523262,0.004727557,0.00048935355
S0781,0.0018520233,0.0012630534,0.0039504003,0.0028677802,6.858785087715867e-05,0.0007689284,0.0037073796,0.0017015095,0.0025262032,0.0006264458
S0782,0.9321378,0.0023443322,0.0030035349,0.01031612,0.0014457076254162581,0.012320371,0.015385634,0.010510909,0.0056934683,0.0031885083
S0783,0.0066589946,0.0016528134,0.0022474013,0.015357603,0.00033585271722469097,0.98066723,0.024884429,0.003806591,0.93223524,0.0011458489
S0784,0.048027266,0.0017526136,0.0019889409,0.0019066836,0.00012305895956489868,0.0025912975,0.004406763,0.960951,0.0019261625,0.0014601147
S0785,0.9329902,0.010116421,0.0020444249,0.9013844,3.093684041152453e-05,0.009607905,0.90580535,0.9552908,0.920884,0.9819811
S0786,0.0011749773,0.0009895995,0.0058528455,0.9796286,0.00026875846942346073,0.9942058,0.9942174,0.000833147,0.0009722919,0.00052354386
S0787,0.0063307034,0.0013037614,0.95369035,0.026455112,1.0044943005524664e-05,0.023067134,0.99640465,0.0033976696,0.001413682,0.0007250804
S0788,0.9882533,0.9915936,0.001896893,0.99589205,3.751198199495112e-05,0.98787016,0.9936172,0.98958135,0.98847777,0.007031228
S0789,0.0055015674,0.0052039963,0.0019346155,0.0064654895,5.677022483280398e-06,0.009142088,0.021269016,0.9574716,0.0051619466,0.00040961689
S0790,0.002645764,0.0021999164,0.0018830595,0.0052301935,9.858720601402794e-06,0.003218509,0.99567103,0.0014692323,0.0023469622,0.00039773033
S0791,0.0020401399,0.0012665258,0.021046534,0.9622612,8.424665950423729e-06,0.9333532,0.99400055,0.0020874995,0.0011923539,0.0007732173
S0792,0.0080132745,0.0051287995,0.97393996,0.0060996087,0.0005735193517508686,0.004148079,0.015340264,0.0021765542,0.00969179,0.0005776426
S0793,0.0071272,0.04899668,0.0028668845,0.003750185,0.0008771272667981695,0.0040917345,0.009228417,0.0027793227,0.0055252546,0.008383354
S0794,0.004336045,0.005955937,0.0013048832,0.98661464,5.2291183251174914e-05,0.0012403033,0.005376147,0.018148156,0.0018203425,0.003730148
S0795,0.0032827677,0.00079857814,0.0011332138,0.0028717495,0.00037663039030575346,0.002382957,0.99145705,0.002288636,0.00313966,0.001264546
S0796,0.001957395,0.0011217608,0.03587978,0.00458143,0.0005187432780602158,0.0057381303,0.9664315,0.0011556229,0.0026400893,0.00064700533
S0797,0.008074215,0.0014927719,0.0162329,0.010263684,0.00015747383769421756,0.0034250405,0.006540179,0.0011577946,0.98491067,0.0027680655
S0798,0.007646645,0.012619612,0.0014229823,0.0035830901,0.9990963032349477,0.0022016033,0.0073564183,0.002069366,0.0029272244,0.0011216279
S0799,0.0019217181,0.0055260723,0.05466724,0.014120689,0.0009994219902429433,0.0012674122,0.010244056,0.021727309,0.0030050357,0.0031580823
S0800,0.00084308925,0.00064571446,0.0029106736,0.94359195,0.0025193378060305543,0.99594903,0.01753843,0.0008581578,0.0023470705,0.0006171774
S0801,0.006189361,0.0028247773,0.9653099,0.9895495,0.00017345181697212667,0.04076907,0.99744165,0.0024967433,0.0018062374,0.0008449446
S0802,0.0013385663,0.0030928059,0.001395523,0.038528517,6.127323551219749e-05,0.0014825184,0.006757514,0.93612325,0.00258026,0.002827212
S0803,0.0062109595,0.00080771174,0.95174885,0.004114505,0.0002543070231497904,0.0021289345,0.9952213,0.0007282839,0.002632142,0.0008320473
S0804,0.0011240494,0.0013911936,0.006727471,0.039801262,4.3291976885416455e-06,0.00269165,0.0027749701,0.005133249,0.9462065,0.00057612336
S0805,0.003151342,0.0063248416,0.0031243227,0.023961473,0.00032721812884741445,0.98980826,0.031091986,0.001493123,0.013606071,0.01772503
S0806,0.002065949,0.0016412898,0.9558844,0.027750345,0.0002559606067129092,0.03071665,0.95936424,0.0010471152,0.0035636756,0.0005155543
S0807,0.0027875116,0.0006359066,0.9845255,0.0023815462,0.0007075357357520934,0.0020962518,0.98050565,0.0008539879,0.010850296,0.002884771
