sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.001499892,0.0023681046,0.0038461448,0.00206635,8.92202059933423e-06,0.0018911617,0.0072453097,0.05235944,0.003530539,0.0011381215
S0767,0.023007657,0.0038714374,0.0010176179,0.0026897243,3.796116414106865e-05,0.0032810674,0.011697871,0.04370082,0.0061805854,0.00066360657
S0768,0.9684852,0.031628907,0.0012272443,0.012094761,0.0004250854160364887,0.0047288025,0.9310225,0.9861369,0.016736658,0.0008788259
S0769,0.0019741885,0.0011029132,0.008039505,0.0103988685,2.505279835792151e-05,0.9944457,0.005793137,0.0013111032,0.9335491,0.0008434428
S0770,0.0014747812,0.001583241,0.009604716,0.92560756,0.00018042702306944508,0.99600875,0.9924108,0.0008372546,0.0015135955,0.00085162284
S0771,0.023850188,0.004020616,0.0027236987,0.016685696,0.006750724056095993,0.018114608,0.018512921,0.04079725,0.007627026,0.0005827203
S0772,0.005237798,0.00092322595,0.0055001243,0.007153801,2.7743219222288564e-06,0.006314643,0.98581195,0.0017167372,0.0023483033,0.0006519088
S0773,0.0017620214,0.015810613,0.0056837993,0.08138039,3.430115701743604e-05,0.09112684,0.012534163,0.00728696,0.0076892483,0.0014222391
S0774,0.95482135,0.0012738797,0.0039434754,0.0022655677,1.8953244463042548e-05,0.0036334153,0.013243905,0.028171532,0.0030706106,0.00061228906
S0775,0.017185412,0.0012398232,0.0055822567,0.015827406,5.287061569851317e-06,0.0015599852,0.9879693,0.003139035,0.0061626164,0.00039773033
S0776,0.0059561147,0.0032720927,0.9592338,0.008096395,1.8048253754793535e-05,0.008290108,0.018966205,0.002092201,0.005119732,0.00080366153
S0777,0.0018177157,0.0041187233,0.9664708,0.0032993553,4.3485500400553494e-05,0.0026099451,0.011446307,0.018164597,0.0035983883,0.0015553398
S0778,0.9801748,0.97379994,0.0031507083,0.98628056,4.648760686270897e-06,0.9797785,0.975738,0.97358614,0.9808699,0.0005827203
S0779,0.010596503,0.008453793,0.011884935,0.012178222,2.1926720390633827e-05,0.01342919,0.008555794,0.0037437147,0.9676973,0.017246092
S0780,0.021713255,0.0042606313,0.01626261,0.0035884378,0.0006950264168267692,0.9986603,0.95911723,0.0011523262,0.0054982393,0.00048935355
S0781,0.0018656844,0.0014890076,0.003764868,0.0028677802,1.863902001519832e-05,0.00077507115,0.003133534,0.0017015095,0.003178012,0.0006264458
S0782,0.95052606,0.0049603735,0.002488365,0.01031612,0.0007328837437237065,0.008994622,0.03227909,0.010510909,0.0053783148,0.0031885083
S0783,0.006508936,0.0011147307,0.002815965,0.015357603,0.00015690458781873718,0.98676664,0.023287298,0.003806591,0.9280843,0.0011458489
