sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.0017481402,0.0028590804,0.0038461448,0.00206635,8.922020599343849e-06,0.0018911617,0.0072453097,0.05235944,0.0021170569,0.0011381215
S0767,0.014384005,0.0049874024,0.0010176179,0.0026897243,3.7961164141094134e-05,0.0032810674,0.011697871,0.04370082,0.007976848,0.00066360657
S0768,0.973089,0.04562529,0.0012272443,0.012094761,0.0004250854160365204,0.0047288025,0.9310225,0.9861369,0.017577607,0.0008788259
S0769,0.0019311054,0.0012060094,0.008039505,0.0103988685,2.5052798357902106e-05,0.9944457,0.005793137,0.0013111032,0.9490955,0.0008434428
S0770,0.0018693357,0.001277823,0.009604716,0.92560756,0.00018042702306884998,0.99600875,0.9924108,0.0008372546,0.001732322,0.00085162284
S0771,0.020026095,0.0034042087,0.0027236987,0.016685696,0.00675072405610523,0.018114608,0.018512921,0.04079725,0.012686248,0.0005827203
S0772,0.0045149075,0.0013153357,0.0055001243,0.007153801,2.7743219222285998e-06,0.006314643,0.98581195,0.0017167372,0.0023895644,0.0006519088
S0773,0.0017653266,0.012140906,0.0056837993,0.08138039,3.4301157017494346e-05,0.09112684,0.012534163,0.00728696,0.0069001024,0.0014222391
S0774,0.9597787,0.0012044195,0.0039434754,0.0022655677,1.8953244463049958e-05,0.0036334153,0.013243905,0.028171532,0.003275295,0.00061228906
S0775,0.017655369,0.0011954978,0.0055822567,0.015827406,5.287061569854454e-06,0.0015599852,0.9879693,0.003139035,0.009936888,0.00039773033
S0776,0.007333973,0.0023270373,0.9592338,0.008096395,1.8048253754796673e-05,0.008290108,0.018966205,0.002092201,0.0070318766,0.00080366153
S0777,0.0022006794,0.0037227557,0.9664708,0.0032993553,4.348550040058972e-05,0.0026099451,0.011446307,0.018164597,0.0024605491,0.0015553398
S0778,0.98455226,0.9787998,0.0031507083,0.98628056,4.6487606862723755e-06,0.9797785,0.975738,0.97358614,0.9752897,0.0005827203
S0779,0.010934336,0.004529412,0.011884935,0.012178222,2.1926720390671144e-05,0.01342919,0.008555794,0.0037437147,0.9712792,0.017246092
S0780,0.022086207,0.0033398722,0.01626261,0.0035884378,0.0006950264168251809,0.9986603,0.95911723,0.0011523262,0.008007595,0.00048935355
S0781,0.0021580914,0.0010102051,0.003764868,0.0028677802,1.8639020015210605e-05,0.00077507115,0.003133534,0.0017015095,0.0025019099,0.0006264458
S0782,0.93844616,0.007685385,0.002488365,0.01031612,0.0007328837437241279,0.008994622,0.03227909,0.010510909,0.004767284,0.0031885083
S0783,0.0055825794,0.0009057792,0.002815965,0.015357603,0.00015690458781840918,0.98676664,0.023287298,0.003806591,0.93071604,0.0011458489
S0784,0.04705653,0.0023835679,0.0018439629,0.0019066836,3.202232898826198e-05,0.003533085,0.005442828,0.960951,0.0017890476,0.0014601147
S0785,0.9399898,0.0030443089,0.0019962196,0.9013844,7.878826570007948e-06,0.008572187,0.8831564,0.9552908,0.9365172,0.9819811
S0786,0.0009064915,0.00051326054,0.0059281066,0.9796286,0.00011885157937414186,0.99603313,0.9923592,0.000833147,0.0011326342,0.00052354386
S0787,0.0079890825,0.0015347156,0.94662035,0.026455112,1.7527498995586305e-06,0.024534553,0.9933409,0.0033976696,0.0016122843,0.0007250804
S0788,0.9881246,0.9897551,0.0021830623,0.99589205,7.48675858097826e-06,0.9925747,0.9939389,0.98958135,0.98346496,0.007031228
S0789,0.0057753567,0.0023305803,0.001782159,0.0064654895,6.742771951469328e-07,0.0070084925,0.023639074,0.9574716,0.0054123495,0.00040961689
S0790,0.002193093,0.0020403313,0.0020473786,0.0052301935,1.164284058297441e-06,0.0028217298,0.9941995,0.0014692323,0.004045971,0.00039773033
S0791,0.0020722551,0.00088885106,0.014807429,0.9622612,1.3130690709672341e-06,0.93779004,0.99514455,0.0020874995,0.0012520476,0.0007732173
S0792,0.00959027,0.00200557,0.9786362,0.0060996087,0.0002703283674756134,0.0028692903,0.015894305,0.0021765542,0.0142958155,0.0005776426
S0793,0.00726707,0.023372116,0.0017062641,0.003750185,0.0003568145090208891,0.003646602,0.0048637395,0.0027793227,0.005955866,0.008383354
S0794,0.003968112,0.0089373,0.0014695744,0.98661464,1.988743040124598e-05,0.0010491462,0.011630944,0.018148156,0.0020561833,0.003730148
S0795,0.0031956744,0.00078060926,0.0010193421,0.0028717495,0.0001656151062061757,0.0028886346,0.9910966,0.002288636,0.003394216,0.001264546
S0796,0.0019646036,0.0011054904,0.026291866,0.00458143,0.00033089984157113635,0.0075861467,0.97267544,0.0011556229,0.0016086656,0.00064700533
S0797,0.011596979,0.0038995133,0.018514846,0.010263684,5.9104061752730285e-05,0.0044927523,0.007035474,0.0011577946,0.9850519,0.0027680655
S0798,0.007379341,0.0074048825,0.0013768577,0.0035830901,0.9994372903746214,0.0030780127,0.006364873,0.002069366,0.0025937634,0.0011216279
S0799,0.0024609987,0.004197278,0.051808655,0.014120689,0.0002311926403775675,0.0021496795,0.0107758725,0.021727309,0.0025409164,0.0031580823
S0800,0.0010351766,0.0004933129,0.0039935014,0.94359195,0.0022338247060247293,0.9944542,0.023141509,0.0008581578,0.002044416,0.0006171774
