sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.0005327465,0.0012003017,0.0013431893,0.000855495,0.00052120636,0.00050661684,0.00097438495,0.03127583,0.000650007,0.0003984058
S0767,0.0061593754,0.0008345028,5.1663737e-05,0.00078216323,0.00052120636,0.0005517004,0.003931258,0.009240541,0.0013003728,8.0438855e-05
S0768,0.99656206,0.011164684,8.584637e-05,0.003225621,0.00093876204,0.001783302,0.9859095,0.99843603,0.007786576,0.00021338808
S0769,0.00018233949,0.0001448693,0.0024755653,0.0050757923,0.000783534,0.9955526,0.001985643,0.00026890964,0.9937808,0.00025114082
S0770,0.0003406831,0.00038965067,0.003132116,0.9754076,0.000783534,0.99943835,0.9976121,8.424576e-05,0.00020619291,0.00015429819
S0771,0.007228317,0.0007845475,0.0007073787,0.005725486,0.00052120636,0.0067787697,0.00576655,0.008891906,0.0023446567,7.3800766e-05
S0772,0.00055606896,8.7896806e-05,0.0017792745,0.00084293506,0.00052120636,0.003189233,0.99653083,0.00012558588,8.8336696e-05,0.00020703214
S0773,0.0003784241,0.0072470107,0.0015765573,0.036286045,0.00052120636,0.05085568,0.00490928,0.0021667741,0.0032131532,0.0009079653
S0774,0.9848096,0.00015691083,0.0004859924,0.00032510713,0.00052120636,0.0004677793,0.0038862573,0.013938142,0.0009623955,9.387355e-05
S0775,0.0056983214,0.00018665775,0.0010447844,0.0018157866,0.00052120636,0.000498428,0.9917548,0.0007697209,0.0032899242,5.6468685e-05
S0776,0.0014830133,0.0013405043,0.9861119,0.005122735,0.0007202986,0.004190957,0.0029619387,0.0014921152,0.0036373897,0.00021108723
S0777,0.001351095,0.0034431296,0.96691805,0.00146648,0.00052120636,0.0012712604,0.0065465644,0.006417173,0.0012328987,0.0005725256
S0778,0.9959627,0.99225324,0.00054342876,0.99306595,0.00052120636,0.99027693,0.99473274,0.99728763,0.99237907,0.00010849547
S0779,0.0033789899,0.00263028,0.0030043614,0.004312681,0.0013578591,0.0022455053,0.001549377,0.00093670795,0.98984104,0.0074960147
S0780,0.010068097,0.0004902388,0.005333584,0.00062167924,0.0013578591,0.9998672,0.9929039,9.416906e-05,0.0016137587,9.018712e-05
S0781,0.000310114,0.00047827174,0.00017652618,0.00016632449,0.00052120636,0.00010414647,0.00086840166,0.00015776673,0.001212063,0.00010661567
S0782,0.97899204,0.00027383416,0.00028927997,0.0006623659,0.008545025,0.0054862425,0.008635418,0.005479454,0.00094194984,0.00107501
S0783,0.0032893505,7.218568e-05,0.00036508637,0.006545392,0.00052120636,0.9949709,0.0017693528,0.0006860874,0.9817923,0.0003102178
S0784,0.013825726,0.0012928433,0.00019379584,0.00017228976,0.00052120636,0.00036922374,0.0039870674,0.9842689,0.0016980472,0.00025459199
S0785,0.97319835,0.0029324507,0.00031173843,0.97555065,0.00052120636,0.0011285486,0.97293943,0.9714427,0.9785558,0.9895661
S0786,2.9563604e-05,0.000124243,0.0031033547,0.9968407,0.00052120636,0.9989976,0.99864763,0.00011909817,5.0190556e-05,6.955619e-05
S0787,0.0015044679,0.00012518391,0.98628753,0.009267085,0.00052120636,0.010051396,0.99930227,0.00040516246,0.00016475756,0.00015496567
S0788,0.9975719,0.9981267,0.0003052654,0.99953365,0.00052120636,0.9993455,0.9984125,0.9985239,0.997874,0.0019316265
S0789,0.0008224318,0.00038946405,0.00025750778,0.001898535,0.00052120636,0.0024637838,0.0063725314,0.98181725,0.000813888,5.9628353e-05
S0790,0.0006488486,0.0006080342,0.00015796226,0.0008896743,0.00052120636,0.0004454126,0.9996978,8.2457365e-05,0.0004372258,3.5953242e-05
S0791,0.00017545992,0.0001767448,0.014403827,0.9920121,0.00093876204,0.9724982,0.99969625,0.00034430478,5.1982446e-05,8.1088794e-05
S0792,0.0046841493,0.0002406587,0.99269205,0.00080272707,0.000783534,0.00026813571,0.0042491322,0.00018072558,0.0025275648,0.00011345812
S0793,0.0026009972,0.024580128,0.00028604953,0.0011825463,0.027097126,0.0007825554,0.00057530415,0.0019845238,0.0022708673,0.0032591517
S0794,0.0014226097,0.002109756,0.00029436662,0.9962041,0.0010231404,0.00013026377,0.0027386227,0.012902041,0.00047699624,0.0016348688
S0795,0.0001745004,7.160225e-05,0.00016082222,0.00041735754,0.00052120636,0.0004562037,0.9975211,0.00062944327,0.00026989004,0.00048651898
S0796,0.00035276366,0.000118325486,0.006109862,0.00075049815,0.00052120636,0.0022384524,0.99349207,0.00015432954,0.00016931177,0.00016565989
S0797,0.0041721635,0.0005246896,0.002867937,0.001076271,0.00052120636,0.00086170615,0.0030956492,0.0009800456,0.9949773,0.0008219202
S0798,0.0013643607,0.0030600196,0.00022120876,0.00069469825,0.97510195,0.00028374078,0.0007597846,0.00056881685,0.00075915427,0.0003548786
S0799,0.0005953086,0.0025567354,0.034510422,0.00424338,0.00052120636,0.00034423452,0.0032215118,0.013950265,0.0016806136,0.0014057156
S0800,4.805088e-05,3.557392e-05,0.00016188226,0.98703617,0.00052120636,0.99830735,0.0033399006,9.7339216e-05,0.0011813939,0.00019969391
S0801,0.003280085,0.00057704333,0.9799682,0.99602973,0.0010231404,0.012280619,0.9997819,0.0002790691,0.00021326522,6.521702e-05
S0802,0.00016396049,0.0006635993,0.00045283872,0.021160165,0.0010231404,0.00019136451,0.0023450248,0.95122,0.0009082738,0.000885383
S0803,0.002699982,4.555043e-05,0.98507535,0.00041754497,0.000783534,0.00029870452,0.99947923,6.7571425e-05,0.00029908807,0.00015552389
S0804,0.00031474087,0.00016795147,0.0016061112,0.0063151903,0.00052120636,0.00028626723,0.00024539826,0.004126915,0.9880691,0.00015946441
S0805,0.00053547625,0.0016379663,0.00018528315,0.009913862,0.00052120636,0.997491,0.0066471836,0.0005450813,0.0069523756,0.0070083765
S0806,0.00011964979,0.006473204,0.9833244,0.0063414657,0.00052120636,0.015028209,0.9856818,0.000215192,0.0010552026,0.00014364807
S0807,0.00056313,3.671159e-05,0.99559397,0.00020199206,0.0007202986,0.00024651943,0.9976876,0.00014221513,0.0033767389,0.0009328363
S0808,0.0042987186,0.0026992834,0.0024719036,0.0010314048,0.0010827226,0.003524974,0.0018967703,0.0014343297,0.9982077,0.003869531
S0809,7.3016745e-05,0.004222684,0.00032838134,0.0018889281,0.0010231404,0.0009117294,0.005563186,0.002200489,0.0061564776,0.00018954926
S0810,0.00023047136,0.0020549793,0.000710052,0.0013890524,0.9850869,0.00011148776,0.0013543835,0.0002550271,0.00015434704,0.00032585993
S0811,0.001139763,0.00035493152,0.0012581911,0.0096220765,0.00052120636,0.9998517,0.9902906,0.00033213972,0.0004794581,0.00019370716
S0812,0.0016343211,0.998808,0.00031804747,0.0025002728,0.0013465476,0.00015595663,0.0025988347,0.00083663256,0.0008858627,0.00082041783
S0813,0.00029340055,0.0005053997,0.00026183185,0.00081434887,0.9850869,6.576711e-05,0.00039404412,0.00024850407,0.00026938642,0.0005745323
S0814,0.007944588,0.00036762003,0.99377984,0.0023979056,0.000783534,0.001035145,0.0005889525,0.001524057,0.010931541,0.00012264393
S0815,0.0010158196,7.9583406e-05,0.013855769,0.015949352,0.00052120636,0.9904197,0.9996816,0.00025147363,0.00017016145,0.00018402656
S0816,0.0068136277,0.0038039193,0.0003320777,0.004260866,0.00052120636,0.0011890653,0.0005871159,0.0036752352,0.0010396413,5.9266902e-05
S0817,0.00031671248,0.000623829,5.868235e-05,0.0003776007,0.00052120636,0.00032290808,0.0031311917,0.004470285,0.000609675,0.00015817779
S0818,0.0037793487,0.0011135181,8.304152e-05,0.98814875,0.00052120636,0.004394731,0.0005866577,0.0026793133,0.9941736,0.0038685089
S0819,0.0012349237,0.00026192598,0.98788494,0.9992213,0.000783534,0.00834004,0.9988242,0.0007084018,0.00038785476,8.165502e-05
S0820,0.0007122108,0.00020643468,0.0008482217,8.154016e-05,0.00052120636,0.00053985976,0.9998473,5.1260195e-05,0.00013671788,0.00012262815
S0821,4.9159647e-05,3.934626e-05,0.99442565,0.986778,0.00052120636,0.0044521233,0.99023086,2.4659143e-05,0.0015826193,6.766409e-05
S0822,0.003546109,0.00015862382,0.00020577006,0.0014430329,0.0007132249,0.0015548171,0.99830604,0.0005222079,0.00015889721,0.0003841282
S0823,0.0006326058,0.00016180093,0.0026545955,0.001816658,0.0010231404,0.0011541938,0.0007717064,0.00026234085,0.9985562,0.00012485548
S0824,0.00026051234,5.8081747e-05,0.00017126165,0.9893085,0.00052120636,0.99815196,0.003500771,0.0002076337,0.00022119863,8.2507155e-05
S0825,0.0011310067,6.607444e-05,0.99102646,0.00017713099,0.00063173246,0.0012619013,0.98850656,8.167612e-05,0.0010688066,0.0002771811
S0826,0.0007158649,0.0014630996,0.00023866071,0.00019826944,0.9525997,0.00023634486,0.0009996673,0.00040773206,0.000815347,0.00031204856
S0827,0.00015393946,4.815313e-05,0.9691719,0.007780632,0.00052120636,0.050689436,0.0042897025,3.074881e-05,0.00026004558,0.000114081806
