sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.0005677687,0.00075882225,0.0017210288,0.0024206156,0.00038956394,0.0013080069,0.042693637,0.04368394,0.00084139785,0.00019015008
S0767,0.0005819946,0.00041302247,0.00016124909,0.00031426473,0.00038956394,0.000256454,0.00059888506,0.0027385028,0.00025837764,0.0011599936
S0768,0.9795089,0.030591827,0.0014031883,0.020337781,0.0015671478,0.00048439385,0.9692078,0.98749673,0.026335133,0.00019724219
S0769,7.6489465e-05,0.0005371453,0.0046731625,0.0089130895,0.00038956394,0.99829704,0.0022606838,0.00022495216,0.974208,0.00048480148
S0770,0.0006999706,0.0005902889,0.0031651757,0.96462494,0.00046476253,0.99712783,0.9992478,0.00016342793,7.064021e-05,0.0006198883
S0771,0.0016044872,0.00016830929,0.0012755175,0.0028395364,0.00038956394,0.00023412578,0.00014278908,0.0013676962,0.00011504072,0.00021380761
S0772,0.00013586794,2.8391623e-05,0.0020056388,0.0016059523,0.00047198957,0.00087383337,0.9953719,5.5028107e-05,0.0008347167,0.00010941214
S0773,0.025452347,0.22980763,0.0818155,0.19609484,0.00038956394,0.09691929,0.18523818,0.059089657,0.090799004,0.015469753
S0774,0.97933483,0.00039551881,0.00053898286,0.002170934,0.00038956394,0.00052849675,0.002983168,0.0049413415,0.011335557,0.00014994403
S0775,0.00040683386,0.0020472412,0.0056462814,0.0033160753,0.00038956394,0.00021467496,0.9797109,0.00023349446,0.0017828377,3.995987e-05
S0776,0.0009077304,0.0005962265,0.983441,0.0044294544,0.00038956394,0.006287098,0.0041648657,0.0026344876,0.00059867336,0.000112135465
S0777,0.002315016,0.001402067,0.9621976,0.00882427,0.00038956394,0.0034675305,0.003795258,0.0026480802,0.0019126476,0.0009933908
S0778,0.995387,0.99277824,0.00018002217,0.99878794,0.00038956394,0.99410075,0.98206276,0.9885076,0.9915434,0.00010489568
