sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.2,0.0,0.0
S0767,0.09,0.03,0.0,0.02,0.0,0.02,0.07,0.16,0.01,0.0
S0768,0.83,0.06,0.0,0.04,0.0,0.01,0.74,0.86,0.06,0.0
S0769,0.01,0.04,0.14,0.04,0.0,0.85,0.13,0.01,0.91,0.0
S0770,0.0,0.0,0.04,0.7,0.0,0.97,0.89,0.0,0.0,0.0
S0771,0.12,0.05,0.0,0.17,0.0,0.1,0.1,0.12,0.07,0.0
S0772,0.01,0.0,0.08,0.05,0.0,0.07,0.9,0.0,0.0,0.0
S0773,0.0,0.04,0.02,0.17,0.0,0.16,0.08,0.04,0.0,0.0
S0774,0.78,0.04,0.02,0.02,0.0,0.03,0.04,0.15,0.03,0.0
S0775,0.02,0.0,0.04,0.05,0.0,0.02,0.88,0.0,0.02,0.0
S0776,0.06,0.01,0.86,0.06,0.0,0.1,0.07,0.05,0.06,0.0
S0777,0.0,0.02,0.81,0.02,0.0,0.0,0.01,0.05,0.0,0.02
S0778,0.82,0.79,0.0,0.83,0.0,0.84,0.75,0.75,0.78,0.0
S0779,0.04,0.02,0.06,0.06,0.0,0.11,0.04,0.04,0.9,0.06
S0780,0.02,0.0,0.02,0.03,0.0,0.98,0.81,0.01,0.03,0.0
S0781,0.01,0.0,0.01,0.0,0.0,0.0,0.05,0.02,0.04,0.0
S0782,0.78,0.01,0.05,0.04,0.01,0.03,0.16,0.1,0.06,0.13
S0783,0.08,0.03,0.0,0.03,0.0,0.77,0.21,0.0,0.77,0.0
S0784,0.1,0.01,0.01,0.0,0.0,0.03,0.02,0.71,0.01,0.04
S0785,0.72,0.02,0.0,0.64,0.0,0.05,0.66,0.74,0.73,0.73
S0786,0.0,0.0,0.11,0.84,0.0,0.94,0.96,0.0,0.0,0.0
S0787,0.03,0.0,0.79,0.15,0.0,0.22,0.97,0.0,0.01,0.0
S0788,0.91,0.97,0.0,0.98,0.0,0.9,0.96,0.91,0.96,0.0
S0789,0.05,0.0,0.01,0.01,0.0,0.02,0.04,0.75,0.07,0.0
S0790,0.02,0.01,0.03,0.01,0.0,0.06,0.97,0.0,0.02,0.0
S0791,0.02,0.0,0.08,0.82,0.01,0.83,0.95,0.01,0.0,0.0
S0792,0.01,0.02,0.82,0.04,0.0,0.04,0.07,0.01,0.02,0.0
S0793,0.08,0.17,0.05,0.11,0.12,0.1,0.09,0.1,0.13,0.12
S0794,0.0,0.05,0.0,0.79,0.0,0.0,0.03,0.1,0.0,0.0
S0795,0.0,0.0,0.0,0.01,0.0,0.01,0.93,0.02,0.01,0.0
S0796,0.0,0.0,0.19,0.07,0.0,0.04,0.92,0.0,0.04,0.0
S0797,0.09,0.02,0.03,0.07,0.0,0.04,0.02,0.02,0.93,0.01
S0798,0.01,0.03,0.01,0.0,0.98,0.0,0.03,0.01,0.03,0.0
S0799,0.0,0.03,0.11,0.03,0.0,0.0,0.06,0.03,0.0,0.01
S0800,0.0,0.0,0.04,0.76,0.0,0.93,0.08,0.0,0.01,0.0
S0801,0.01,0.0,0.87,0.92,0.0,0.03,0.95,0.0,0.01,0.0
S0802,0.0,0.02,0.0,0.09,0.0,0.0,0.03,0.71,0.0,0.0
S0803,0.0,0.0,0.75,0.01,0.0,0.0,0.86,0.0,0.04,0.0
S0804,0.03,0.02,0.04,0.14,0.0,0.02,0.06,0.03,0.76,0.0
S0805,0.04,0.04,0.0,0.1,0.0,0.7,0.23,0.0,0.04,0.03
S0806,0.01,0.02,0.79,0.13,0.0,0.14,0.8,0.0,0.0,0.0
S0807,0.01,0.0,0.84,0.05,0.0,0.0,0.89,0.0,0.06,0.0
S0808,0.02,0.03,0.02,0.0,0.01,0.04,0.0,0.02,0.98,0.01
S0809,0.04,0.12,0.05,0.07,0.02,0.03,0.06,0.0,0.04,0.02
S0810,0.0,0.02,0.0,0.02,0.9,0.01,0.04,0.0,0.0,0.0
S0811,0.06,0.03,0.04,0.13,0.0,0.97,0.8,0.01,0.02,0.0
S0812,0.01,0.93,0.04,0.02,0.03,0.03,0.01,0.0,0.02,0.01
S0813,0.01,0.1,0.0,0.05,0.83,0.0,0.03,0.0,0.01,0.0
S0814,0.16,0.04,0.84,0.04,0.01,0.05,0.02,0.03,0.12,0.0
S0815,0.01,0.01,0.15,0.18,0.0,0.82,0.98,0.0,0.01,0.0
S0816,0.09,0.03,0.0,0.01,0.0,0.0,0.01,0.08,0.01,0.0
S0817,0.01,0.0,0.0,0.01,0.0,0.0,0.03,0.04,0.04,0.0
S0818,0.09,0.02,0.01,0.92,0.0,0.07,0.09,0.03,0.89,0.03
S0819,0.01,0.01,0.79,0.81,0.02,0.14,0.85,0.01,0.01,0.0
S0820,0.0,0.0,0.04,0.0,0.0,0.02,0.99,0.0,0.03,0.0
S0821,0.0,0.0,0.89,0.91,0.0,0.05,0.93,0.0,0.02,0.0
S0822,0.02,0.02,0.0,0.01,0.0,0.05,0.87,0.03,0.02,0.02
S0823,0.01,0.05,0.02,0.03,0.0,0.03,0.0,0.04,0.98,0.0
S0824,0.01,0.0,0.03,0.81,0.0,0.89,0.04,0.0,0.0,0.0
S0825,0.0,0.0,0.83,0.03,0.0,0.06,0.79,0.0,0.0,0.0
S0826,0.06,0.18,0.0,0.02,0.87,0.04,0.05,0.02,0.03,0.01
S0827,0.0,0.0,0.75,0.11,0.0,0.2,0.1,0.0,0.01,0.0
S0828,0.0,0.0,0.81,0.14,0.0,0.05,0.06,0.0,0.01,0.0
S0829,0.01,0.01,0.01,0.01,0.02,0.03,0.01,0.01,0.86,0.0
S0830,0.01,0.0,0.07,0.08,0.0,0.8,0.95,0.0,0.0,0.0
S0831,0.15,0.05,0.0,0.06,0.0,0.11,0.19,0.11,0.73,0.01
S0832,0.02,0.05,0.0,0.0,0.98,0.01,0.04,0.0,0.02,0.0
S0833,0.03,0.05,0.05,0.02,0.01,0.9,0.01,0.0,0.12,0.0
S0834,0.03,0.03,0.04,0.05,0.02,0.08,0.05,0.05,0.93,0.03
S0835,0.01,0.01,0.0,0.01,0.0,0.0,0.01,0.89,0.01,0.0
S0836,0.01,0.0,0.05,0.02,0.0,0.0,0.0,0.0,1.0,0.0
S0837,0.01,0.0,0.88,0.14,0.0,0.07,0.09,0.0,0.88,0.0
S0838,0.03,0.02,0.0,0.02,0.0,0.04,0.87,0.06,0.02,0.0
S0839,0.0,0.0,0.02,0.02,0.0,0.05,0.02,0.86,0.0,0.0
S0840,0.03,0.03,0.01,0.0,0.0,0.06,0.97,0.01,0.0,0.01
S0841,0.01,0.0,0.0,0.02,0.0,0.0,0.01,0.05,0.09,0.0
S0842,0.05,0.02,0.0,0.76,0.0,0.0,0.01,0.15,0.16,0.76
S0843,0.01,0.0,0.0,0.01,0.0,0.0,0.13,0.7,0.0,0.0
S0844,0.01,0.02,0.01,0.07,0.0,0.0,0.05,0.09,0.01,0.0
S0845,0.84,0.84,0.01,0.86,0.0,0.83,0.98,0.77,0.82,0.0
S0846,0.02,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.0,0.0
S0847,0.01,0.67,0.02,0.72,0.0,0.0,0.16,0.0,0.05,0.01
S0848,0.0,0.04,0.0,0.01,0.0,0.03,0.94,0.01,0.01,0.0
S0849,0.03,0.02,0.03,0.07,0.0,0.07,0.17,0.06,0.81,0.07
S0850,0.06,0.07,0.04,0.73,0.05,0.03,0.08,0.04,0.82,0.0
S0851,0.8,0.75,0.05,0.73,0.0,0.06,0.21,0.76,0.69,0.0
S0852,0.04,0.06,0.02,0.11,0.03,0.88,0.04,0.03,0.16,0.0
S0853,0.0,0.0,0.1,0.04,0.0,0.07,0.75,0.06,0.0,0.02
S0854,0.11,0.01,0.05,0.04,0.0,0.05,0.19,0.62,0.09,0.0
S0855,0.0,0.0,0.22,0.8,0.0,0.83,0.98,0.0,0.0,0.0
S0856,0.02,0.06,0.01,0.03,0.01,0.0,0.04,0.01,0.9,0.0
S0857,0.0,0.05,0.0,0.88,0.0,0.0,0.15,0.01,0.0,0.05
S0858,0.0,0.01,0.0,0.17,0.0,0.02,0.16,0.0,0.02,0.74
S0859,0.02,0.03,0.0,0.02,0.0,0.03,0.83,0.01,0.06,0.08
S0860,0.03,0.0,0.03,0.07,0.01,0.07,0.05,0.0,0.9,0.01
S0861,0.0,0.0,0.83,0.17,0.0,0.19,0.89,0.0,0.01,0.0
S0862,0.0,0.01,0.18,0.8,0.0,0.04,0.09,0.0,0.08,0.0
S0863,0.01,0.09,0.0,0.01,0.0,0.06,0.89,0.01,0.05,0.0
S0864,0.03,0.82,0.0,0.07,0.14,0.11,0.04,0.04,0.24,0.72
S0865,0.0,0.01,0.01,0.16,0.0,0.98,0.08,0.0,0.02,0.0
S0866,0.01,0.02,0.05,0.05,0.01,0.03,0.72,0.0,0.02,0.0
S0867,0.0,0.01,0.0,0.02,0.0,0.01,0.01,0.0,0.01,0.0
S0868,0.06,0.05,0.0,0.11,0.0,0.09,0.1,0.07,0.08,0.0
S0869,0.0,0.01,0.02,0.01,0.0,0.96,0.04,0.01,0.04,1.0
S0870,0.05,0.91,0.0,0.04,0.03,0.04,0.03,0.01,0.05,0.0
S0871,0.01,0.0,0.0,0.02,0.0,0.99,0.88,0.0,0.02,0.0
S0872,0.01,0.02,0.01,0.06,0.0,0.02,0.91,0.0,0.02,0.0
S0873,0.01,0.05,0.0,0.03,0.07,0.01,0.04,0.01,0.86,0.02
S0874,0.97,0.97,0.02,0.98,0.0,0.93,0.98,0.98,0.94,0.01
S0875,0.8,0.83,0.01,0.84,0.0,0.86,0.77,0.84,0.77,0.01
S0876,0.0,0.01,0.0,0.08,0.0,0.0,0.01,0.0,0.01,0.94
S0877,0.03,0.01,0.0,0.01,0.0,0.06,0.8,0.05,0.0,0.0
S0878,0.0,0.0,0.07,0.79,0.0,0.93,0.09,0.0,0.01,0.0
S0879,0.15,0.09,0.05,0.09,0.0,0.09,0.1,0.2,0.14,0.01
S0880,0.0,0.0,0.0,0.01,0.0,0.0,0.87,0.06,0.0,0.0
S0881,0.04,0.03,0.05,0.18,0.0,0.97,0.85,0.01,0.04,0.0
S0882,0.05,0.1,0.02,0.06,0.0,0.78,0.84,0.0,0.05,0.02
S0883,0.02,0.08,0.01,0.02,0.94,0.02,0.1,0.02,0.02,0.0
S0884,0.73,0.0,0.02,0.05,0.0,0.02,0.09,0.0,0.01,0.0
S0885,0.0,0.13,0.01,0.05,0.73,0.01,0.02,0.0,0.02,0.0
S0886,0.04,0.0,0.02,0.0,0.0,0.91,0.03,0.0,0.03,0.0
S0887,0.02,0.02,0.01,0.0,0.0,0.01,0.88,0.01,0.03,0.0
S0888,0.0,0.02,0.0,0.78,0.0,0.0,0.0,0.11,0.0,0.0
S0889,0.11,0.03,0.03,0.05,0.0,0.97,0.06,0.01,0.05,0.0
S0890,0.01,0.01,0.08,0.03,0.0,0.07,0.02,0.0,0.25,0.88
S0891,0.02,0.01,0.0,0.02,0.0,0.01,0.02,0.9,0.01,0.0
S0892,0.0,0.0,0.04,0.69,0.0,0.69,0.03,0.15,0.0,0.0
S0893,0.0,0.94,0.01,0.06,0.01,0.0,0.02,0.03,0.0,0.0
S0894,0.0,0.0,0.12,0.83,0.0,0.87,0.99,0.0,0.0,0.0
S0895,0.01,0.01,0.04,0.0,0.0,0.05,0.93,0.0,0.01,0.0
S0896,0.1,0.11,0.01,0.12,0.02,0.12,0.1,0.12,0.2,0.14
S0897,0.05,0.01,0.01,0.03,0.0,0.02,0.08,0.07,0.03,0.0
S0898,0.97,0.96,0.0,1.0,0.01,0.99,1.0,0.93,1.0,0.0
S0899,0.07,0.02,0.63,0.04,0.0,0.01,0.05,0.04,0.01,0.01
S0900,0.0,0.01,0.01,0.87,0.0,0.01,0.04,0.0,0.93,0.0
S0901,0.03,0.88,0.03,0.02,0.03,0.04,0.02,0.01,0.02,0.0
S0902,0.05,0.01,0.01,0.03,0.0,0.02,0.87,0.0,0.01,0.0
S0903,0.02,0.0,0.81,0.02,0.0,0.06,0.13,0.02,0.02,0.0
S0904,0.01,0.02,0.02,0.79,0.0,0.86,0.21,0.01,0.02,0.0
S0905,0.0,0.01,0.03,0.04,0.01,0.04,0.91,0.02,0.01,0.0
S0906,0.01,0.03,0.0,0.01,0.0,0.02,0.09,0.02,0.01,0.0
S0907,0.86,0.75,0.01,0.79,0.01,0.85,0.74,0.81,0.78,0.01
S0908,0.07,0.04,0.03,0.09,0.0,0.11,0.13,0.11,0.06,0.0
S0909,0.01,0.17,0.01,0.03,0.94,0.01,0.05,0.02,0.03,0.0
S0910,0.0,0.0,0.03,0.87,0.0,0.01,0.01,0.0,0.96,0.0
S0911,0.01,0.02,0.03,0.03,0.0,0.01,0.61,0.17,0.04,0.17
S0912,0.02,0.01,0.0,0.0,0.0,0.01,0.95,0.0,0.02,0.0
S0913,0.01,0.01,0.0,0.0,0.0,0.0,0.07,0.01,0.05,0.0
S0914,0.0,0.0,0.07,0.03,0.0,0.02,0.93,0.0,0.64,0.0
S0915,0.1,0.88,0.01,0.06,0.02,0.05,0.04,0.06,0.13,0.01
S0916,0.84,0.02,0.06,0.03,0.03,0.04,0.05,0.02,0.06,0.0
S0917,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.85,0.0,0.0
S0918,0.0,0.02,0.0,0.9,0.0,0.96,0.04,0.02,0.02,0.0
S0919,0.02,0.05,0.8,0.81,0.01,0.07,0.9,0.02,0.03,0.0
S0920,0.9,0.76,0.0,0.76,0.0,0.05,0.15,0.85,0.82,0.02
S0921,0.07,0.1,0.01,0.08,0.0,0.04,0.05,0.09,0.05,0.62
S0922,0.0,0.9,0.0,0.07,0.01,0.0,0.02,0.02,0.0,0.0
S0923,0.01,0.0,0.84,0.06,0.0,0.02,0.1,0.0,0.9,0.0
S0924,0.01,0.01,0.02,0.02,0.0,0.01,0.94,0.0,0.01,0.0
S0925,0.06,0.02,0.01,0.04,0.0,0.01,0.81,0.01,0.0,0.01
S0926,0.08,0.0,0.0,0.04,0.01,0.0,0.28,0.03,0.01,0.0
S0927,0.71,0.01,0.0,0.04,0.0,0.05,0.18,0.06,0.05,0.0
S0928,0.01,0.03,0.06,0.15,0.0,0.83,0.91,0.0,0.0,0.0
S0929,0.04,0.09,0.04,0.08,0.05,0.1,0.04,0.06,0.9,0.0
S0930,0.71,0.71,0.03,0.69,0.0,0.68,0.76,0.7,0.68,0.01
S0931,0.0,0.0,0.05,0.01,0.0,0.02,0.05,0.78,0.0,0.0
S0932,0.01,0.0,0.02,0.02,0.0,0.02,0.02,0.0,0.92,0.02
S0933,0.07,0.06,0.18,0.08,0.0,0.07,0.03,0.09,0.09,0.04
S0934,0.01,0.0,0.0,0.09,0.0,0.82,0.07,0.02,0.02,0.0
S0935,0.0,0.0,0.1,0.04,0.0,0.1,0.87,0.01,0.05,0.0
S0936,0.0,0.0,0.86,0.17,0.0,0.01,0.03,0.0,0.03,0.0
S0937,0.77,0.03,0.0,0.02,0.0,0.01,0.19,0.1,0.11,0.17
S0938,0.14,0.08,0.01,0.07,0.0,0.06,0.05,0.09,0.06,0.01
S0939,0.05,0.03,0.04,0.06,0.02,0.05,0.02,0.06,0.94,0.05
S0940,0.71,0.01,0.01,0.03,0.0,0.01,0.21,0.02,0.05,0.0
S0941,0.97,0.94,0.02,0.99,0.0,0.97,0.96,0.98,0.98,0.04
S0942,0.01,0.0,0.03,0.73,0.0,0.71,0.07,0.03,0.01,0.01
S0943,0.01,0.99,0.01,0.03,0.01,0.0,0.0,0.0,0.01,0.01
S0944,0.91,0.96,0.03,0.92,0.0,0.93,0.9,0.9,0.97,0.04
S0945,0.01,0.02,0.86,0.89,0.01,0.01,0.94,0.01,0.01,0.0
S0946,0.04,0.11,0.03,0.07,0.15,0.09,0.06,0.08,0.76,0.04
S0947,0.0,0.04,0.03,0.1,0.0,0.13,0.06,0.1,0.04,0.0
S0948,0.0,0.0,0.05,0.71,0.0,0.98,0.92,0.0,0.01,0.0
S0949,0.04,0.01,0.0,0.78,0.0,0.02,0.0,0.05,0.83,0.09
S0950,0.01,0.01,0.79,0.83,0.0,0.14,0.95,0.0,0.0,0.0
S0951,0.02,0.0,0.8,0.04,0.0,0.0,0.03,0.0,0.97,0.0
S0952,0.01,0.01,0.27,0.08,0.0,0.0,0.15,0.04,0.0,0.01
S0953,0.01,0.02,0.81,0.03,0.0,0.01,0.95,0.0,0.03,0.0
S0954,0.06,0.02,0.02,0.14,0.0,0.84,0.14,0.01,0.13,0.0
S0955,0.02,0.07,0.0,0.0,0.98,0.0,0.05,0.0,0.03,0.0
S0956,0.02,0.03,0.89,0.71,0.0,0.01,0.1,0.03,0.89,0.01
S0957,0.81,0.83,0.01,0.85,0.01,0.03,0.01,0.82,0.89,0.0
S0958,0.0,0.93,0.0,0.07,0.01,0.01,0.05,0.04,0.0,0.0
S0959,0.01,0.19,0.0,0.07,0.08,0.03,0.7,0.04,0.07,0.03
S0960,0.02,0.02,0.01,0.88,0.0,0.87,0.03,0.02,0.0,0.01
S0961,0.0,0.06,0.02,0.22,0.0,0.0,0.05,0.01,0.01,0.02
S0962,0.66,0.0,0.94,0.0,0.0,0.07,0.04,0.0,0.04,0.0
S0963,0.01,0.05,0.06,0.01,0.0,0.02,0.0,0.06,0.0,0.0
S0964,0.01,0.0,0.14,0.1,0.0,0.85,0.99,0.0,0.01,0.0
S0965,0.06,0.04,0.0,0.01,0.02,0.03,0.01,0.02,0.95,0.01
S0966,0.06,0.02,0.0,0.01,0.0,0.05,0.01,0.09,0.02,0.02
S0967,0.0,0.02,0.04,0.2,0.0,0.05,0.03,0.02,0.83,0.0
S0968,0.02,0.01,0.76,0.0,0.0,0.0,0.05,0.72,0.0,0.0
S0969,0.0,0.01,0.0,0.74,0.0,0.0,0.01,0.18,0.0,0.0
S0970,0.02,0.02,0.03,0.01,0.0,0.01,0.72,0.0,0.07,0.01
S0971,0.01,0.0,0.77,0.05,0.0,0.05,0.03,0.07,0.0,0.0
S0972,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.91,0.0,0.0
S0973,0.01,0.0,0.01,0.02,0.0,0.0,0.02,0.94,0.0,0.01
S0974,0.05,0.0,0.74,0.77,0.0,0.77,0.21,0.0,0.06,0.0
S0975,0.01,0.03,0.0,0.01,0.0,0.03,0.89,0.02,0.0,0.01
S0976,0.0,0.0,0.81,0.02,0.0,0.0,0.04,0.0,0.93,0.0
S0977,0.04,0.0,0.0,0.01,0.0,0.01,0.82,0.06,0.08,0.01
S0978,0.0,0.8,0.01,0.06,0.0,0.05,0.08,0.0,0.09,0.01
S0979,0.96,0.96,0.0,0.99,0.0,0.94,0.97,0.93,0.98,0.0
S0980,0.08,0.06,0.0,0.0,0.0,0.01,0.07,0.13,0.67,0.0
S0981,0.02,0.0,0.01,0.01,0.0,0.93,0.06,0.05,0.05,0.88
S0982,0.01,0.9,0.01,0.01,0.03,0.02,0.02,0.01,0.02,0.0
S0983,0.05,0.0,0.0,0.0,0.0,0.04,0.67,0.1,0.02,0.0
S0984,0.06,0.01,0.01,0.02,0.0,0.01,0.1,0.08,0.06,0.0
S0985,0.01,0.8,0.05,0.06,0.02,0.03,0.1,0.02,0.06,0.0
S0986,0.1,0.02,0.08,0.1,0.0,0.02,0.69,0.07,0.02,0.0
