sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.0027743236,0.0024581347,0.00362167,0.0019806412,0.0010622988,0.0034729936,0.0034574496,0.16917612,0.0025614921,0.0029646985
S0767,0.011714796,0.0058991723,0.0018719576,0.011340539,0.0005995582,0.0052585695,0.029265296,0.19725953,0.016024146,0.00081770995
S0768,0.91144764,0.16953045,0.0010416524,0.009049113,0.0020064015,0.0026003763,0.139395,0.48904508,0.01167353,0.0010380711
S0769,0.0017070351,0.0017543122,0.026151871,0.010429563,0.00072585774,0.9868248,0.029634178,0.003392939,0.96270674,0.0024622667
S0770,0.021619461,0.0022625572,0.0040118764,0.30283028,0.0011773126,0.99690056,0.96433127,0.0014273926,0.0044676205,0.0006891589
S0771,0.058505908,0.15193385,0.002564154,0.46378812,0.002111153,0.42639634,0.38206923,0.08031116,0.09715176,0.0011007468
S0772,0.009118405,0.0020590886,0.0043838867,0.0057459082,0.0006809456,0.011723389,0.98186,0.002713581,0.0025344302,0.0006204933
S0773,0.0041226177,0.030976374,0.0058163544,0.28811035,0.0018104998,0.28702328,0.029003572,0.0064487047,0.004686736,0.0023988844
S0774,0.3830399,0.0025542437,0.0020057505,0.0013147258,0.0005995582,0.0016829986,0.037690546,0.07539063,0.0031781814,0.00074175856
S0775,0.02585928,0.0024146882,0.037275374,0.01569083,0.0005995582,0.008161905,0.93313414,0.0039557735,0.0054555708,0.0007058013
S0776,0.012023942,0.015524965,0.6149385,0.062126454,0.0005995582,0.010212809,0.02082238,0.004331788,0.010617095,0.000696515
S0777,0.003225796,0.002844823,0.6687294,0.007983578,0.0021000418,0.001924331,0.011667837,0.048465382,0.0033517773,0.0038446633
S0778,0.8655778,0.8778913,0.0019040493,0.86726934,0.0009026303,0.529854,0.6788639,0.8698501,0.94432735,0.0010759732
S0779,0.026969261,0.0154817635,0.08584784,0.20542757,0.0019250646,0.022475993,0.074863054,0.005138514,0.37010002,0.034099996
S0780,0.003380962,0.0025030584,0.011402858,0.010941977,0.0006696025,0.99692804,0.6278182,0.0010786966,0.003034713,0.00067166594
S0781,0.0031464444,0.0014933541,0.03252845,0.0019167281,0.0006809456,0.0023455236,0.050110206,0.0022679241,0.0026113035,0.0010499515
S0782,0.040126644,0.002663564,0.00298741,0.0025258414,0.0011405597,0.0027575318,0.046161387,0.17140938,0.0048944573,0.06364611
S0783,0.361598,0.007734158,0.0031050383,0.01745303,0.00064076384,0.85320306,0.92436105,0.0024328262,0.10178297,0.0010919013
S0784,0.58577543,0.0068245945,0.0017148554,0.0010346614,0.0005995582,0.0019873967,0.010970592,0.10594221,0.0015053952,0.0021936398
S0785,0.08697376,0.023949448,0.002170433,0.011770702,0.0005995582,0.012620427,0.058291607,0.028090328,0.44726294,0.2535861
S0786,0.0014159206,0.0024573256,0.0071172733,0.8494892,0.0006809456,0.99131787,0.98683643,0.0018741355,0.00087436097,0.0006768339
S0787,0.0072528487,0.0019453809,0.56932145,0.21507174,0.0005995582,0.15856922,0.9935813,0.0061716232,0.0024630656,0.0007022889
S0788,0.9876325,0.98535883,0.001730788,0.9950836,0.0018037269,0.964741,0.99021447,0.9952791,0.9771245,0.0025801493
S0789,0.017577657,0.0018543926,0.002445561,0.006275116,0.00064076384,0.003567621,0.60361373,0.6405263,0.0034610578,0.0007721007
S0790,0.0009537639,0.003826159,0.0010278319,0.009710072,0.0005995582,0.017428614,0.9866457,0.0020868378,0.0019513534,0.00066852325
S0791,0.0018437884,0.0012428897,0.0812639,0.80638564,0.00091941527,0.87074566,0.99282235,0.004744889,0.00090520846,0.0006632114
S0792,0.0052962224,0.004903132,0.84696233,0.010128475,0.00064076384,0.012511073,0.011137815,0.0048183193,0.002502806,0.0008615239
S0793,0.0114375595,0.13561805,0.00731363,0.018597351,0.0043230457,0.010483248,0.0036358451,0.00804046,0.015228629,0.0028715092
S0794,0.011468635,0.019485397,0.0018348336,0.84202164,0.0031483981,0.0029504618,0.014688609,0.29595536,0.0035592453,0.0030255818
S0795,0.0013281843,0.0019238126,0.0019379192,0.0021463996,0.00064076384,0.0036652023,0.9417335,0.0024237575,0.0017755614,0.00441599
S0796,0.0010228407,0.0010209841,0.7366322,0.004032376,0.0005995582,0.0098152375,0.9025622,0.0010289336,0.00219066,0.0005872138
S0797,0.01761844,0.0034039144,0.13095272,0.0042959233,0.00071628863,0.0039655007,0.005057855,0.002479736,0.9614725,0.006594334
S0798,0.0065622064,0.027011126,0.0014931245,0.0050936667,0.9699987,0.005105892,0.0076382942,0.0057415375,0.0030607183,0.0018113124
S0799,0.004234327,0.021668728,0.26062846,0.13759607,0.0057120677,0.0067984173,0.020087438,0.034504592,0.004786512,0.012616285
S0800,0.001250914,0.0007161467,0.0024266497,0.91842467,0.0005995582,0.9832956,0.12343099,0.0011349666,0.0011881182,0.0006940494
S0801,0.007244058,0.0020616788,0.7139671,0.9807972,0.0006809456,0.1358397,0.9968459,0.0059399796,0.0028880988,0.0006993895
S0802,0.0026462297,0.007218661,0.0020536215,0.049136024,0.0031483981,0.0027148847,0.010096952,0.905217,0.0040333224,0.0030255818
S0803,0.002355855,0.0014542332,0.28801996,0.018540386,0.001119247,0.008911451,0.9892924,0.0010412753,0.0030289004,0.0008090509
S0804,0.0032833512,0.0020261798,0.057158332,0.08128011,0.0007277407,0.0055296686,0.0034812167,0.009503292,0.13879323,0.00082494813
S0805,0.0041852337,0.046458412,0.0028918942,0.06352723,0.0005995582,0.85903025,0.28714487,0.006128326,0.011193205,0.67145467
S0806,0.0011809045,0.007959314,0.16977099,0.583395,0.00071628863,0.6464922,0.070749424,0.0029722827,0.0053880773,0.00083956553
S0807,0.0010134836,0.0012204709,0.99117357,0.003063309,0.0005995582,0.004120468,0.97605973,0.001057628,0.065966435,0.0006891589
S0808,0.008091498,0.0054076514,0.0062677404,0.0062716026,0.0016363272,0.0042787185,0.0051430645,0.004855629,0.99352247,0.0054715397
S0809,0.003047409,0.013080329,0.0066299518,0.02756942,0.0021055941,0.021535454,0.030029941,0.0060154963,0.015321663,0.002483707
S0810,0.0011707888,0.1188439,0.002485409,0.009963617,0.98727626,0.0026436197,0.0033619616,0.001614963,0.0034077128,0.002610037
S0811,0.005211454,0.0082463985,0.017216666,0.29684606,0.0012482188,0.99593675,0.32528445,0.00620744,0.0061912355,0.0017772737
S0812,0.0047462583,0.9935454,0.0022813787,0.012498766,0.0036520076,0.003922179,0.0055645737,0.005846858,0.0040658703,0.0015979079
S0813,0.0012476774,0.0075698188,0.003034596,0.010997575,0.6814285,0.0026371994,0.0046481267,0.0010562661,0.002425182,0.0019264844
S0814,0.02801564,0.012103088,0.23188193,0.021607464,0.0011078138,0.014511003,0.010580842,0.02347955,0.15302089,0.00093573076
S0815,0.0064155892,0.0015208633,0.3490788,0.39450687,0.0005995582,0.09312344,0.9899324,0.0061579775,0.0018818295,0.0005941248
S0816,0.003032139,0.0049999403,0.002196116,0.0056289225,0.0005995582,0.0020464582,0.02208872,0.0020310732,0.00616623,0.0007688778
S0817,0.0022996792,0.0015619746,0.0017512001,0.004537469,0.0006809456,0.0027134998,0.031206379,0.0059711873,0.002798274,0.0008541368
S0818,0.080054834,0.017832303,0.0015713914,0.9515509,0.00071755267,0.010678276,0.008663871,0.018374885,0.8986129,0.04546851
S0819,0.022085927,0.002976702,0.06749093,0.9547074,0.00078761304,0.05900645,0.99365073,0.004280549,0.007803666,0.0006382181
S0820,0.0016661555,0.0022225652,0.04046825,0.0018554009,0.0006809456,0.0023184833,0.9717819,0.0012294868,0.0014080569,0.0007008901
S0821,0.0009827688,0.00076564244,0.96154785,0.927263,0.0005995582,0.017430834,0.9547606,0.00094204175,0.022803534,0.000701163
S0822,0.010003644,0.0012767513,0.005070423,0.0014137843,0.000964645,0.0043154974,0.9203844,0.023170903,0.0030702516,0.0028879535
S0823,0.00909468,0.0034791564,0.00975909,0.004252852,0.0024764556,0.0039223484,0.007446039,0.0036123318,0.98480505,0.0010637074
S0824,0.0032839114,0.0006724589,0.00832973,0.32391068,0.0005995582,0.86071336,0.050031118,0.001953482,0.001117081,0.0007031444
S0825,0.0043425616,0.0017405901,0.95989543,0.0070026717,0.0005995582,0.00823676,0.85211885,0.0010651499,0.009220794,0.0006313235
S0826,0.006023822,0.023421995,0.0016679101,0.009977483,0.9594685,0.021246707,0.007690639,0.0041568554,0.0025145714,0.0017119314
S0827,0.0010269026,0.0011377557,0.20402184,0.08700004,0.00071628863,0.9830179,0.11502402,0.00079598546,0.03367897,0.0006387362
S0828,0.00091215345,0.00075977016,0.49905694,0.39089116,0.0006809456,0.0059605488,0.06179205,0.0007377639,0.014803061,0.0006337092
S0829,0.004131641,0.0021481488,0.0033258307,0.0047768475,0.0027700064,0.0044408473,0.009281,0.001894916,0.9880783,0.00084677665
S0830,0.0014268463,0.002201224,0.020913795,0.28264126,0.0006809456,0.5938025,0.9929964,0.0013755019,0.0010939504,0.0006313235
S0831,0.7410164,0.02305216,0.031769842,0.008389025,0.0005995582,0.072031744,0.14885512,0.15702942,0.13175525,0.00084675284
S0832,0.0070365933,0.01897016,0.0011714346,0.0086604515,0.9699987,0.005235453,0.016459497,0.010700221,0.003938663,0.0018113124
S0833,0.009438099,0.010389089,0.017711379,0.0023958418,0.0015658009,0.95408756,0.003098695,0.007071418,0.059459817,0.0021178226
S0834,0.017104475,0.025535883,0.010483332,0.011939113,0.0015354735,0.0417633,0.063798234,0.012009767,0.9739721,0.00516071
S0835,0.0060468027,0.0054973396,0.0031663026,0.0022448697,0.0009026303,0.0037318268,0.0040657753,0.7510913,0.00508333,0.003177044
S0836,0.0042557465,0.0014624164,0.026828391,0.0044874856,0.0005995582,0.0020438246,0.0032522797,0.001682659,0.9860064,0.0010882762
S0837,0.0008845077,0.0035693794,0.2474689,0.019296411,0.0005995582,0.00744912,0.009372168,0.0018573091,0.9855752,0.0022257671
S0838,0.024629073,0.009898302,0.0026307756,0.00293868,0.0005995582,0.0030179033,0.9946293,0.043689538,0.0033572677,0.0006398353
S0839,0.0113595985,0.0056619025,0.0042765555,0.044724233,0.0021615596,0.024003547,0.011579774,0.49459743,0.0037152998,0.0038035635
S0840,0.03084216,0.0048325527,0.0027231611,0.009240178,0.00064076384,0.024737595,0.97470164,0.0027748381,0.003222578,0.0029487608
S0841,0.020509973,0.0025535587,0.001971254,0.0053307894,0.0006809456,0.0016341825,0.007777434,0.008249773,0.009807275,0.0009324704
S0842,0.011362517,0.006057614,0.003996879,0.06827161,0.0013316852,0.008864553,0.011878767,0.07911429,0.75870067,0.5997049
S0843,0.02367296,0.004313334,0.0016008142,0.0026812598,0.0005995582,0.001220858,0.29848287,0.25100717,0.0048753023,0.0008068052
S0844,0.010019329,0.0059955283,0.0038861558,0.0078012845,0.0031483981,0.0025657646,0.012002605,0.595865,0.006009495,0.002805451
S0845,0.9839462,0.98491734,0.0017502693,0.92658925,0.00097578455,0.80665034,0.9853923,0.92673606,0.7990059,0.00550895
S0846,0.0040468336,0.0013176008,0.0013423369,0.002126957,0.0005995582,0.0012612056,0.00670995,0.005658336,0.001851321,0.00073152286
S0847,0.0008395767,0.39127705,0.012433384,0.50138026,0.001323248,0.008170932,0.033763975,0.004010859,0.021205273,0.0027004313
S0848,0.0011278888,0.0022011057,0.0016024932,0.0030459797,0.00064076384,0.008763545,0.9791772,0.0025856846,0.0028044814,0.0024087813
S0849,0.0024289663,0.03934342,0.007043463,0.11717829,0.0005995582,0.08780165,0.04389793,0.011184384,0.8972241,0.26391077
S0850,0.04140472,0.010147458,0.0047181095,0.0038701557,0.005218133,0.0070586735,0.26861227,0.0021215687,0.50001186,0.0021904213
S0851,0.7806165,0.3631165,0.015553319,0.15919733,0.0021509973,0.039642625,0.65705466,0.5648885,0.03271181,0.0008590651
S0852,0.023100134,0.025568547,0.009920823,0.009688605,0.0014409929,0.9718768,0.01184546,0.017988268,0.062549904,0.0011512833
S0853,0.003840655,0.00564954,0.70009065,0.030320793,0.0009994793,0.025112648,0.41303682,0.04586185,0.0054574963,0.001790743
S0854,0.0085145505,0.0024837942,0.06916532,0.00801892,0.00064076384,0.09472124,0.7578349,0.021497302,0.242257,0.00082494813
S0855,0.0009940809,0.001132692,0.5811278,0.9546206,0.0005995582,0.6048434,0.9885988,0.0014518262,0.0016702764,0.000567057
S0856,0.0016204503,0.011453616,0.0071996,0.0042110826,0.0014371934,0.0016271794,0.013351454,0.020790167,0.72253424,0.0039475886
S0857,0.012817793,0.08799492,0.0034688062,0.7578045,0.0028841072,0.0031664951,0.12728913,0.056150008,0.004419385,0.0029857985
S0858,0.0071213413,0.015368725,0.003204769,0.30543005,0.0028841072,0.0035034935,0.24345537,0.031857554,0.0042265975,0.0072484007
S0859,0.04616353,0.031608738,0.0016844077,0.004078661,0.00064076384,0.015056618,0.8626668,0.0057208515,0.013312879,0.61796737
S0860,0.14052884,0.010577587,0.11405363,0.18340787,0.0018511501,0.0045048585,0.038666524,0.0035718954,0.31566975,0.070994236
S0861,0.00095852057,0.0016914585,0.6325467,0.2003117,0.0006809456,0.8253439,0.7664355,0.0018990077,0.0015826743,0.0007448078
S0862,0.0010822177,0.0011761407,0.739406,0.16722833,0.00071628863,0.05994291,0.04515926,0.00082497724,0.008071797,0.0006609027
S0863,0.0028611638,0.05424419,0.001571978,0.01626138,0.0007277407,0.005577137,0.6448613,0.0033028603,0.006762278,0.0022174763
S0864,0.0032502722,0.6996946,0.0038348783,0.029075885,0.0015657666,0.10169636,0.03772116,0.005800934,0.50685656,0.80096346
S0865,0.0027374863,0.0009913311,0.0042037247,0.03740594,0.0009855251,0.9967338,0.01536436,0.0011870577,0.002129131,0.0007299268
S0866,0.016080014,0.0046644807,0.03556275,0.01428417,0.00205142,0.004678906,0.062406056,0.0041142507,0.057947416,0.0008052687
S0867,0.003557274,0.001850225,0.0035881924,0.0029036188,0.0005995582,0.0013803869,0.004646376,0.003873133,0.0018076417,0.00068015006
S0868,0.0704024,0.06975086,0.0038060416,0.06458096,0.0019246425,0.375556,0.06723883,0.018277498,0.061703082,0.002285198
S0869,0.0042553307,0.0036691816,0.003698705,0.01207969,0.0005995582,0.97713375,0.0026072296,0.0059764762,0.005932571,0.9910924
S0870,0.0053968495,0.99170774,0.031050753,0.004117974,0.005334517,0.007886252,0.0026917104,0.016054083,0.013916911,0.0026525497
S0871,0.0021787146,0.0011193549,0.0027724218,0.0034030653,0.0012499291,0.99814916,0.58134806,0.00097437424,0.003191089,0.0007063871
S0872,0.0018973624,0.005708567,0.0026126725,0.004544263,0.0007277407,0.007984822,0.88041556,0.0020047647,0.0018808463,0.0006835675
S0873,0.0014361427,0.023585783,0.003697702,0.009614582,0.003184664,0.0051743393,0.06639958,0.0019515137,0.45060757,0.0024330993
