sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.031552542,0.4672171,0.033616487,0.5171601,0.0006875395,0.031232985,0.0283604,0.019267507,0.14582789,0.0042136787
S0767,0.04172256,0.36733297,0.015990874,0.63054806,0.0011067779,0.039892297,0.09571172,0.05092572,0.060657814,0.0020912923
S0768,0.024059536,0.29694256,0.020171879,0.53712344,0.0015398595,0.08181234,0.06750984,0.044446304,0.0481902,0.012600235
S0769,0.02659946,0.52824396,0.4860378,0.1841879,0.0029496835,0.02533081,0.01422161,0.089318916,0.21939977,0.0028946537
S0770,0.03879926,0.62786376,0.103728056,0.021913365,0.004141771,0.09700888,0.008774093,0.39633298,0.2331631,0.0031345363
S0771,0.026096595,0.23948233,0.040129244,0.6753522,0.001054808,0.017415693,0.013902732,0.040908523,0.047901347,0.0017193935
S0772,0.018615266,0.17940448,0.44560772,0.19449686,0.0029610798,0.043873005,0.028346509,0.104999006,0.098281436,0.0031011766
S0773,0.061373957,0.4726703,0.025329039,0.6405073,0.00093079306,0.09689069,0.01526239,0.01927906,0.116785355,0.018026168
S0774,0.025518904,0.17226909,0.027100796,0.6504033,0.001054808,0.05515622,0.034791175,0.035757747,0.034407903,0.002163978
S0775,0.03405811,0.599646,0.5711742,0.29770726,0.0029610798,0.036878195,0.015242522,0.08916124,0.10926632,0.002553164
S0776,0.032040853,0.16422254,0.025536144,0.6628867,0.0013491412,0.066549145,0.04542266,0.01992598,0.03346366,0.011264358
S0777,0.10007894,0.32707644,0.01304554,0.18102585,0.0010803837,0.028038459,0.036685877,0.025202876,0.102453254,0.010347247
S0778,0.029928599,0.25579536,0.03194562,0.6300772,0.001054808,0.021452246,0.016686527,0.03678613,0.0331592,0.0037479692
S0779,0.035622813,0.38005733,0.18811022,0.023872864,0.0050389026,0.043691948,0.011053875,0.2337543,0.21054876,0.0029129095
S0780,0.036990676,0.60620177,0.10338765,0.037498876,0.004842261,0.048457537,0.011702799,0.23598373,0.14326862,0.0016810081
S0781,0.019140385,0.11828791,0.12567647,0.46942207,0.0031668835,0.15960461,0.07638647,0.15783271,0.068317056,0.0021958295
S0782,0.071185715,0.63961655,0.043875802,0.27713683,0.0028812892,0.07842141,0.076881476,0.09600657,0.09982745,0.06202623
S0783,0.025277112,0.11955734,0.028647952,0.13689023,0.0031532403,0.026547942,0.04558064,0.030364752,0.074666,0.002875455
S0784,0.04189377,0.23737687,0.026735922,0.5726339,0.0009996131,0.03070395,0.051628493,0.044549916,0.04561202,0.0033546297
S0785,0.018062815,0.20898579,0.02056648,0.14586303,0.0028812892,0.027438847,0.022433491,0.04134182,0.09010287,0.002875455
S0786,0.02364837,0.22121301,0.42098552,0.25296652,0.0038929547,0.027902469,0.016321821,0.15802917,0.0873059,0.0031011766
S0787,0.026193613,0.057940673,0.42829525,0.52492934,0.0038929547,0.032893337,0.02092637,0.17620608,0.13712561,0.002553164
S0788,0.017929725,0.5252663,0.14880222,0.0388051,0.00529234,0.036138166,0.018439878,0.10717819,0.365804,0.0030179208
S0789,0.05946389,0.34012055,0.011839646,0.48943508,0.0012547935,0.13618697,0.10159881,0.0771586,0.07386886,0.0020451809
S0790,0.042930644,0.1322931,0.3772538,0.39086655,0.0029610798,0.04338044,0.013608476,0.06435935,0.08894083,0.002733343
S0791,0.020572422,0.05577886,0.38883084,0.561616,0.0038929547,0.06823105,0.023409782,0.15586802,0.11583242,0.0035269056
S0792,0.032412224,0.5263261,0.54253584,0.13416786,0.0027698933,0.04968945,0.011216069,0.044265173,0.115084164,0.0028722412
S0793,0.01479419,0.21723442,0.52851975,0.7978353,0.0016943283,0.25956383,0.041684672,0.06423596,0.09748339,0.13589211
S0794,0.013112889,0.7250184,0.15299116,0.011239091,0.00529234,0.039468426,0.0113176,0.10788106,0.34189853,0.0058081876
S0795,0.011542922,0.43633783,0.037006695,0.1295645,0.0029610798,0.030658912,0.039473172,0.040077247,0.12165293,0.002875455
S0796,0.02158875,0.24235527,0.3555937,0.112258546,0.0029610798,0.04931729,0.058585096,0.067927666,0.103073046,0.0024338714
S0797,0.065019645,0.38863719,0.5023267,0.21646273,0.004429272,0.06001358,0.03173827,0.21548985,0.11997942,0.0016609983
S0798,0.020589229,0.5697213,0.046746645,0.18981671,0.0044290973,0.07352801,0.033756003,0.044998366,0.11458199,0.0025773984
S0799,0.034531176,0.28501526,0.015754307,0.23190467,0.00093079306,0.019911975,0.030315159,0.026875703,0.080499664,0.032535743
S0800,0.034370866,0.581525,0.44824114,0.17666219,0.0027698933,0.03518,0.0121236015,0.1063873,0.18632454,0.0021522236
S0801,0.033034787,0.3361538,0.41225445,0.24664246,0.0038929547,0.08427048,0.020131886,0.1362283,0.43798053,0.0036754748
S0802,0.013112889,0.67579234,0.1663199,0.010544338,0.00529234,0.04462782,0.009943584,0.115879275,0.28668565,0.005146992
S0803,0.03157235,0.4596144,0.46769753,0.15934408,0.0038929547,0.083085336,0.020149799,0.11618973,0.10587875,0.0044213957
S0804,0.031655964,0.46337625,0.64736736,0.48318022,0.0038929547,0.037624337,0.027768448,0.08541313,0.08650628,0.0014971258
S0805,0.012545772,0.37970525,0.029138029,0.12350108,0.0028812892,0.029577978,0.028887404,0.11982563,0.10034119,0.002875455
S0806,0.04576587,0.5590715,0.404803,0.049467,0.0038929547,0.057075147,0.023115715,0.22061977,0.12530364,0.0032880579
S0807,0.036840606,0.5019966,0.47952637,0.07583268,0.0038929547,0.09116964,0.023666354,0.10488759,0.10541415,0.0030478132
S0808,0.05850974,0.56145287,0.114631265,0.08411723,0.006108834,0.10752592,0.036657374,0.17343155,0.25738955,0.0024367638
S0809,0.026402878,0.65045035,0.4171112,0.11813209,0.0038929547,0.040817395,0.009162361,0.07456358,0.10295425,0.0054737506
S0810,0.022705225,0.51197624,0.4652655,0.20160465,0.004551555,0.110186435,0.055488966,0.0666242,0.100951366,0.0095518
S0811,0.011969633,0.77118385,0.096384145,0.017870493,0.00529234,0.07196549,0.0107640205,0.12106534,0.4782293,0.0023842508
S0812,0.014547044,0.48348343,0.5066577,0.18913418,0.004551555,0.16359635,0.039528023,0.15148109,0.16541328,0.004392599
S0813,0.019858394,0.24936469,0.4245741,0.41060796,0.0038929547,0.074201785,0.03367008,0.04072925,0.08565115,0.05560489
S0814,0.011175075,0.67120975,0.11906409,0.01577814,0.004842261,0.057401128,0.019245505,0.09105868,0.2556115,0.002741334
S0815,0.030725366,0.12225996,0.4878812,0.6360144,0.0038929547,0.07121498,0.02053779,0.1960096,0.13032222,0.0044213957
S0816,0.020753087,0.31194648,0.018504938,0.6079385,0.001054808,0.016406586,0.027009433,0.05116041,0.06303232,0.002883593
S0817,0.02098665,0.11392215,0.066314824,0.55128217,0.0027698933,0.15843938,0.05501518,0.15076959,0.061415367,0.0021958295
S0818,0.028002186,0.21765725,0.56102073,0.863396,0.0040512024,0.058781743,0.07606328,0.12553008,0.27509186,0.0018752187
S0819,0.029441927,0.55642885,0.12172122,0.11864276,0.004141771,0.049355004,0.013985848,0.26314682,0.12532341,0.0016810081
S0820,0.020794258,0.1515182,0.39079818,0.3363824,0.0029610798,0.059510544,0.018086912,0.077372625,0.101861596,0.0024338714
S0821,0.03502521,0.37897742,0.4512903,0.344934,0.0038929547,0.024008673,0.013097976,0.15059379,0.21653342,0.00221738
S0822,0.020541873,0.37641206,0.0322747,0.39612988,0.0029610798,0.023123087,0.024729583,0.07947779,0.11414589,0.0060684127
S0823,0.021399068,0.52093416,0.11002887,0.07944334,0.002817051,0.056312785,0.008150815,0.06520977,0.16496968,0.0018912958
S0824,0.018305706,0.37134308,0.4966223,0.41255525,0.0027698933,0.05181832,0.018620973,0.18481624,0.109548636,0.002553164
S0825,0.021416506,0.09625202,0.46712363,0.2163051,0.0038929547,0.07684832,0.021960182,0.075996526,0.10544809,0.0024338714
S0826,0.020065848,0.35752967,0.039298482,0.32018542,0.0044290973,0.07179297,0.046466414,0.03265903,0.08668041,0.029680554
S0827,0.033267714,0.55964655,0.34491736,0.027752146,0.004092955,0.038725074,0.009300329,0.1834845,0.17371428,0.0031345363
S0828,0.020686256,0.60772973,0.41968054,0.04560711,0.0038929547,0.037386544,0.033217214,0.19450782,0.18915667,0.00221738
S0829,0.031330913,0.7459049,0.0887548,0.033040985,0.004141771,0.08868711,0.04580767,0.676536,0.20949808,0.0034784242
S0830,0.023614885,0.084045716,0.3807658,0.49806535,0.0029610798,0.06256992,0.04343185,0.13379496,0.1391118,0.0024660844
S0831,0.016607983,0.09822494,0.33946407,0.6889559,0.0023158963,0.16115199,0.053088352,0.07196482,0.06133695,0.009384271
S0832,0.022529433,0.4754554,0.048144262,0.2549345,0.0044290973,0.06858642,0.03774108,0.03519229,0.08508962,0.015700687
S0833,0.065216295,0.48674285,0.46998343,0.11631233,0.004092955,0.15296337,0.035844218,0.5238628,0.11635809,0.003092215
S0834,0.0765986,0.32729608,0.48648438,0.7915027,0.0029344761,0.05280275,0.03347394,0.40621746,0.15683265,0.0031116342
S0835,0.047427356,0.29043275,0.0379537,0.35391095,0.0009882108,0.0491151,0.038321033,0.012717342,0.06277462,0.010731036
S0836,0.008182723,0.45513463,0.55223703,0.07106254,0.0025248337,0.025613545,0.0068897973,0.010325034,0.13606845,0.0024338714
S0837,0.03241992,0.19076806,0.31617957,0.15073313,0.0029496835,0.021740934,0.020050988,0.110321485,0.20999889,0.0030519946
S0838,0.02143247,0.32234228,0.020349024,0.46463874,0.0029610798,0.016865134,0.06549728,0.02685243,0.060105518,0.004398413
S0839,0.060668387,0.34362957,0.019869171,0.1602214,0.00088208175,0.035699394,0.051644392,0.041229904,0.1080381,0.034349617
S0840,0.02927835,0.12023211,0.14706825,0.12754244,0.0029610798,0.028943034,0.0231292,0.034764558,0.1794372,0.0030519946
S0841,0.015340156,0.327945,0.02090516,0.54226255,0.0012983204,0.0676302,0.04660324,0.09198484,0.063654035,0.002323357
S0842,0.029536946,0.20949975,0.052634634,0.26826006,0.0028812892,0.024504837,0.02845479,0.08554714,0.034127112,0.028895736
S0843,0.01877759,0.30803937,0.016009523,0.58290374,0.0016604902,0.05970425,0.06281294,0.031066127,0.06806036,0.002323357
S0844,0.013112889,0.67579234,0.18163498,0.010960704,0.00529234,0.042132974,0.010112244,0.11779487,0.24264957,0.005146992
S0845,0.04574501,0.1205678,0.075615615,0.3202467,0.0030815643,0.023136264,0.023486843,0.072602585,0.054626625,0.0052527883
S0846,0.016789513,0.31645906,0.020491842,0.5669468,0.0014155923,0.07371336,0.027190287,0.02912357,0.06608038,0.0026016813
S0847,0.012942707,0.43723688,0.025848275,0.12712179,0.0029610798,0.030738477,0.016034067,0.046091042,0.103669636,0.006313698
S0848,0.014959039,0.42431957,0.20831552,0.15957619,0.0029610798,0.016850585,0.027973264,0.0770645,0.1278674,0.0030519946
S0849,0.04415684,0.37506083,0.034017846,0.14662735,0.0028812892,0.012340581,0.033992942,0.11702921,0.07169598,0.0030519946
S0850,0.025179291,0.5413644,0.45982158,0.021803193,0.004141771,0.05297304,0.017852383,0.14847673,0.34340432,0.0024284117
S0851,0.023899768,0.14683984,0.019946836,0.6072904,0.0013491412,0.07740844,0.03134021,0.02779485,0.057484403,0.012600235
S0852,0.07260475,0.79129213,0.09327944,0.019872408,0.004141771,0.09368693,0.017731557,0.44305462,0.27239275,0.003081623
S0853,0.12214261,0.110092714,0.044714335,0.6256591,0.001054808,0.029126858,0.022319607,0.043692037,0.09685343,0.006461867
