sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.006239627,0.01145299,0.0035451152,0.0060868505,0.0034636143,0.012305625,0.005566809,0.0116904145,0.9294451,0.0023340697
S0767,0.015471185,0.98699284,0.0063833348,0.014428908,0.007944459,0.014567272,0.015032177,0.0064142453,0.013032733,0.002259643
S0768,0.038192112,0.0014615983,0.03839062,0.013934467,0.0007234714,0.9558517,0.008153996,0.009898217,0.03060342,0.00058047613
S0769,0.005037196,0.89349204,0.0023778228,0.7787941,0.0014041662,0.0052805096,0.018778441,0.0018011137,0.91074383,0.0008762459
S0770,0.001964007,0.0030343265,0.024809647,0.95149785,0.0005008302,0.9916945,0.9682433,0.0018708478,0.003866071,0.0012716709
S0771,0.0088199545,0.010595898,0.0037742765,0.020183282,0.98105836,0.0019637453,0.0037839294,0.0066947215,0.004215836,0.00087944866
S0772,0.0019178586,0.0023498838,0.72665066,0.021730157,0.0012637386,0.027096787,0.8610621,0.010398771,0.002474088,0.0009700565
S0773,0.008266616,0.0051919166,0.024188964,0.9355615,0.0012101647,0.94755644,0.029818773,0.01793536,0.015982848,0.0007865263
S0774,0.0022243084,0.011100741,0.003019699,0.94719726,0.0037878228,0.0022461934,0.023843955,0.015176051,0.0021823384,0.0146457935
S0775,0.0025913762,0.011502015,0.003412088,0.07947553,0.0008634025,0.99504566,0.0433392,0.0084929615,0.004272845,0.0007855211
S0776,0.005977233,0.0027795737,0.011207769,0.9152862,0.0012740836,0.0076264483,0.00814829,0.0056859474,0.9912089,0.00551418
S0777,0.024316605,0.0059784935,0.0034235758,0.006742933,0.0009680359,0.004788645,0.96675414,0.0032093723,0.0070595024,0.001596514
S0778,0.0014968507,0.00097329705,0.9797696,0.9095325,0.0005467706,0.011007091,0.95927733,0.001682253,0.0042485106,0.0009915985
S0779,0.0022340051,0.0020277258,0.014925877,0.006866388,0.00047766464,0.98564386,0.0073425034,0.002782388,0.0049685966,0.98144984
S0780,0.0016053666,0.003591136,0.96410865,0.9719044,0.00047766464,0.014479262,0.9854694,0.0017887326,0.0047542364,0.0009778612
S0781,0.0014787462,0.0018365339,0.051107183,0.9751721,0.00065190415,0.013290923,0.015878664,0.0022816001,0.009477227,0.0011952275
S0782,0.9819027,0.97932714,0.010471729,0.9410589,0.00047766464,0.9703564,0.97142315,0.9849524,0.9929053,0.033357345
S0783,0.031414654,0.0027745506,0.008476967,0.0036829296,0.0005467706,0.01120928,0.041691035,0.001380857,0.00928428,0.0021950305
S0784,0.02962833,0.0029442387,0.0024470517,0.0030987114,0.00047766464,0.0035977028,0.95533276,0.004428498,0.0016622483,0.00079378014
S0785,0.0041589206,0.005447407,0.0028818864,0.9735475,0.0015279206,0.013448586,0.00470875,0.009104689,0.98365,0.9284613
S0786,0.0032020237,0.0094282385,0.0012891802,0.0068079634,0.9976681,0.0019691049,0.0029300204,0.0021696514,0.007901805,0.0011417102
S0787,0.9370754,0.009119982,0.0068315505,0.015021597,0.0008634025,0.001710979,0.0368242,0.053577464,0.034599226,0.03808248
S0788,0.0046409033,0.0030589027,0.89422846,0.008645322,0.0011433564,0.002309772,0.010697239,0.011845449,0.00472685,0.0009299434
S0789,0.0026060753,0.0014266219,0.9334876,0.9867014,0.00047766464,0.09523321,0.98925775,0.0044776187,0.0020813963,0.00083470915
