sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.011655767,0.17744903,0.046439435,0.113237776,0.0004702001,0.02420628,0.111985035,0.059344478,0.10535661,0.0042233737
S0767,0.05863589,0.24067478,0.030295353,0.63303655,0.0009609611,0.03536074,0.02323932,0.02304635,0.3928339,0.0011387484
S0768,0.04818554,0.15620281,0.041204814,0.37429896,0.0011010335,0.035969473,0.036776476,0.028183814,0.3370775,0.0030760104
S0769,0.081398286,0.19658978,0.81285137,0.26696444,0.001534303,0.018126078,0.018560674,0.062495917,0.39542702,0.00089743466
S0770,0.047143284,0.4684922,0.16644153,0.15450387,0.0020876704,0.10402576,0.026831036,0.15821059,0.3652522,0.0016588941
S0771,0.08306018,0.081293225,0.050952636,0.119139574,0.0006211832,0.031247579,0.040812563,0.085207775,0.33701235,0.0016108758
S0772,0.12502824,0.12698029,0.57545066,0.16155861,0.001534303,0.025555968,0.02204725,0.030974295,0.45075586,0.0013678839
S0773,0.0146652805,0.24569564,0.044782575,0.19270597,0.0006211832,0.03505669,0.03711882,0.053028997,0.116898604,0.002345142
S0774,0.18942705,0.07990258,0.06110412,0.5628429,0.00083005807,0.048545986,0.035131395,0.02974858,0.39151403,0.0013323247
S0775,0.12382244,0.3194043,0.6034483,0.25057524,0.001534303,0.020087518,0.027444499,0.03071765,0.3851294,0.0012285262
S0776,0.051567916,0.0697161,0.03203353,0.39218092,0.00095106795,0.03061194,0.03739112,0.020235527,0.39500964,0.0019532887
S0777,0.012122384,0.16086973,0.011258093,0.1874254,0.000741218,0.023594206,0.024759578,0.02657374,0.22579795,0.0076244385
S0778,0.09639862,0.07273134,0.057298508,0.103762306,0.0008095804,0.024644393,0.042190976,0.028565865,0.2986042,0.0019869958
S0779,0.1536899,0.36862612,0.20305437,0.11557282,0.0030782265,0.025325362,0.023783233,0.070058435,0.52669626,0.0015414836
S0780,0.096534714,0.39790848,0.15231484,0.25106063,0.0024509053,0.053290885,0.041553345,0.11015398,0.5975712,0.0009658373
S0781,0.058021974,0.10533668,0.12093022,0.23756197,0.001534303,0.038496707,0.050849214,0.08102696,0.5581421,0.0009284105
S0782,0.0980275,0.13260038,0.09885165,0.2297295,0.001534303,0.016773792,0.067543656,0.035632905,0.11798029,0.017398996
S0783,0.12642038,0.25178108,0.038563754,0.12596734,0.001534303,0.020376842,0.022747498,0.030578049,0.2869295,0.0018318895
S0784,0.031902477,0.09869666,0.010822021,0.5389578,0.0008095804,0.05225965,0.024412928,0.018847687,0.21773015,0.0015904558
S0785,0.13504341,0.26246247,0.03080312,0.08647795,0.001534303,0.017875824,0.035498377,0.011083882,0.29572886,0.0015945263
S0786,0.09463408,0.13457021,0.40278816,0.2638935,0.0018918666,0.021100061,0.023449441,0.027837235,0.4143783,0.0012575543
S0787,0.13602792,0.03662589,0.47233483,0.30366614,0.0020876704,0.018238492,0.024299698,0.059997827,0.39269495,0.0012058906
S0788,0.047136277,0.8297041,0.33258137,0.041656718,0.0023302343,0.02601779,0.01128278,0.31735787,0.70547765,0.0027709194
S0789,0.46700254,0.21994202,0.042839143,0.41217315,0.0011010335,0.021052131,0.014876851,0.046661217,0.3722779,0.00096205034
S0790,0.06837866,0.11474458,0.61114633,0.2506585,0.001534303,0.024129177,0.035648655,0.008581914,0.4217687,0.0014411302
S0791,0.104323134,0.038168103,0.46752337,0.46726006,0.001881464,0.018489767,0.02540939,0.045726653,0.45165738,0.0013173636
S0792,0.07714879,0.79436386,0.74505955,0.1129297,0.001534303,0.017835837,0.019597363,0.014743014,0.337037,0.001636956
S0793,0.031754002,0.22857328,0.660213,0.39836684,0.001153659,0.33644718,0.038501743,0.098980196,0.13654354,0.0054585445
S0794,0.022858039,0.7650337,0.19262357,0.026410919,0.0021724177,0.036538955,0.009153469,0.2868551,0.57788295,0.002213813
S0795,0.090965085,0.19737995,0.058480117,0.12704068,0.001534303,0.037930943,0.045175105,0.030503096,0.3022425,0.0015901051
S0796,0.06375817,0.13700427,0.42679045,0.14023967,0.001534303,0.018631991,0.026140112,0.024742434,0.399895,0.0010750828
S0797,0.16752867,0.23279129,0.37658834,0.60096264,0.0020876704,0.14536363,0.022044206,0.07974873,0.40280202,0.0010585659
S0798,0.09009019,0.52554476,0.069148846,0.043663424,0.0033016282,0.040524967,0.055842135,0.016701775,0.294129,0.0013744779
S0799,0.010369194,0.20072977,0.014091344,0.24188782,0.0006211832,0.019941691,0.015889494,0.04639077,0.09262668,0.0055147763
S0800,0.07986465,0.22049405,0.44231144,0.2709112,0.001534303,0.020521836,0.01613459,0.03214568,0.23462732,0.0011303105
S0801,0.11661835,0.5084552,0.32000333,0.2792987,0.0020876704,0.08058864,0.02972366,0.10938351,0.25824064,0.0022735125
S0802,0.020046256,0.7344151,0.1768749,0.032173574,0.0021724177,0.036538955,0.009153469,0.22880499,0.56717694,0.0018762918
S0803,0.11278998,0.21645388,0.54046506,0.19832122,0.0020427345,0.032823935,0.037725057,0.028903533,0.40210822,0.0011598599
S0804,0.16738565,0.19491148,0.48624426,0.6348531,0.0020876704,0.031297673,0.023223108,0.010986595,0.36329708,0.0011783936
S0805,0.04092731,0.25125703,0.048312627,0.08025849,0.001534303,0.03498628,0.036881413,0.029613715,0.30063364,0.0017003184
S0806,0.11541117,0.28032488,0.5279614,0.1609032,0.0020876704,0.04974443,0.030501453,0.07771143,0.19242238,0.0018044715
S0807,0.08470651,0.14225961,0.47028527,0.09279797,0.0022541175,0.08043369,0.023107179,0.106679775,0.3595269,0.0009658373
S0808,0.21871921,0.46625623,0.08877719,0.26704517,0.0050728912,0.06237281,0.06328165,0.095872924,0.46244937,0.0009495636
S0809,0.063676104,0.5936978,0.51127523,0.11543553,0.0022541175,0.022826241,0.019522652,0.15231496,0.28350866,0.0019338746
S0810,0.076970644,0.70657605,0.5209233,0.096134864,0.0024509053,0.074296765,0.04717062,0.08922695,0.1986164,0.0020282634
S0811,0.0102196215,0.87208545,0.18179594,0.049506456,0.0021724177,0.06729218,0.024337526,0.16179754,0.577657,0.0009658373
S0812,0.13368908,0.5836869,0.2965949,0.31039444,0.0030782265,0.0661973,0.06431509,0.11924786,0.37416893,0.0019821376
S0813,0.045611415,0.6295588,0.464363,0.1825368,0.0020876704,0.034788407,0.047093164,0.07189499,0.12882964,0.0069315936
S0814,0.0067700907,0.7392593,0.18015574,0.103643686,0.002654887,0.0762522,0.02154854,0.11027083,0.3686006,0.0015009943
S0815,0.13525072,0.055884574,0.34260774,0.3587838,0.0020876704,0.0376496,0.026765332,0.08119805,0.37714836,0.0013914156
S0816,0.08311804,0.15190418,0.03769162,0.1059102,0.00095106795,0.032393396,0.03556346,0.058430362,0.29738614,0.0015284956
S0817,0.061455976,0.113976285,0.05593336,0.20600206,0.001534303,0.03470756,0.040666435,0.05930826,0.5719751,0.0010772224
S0818,0.18659155,0.09879269,0.44942302,0.7875815,0.0020876704,0.09409919,0.02255459,0.033635523,0.21619575,0.0017731569
S0819,0.07432374,0.59215134,0.15311351,0.16441523,0.0022541175,0.078617245,0.030128388,0.2084539,0.29219294,0.0013982786
