sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.0039124833,0.01152678,0.003991935,0.0082690595,0.0010560226,0.0044787456,0.010994811,0.029733436,0.005846839,0.010192151
S0767,0.16505173,0.024379404,0.008142108,0.022940168,0.0006955131,0.017954495,0.09796968,0.6517853,0.31364992,0.0031330422
S0768,0.95952785,0.12952833,0.0068034865,0.023294322,0.0050721406,0.01532647,0.11610756,0.9713202,0.060999293,0.0012850343
S0769,0.0023928965,0.0033605478,0.04944573,0.019676998,0.000745889,0.9760369,0.12090356,0.005962606,0.77890766,0.011973039
S0770,0.00232935,0.001968166,0.006482567,0.15117854,0.00086820434,0.9883084,0.95505947,0.009275464,0.0025711406,0.00086176686
S0771,0.01738077,0.46361992,0.027857503,0.08138683,0.0011218346,0.027095675,0.07967384,0.030627418,0.15894498,0.0012431365
S0772,0.022435945,0.0018366684,0.011376276,0.11951115,0.0007050618,0.10273339,0.32473955,0.0058164317,0.0033619646,0.0010072389
S0773,0.00784716,0.0047765686,0.030552074,0.5959655,0.0015935677,0.8033437,0.027439266,0.004666221,0.0015143378,0.0017080276
S0774,0.04059355,0.023898933,0.018887714,0.007840659,0.0006658254,0.023628231,0.067538925,0.17973255,0.010001401,0.000884091
S0775,0.050842855,0.0016926683,0.005145178,0.014025198,0.00053428864,0.040829055,0.8903438,0.002311412,0.029543145,0.001288364
S0776,0.0707347,0.004693757,0.80490535,0.024794327,0.0010498966,0.028723003,0.036126956,0.043831598,0.0032064617,0.0014869048
S0777,0.08608396,0.13774145,0.56058025,0.056955967,0.0011218346,0.014145928,0.034195907,0.0035836347,0.010212794,0.017069334
S0778,0.9071886,0.54907537,0.057154544,0.8708172,0.0027473555,0.5962854,0.7627272,0.7841075,0.9057281,0.0021058174
S0779,0.04836738,0.010034609,0.25579515,0.05103647,0.0012000324,0.009123167,0.018412627,0.0037740325,0.39862743,0.01201469
S0780,0.007489214,0.003870172,0.00648977,0.1474817,0.000745889,0.9958049,0.7000724,0.0027891384,0.043407775,0.0012088295
S0781,0.024280328,0.0012647032,0.0011204585,0.003687189,0.0008319863,0.0014878602,0.020052036,0.016475229,0.0024680875,0.0012778711
S0782,0.8518844,0.006711431,0.0016345303,0.007708421,0.0035721126,0.015342015,0.24857901,0.05993131,0.002954385,0.04523951
S0783,0.0044686957,0.0014369956,0.0028955608,0.007111244,0.0008230174,0.10186132,0.33430937,0.0013534648,0.01573254,0.002855259
S0784,0.6467547,0.021421181,0.0027330767,0.028432436,0.0011130119,0.012421504,0.024159724,0.24873342,0.0039515053,0.0045961426
S0785,0.0044234344,0.0012087069,0.005482108,0.0021763616,0.00075862237,0.0028144657,0.23194848,0.016520876,0.17257997,0.015214533
S0786,0.001063934,0.0071761757,0.02010699,0.6317834,0.0006285237,0.97738934,0.99103856,0.0014747875,0.0021223864,0.0015914782
S0787,0.0019526306,0.0015907397,0.72885853,0.3148431,0.0008886191,0.45536646,0.93033546,0.0032533386,0.0035458952,0.0013343844
S0788,0.9745851,0.9577154,0.0011915613,0.98074704,0.0014215966,0.83961445,0.9728391,0.99199206,0.96224606,0.004282497
S0789,0.01621811,0.005921055,0.002697877,0.026053594,0.0005964402,0.015318232,0.4233083,0.607669,0.025842674,0.001853975
S0790,0.0044766176,0.008314175,0.001711608,0.0054483186,0.0006703901,0.006369269,0.98152554,0.0023205944,0.023198713,0.0012950808
S0791,0.0019108097,0.00095947494,0.5274934,0.8554498,0.0009231046,0.28262678,0.94272673,0.002833284,0.005275585,0.0009220097
S0792,0.010577897,0.001457723,0.69534117,0.04481612,0.0006409452,0.0602454,0.015115388,0.0040154713,0.0062453747,0.0022710608
S0793,0.0042665466,0.29042247,0.002990637,0.007218131,0.036989197,0.0025673977,0.0029513217,0.001992997,0.004846212,0.00082947494
S0794,0.006278236,0.009586779,0.001278861,0.90880686,0.0020390383,0.0037282666,0.032739677,0.05443233,0.007323853,0.0043081744
S0795,0.0047163814,0.01326056,0.0027151094,0.002081452,0.0009453358,0.010040849,0.76697755,0.0039317156,0.0048591094,0.0033864407
S0796,0.0024214827,0.00065859227,0.46786457,0.00233128,0.0006285237,0.024738843,0.92360306,0.0015622408,0.024442852,0.00086468074
S0797,0.09657607,0.0022963,0.022447994,0.008509272,0.0007437206,0.012015318,0.020785067,0.002560139,0.2068346,0.08474748
S0798,0.0022684927,0.023337832,0.001054254,0.0068488936,0.7332062,0.0030027693,0.014038234,0.0012256848,0.013879747,0.0045058937
S0799,0.15074748,0.038043503,0.71848655,0.014737535,0.0014073933,0.014145928,0.039796963,0.009041591,0.004788827,0.002832981
S0800,0.002933371,0.0059206286,0.018373005,0.25631875,0.0006285237,0.9580871,0.27861992,0.002167064,0.023259528,0.000977206
S0801,0.0032377539,0.0023192698,0.16390914,0.8333598,0.00053428864,0.10013288,0.9292727,0.0016480059,0.002567084,0.0009859537
S0802,0.0055964175,0.0074526495,0.0012283033,0.04795703,0.0020390383,0.0032868376,0.019099392,0.38589922,0.0084301755,0.0142004285
S0803,0.0050413297,0.0023127594,0.047797803,0.026808629,0.0006904148,0.0062091816,0.87920046,0.00122408,0.006458066,0.002235628
S0804,0.002950682,0.014803131,0.009865248,0.39989886,0.0006286312,0.0026783731,0.007450633,0.029832898,0.12416222,0.00143146
S0805,0.004141881,0.0054663937,0.0029402757,0.02055442,0.0009453358,0.6545027,0.8113015,0.030410502,0.06258188,0.0058776992
S0806,0.0013757573,0.004546854,0.0389721,0.710534,0.0009668243,0.34203908,0.20270619,0.005907752,0.002573065,0.0015618905
S0807,0.020545913,0.0009925597,0.91109663,0.004860189,0.00096208,0.015956674,0.7484024,0.0032242034,0.033924095,0.00057258015
S0808,0.0035568075,0.0018716931,0.065911956,0.0052377083,0.0018145044,0.011588603,0.013380379,0.0022163675,0.9707935,0.0016891153
S0809,0.0068243784,0.009593786,0.026336486,0.01632009,0.0006969417,0.021954725,0.012652131,0.002953819,0.04121724,0.0019287511
S0810,0.004170605,0.018418068,0.0009925999,0.061608896,0.9396602,0.0017013709,0.006728006,0.0021029427,0.0027304396,0.005588033
S0811,0.0065281936,0.004739679,0.009678659,0.16357793,0.0008719719,0.99823713,0.8427229,0.022719545,0.0063834707,0.0072214054
S0812,0.006154666,0.9903088,0.0017613088,0.007902052,0.008379427,0.004361131,0.0017628185,0.009648996,0.005723212,0.009784357
S0813,0.0026914289,0.011904243,0.0009985394,0.00659649,0.96462274,0.0024247447,0.0047361464,0.0008456136,0.0028964956,0.0038482575
S0814,0.022205094,0.0020054586,0.93480444,0.019617012,0.0033994864,0.011458114,0.0054591508,0.0056476574,0.09552369,0.00076756225
S0815,0.005684338,0.0010931029,0.12856936,0.29678246,0.00057761173,0.5047201,0.93446714,0.005390015,0.006413437,0.0010053326
