sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.0015863306,0.0026475717,0.0040263217,0.00206635,0.00063436513,0.0022594354,0.0041467673,0.06789772,0.002550193,0.0011381215
S0767,0.014361458,0.003418,0.00087211403,0.0026897243,0.00063436513,0.0033475456,0.010526141,0.025805108,0.006487286,0.00066360657
S0768,0.97468114,0.025498439,0.0014838935,0.012094761,0.0013998043,0.005064208,0.9452578,0.9709082,0.00796401,0.0008788259
S0769,0.0019956382,0.00130992,0.0069254716,0.0103988685,0.0007171807,0.99109334,0.010848806,0.0017540149,0.9383867,0.0008434428
S0770,0.0026399961,0.0015986413,0.008555535,0.92560756,0.0007660898,0.9947462,0.99116486,0.0010262321,0.0014971215,0.00085162284
S0771,0.018720593,0.0039690905,0.0039409515,0.016685696,0.00063436513,0.015285275,0.013399296,0.020978848,0.011840834,0.0005827203
S0772,0.0038474055,0.000994503,0.0076718656,0.007153801,0.00063436513,0.0069809826,0.9840365,0.001552575,0.0016872165,0.0006519088
S0773,0.0019228451,0.01590537,0.0053569963,0.08138039,0.00063436513,0.08989628,0.014678281,0.0049045864,0.007999296,0.0014222391
S0774,0.9631543,0.002030762,0.0043368214,0.0022655677,0.00063436513,0.0027116707,0.016806373,0.03203176,0.0034856678,0.00061228906
S0775,0.014776722,0.0010903177,0.005163771,0.015827406,0.00063436513,0.002076637,0.98950243,0.0045109275,0.0075533795,0.00039773033
S0776,0.00740443,0.0021586632,0.95860064,0.008096395,0.00091861974,0.008518453,0.02300263,0.005004293,0.005377817,0.00080366153
S0777,0.0027363682,0.004106435,0.9621009,0.0032993553,0.0006866961,0.0025872851,0.008861223,0.019451654,0.002594965,0.0015553398
S0778,0.985581,0.9786935,0.0032371015,0.98628056,0.00063436513,0.9818871,0.9818487,0.98915124,0.98290133,0.0005827203
S0779,0.012308454,0.00821569,0.008326592,0.012178222,0.0016389787,0.014153531,0.006804611,0.0028999834,0.9786189,0.017246092
S0780,0.017444495,0.0036142443,0.013421737,0.0035884378,0.0016389787,0.99810237,0.95841086,0.0013303587,0.004727557,0.00048935355
S0781,0.0018520233,0.0013705852,0.0039504003,0.0028677802,0.00063436513,0.0007689284,0.0037073796,0.0020156885,0.0025262032,0.0006264458
S0782,0.9321378,0.0057385303,0.0030035349,0.01031612,0.011750231,0.012320371,0.015385634,0.012391182,0.0056934683,0.0031885083
S0783,0.0066589946,0.0009677827,0.0022474013,0.015357603,0.00063436513,0.98066723,0.024884429,0.002521953,0.93223524,0.0011458489
