sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.0023025167,0.0027911337,0.0050371387,0.002531806,0.00063436513,0.002171367,0.00797105,0.05655159,0.0028795688,0.0012584062
S0767,0.018688789,0.0042999717,0.00074107636,0.004441349,0.00063436513,0.0029358477,0.0071236813,0.026429003,0.008873041,0.0005721173
S0768,0.9785088,0.020118356,0.0012011972,0.012975453,0.0013998043,0.00799557,0.9420386,0.976268,0.016386745,0.00086991175
S0769,0.0016448825,0.0011182565,0.006445009,0.009534627,0.0007171807,0.99444383,0.008012187,0.001712458,0.93200254,0.0009316293
S0770,0.0022016356,0.0013799729,0.008330549,0.9479104,0.0007660898,0.99571997,0.99204785,0.0009058793,0.0020175455,0.0008876421
S0771,0.020272588,0.0041688546,0.003422055,0.018607294,0.00063436513,0.009611476,0.017908804,0.022735836,0.010299148,0.00055265694
S0772,0.0032045026,0.00097251934,0.0053165457,0.005190875,0.00063436513,0.006433276,0.97674847,0.0016635671,0.0020533018,0.0007090542
S0773,0.0018335808,0.011723118,0.005228725,0.07996442,0.00063436513,0.08077057,0.01297438,0.0061714305,0.00594857,0.0014761932
S0774,0.95433635,0.0020254904,0.0036117553,0.0022511156,0.00063436513,0.003878897,0.014617256,0.03862128,0.0037304813,0.0005469058
S0775,0.015388957,0.0010773379,0.0042523574,0.012979772,0.00063436513,0.003180285,0.9880712,0.0028261447,0.006850098,0.00039851668
S0776,0.006342359,0.002928771,0.96653897,0.009799345,0.00091861974,0.008217625,0.016333539,0.0045313085,0.0046035396,0.00085577177
S0777,0.0023522514,0.003585616,0.9494991,0.0034041733,0.0006866961,0.0031389662,0.010926005,0.019970115,0.0030145238,0.001751
S0778,0.9838434,0.9800274,0.0042829504,0.98620945,0.00063436513,0.9866419,0.9697408,0.98878235,0.98158437,0.00055265694
S0779,0.010086668,0.007434493,0.010215706,0.016091704,0.0016389787,0.014682117,0.007539751,0.0024039163,0.9684793,0.020843975
S0780,0.018858435,0.00404851,0.015038665,0.0029520164,0.0016389787,0.9980647,0.9724874,0.0011013509,0.0047841663,0.00053358526
S0781,0.00263998,0.0023013165,0.00465166,0.0014701813,0.00063436513,0.00083923916,0.002994585,0.0026344452,0.0021957564,0.00066942733
S0782,0.9405685,0.004398304,0.0029982703,0.009456029,0.011750231,0.008199876,0.029455278,0.014784088,0.003410279,0.0027481762
S0783,0.0055196267,0.0010085237,0.0033656878,0.012616024,0.00063436513,0.9859784,0.023740526,0.0025337094,0.9466172,0.0012576125
S0784,0.0504194,0.0024334234,0.0023345496,0.0023957267,0.00063436513,0.002424514,0.0033711833,0.95816356,0.002345046,0.0013851679
S0785,0.9468942,0.005563674,0.0015784634,0.8977714,0.00063436513,0.0077376575,0.89136004,0.91779953,0.93440354,0.983052
S0786,0.00082521583,0.00079757924,0.006065347,0.98190767,0.00063436513,0.99526227,0.99325013,0.0009414443,0.00090451015,0.00051185983
S0787,0.0068059163,0.0011883813,0.93675584,0.021631772,0.00063436513,0.025463557,0.99495846,0.0014236185,0.0015889632,0.0006880675
S0788,0.98180205,0.9903908,0.0012649616,0.99518764,0.00063436513,0.9920139,0.9947463,0.9901945,0.9840763,0.008529829
S0789,0.005474558,0.002247907,0.001280643,0.0049508745,0.00063436513,0.010194051,0.024981901,0.95021725,0.002794003,0.00044717945
S0790,0.0021871878,0.0020609864,0.0023326357,0.003983365,0.00063436513,0.0032739968,0.9943262,0.0012347491,0.0023426977,0.00039851668
S0791,0.0019996813,0.0011605076,0.0132957455,0.97349745,0.0013998043,0.9250242,0.99504626,0.0024823123,0.0012588066,0.0007234387
