sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.0018215766,0.003158276,0.004671555,0.0036321124,0.00086280133,0.0034672255,0.00846039,0.79982036,0.0026355716,0.0017779624
S0767,0.018771905,0.0142737925,0.0011958816,0.011020335,0.00086280133,0.005182849,0.003982754,0.11281314,0.016712805,0.00072695635
S0768,0.42941928,0.08784218,0.0010569023,0.0050169732,0.001689453,0.005737442,0.20950097,0.9198443,0.029396983,0.0006342131
S0769,0.009336217,0.0033633087,0.007973566,0.014664647,0.00086280133,0.9943421,0.012383598,0.004483208,0.07856505,0.0024227167
S0770,0.0032648244,0.0009962616,0.0029854905,0.18287776,0.0010700822,0.9956766,0.9691228,0.0010442178,0.0039542504,0.0010120152
S0771,0.017759625,0.0066639925,0.007162867,0.058257435,0.00086280133,0.023582598,0.025804168,0.088912226,0.02554481,0.0008824878
S0772,0.0061109914,0.0016062978,0.0073153055,0.011026672,0.00086280133,0.23753688,0.9613646,0.0040971343,0.005785694,0.0010541872
S0773,0.0017010861,0.028708689,0.008694464,0.3752023,0.00086280133,0.22334144,0.022824513,0.008575556,0.012463421,0.0017779624
S0774,0.3245354,0.0011825524,0.006115688,0.0015724966,0.00086280133,0.008811201,0.014207524,0.22296233,0.0030319688,0.0009858819
S0775,0.022201162,0.0017647562,0.006442606,0.036912523,0.00086280133,0.002816372,0.9497908,0.0069037303,0.0070821135,0.0004628146
S0776,0.011206237,0.0042874627,0.7447852,0.058875874,0.0015417859,0.012476897,0.017359227,0.013303406,0.006071612,0.0010204653
S0777,0.004006486,0.0041313167,0.87117,0.0071555898,0.00086280133,0.0039991704,0.024667954,0.031420756,0.0063821073,0.004267055
S0778,0.8163706,0.9482506,0.006337838,0.88640004,0.00086280133,0.94254255,0.46729642,0.9504818,0.5519581,0.00067343534
S0779,0.03184873,0.014998439,0.09522933,0.07382503,0.00207705,0.34586093,0.009253226,0.0129219135,0.12139987,0.051017966
S0780,0.04000509,0.0060013453,0.0081198495,0.003749346,0.00207705,0.9976064,0.56435245,0.0022858405,0.0054425006,0.0005598574
S0781,0.001708174,0.0018330144,0.0025059031,0.0013627536,0.00086280133,0.00093968154,0.0036409427,0.004292382,0.0036890602,0.0009922165
S0782,0.040470786,0.0073349513,0.015139684,0.0023446165,0.027158976,0.018922767,0.16815253,0.049331203,0.015293258,0.009263027
S0783,0.023183003,0.0015296341,0.0025180422,0.13216309,0.0011089732,0.74928075,0.3253174,0.0016610136,0.0042857327,0.0010427013
S0784,0.33892974,0.004496343,0.0015555205,0.0020806864,0.00086280133,0.0037181408,0.01101408,0.05507786,0.0021701015,0.0027982646
S0785,0.04221855,0.0023398486,0.0030286987,0.016975902,0.00091590785,0.008738632,0.005451136,0.025549093,0.07388514,0.87296563
S0786,0.0010561303,0.001058978,0.012522854,0.8948612,0.00086280133,0.9857275,0.97832173,0.0007601652,0.0007671173,0.0006849203
S0787,0.024094982,0.0024023114,0.28331244,0.18621826,0.00086280133,0.25592753,0.9934232,0.0042546215,0.0013898972,0.00107018
S0788,0.98327565,0.9434229,0.0035608455,0.9825293,0.0014271697,0.9677624,0.99056304,0.97419125,0.9571165,0.014424575
S0789,0.0044059907,0.0041006417,0.002565218,0.0076564495,0.0011089732,0.036478486,0.20090438,0.22514169,0.010208987,0.0005610722
S0790,0.0025482434,0.002557992,0.0028342055,0.008723264,0.00086280133,0.0043747495,0.995408,0.0015498174,0.0022540211,0.0004749301
S0791,0.0015613782,0.0017408296,0.108878106,0.8550315,0.001689453,0.1622886,0.9932641,0.0042967615,0.0014140999,0.00090653374
S0792,0.009335904,0.0058247405,0.59219414,0.005554722,0.0011089732,0.0029291622,0.029939024,0.006878606,0.01223036,0.000815804
S0793,0.0085627055,0.11851383,0.004371083,0.012021258,0.95971173,0.009722134,0.03129671,0.013413121,0.0602828,0.029275253
S0794,0.003748224,0.008306248,0.0020429457,0.8318776,0.0017697951,0.0013898701,0.021536,0.1625009,0.0030594133,0.00311927
S0795,0.019621221,0.0023724989,0.0022261518,0.0016487356,0.0011089732,0.00555017,0.9634353,0.0036168983,0.0023065843,0.0032862895
S0796,0.0016717049,0.0007044654,0.55655944,0.0070247026,0.00086280133,0.048660006,0.952372,0.0011704102,0.0022597765,0.0010998453
S0797,0.033633478,0.0036084175,0.023935346,0.04546469,0.00086280133,0.0074986797,0.006328823,0.005597001,0.9743827,0.0022999505
S0798,0.014262513,0.07210181,0.0025747777,0.006911152,0.8912227,0.026402595,0.008058077,0.008376222,0.005056272,0.001250802
S0799,0.0058624977,0.012484971,0.125641,0.45257363,0.00086280133,0.0034208535,0.056661133,0.040852357,0.0089879725,0.0042004585
S0800,0.0011725745,0.0006717886,0.0043612723,0.16509095,0.00086280133,0.99240535,0.29965043,0.0008535331,0.0036101167,0.00058601506
S0801,0.019196864,0.0019925656,0.067012124,0.9566854,0.00086280133,0.95102066,0.99596334,0.0054414603,0.004250367,0.0011672104
S0802,0.0024758407,0.0049989414,0.0021248215,0.042168282,0.0017697951,0.0015903914,0.016391804,0.5230282,0.0033859725,0.0026633877
S0803,0.006504581,0.00065047666,0.20558238,0.005606619,0.00086280133,0.0019339131,0.9842457,0.0013639501,0.0020206624,0.0012269311
S0804,0.0031433303,0.005237942,0.026185106,0.21994336,0.0011089732,0.005894376,0.021790938,0.007402145,0.054267947,0.0008041917
S0805,0.021532847,0.0018316408,0.002185643,0.15549473,0.00086280133,0.9778618,0.57510775,0.005439737,0.24483284,0.29289782
S0806,0.0014761244,0.0065632514,0.18531883,0.5860333,0.00086280133,0.38733903,0.5356257,0.006009686,0.0064050257,0.000781699
S0807,0.0034254065,0.0010652347,0.94758916,0.0036636249,0.0015417859,0.004246623,0.9795517,0.0016273384,0.009198952,0.0026718508
S0808,0.008259415,0.017387498,0.019237336,0.007107837,0.001911875,0.0121027,0.006317025,0.01839032,0.9675382,0.011965472
S0809,0.0030262233,0.014919588,0.0075578596,0.011668074,0.0017697951,0.010398397,0.06254986,0.014748369,0.10925562,0.001339593
S0810,0.0019292121,0.012241132,0.0022633937,0.0041011753,0.978307,0.00094975304,0.00421757,0.0021625822,0.0022604752,0.0027974185
S0811,0.0043132175,0.0014987877,0.0052214703,0.14297785,0.0014271697,0.9969398,0.78397024,0.0035188391,0.0036550073,0.0012116238
S0812,0.007548559,0.98625445,0.002207145,0.0071470137,0.0017278393,0.0038827648,0.022088416,0.0041669267,0.0076305713,0.0017778007
S0813,0.0018519362,0.0088448385,0.0019112427,0.0042752624,0.9745414,0.0015012616,0.0040943646,0.0034495231,0.0025148164,0.0012551257
S0814,0.005954929,0.0034329235,0.3342367,0.006939755,0.0010700822,0.0024038865,0.0040801642,0.005870882,0.34125647,0.0006668456
S0815,0.004957477,0.0019904843,0.29464048,0.17092432,0.00086280133,0.34580073,0.9882273,0.00391023,0.002042168,0.00107018
S0816,0.012414031,0.0062410436,0.0022733926,0.004516391,0.00086280133,0.0052097435,0.01858983,0.011153713,0.007599466,0.00072695635
S0817,0.001470838,0.0025299066,0.00091634074,0.0020940725,0.00086280133,0.0020598322,0.0056978455,0.017830534,0.004084338,0.0010511567
S0818,0.09004645,0.012477374,0.0020195097,0.90881,0.00086280133,0.01921181,0.025476422,0.017985452,0.9594412,0.0056858156
S0819,0.017634844,0.0018464625,0.46010467,0.97899306,0.00086280133,0.23842196,0.9913093,0.0071726297,0.0035819001,0.0011158793
S0820,0.0055570244,0.0013741401,0.008369785,0.001368302,0.00086280133,0.006294774,0.9963104,0.0016460206,0.0013709383,0.0022320377
S0821,0.0008773629,0.00062277727,0.95971644,0.8043285,0.00086280133,0.1429404,0.91319764,0.00083932356,0.0045916727,0.00086559495
