sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.0018215766,0.0033195885,0.004671555,0.0036485204,0.00086280133,0.0034672255,0.007957352,0.79982036,0.0026355716,0.0017779624
S0767,0.018771905,0.024547739,0.0011958816,0.012260952,0.00086280133,0.005182849,0.0035651065,0.11281314,0.016712805,0.00072695635
S0768,0.42941928,0.23137914,0.0010569023,0.006011996,0.001689453,0.005737442,0.252652,0.9198443,0.029396983,0.0006342131
S0769,0.009336217,0.00197048,0.007973566,0.0114593785,0.00086280133,0.9943421,0.013306002,0.004483208,0.07856505,0.0024227167
S0770,0.0032648244,0.0009668809,0.0029854905,0.16335432,0.0010700822,0.9956766,0.97237194,0.0010442178,0.0039542504,0.0010120152
S0771,0.017759625,0.0058283033,0.007162867,0.05327699,0.00086280133,0.023582598,0.026589949,0.088912226,0.02554481,0.0008824878
S0772,0.0061109914,0.0013061273,0.0073153055,0.008852914,0.00086280133,0.23753688,0.9725763,0.0040971343,0.005785694,0.0010541872
S0773,0.0017010861,0.023235124,0.008694464,0.4136103,0.00086280133,0.22334144,0.023560172,0.008575556,0.012463421,0.0017779624
S0774,0.3245354,0.0010676363,0.006115688,0.0020840107,0.00086280133,0.008811201,0.028074633,0.22296233,0.0030319688,0.0009858819
S0775,0.022201162,0.0019976462,0.006442606,0.03266776,0.00086280133,0.002816372,0.9716591,0.0069037303,0.0070821135,0.0004628146
S0776,0.011206237,0.0053880853,0.7447852,0.06315498,0.0015417859,0.012476897,0.04464868,0.013303406,0.006071612,0.0010204653
S0777,0.004006486,0.0045276065,0.87117,0.007588653,0.00086280133,0.0039991704,0.023076478,0.031420756,0.0063821073,0.004267055
S0778,0.8163706,0.8785154,0.006337838,0.88297355,0.00086280133,0.94254255,0.51742876,0.9504818,0.5519581,0.00067343534
S0779,0.03184873,0.024941744,0.09522933,0.06177824,0.00207705,0.34586093,0.0057877433,0.0129219135,0.12139987,0.051017966
S0780,0.04000509,0.006775239,0.0081198495,0.0044052,0.00207705,0.9976064,0.71697783,0.0022858405,0.0054425006,0.0005598574
S0781,0.001708174,0.0029844204,0.0025059031,0.0015551887,0.00086280133,0.00093968154,0.0030651211,0.004292382,0.0036890602,0.0009922165
S0782,0.040470786,0.007172782,0.015139684,0.0023842927,0.027158976,0.018922767,0.18886577,0.049331203,0.015293258,0.009263027
S0783,0.023183003,0.005627703,0.0025180422,0.1525599,0.0011089732,0.74928075,0.47282016,0.0016610136,0.0042857327,0.0010427013
S0784,0.33892974,0.004126327,0.0015555205,0.0024728195,0.00086280133,0.0037181408,0.010957391,0.05507786,0.0021701015,0.0027982646
S0785,0.04221855,0.002682544,0.0030286987,0.01926671,0.00091590785,0.008738632,0.0043053464,0.025549093,0.07388514,0.87296563
S0786,0.0010561303,0.0015842092,0.012522854,0.8783629,0.00086280133,0.9857275,0.97209024,0.0007601652,0.0007671173,0.0006849203
S0787,0.024094982,0.001751772,0.28331244,0.2744519,0.00086280133,0.25592753,0.99117225,0.0042546215,0.0013898972,0.00107018
S0788,0.98327565,0.93128425,0.0035608455,0.98793274,0.0014271697,0.9677624,0.9840051,0.97419125,0.9571165,0.014424575
S0789,0.0044059907,0.0072476724,0.002565218,0.007763088,0.0011089732,0.036478486,0.37237057,0.22514169,0.010208987,0.0005610722
S0790,0.0025482434,0.002842984,0.0028342055,0.008210404,0.00086280133,0.0043747495,0.9958347,0.0015498174,0.0022540211,0.0004749301
S0791,0.0015613782,0.0018368135,0.108878106,0.8201171,0.001689453,0.1622886,0.9941638,0.0042967615,0.0014140999,0.00090653374
S0792,0.009335904,0.004014348,0.59219414,0.005642853,0.0011089732,0.0029291622,0.025224088,0.006878606,0.01223036,0.000815804
S0793,0.0085627055,0.07135766,0.004371083,0.014120747,0.95971173,0.009722134,0.01940742,0.013413121,0.0602828,0.029275253
S0794,0.003748224,0.005309278,0.0020429457,0.8252056,0.0017697951,0.0013898701,0.020042056,0.1625009,0.0030594133,0.00311927
S0795,0.019621221,0.0012585105,0.0022261518,0.0017508807,0.0011089732,0.00555017,0.96755815,0.0036168983,0.0023065843,0.0032862895
S0796,0.0016717049,0.00084739574,0.55655944,0.006996533,0.00086280133,0.048660006,0.92570305,0.0011704102,0.0022597765,0.0010998453
S0797,0.033633478,0.008530196,0.023935346,0.045513406,0.00086280133,0.0074986797,0.0063427463,0.005597001,0.9743827,0.0022999505
S0798,0.014262513,0.024779787,0.0025747777,0.0059601055,0.8912227,0.026402595,0.008149297,0.008376222,0.005056272,0.001250802
S0799,0.0058624977,0.007218083,0.125641,0.45517966,0.00086280133,0.0034208535,0.034531686,0.040852357,0.0089879725,0.0042004585
S0800,0.0011725745,0.0009157582,0.0043612723,0.2565598,0.00086280133,0.99240535,0.30831704,0.0008535331,0.0036101167,0.00058601506
S0801,0.019196864,0.0025278546,0.067012124,0.94654316,0.00086280133,0.95102066,0.9956826,0.0054414603,0.004250367,0.0011672104
S0802,0.0024758407,0.0050824475,0.0021248215,0.043733973,0.0017697951,0.0015903914,0.01675848,0.5230282,0.0033859725,0.0026633877
S0803,0.006504581,0.0006792189,0.20558238,0.0042768014,0.00086280133,0.0019339131,0.96898556,0.0013639501,0.0020206624,0.0012269311
S0804,0.0031433303,0.004946298,0.026185106,0.2416478,0.0011089732,0.005894376,0.012056715,0.007402145,0.054267947,0.0008041917
S0805,0.021532847,0.0032189097,0.002185643,0.14464636,0.00086280133,0.9778618,0.65248877,0.005439737,0.24483284,0.29289782
S0806,0.0014761244,0.005378937,0.18531883,0.46161404,0.00086280133,0.38733903,0.58146113,0.006009686,0.0064050257,0.000781699
S0807,0.0034254065,0.0011853251,0.94758916,0.003734849,0.0015417859,0.004246623,0.9606048,0.0016273384,0.009198952,0.0026718508
