sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.0025209794,0.0016482546,0.0047036107,0.0036863675,0.000660721,0.0017791104,0.0068479953,0.03813042,0.0017629158,0.0013431023
S0767,0.005756823,0.0041474923,0.0009831107,0.0055198963,0.000660721,0.005435701,0.008130206,0.03223978,0.006793795,0.00064807147
S0768,0.9789413,0.021632649,0.00076268014,0.01754415,0.0011457938,0.0066745495,0.9237377,0.96551824,0.012122619,0.0011520326
S0769,0.0019447792,0.0017585509,0.0061003715,0.010191905,0.000660721,0.9960908,0.0071682194,0.001054703,0.97053504,0.0009250711
S0770,0.0038420546,0.0029774874,0.015647504,0.94185233,0.000660721,0.9963329,0.9778422,0.0010957933,0.0010029366,0.00091119885
S0771,0.010844064,0.0023551167,0.0013151842,0.007137657,0.000660721,0.008435494,0.01750754,0.014274679,0.008408619,0.00055267854
S0772,0.006905211,0.0020256147,0.011929071,0.010445175,0.000660721,0.0072508818,0.9921111,0.0040247827,0.0025631995,0.0013964975
S0773,0.001330479,0.018979799,0.0072502703,0.040737577,0.000660721,0.05615193,0.011821578,0.014662842,0.0045636785,0.0017598019
S0774,0.9609958,0.0011757106,0.00171767,0.0028495817,0.000660721,0.0019307872,0.015433788,0.033699524,0.0011555639,0.0007266675
S0775,0.01870066,0.002781085,0.002173616,0.028867846,0.000660721,0.0027204044,0.9902339,0.0038976728,0.0054416,0.0010035421
S0776,0.009117866,0.0017213302,0.96837664,0.0069300975,0.00072365726,0.0071535846,0.012682378,0.0028969517,0.0023825204,0.0012614448
S0777,0.0029961073,0.0021139353,0.9631372,0.0037586119,0.00071605423,0.0028441711,0.010920056,0.008899586,0.0027535537,0.001390405
S0778,0.9788397,0.9817816,0.0027561765,0.9878797,0.000660721,0.9888809,0.96644294,0.9777004,0.9887488,0.0006271507
S0779,0.006412,0.0032034745,0.005201195,0.015901862,0.004572616,0.0075130304,0.004251027,0.0011793004,0.98226684,0.013417192
S0780,0.0065426053,0.0028443958,0.0108483415,0.0048932354,0.0012955366,0.998064,0.95977664,0.0010441844,0.008077205,0.00090093666
S0781,0.0023079836,0.0015909865,0.0026482893,0.0017817409,0.000660721,0.0008835706,0.0032578383,0.0035058416,0.0046799453,0.00075757696
S0782,0.94461167,0.0035128917,0.0019831047,0.0027630934,0.010334393,0.0105559165,0.031829357,0.010848873,0.002847623,0.00269446
S0783,0.010920308,0.0009416672,0.0020727925,0.01426085,0.0008513275,0.9737577,0.019348737,0.004552411,0.9508239,0.0029414278
S0784,0.03421717,0.0045032445,0.0025139542,0.0012704373,0.000660721,0.0017935835,0.0087617105,0.9563823,0.0028165127,0.001502455
S0785,0.9464164,0.0033354878,0.0016596556,0.91396594,0.0008513275,0.0026907083,0.90779275,0.91870934,0.93623066,0.9614683
S0786,0.0009052421,0.0011909918,0.0031779185,0.9780034,0.000660721,0.99225336,0.992525,0.0011127547,0.000979457,0.00055982434
S0787,0.0060185306,0.002385006,0.9281133,0.04121869,0.0011273759,0.02615021,0.996766,0.0021924505,0.0010362561,0.0007016804
S0788,0.9943283,0.98631305,0.0011303013,0.9764182,0.000660721,0.98364985,0.9898254,0.9884974,0.9858569,0.005092826
S0789,0.010870446,0.0064381543,0.002198712,0.0048841913,0.0008513275,0.009435402,0.025507731,0.97454584,0.0052143596,0.002316684
S0790,0.0023544142,0.002299189,0.001981105,0.0027860738,0.000660721,0.004329035,0.9979894,0.0015151486,0.0025658756,0.00057111424
S0791,0.0012231953,0.0013744968,0.035958387,0.9724405,0.0034097247,0.9362541,0.9961572,0.0026011444,0.00088913704,0.0009012183
S0792,0.0046093753,0.0047185104,0.96652305,0.0074323607,0.0008513275,0.00244057,0.018063126,0.0032973222,0.003919935,0.0005151414
S0793,0.0050668856,0.014911125,0.0033642822,0.005291233,0.020911334,0.009360678,0.006747121,0.0053536613,0.006472986,0.009479452
S0794,0.004278877,0.002862387,0.0018666249,0.9748584,0.0010853739,0.0010742653,0.0039870865,0.02853696,0.0027755164,0.002354905
S0795,0.004380425,0.0009797879,0.0011309561,0.0022501627,0.0008513275,0.0018103247,0.9906997,0.0052881697,0.001878336,0.0018962006
S0796,0.0010432831,0.0013389176,0.021827202,0.004943813,0.000660721,0.0070237443,0.98671883,0.0016098875,0.0022611583,0.0014182694
S0797,0.0073726764,0.0033134585,0.014240173,0.0059816823,0.000660721,0.0029303073,0.013934813,0.0027717734,0.9894107,0.002400325
S0798,0.0042635314,0.015712408,0.0018814165,0.0043652267,0.9820778,0.004107272,0.0061015543,0.002562819,0.0029560935,0.0012856679
S0799,0.0020054756,0.0025001063,0.028032916,0.004915154,0.00071605423,0.0012737226,0.0051489063,0.018015027,0.0032401618,0.0031021275
S0800,0.00078725215,0.0005954374,0.003366203,0.9500961,0.000660721,0.99447846,0.038348485,0.0009085559,0.0014322017,0.0005314785
S0801,0.006265575,0.0015223745,0.9655852,0.9913025,0.00070886366,0.031388503,0.9942622,0.002870267,0.0007980529,0.0009999846
S0802,0.0011993159,0.0020617298,0.0014716596,0.027621849,0.0010853739,0.001792027,0.0041562654,0.9474678,0.0043004802,0.0020103373
S0803,0.0030164619,0.0007976525,0.94346315,0.0035390696,0.000660721,0.0037746977,0.9882824,0.0009046148,0.004743365,0.0010443258
S0804,0.0021027846,0.0020364937,0.005057718,0.022412764,0.0008513275,0.002197256,0.0033748061,0.012284686,0.9654525,0.00053341774
S0805,0.007184643,0.0016132533,0.0054871226,0.024386965,0.000660721,0.99002016,0.022604557,0.005260915,0.020016037,0.02133202
S0806,0.0025139207,0.0027031489,0.9540854,0.022724852,0.000660721,0.03622375,0.96063995,0.0028767637,0.0026519988,0.0004879083
S0807,0.003909736,0.0008254628,0.9848016,0.004390064,0.00072365726,0.0015058732,0.98080355,0.0010654259,0.0068717524,0.0023953894
S0808,0.0067553637,0.009595209,0.00655625,0.004592967,0.00072365726,0.006832757,0.009128699,0.0024034395,0.99605477,0.003127931
S0809,0.001783341,0.003288503,0.003769824,0.011163368,0.0010853739,0.0031289808,0.01840057,0.0042683864,0.0101309,0.00098403
S0810,0.0010480759,0.0031809562,0.0013102744,0.0036800033,0.98695546,0.0009839596,0.0065195397,0.0012018804,0.0010913018,0.0010419849
S0811,0.005297297,0.0018414914,0.00219076,0.018024474,0.000660721,0.99817455,0.9773825,0.0016801361,0.0028147427,0.00060607196
S0812,0.0039093904,0.9869431,0.0024590865,0.0028220345,0.0012268417,0.0029545804,0.008392504,0.00181066,0.0015309091,0.0017871802
S0813,0.0013641132,0.0025601755,0.0016667522,0.0029373262,0.9848424,0.0027509127,0.002176582,0.002172608,0.0023240633,0.002823829
S0814,0.021344217,0.0017425705,0.9809707,0.0073629394,0.0007717645,0.0029646491,0.005224342,0.0022542528,0.014149619,0.00057002873
S0815,0.0021651099,0.002637766,0.022783455,0.04589934,0.0011273759,0.9586405,0.9962457,0.0019835436,0.0012843749,0.0007788219
S0816,0.023237022,0.0018543943,0.007962052,0.004682058,0.000660721,0.0018265097,0.009322467,0.01503277,0.004822469,0.00062188134
S0817,0.003107633,0.0015849272,0.0012038489,0.0023850254,0.000660721,0.001453058,0.009426738,0.011936722,0.0045464053,0.000778422
S0818,0.0056978376,0.008655831,0.0013350142,0.9756344,0.000660721,0.008799672,0.0071392865,0.008663904,0.99248296,0.0023486319
S0819,0.00397902,0.0015738381,0.97617924,0.9922327,0.000660721,0.029524505,0.9885501,0.0017016107,0.0016582704,0.0011609625
S0820,0.0030108916,0.0011545897,0.008782902,0.0018403304,0.000660721,0.0024481367,0.9973137,0.0012241434,0.0018703412,0.0012113267
S0821,0.0018097563,0.0007076312,0.9858154,0.9790308,0.000660721,0.011236659,0.98419094,0.0008959494,0.0031958567,0.00069488003
S0822,0.029752756,0.0011379243,0.0019576494,0.002337927,0.0012045554,0.004103447,0.98381215,0.002727787,0.0013602602,0.0024544636
S0823,0.00224715,0.0015435647,0.0057278345,0.004735798,0.000660721,0.0030468295,0.0016831084,0.0013366287,0.9970084,0.0009047597
S0824,0.001065127,0.0006232089,0.0016642055,0.9415902,0.000660721,0.9944495,0.014847744,0.0015352784,0.00091992784,0.0005046004
S0825,0.0014431373,0.0008940098,0.9751415,0.0034249865,0.000660721,0.007938021,0.970681,0.0013079753,0.005596937,0.00093424757
S0826,0.0044198595,0.008529635,0.0030762618,0.0034816535,0.9378219,0.0019196493,0.0055784965,0.00415478,0.003644598,0.0014599944
