sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.0018215766,0.0033195885,0.004671555,0.0040102173,0.00086280133,0.0033133277,0.007912182,0.8464861,0.002379716,0.0020356246
S0767,0.018771905,0.024547739,0.0011958816,0.009723236,0.00086280133,0.0059203114,0.003608623,0.1042505,0.05149861,0.0006743701
S0768,0.42941928,0.23137914,0.0010569023,0.004283198,0.001689453,0.004182081,0.21108878,0.92534214,0.021898665,0.0007578637
S0769,0.009336217,0.00197048,0.007973566,0.011704632,0.00086280133,0.9950033,0.008851086,0.006236567,0.054967985,0.002432654
S0770,0.0032648244,0.0009668809,0.0029854905,0.1598652,0.0010700822,0.9963336,0.97766054,0.0012382016,0.00459003,0.0011931651
S0771,0.017759625,0.0058283033,0.007162867,0.05028942,0.00086280133,0.037779246,0.026091626,0.030678315,0.014341081,0.0009554201
S0772,0.0061109914,0.0013061273,0.0073153055,0.009588776,0.00086280133,0.22687656,0.9701559,0.0040641692,0.0044898805,0.0009386046
S0773,0.0017010861,0.023235124,0.008694464,0.41138306,0.00086280133,0.26053596,0.022531148,0.010457366,0.006661067,0.0017276594
S0774,0.3245354,0.0010676363,0.006115688,0.0018820587,0.00086280133,0.011385021,0.021750448,0.16247377,0.0031380143,0.0010681796
S0775,0.022201162,0.0019976462,0.006442606,0.031706378,0.00086280133,0.0035260979,0.96192443,0.005347183,0.003980837,0.0005147343
S0776,0.011206237,0.0053880853,0.7447852,0.04847507,0.0015417859,0.0109314695,0.029608,0.007823244,0.0054918597,0.00088716147
S0777,0.004006486,0.0045276065,0.87117,0.0076198075,0.00086280133,0.004758733,0.030951349,0.04905129,0.005617428,0.0047098137
S0778,0.8163706,0.8785154,0.006337838,0.8790408,0.00086280133,0.94453233,0.41414848,0.9082859,0.6471598,0.0007378946
S0779,0.03184873,0.024941744,0.09522933,0.06248033,0.00207705,0.3463851,0.005768237,0.0122118015,0.06825581,0.06722315
S0780,0.04000509,0.006775239,0.0081198495,0.0043594693,0.00207705,0.99772435,0.6847137,0.0031849626,0.004237901,0.0005807752
S0781,0.001708174,0.0029844204,0.0025059031,0.0016579665,0.00086280133,0.00087368774,0.003176591,0.004518263,0.002401322,0.00086838304
S0782,0.040470786,0.007172782,0.015139684,0.0020821563,0.027158976,0.026633903,0.21144316,0.042685658,0.008482709,0.00805433
S0783,0.023183003,0.005627703,0.0025180422,0.17197847,0.0011089732,0.7230563,0.32029516,0.0022006335,0.006930123,0.001286839
S0784,0.33892974,0.004126327,0.0015555205,0.0024157774,0.00086280133,0.003738843,0.008305561,0.07934762,0.0017339496,0.0033659646
