sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.0017481402,0.0028590804,0.0038461448,0.002589101,0.00063436513,0.0021997541,0.00543265,0.054019485,0.0021170569,0.0015522306
S0767,0.014384005,0.0049874024,0.0010176179,0.0034474044,0.00063436513,0.0033245757,0.008632911,0.021258743,0.007976848,0.0007456679
S0768,0.973089,0.04562529,0.0012272443,0.00938194,0.0013998043,0.004749742,0.9373686,0.9840874,0.017577607,0.00084046234
S0769,0.0019311054,0.0012060094,0.008039505,0.008481585,0.0007171807,0.99239093,0.007973773,0.0016784127,0.9490955,0.00089585164
S0770,0.0018693357,0.001277823,0.009604716,0.9344978,0.0007660898,0.99595934,0.99373394,0.0008047762,0.001732322,0.00071811874
S0771,0.020026095,0.0034042087,0.0027236987,0.011970637,0.00063436513,0.016939512,0.014977642,0.018230563,0.012686248,0.00064371724
S0772,0.0045149075,0.0013153357,0.0055001243,0.005945216,0.00063436513,0.0049521006,0.986766,0.0018009671,0.0023895644,0.0006139957
S0773,0.0017653266,0.012140906,0.0056837993,0.087391675,0.00063436513,0.087594494,0.013447947,0.008064219,0.0069001024,0.0014220555
S0774,0.9597787,0.0012044195,0.0039434754,0.0022741552,0.00063436513,0.0036881051,0.012003509,0.03378693,0.003275295,0.0006041676
S0775,0.017655369,0.0011954978,0.0055822567,0.020073678,0.00063436513,0.0022504197,0.9901564,0.0035829588,0.009936888,0.00042813885
S0776,0.007333973,0.0023270373,0.9592338,0.006515511,0.00091861974,0.007958941,0.0148528665,0.005293251,0.0070318766,0.000893352
S0777,0.0022006794,0.0037227557,0.9664708,0.0035137667,0.0006866961,0.0026818018,0.009053317,0.019032987,0.0024605491,0.0019227957
S0778,0.98455226,0.9787998,0.0031507083,0.9870345,0.00063436513,0.9863718,0.9744874,0.9824698,0.9752897,0.0006384374
S0779,0.010934336,0.004529412,0.011884935,0.016529541,0.0016389787,0.012341563,0.005402322,0.0033753738,0.9712792,0.020648673
S0780,0.022086207,0.0033398722,0.01626261,0.0049816645,0.0016389787,0.9984493,0.96564215,0.0015285574,0.008007595,0.00046875258
S0781,0.0021580914,0.0010102051,0.003764868,0.0015887612,0.00063436513,0.00084250624,0.003058727,0.0017326666,0.0025019099,0.0006246614
S0782,0.93844616,0.007685385,0.002488365,0.005906817,0.011750231,0.0062314984,0.027071418,0.0066393954,0.004767284,0.003441427
S0783,0.0055825794,0.0009057792,0.002815965,0.012195339,0.00063436513,0.9874221,0.028358081,0.003338087,0.93071604,0.0013526891
S0784,0.04705653,0.0023835679,0.0018439629,0.0018103643,0.00063436513,0.0032113057,0.0078119338,0.9545015,0.0017890476,0.0013463956
S0785,0.9399898,0.0030443089,0.0019962196,0.9039241,0.00063436513,0.009941064,0.89833325,0.90621644,0.9365172,0.98040503
S0786,0.0009064915,0.00051326054,0.0059281066,0.9873899,0.00063436513,0.9954952,0.9932346,0.0007777935,0.0011326342,0.0007311497
S0787,0.0079890825,0.0015347156,0.94662035,0.024219496,0.00063436513,0.028180737,0.99628484,0.0015618986,0.0016122843,0.0007047588
S0788,0.9881246,0.9897551,0.0021830623,0.9951292,0.00063436513,0.9907128,0.9938816,0.9886557,0.98346496,0.007563492
S0789,0.0057753567,0.0023305803,0.001782159,0.005701986,0.00063436513,0.0069133122,0.02949766,0.94801486,0.0054123495,0.00044249804
S0790,0.002193093,0.0020403313,0.0020473786,0.0025254101,0.00063436513,0.002360724,0.99265164,0.0014299278,0.004045971,0.00042813885
S0791,0.0020722551,0.00088885106,0.014807429,0.9714533,0.0013998043,0.935819,0.99465394,0.005099927,0.0012520476,0.0007118434
S0792,0.00959027,0.00200557,0.9786362,0.004447892,0.0007171807,0.0023383687,0.02115003,0.0041232654,0.0142958155,0.00052047934
S0793,0.00726707,0.023372116,0.0017062641,0.0048123873,0.03391094,0.0034967444,0.0046086293,0.00270746,0.005955866,0.008588635
S0794,0.003968112,0.0089373,0.0014695744,0.986292,0.0010536296,0.0011424136,0.0074540544,0.019485023,0.0020561833,0.0035846329
S0795,0.0031956744,0.00078060926,0.0010193421,0.0017552543,0.00063436513,0.0026157533,0.988853,0.0020610862,0.003394216,0.0013475623
S0796,0.0019646036,0.0011054904,0.026291866,0.0020724316,0.00063436513,0.0065544397,0.97587264,0.0011997998,0.0016086656,0.00065577944
S0797,0.011596979,0.0038995133,0.018514846,0.008307069,0.00063436513,0.0048850416,0.012411078,0.004053791,0.9850519,0.0032318884
S0798,0.007379341,0.0074048825,0.0013768577,0.003947446,0.9825011,0.0034210535,0.0032647033,0.0026832013,0.0025937634,0.00087561575
S0799,0.0024609987,0.004197278,0.051808655,0.0116229765,0.0006866961,0.0017421742,0.011374973,0.036454134,0.0025409164,0.0028735101
S0800,0.0010351766,0.0004933129,0.0039935014,0.9385668,0.00063436513,0.993152,0.026281005,0.0007829059,0.002044416,0.00055342447
S0801,0.0051072775,0.0016429236,0.9663491,0.9891377,0.0009863813,0.041973855,0.9958813,0.0031803665,0.0017465599,0.000717434
S0802,0.0012686786,0.002408126,0.00159062,0.036886435,0.0010536296,0.0013243355,0.005255836,0.9039073,0.0026945202,0.002258867
S0803,0.006224607,0.00053193944,0.9423472,0.004329208,0.0007171807,0.001839869,0.9927711,0.0011768164,0.0018647974,0.00086907216
S0804,0.0011389197,0.001460283,0.0057076253,0.027078798,0.00063436513,0.0027932064,0.0025933525,0.0065619396,0.93288153,0.00058600307
S0805,0.0041543473,0.002467976,0.0023609092,0.026777223,0.00063436513,0.99344385,0.034485996,0.0026364091,0.013584967,0.014615717
S0806,0.0017867745,0.005286996,0.9633977,0.030513864,0.00063436513,0.03575513,0.96560186,0.0022662857,0.0027587977,0.00055480923
S0807,0.00348458,0.0006468028,0.98683053,0.0049928618,0.00091861974,0.0018508945,0.9738186,0.0011180845,0.0113586085,0.0024236883
S0808,0.005475378,0.008513179,0.0046619177,0.0072620115,0.0011093039,0.0075697294,0.006424471,0.0047908113,0.99451774,0.0076630134
S0809,0.0014898571,0.009448947,0.0033380713,0.009270602,0.0010536296,0.0032495635,0.02688464,0.005089483,0.017565113,0.0007583975
S0810,0.0012360505,0.0030134148,0.0011113818,0.003981674,0.9851664,0.0010775349,0.0054449686,0.0017051063,0.0019347878,0.0008871555
S0811,0.003827095,0.0017129609,0.005806489,0.020626897,0.00063436513,0.9980046,0.9775163,0.0017949517,0.0019214986,0.0006902359
S0812,0.0047119046,0.99411005,0.002663308,0.008828229,0.0016372544,0.0011798139,0.014588383,0.0034966946,0.0023204938,0.0014033647
S0813,0.0014174242,0.0029462045,0.0010076761,0.003596739,0.9851664,0.0011671993,0.0021865207,0.0025524404,0.0015057414,0.0012244105
S0814,0.016058376,0.0014068478,0.97567344,0.0037258165,0.0007660898,0.0027840317,0.003711438,0.004536013,0.022958167,0.0005644479
S0815,0.0031361445,0.0016199164,0.039492864,0.05424553,0.00063436513,0.94889945,0.99594516,0.002331483,0.0014325087,0.0005868079
S0816,0.019375263,0.0032966796,0.0015153454,0.011751925,0.00063436513,0.0026594072,0.005041708,0.008308239,0.010989798,0.0006470275
S0817,0.0020664816,0.0017180084,0.0011616937,0.0023757764,0.00063436513,0.0014876944,0.0054001575,0.007509611,0.0024136167,0.0007553048
S0818,0.009484047,0.0055068685,0.0011372523,0.9738811,0.00063436513,0.01594279,0.008551807,0.006213497,0.9812649,0.005894183
S0819,0.00831918,0.0016042435,0.97711974,0.99540365,0.0007171807,0.023030547,0.995952,0.002445531,0.0017395165,0.0009965365
S0820,0.004544364,0.0010078787,0.0077100913,0.0017038082,0.00063436513,0.0060778162,0.9964636,0.00092898705,0.0022829475,0.0008253488
S0821,0.0009576912,0.0005253805,0.9849937,0.96989584,0.00063436513,0.016359944,0.97619355,0.0008975198,0.004373115,0.00043714434
S0822,0.013590809,0.00117257,0.0018841317,0.0038712716,0.0009007458,0.0054634833,0.9889684,0.0037127289,0.0013888797,0.0029375704
S0823,0.0018255528,0.0014731269,0.0071309293,0.0045842426,0.0010536296,0.0026649728,0.003102865,0.0033240956,0.9931577,0.00046836425
S0824,0.0034066022,0.0004933129,0.002143081,0.9425036,0.00063436513,0.99517655,0.0103545105,0.0013855366,0.0012538156,0.00050521834
S0825,0.0030737768,0.0011641745,0.973195,0.0020955917,0.00063436513,0.0054879524,0.9544861,0.00097128184,0.0043877386,0.0010652813
S0826,0.007313079,0.009290137,0.0010959697,0.0021455053,0.9619967,0.0027719461,0.0024139578,0.0023817092,0.0022705486,0.0010806775
S0827,0.0012040318,0.00055723946,0.94232106,0.032086525,0.00063436513,0.090819,0.015713064,0.0006625241,0.0014262885,0.00054039754
S0828,0.0008640342,0.000524159,0.9777247,0.026562026,0.00063436513,0.0018152532,0.0045431172,0.0006318568,0.003191069,0.00043310618
S0829,0.0035740598,0.0014721152,0.0024381275,0.0032715811,0.0010536296,0.002663575,0.00685754,0.0017553495,0.99422616,0.00046875258
S0830,0.0016022528,0.0013408087,0.019352265,0.024048522,0.00063436513,0.9698608,0.9941147,0.0011455002,0.0015344066,0.0013893811
S0831,0.046610203,0.014120947,0.0012995308,0.009305467,0.00063436513,0.004228757,0.0143215405,0.014156486,0.93348086,0.00041247616
S0832,0.008173958,0.0069951154,0.0015401001,0.0046945317,0.9812703,0.0026191892,0.004203956,0.004016635,0.0026143766,0.0010500476
S0833,0.0020365354,0.00425487,0.01378471,0.0072400365,0.0010536296,0.98649085,0.0035183125,0.0039175074,0.00529782,0.0014034443
S0834,0.003589594,0.005126783,0.0077345534,0.009214288,0.00063436513,0.017366491,0.009836546,0.0076013715,0.99459356,0.008779063
S0835,0.010502963,0.010309478,0.013376464,0.0050659385,0.00063436513,0.002654175,0.0043038074,0.97330576,0.0066912626,0.0015255503
S0836,0.002383508,0.0010107966,0.019279746,0.001888113,0.00063436513,0.001246153,0.002455323,0.002596848,0.9868816,0.0007220615
S0837,0.0015966091,0.004342153,0.9800081,0.010308125,0.00063436513,0.0059037576,0.008559236,0.001954225,0.9917744,0.0032075974
S0838,0.009266568,0.0026271685,0.0011975676,0.0023090017,0.00063436513,0.0047102943,0.9959156,0.0106242895,0.0022790506,0.0007434184
S0839,0.0071395976,0.0030876275,0.004767139,0.006124694,0.0006866961,0.0021904546,0.01452243,0.94504267,0.0033067947,0.0021258085
S0840,0.0051798234,0.004315747,0.0008699027,0.009598309,0.00063436513,0.0023505208,0.9878663,0.0041046846,0.0048801117,0.0015856375
S0841,0.004514522,0.0012636785,0.0019477579,0.0026120935,0.00063436513,0.0012574825,0.003445521,0.008718268,0.0032271484,0.0005901457
S0842,0.008364523,0.010626877,0.003342848,0.8980845,0.00097502983,0.003113022,0.023093631,0.0155668305,0.06659268,0.95203876
S0843,0.0043890784,0.0035500724,0.001237371,0.0032812858,0.00063436513,0.0012985175,0.075753,0.91395587,0.014576392,0.002180742
S0844,0.003284628,0.006149039,0.0014912679,0.00704281,0.0010536296,0.005834681,0.007567068,0.042519137,0.0037894212,0.0030652757
S0845,0.9942458,0.9942437,0.0019754092,0.9931746,0.00063436513,0.99497247,0.9977101,0.98993134,0.9918053,0.00306622
S0846,0.010334197,0.003193101,0.0009368,0.0017279348,0.00063436513,0.0012306032,0.0037348524,0.012341132,0.0020818787,0.0005228472
S0847,0.003864755,0.9147267,0.0040459977,0.93829405,0.001545231,0.004372347,0.020735366,0.0035459641,0.0046770833,0.0010084814
S0848,0.0028306164,0.00094534975,0.0011882609,0.0044346093,0.00063436513,0.0014277806,0.99135417,0.0013042378,0.0016182162,0.0023548678
S0849,0.0032704899,0.0026473363,0.003345049,0.017526701,0.00063436513,0.0046460116,0.028332451,0.005700029,0.976359,0.0023920427
S0850,0.006193334,0.0036936635,0.0053421436,0.812629,0.0010536296,0.0021168785,0.030479131,0.0047595776,0.9248155,0.00095259014
S0851,0.94928634,0.9223493,0.0049840524,0.9394427,0.000985981,0.0035225481,0.051019095,0.97997046,0.9069484,0.0007628738
S0852,0.003538639,0.0052210516,0.0033203298,0.013810689,0.0010536296,0.9876841,0.003593302,0.005730572,0.004964414,0.0007071303
S0853,0.0017990626,0.0027593854,0.02197165,0.013560543,0.0006866961,0.020236827,0.91034985,0.0088054305,0.0033779382,0.0012756134
S0854,0.0034596154,0.0010984198,0.004646839,0.006155133,0.00063436513,0.0071090725,0.013914564,0.92944664,0.03811778,0.00087789603
S0855,0.00090090494,0.00065650954,0.038912278,0.98001754,0.00063436513,0.95904857,0.9948513,0.0012124815,0.0007707294,0.0006575051
S0856,0.0027733147,0.0013539031,0.0046777157,0.0074808532,0.00063436513,0.0011057378,0.005916538,0.003137925,0.9847868,0.0006922952
S0857,0.0038228505,0.0045936937,0.0013012735,0.9656533,0.0007171807,0.0011940901,0.02794837,0.008764366,0.0018348519,0.016370215
S0858,0.0028795705,0.0060630366,0.0016132441,0.07594182,0.00063436513,0.0019056693,0.02298199,0.007890069,0.0022930042,0.82539284
S0859,0.0054602665,0.0057863086,0.0010374498,0.011815291,0.00063436513,0.024495106,0.994396,0.0063376394,0.007886524,0.054659057
S0860,0.0025735826,0.001678387,0.005133346,0.01264336,0.0016389787,0.011933184,0.0039658397,0.002796599,0.96227455,0.007108561
S0861,0.0008404231,0.0011761356,0.9777639,0.041664142,0.00063436513,0.021741275,0.9926099,0.0009621297,0.0010299217,0.0006717031
S0862,0.0027001875,0.0006661139,0.037327908,0.939875,0.00063436513,0.017162934,0.019700192,0.00067735265,0.004715021,0.00047251696
S0863,0.0059697633,0.006222454,0.002032125,0.003624803,0.00063436513,0.0009725175,0.98144,0.0036649061,0.003774673,0.0017765572
S0864,0.0025234446,0.93466717,0.0017059116,0.013483058,0.0017590699,0.0025777894,0.008901572,0.0030704297,0.045411393,0.94877005
S0865,0.0012558738,0.0005830448,0.0068458137,0.010413762,0.0007660898,0.99725634,0.04879878,0.001164103,0.0012833636,0.0005205227
