sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.0020556268,0.0033459712,0.001704436,0.0057412,0.0006564473,0.0022333113,0.006434882,0.0153878955,0.0023426865,0.0020635466
S0767,0.0058027525,0.0061228657,0.0033551096,0.0036323369,0.00086829613,0.0041960687,0.0047245696,0.02404216,0.007996977,0.003438615
S0768,0.95700485,0.048651967,0.0042976774,0.01518472,0.0046287165,0.0069180247,0.9445939,0.97225046,0.014835287,0.0027903705
S0769,0.004657415,0.005950104,0.0074182716,0.014028179,0.00092763687,0.9537887,0.024166677,0.011321288,0.94283843,0.0025547189
S0770,0.0065582627,0.0016361207,0.0030779308,0.9643408,0.0051381923,0.96930176,0.9772002,0.0035201018,0.0111593725,0.00228333
S0771,0.0028772643,0.0036011043,0.012434151,0.006599443,0.0007762652,0.0071661803,0.0059580123,0.008013805,0.0017455252,0.0011854143
S0772,0.008351489,0.0035066162,0.0047460194,0.0054423404,0.00054434035,0.023003867,0.97496176,0.004974907,0.008631981,0.0040475605
S0773,0.0016121714,0.006355456,0.006772326,0.03727314,0.0004446164,0.009339539,0.009208574,0.0123650255,0.007154536,0.0014155733
S0774,0.9182389,0.006330359,0.004815462,0.006999664,0.0077015995,0.0029391814,0.02014668,0.0041551585,0.008798338,0.0027981154
S0775,0.0033929758,0.003086464,0.007978309,0.009774936,0.0007385859,0.02541416,0.9470059,0.0028154214,0.009670083,0.00053695386
S0776,0.01411565,0.0096157305,0.9587777,0.022335634,0.0008896086,0.0050087515,0.013294594,0.0129551515,0.0066187964,0.0019703412
S0777,0.003943833,0.0038355484,0.9406218,0.018376218,0.0013353607,0.005344214,0.0112908045,0.007798522,0.006210314,0.0067745904
S0778,0.9645759,0.97042453,0.0021720477,0.9615353,0.00082179764,0.97489274,0.97773737,0.9587576,0.969963,0.00065759534
S0779,0.004963538,0.0051085353,0.0076930076,0.020322766,0.0034878298,0.010021922,0.010927351,0.0072025014,0.9428053,0.007962006
S0780,0.008777885,0.0020471097,0.0065329117,0.027651977,0.00096838735,0.98084646,0.95829546,0.001668937,0.018214252,0.0017836059
S0781,0.0021016393,0.002926153,0.0038944432,0.0048145824,0.0009886468,0.00443071,0.012084236,0.007234432,0.0037161221,0.0005665324
S0782,0.9291679,0.005030242,0.0022880754,0.0075441413,0.0035097434,0.009529221,0.04556425,0.009060836,0.0061081913,0.0020724414
S0783,0.00574951,0.002549709,0.010633672,0.025219586,0.0013044166,0.9429452,0.015178089,0.002658785,0.94276583,0.0021943278
S0784,0.008341839,0.0018261098,0.0027326623,0.003722575,0.00060998683,0.0060637468,0.010853387,0.949235,0.0074369386,0.002805723
S0785,0.92674094,0.008233181,0.005422791,0.9486368,0.0019457057,0.007079327,0.94097316,0.91296023,0.942193,0.9438887
S0786,0.0032338582,0.0062016216,0.027544549,0.94055027,0.00081529224,0.9709848,0.9863616,0.0027072963,0.0057656616,0.0030395067
S0787,0.0041735587,0.0026636817,0.9647534,0.01493785,0.0007869026,0.025164584,0.98148763,0.003379033,0.004096265,0.0005987296
S0788,0.95839477,0.96683484,0.005029874,0.9559348,0.0005401851,0.9824638,0.98702943,0.9714732,0.9745641,0.0011380813
S0789,0.011586626,0.005370558,0.006929848,0.007983549,0.00085626566,0.013621489,0.010435165,0.95246446,0.00887247,0.0027008925
S0790,0.006251006,0.0020650043,0.00572481,0.013928348,0.0019269189,0.0057286276,0.9843269,0.0030592198,0.0045959596,0.0016302523
S0791,0.007162134,0.003653214,0.01892866,0.9655687,0.0009419305,0.95666087,0.9811755,0.00694587,0.0058268253,0.0017253244
S0792,0.0037286459,0.002322008,0.9658047,0.008617923,0.000883792,0.0030691528,0.014925715,0.0034155517,0.0055170152,0.0009033078
