sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.0013902228,0.004051803,0.003940008,0.0043891827,0.00086280133,0.0038084688,0.0076484256,0.6273547,0.001357905,0.0013043359
S0767,0.059988886,0.025556449,0.0010274461,0.008080381,0.00086280133,0.006004563,0.0058743367,0.17146538,0.038273204,0.00059029873
S0768,0.7266013,0.16473056,0.0009049049,0.0060780435,0.001689453,0.005606316,0.29234663,0.9202804,0.032266766,0.0007260903
S0769,0.007173421,0.0019066537,0.009428582,0.016096145,0.00086280133,0.9951822,0.00615387,0.004931291,0.099819146,0.0028040172
S0770,0.004130138,0.0010249771,0.0038856207,0.28770965,0.0010700822,0.996405,0.98142964,0.00143309,0.0043880907,0.0014816759
S0771,0.021560403,0.008465644,0.003971527,0.05589374,0.00086280133,0.028796846,0.020878144,0.032870457,0.0459116,0.0008712125
S0772,0.006460074,0.0015788933,0.0136122145,0.009187884,0.00086280133,0.2685955,0.95561,0.007980804,0.00436522,0.0012123222
S0773,0.0019879625,0.020365192,0.0069078277,0.3075878,0.00086280133,0.22951236,0.01678704,0.010248795,0.003816239,0.0015582518
S0774,0.526699,0.0017419154,0.0035396498,0.0022049106,0.00086280133,0.008079452,0.020643603,0.106766105,0.0059281965,0.0009475825
S0775,0.029430976,0.0026811704,0.0066914535,0.03419344,0.00086280133,0.002871777,0.9581025,0.005256021,0.003745887,0.000483187
S0776,0.012855764,0.0029514313,0.82814723,0.044491295,0.0015417859,0.010920767,0.035434287,0.007046926,0.0035128584,0.0010782789
S0777,0.005588618,0.0054049953,0.8526963,0.008413519,0.00086280133,0.003993636,0.03313608,0.03821828,0.0044392706,0.0058006537
S0778,0.86223984,0.84759706,0.008278434,0.9267656,0.00086280133,0.9196939,0.44820613,0.9584458,0.44178504,0.00086815876
S0779,0.03876657,0.025680542,0.07492447,0.09355328,0.00207705,0.3751348,0.00789465,0.014765695,0.023629291,0.07113118
S0780,0.035283007,0.009933225,0.004076219,0.0051405914,0.00207705,0.99806863,0.578283,0.0036682594,0.0062267752,0.0006270276
S0781,0.0016357017,0.0024158177,0.0027336993,0.0020721673,0.00086280133,0.000958243,0.0032622884,0.0042642457,0.0026668643,0.0006754552
S0782,0.017765481,0.0067267446,0.007884943,0.002409016,0.027158976,0.022007871,0.09386655,0.032384593,0.013128819,0.0063222083
S0783,0.018012354,0.0044813184,0.002802955,0.097400755,0.0011089732,0.7157165,0.23400778,0.0040405598,0.006321367,0.0014014229
S0784,0.3412638,0.0027163543,0.0017502351,0.0026276195,0.00086280133,0.0034252568,0.007722695,0.08623538,0.001197862,0.0041310657
S0785,0.0744359,0.0041540754,0.0025835803,0.008980301,0.00091590785,0.006808331,0.0040614777,0.03784742,0.18675786,0.7974328
S0786,0.0007767174,0.0014639609,0.01676692,0.92217344,0.00086280133,0.98651797,0.9817425,0.0009328573,0.00084307,0.0006779995
S0787,0.034351904,0.0011895195,0.397375,0.2107506,0.00086280133,0.26179227,0.98392695,0.0059999237,0.0022519513,0.0010647116
S0788,0.9866541,0.944496,0.0050312155,0.9908627,0.0014271697,0.9685344,0.9863294,0.97454673,0.9565526,0.008259399
S0789,0.0059070047,0.0056144083,0.0024778366,0.008348488,0.0011089732,0.034312785,0.27485776,0.34057745,0.0028586048,0.000483187
S0790,0.0025692421,0.0023227988,0.0028897512,0.007340265,0.00086280133,0.004505321,0.99487513,0.0014246547,0.0024844797,0.0005093842
S0791,0.0013876725,0.0013216541,0.17162623,0.8481956,0.001689453,0.13551733,0.99212813,0.003885726,0.0019039126,0.0009017376
S0792,0.012934778,0.004166256,0.7710038,0.006319752,0.0011089732,0.0033096876,0.029912135,0.0038652213,0.009378842,0.0009533714
S0793,0.008438414,0.046645463,0.0031830645,0.011927548,0.95971173,0.0099657,0.014561278,0.008203352,0.031890433,0.015332551
S0794,0.005244824,0.006326281,0.0021650284,0.8097201,0.0017697951,0.0013867135,0.015364779,0.12998015,0.0033357607,0.0036949518
S0795,0.021662522,0.0013021282,0.001855731,0.002231168,0.0011089732,0.0051161074,0.95713013,0.0048365034,0.0029974454,0.003186216
S0796,0.001321442,0.00080355245,0.58019125,0.0045023323,0.00086280133,0.05053155,0.944939,0.0018826841,0.002419301,0.0008098543
S0797,0.037130963,0.0067944773,0.029952306,0.032789703,0.00086280133,0.008140552,0.004897196,0.0054919203,0.9765579,0.0016801569
S0798,0.01255483,0.017414166,0.0032660163,0.0068496335,0.8912227,0.024375549,0.0050344653,0.006390025,0.005733089,0.0010503323
