sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.0017019673,0.004263027,0.0033652354,0.0026372846,0.00063436513,0.0018911617,0.005474301,0.040478002,0.0023424425,0.0009962147
S0767,0.015208183,0.003949892,0.0009014738,0.0040926947,0.00063436513,0.0032810674,0.01156325,0.014607048,0.008121904,0.0006549119
S0768,0.9796093,0.04880809,0.0013180093,0.022706712,0.0013998043,0.0047288025,0.9517029,0.983472,0.016670033,0.0006644429
S0769,0.0013720334,0.0013335656,0.006989629,0.012689623,0.0007171807,0.9944457,0.0057990258,0.0026547683,0.950026,0.0012572154
S0770,0.0014500632,0.001266991,0.0070917127,0.9358232,0.0007660898,0.99600875,0.99329597,0.00091622595,0.0018662696,0.0007908391
S0771,0.019467168,0.004892725,0.0038210189,0.016758699,0.00063436513,0.018114608,0.017106319,0.020980867,0.013980935,0.00061694306
S0772,0.0026320333,0.0011613381,0.005228755,0.0077593504,0.00063436513,0.006314643,0.98413056,0.0021516257,0.0023526542,0.0006679555
S0773,0.002398444,0.011677546,0.007115005,0.067065805,0.00063436513,0.09112684,0.010134166,0.006276163,0.0037657965,0.0012973499
S0774,0.96181697,0.000930348,0.005262906,0.002475557,0.00063436513,0.0036334153,0.010141387,0.037934493,0.0022436993,0.0007658147
S0775,0.017061712,0.001683199,0.0061106035,0.021624573,0.00063436513,0.0015599852,0.98861796,0.0024057478,0.010868581,0.00044009392
S0776,0.013145064,0.0025878893,0.96313494,0.016269935,0.00091861974,0.008290108,0.013579768,0.007051448,0.004104607,0.0009694379
S0777,0.002449889,0.0034111997,0.9616957,0.004413278,0.0006866961,0.0026099451,0.012312222,0.019893823,0.0030767443,0.00180858
S0778,0.9883612,0.97822773,0.004255312,0.98620474,0.00063436513,0.9797785,0.97301507,0.9923314,0.97522086,0.00065704127
S0779,0.008050941,0.004250702,0.0067971875,0.017870618,0.0016389787,0.01342919,0.009178751,0.0034423852,0.97608805,0.018478366
