sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.0020762584,0.0026901772,0.0038754812,0.003724636,0.00086280133,0.0034912291,0.006996838,0.8343261,0.0032790126,0.0017802666
S0767,0.016929248,0.012884375,0.00097392086,0.016159186,0.00086280133,0.0034490824,0.006916066,0.08450155,0.013057529,0.00060607976
S0768,0.22739473,0.07929143,0.0011481128,0.0062389853,0.001689453,0.004513489,0.12350604,0.95739514,0.031829644,0.0010190426
S0769,0.00299064,0.0038028555,0.00875004,0.012911846,0.00086280133,0.9947418,0.011817674,0.005593035,0.17479709,0.004880579
S0770,0.0037589762,0.0012108387,0.0039772876,0.22697015,0.0010700822,0.9968458,0.9775613,0.000994966,0.0069786827,0.0008594438
S0771,0.033349834,0.004299004,0.0028098645,0.086181164,0.00086280133,0.01632748,0.016800346,0.03624878,0.030334678,0.0007531931
S0772,0.007610575,0.0014513617,0.011105479,0.012645806,0.00086280133,0.21681699,0.93416655,0.007615003,0.004495007,0.0010317778
S0773,0.0023367696,0.01572824,0.011407735,0.40929893,0.00086280133,0.3150795,0.019012313,0.007862582,0.0048186164,0.0016803313
S0774,0.29545143,0.0020730854,0.004656418,0.0014444435,0.00086280133,0.0097471075,0.019774891,0.1813537,0.002693293,0.0008356443
S0775,0.051932804,0.002652097,0.010219028,0.04353665,0.00086280133,0.0029592516,0.9789225,0.0074916454,0.004897331,0.00048030802
S0776,0.015501565,0.0077902526,0.7243157,0.07957739,0.0015417859,0.010989887,0.034472052,0.007820716,0.008865148,0.00074975216
S0777,0.0039081653,0.0048337914,0.8826711,0.012215897,0.00086280133,0.006444212,0.022836395,0.02725834,0.009946467,0.006137025
S0778,0.92244756,0.9505312,0.0065920725,0.88068175,0.00086280133,0.93157846,0.7291012,0.92764074,0.5896005,0.00064224034
S0779,0.014441356,0.012056522,0.057775144,0.044693593,0.00207705,0.3177999,0.0051538595,0.008758108,0.077473104,0.0858621
S0780,0.028258659,0.0039296206,0.006469246,0.007004671,0.00207705,0.99796754,0.394278,0.002097654,0.0056214756,0.0005795841
S0781,0.0020180678,0.00913168,0.002238413,0.0018802448,0.00086280133,0.0008764213,0.004443804,0.005601403,0.0034548892,0.00076542614
S0782,0.048017986,0.010540135,0.0075162523,0.0036197004,0.027158976,0.016808832,0.10051847,0.070980854,0.025270116,0.017380876
S0783,0.01329724,0.0009815258,0.0024232354,0.23613138,0.0011089732,0.63065994,0.26133236,0.0016294399,0.015041702,0.001048806
S0784,0.2677429,0.0067481142,0.0011053281,0.0021949774,0.00086280133,0.0034697242,0.011912822,0.09346268,0.0038016236,0.001980532
S0785,0.07700222,0.002021049,0.0023929463,0.017622111,0.00091590785,0.006072078,0.0051338044,0.04579099,0.19760211,0.86921394
S0786,0.0010377982,0.0008947972,0.023822978,0.897705,0.00086280133,0.98685986,0.9823093,0.0008104178,0.000935523,0.0005944528
S0787,0.020909216,0.001398246,0.18527614,0.16718492,0.00086280133,0.16544199,0.99517256,0.004485686,0.0013429557,0.0010777911
S0788,0.9865544,0.9777765,0.0042580753,0.9920358,0.0014271697,0.9497389,0.9874051,0.9873334,0.96542567,0.0108744465
S0789,0.006696609,0.004158664,0.006379773,0.0071987687,0.0011089732,0.051155064,0.14785427,0.3040376,0.0068056295,0.0007843871
S0790,0.002671373,0.0023744148,0.0029782322,0.0073229414,0.00086280133,0.004189604,0.9954585,0.0016286729,0.002493603,0.0004714165
S0791,0.0024187716,0.0019606012,0.13621342,0.8146615,0.001689453,0.1233046,0.9922131,0.0031617035,0.0015725528,0.000972732
S0792,0.012757579,0.004323898,0.78173476,0.00700985,0.0011089732,0.0030018387,0.04775663,0.006268254,0.005118241,0.00067289255
S0793,0.021142796,0.048196267,0.0053466302,0.0129012335,0.95971173,0.007876524,0.023969982,0.011909898,0.36627287,0.01696832
S0794,0.0056563914,0.008574509,0.0026267224,0.87674195,0.0017697951,0.001610467,0.02031273,0.18282478,0.004078272,0.0023430176
S0795,0.013834902,0.0033844376,0.0025815119,0.0022800453,0.0011089732,0.0038954143,0.97111917,0.007852069,0.0017243564,0.002319984
S0796,0.002021857,0.0014251875,0.4610483,0.0052094148,0.00086280133,0.04100301,0.9701347,0.001693247,0.0013112031,0.0009136469
S0797,0.030602712,0.0058396063,0.021091506,0.01519988,0.00086280133,0.005626057,0.0035752368,0.004930372,0.9636638,0.0028586742
S0798,0.0124509195,0.037810605,0.0023818451,0.004666894,0.8912227,0.015495192,0.015771344,0.008134368,0.0044151014,0.0031875372
