sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.004168732,0.0036711572,0.007732322,0.0030929807,0.0006769384,0.0028990018,0.0061241016,0.17833099,0.00177742,0.0018881856
S0767,0.040856905,0.018956471,0.0029445859,0.014581708,0.0006769384,0.013168696,0.23059036,0.29387328,0.044452988,0.0006581449
S0768,0.8395938,0.14877643,0.00083794945,0.013002333,0.0012003114,0.004435601,0.06521409,0.8572127,0.01643614,0.0009218297
S0769,0.0035166629,0.0032189162,0.011884706,0.010536351,0.0006769384,0.95439726,0.027661145,0.0059350766,0.93903667,0.00278634
S0770,0.0081810085,0.0038868205,0.0036944307,0.43955928,0.0007181639,0.996062,0.8902268,0.0013677998,0.0020366586,0.000670028
S0771,0.021137077,0.0069617513,0.0029604253,0.04477673,0.0015815723,0.040243864,0.02852753,0.10351473,0.01854282,0.0007921601
S0772,0.02244959,0.005383582,0.02246601,0.20144151,0.0006769384,0.0074705756,0.9094997,0.008097697,0.002190288,0.0013376265
S0773,0.0029326335,0.03764713,0.03203136,0.27225694,0.0013587439,0.3098756,0.011389133,0.027390225,0.006849033,0.0015690088
S0774,0.08938871,0.0013384682,0.001643688,0.0031255796,0.0006769384,0.002453845,0.049163833,0.15387039,0.0016485057,0.0006696076
S0775,0.042866495,0.008843317,0.0035367936,0.05092781,0.0006769384,0.007163813,0.9821654,0.013804106,0.011213419,0.00085079786
S0776,0.007708107,0.0025004798,0.92102015,0.040844653,0.00087012316,0.015738351,0.007963042,0.004146775,0.0043338677,0.00092882727
S0777,0.0063593145,0.004027712,0.82292145,0.016387891,0.0016824268,0.0075229034,0.013693907,0.06712586,0.0034866733,0.0021663278
S0778,0.63753843,0.5371662,0.0023680541,0.7627451,0.0007181639,0.69485795,0.17186749,0.24865833,0.6790851,0.0007510115
S0779,0.016940543,0.010410932,0.0342953,0.1704993,0.03945504,0.020918438,0.011752406,0.0022631784,0.41274786,0.076331295
S0780,0.0051034633,0.0014001669,0.006159504,0.0059818975,0.0007181639,0.99771047,0.33088094,0.0009860665,0.011755486,0.0007804534
