sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.0015863306,0.00072086067,0.0040263217,0.00206635,8.922020599343849e-06,0.0022594354,0.0041467673,0.05235944,0.002550193,0.0011381215
S0767,0.014361458,0.0008187586,0.00087211403,0.0026897243,3.7961164141094134e-05,0.0033475456,0.010526141,0.04370082,0.006487286,0.00066360657
S0768,0.97468114,0.010955945,0.0014838935,0.012094761,0.0004250854160365204,0.005064208,0.9452578,0.9861369,0.00796401,0.0008788259
S0769,0.0019956382,0.0003372774,0.0069254716,0.0103988685,2.5052798357902106e-05,0.99109334,0.010848806,0.0013111032,0.9383867,0.0008434428
S0770,0.0026399961,0.00020509938,0.008555535,0.92560756,0.00018042702306884998,0.9947462,0.99116486,0.0008372546,0.0014971215,0.00085162284
S0771,0.018720593,0.012796734,0.0039409515,0.016685696,0.00675072405610523,0.015285275,0.013399296,0.04079725,0.011840834,0.0005827203
S0772,0.0038474055,0.00016417293,0.0076718656,0.007153801,2.7743219222285998e-06,0.0069809826,0.9840365,0.0017167372,0.0016872165,0.0006519088
S0773,0.0019228451,0.006033188,0.0053569963,0.08138039,3.4301157017494346e-05,0.08989628,0.014678281,0.00728696,0.007999296,0.0014222391
S0774,0.9631543,0.00012869184,0.0043368214,0.0022655677,1.8953244463049958e-05,0.0027116707,0.016806373,0.028171532,0.0034856678,0.00061228906
S0775,0.014776722,0.00018275077,0.005163771,0.015827406,5.287061569854454e-06,0.002076637,0.98950243,0.003139035,0.0075533795,0.00039773033
S0776,0.00740443,0.0008799616,0.95860064,0.008096395,1.8048253754796673e-05,0.008518453,0.02300263,0.002092201,0.005377817,0.00080366153
S0777,0.0027363682,0.0024797653,0.9621009,0.0032993553,4.348550040058972e-05,0.0025872851,0.008861223,0.018164597,0.002594965,0.0015553398
S0778,0.985581,0.99594325,0.0032371015,0.98628056,4.6487606862723755e-06,0.9818871,0.9818487,0.97358614,0.98290133,0.0005827203
S0779,0.012308454,0.0017560249,0.008326592,0.012178222,2.1926720390671144e-05,0.014153531,0.006804611,0.0037437147,0.9786189,0.017246092
S0780,0.017444495,0.00024414784,0.013421737,0.0035884378,0.0006950264168251809,0.99810237,0.95841086,0.0011523262,0.004727557,0.00048935355
S0781,0.0018520233,0.00012781413,0.0039504003,0.0028677802,1.8639020015210605e-05,0.0007689284,0.0037073796,0.0017015095,0.0025262032,0.0006264458
S0782,0.9321378,0.0006484638,0.0030035349,0.01031612,0.0007328837437241279,0.012320371,0.015385634,0.010510909,0.0056934683,0.0031885083
S0783,0.0066589946,0.00010828525,0.0022474013,0.015357603,0.00015690458781840918,0.98066723,0.024884429,0.003806591,0.93223524,0.0011458489
S0784,0.048027266,0.00028745885,0.0019889409,0.0019066836,3.202232898826198e-05,0.0025912975,0.004406763,0.960951,0.0019261625,0.0014601147
S0785,0.9329902,0.0036551442,0.0020444249,0.9013844,7.878826570007948e-06,0.009607905,0.90580535,0.9552908,0.920884,0.9819811
S0786,0.0011749773,8.4431296e-05,0.0058528455,0.9796286,0.00011885157937414186,0.9942058,0.9942174,0.000833147,0.0009722919,0.00052354386
