sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.001499892,0.00072086067,0.0038461448,0.00206635,5.203565409723817e-05,0.0018911617,0.0072453097,0.05235944,0.003530539,0.0011381215
S0767,0.023007657,0.0008187586,0.0010176179,0.0026897243,0.00013187352467014697,0.0032810674,0.011697871,0.04370082,0.0061805854,0.00066360657
S0768,0.9684852,0.010955945,0.0012272443,0.012094761,0.000762841334697677,0.0047288025,0.9310225,0.9861369,0.016736658,0.0008788259
S0769,0.0019741885,0.0003372774,0.008039505,0.0103988685,8.332216150757535e-05,0.9944457,0.005793137,0.0013111032,0.9335491,0.0008434428
S0770,0.0014747812,0.00020509938,0.009604716,0.92560756,0.0003582982544660375,0.99600875,0.9924108,0.0008372546,0.0015135955,0.00085162284
S0771,0.023850188,0.012796734,0.0027236987,0.016685696,0.06370874723782285,0.018114608,0.018512921,0.04079725,0.007627026,0.0005827203
S0772,0.005237798,0.00016417293,0.0055001243,0.007153801,1.7163364978029422e-05,0.006314643,0.98581195,0.0017167372,0.0023483033,0.0006519088
S0773,0.0017620214,0.006033188,0.0056837993,0.08138039,5.313877454063093e-05,0.09112684,0.012534163,0.00728696,0.0076892483,0.0014222391
S0774,0.95482135,0.00012869184,0.0039434754,0.0022655677,8.428595540740937e-05,0.0036334153,0.013243905,0.028171532,0.0030706106,0.00061228906
S0775,0.017185412,0.00018275077,0.0055822567,0.015827406,2.7594020520762824e-05,0.0015599852,0.9879693,0.003139035,0.0061626164,0.00039773033
S0776,0.0059561147,0.0008799616,0.9592338,0.008096395,9.702943231403401e-05,0.008290108,0.018966205,0.002092201,0.005119732,0.00080366153
S0777,0.0018177157,0.0024797653,0.9664708,0.0032993553,0.0001975002168470322,0.0026099451,0.011446307,0.018164597,0.0035983883,0.0015553398
S0778,0.9801748,0.99594325,0.0031507083,0.98628056,3.4783237153581145e-05,0.9797785,0.975738,0.97358614,0.9808699,0.0005827203
S0779,0.010596503,0.0017560249,0.011884935,0.012178222,8.821962101201096e-05,0.01342919,0.008555794,0.0037437147,0.9676973,0.017246092
S0780,0.021713255,0.00024414784,0.01626261,0.0035884378,0.0010203806798388317,0.9986603,0.95911723,0.0011523262,0.0054982393,0.00048935355
S0781,0.0018656844,0.00012781413,0.003764868,0.0028677802,6.858785087715867e-05,0.00077507115,0.003133534,0.0017015095,0.003178012,0.0006264458
S0782,0.95052606,0.0006484638,0.002488365,0.01031612,0.0014457076254162581,0.008994622,0.03227909,0.010510909,0.0053783148,0.0031885083
S0783,0.006508936,0.00010828525,0.002815965,0.015357603,0.00033585271722469097,0.98676664,0.023287298,0.003806591,0.9280843,0.0011458489
S0784,0.047961958,0.00028745885,0.0018439629,0.0019066836,0.00012305895956489868,0.003533085,0.005442828,0.960951,0.002088521,0.0014601147
S0785,0.9452711,0.0036551442,0.0019962196,0.9013844,3.093684041152453e-05,0.008572187,0.8831564,0.9552908,0.93340886,0.9819811
S0786,0.0008384379,8.4431296e-05,0.0059281066,0.9796286,0.00026875846942346073,0.99603313,0.9923592,0.000833147,0.000746424,0.00052354386
S0787,0.0065018483,8.285035e-05,0.94662035,0.026455112,1.0044943005524664e-05,0.024534553,0.9933409,0.0033976696,0.00094255444,0.0007250804
S0788,0.9890876,0.99818206,0.0021830623,0.99589205,3.751198199495112e-05,0.9925747,0.9939389,0.98958135,0.9790581,0.007031228
S0789,0.0036804632,0.00068240304,0.001782159,0.0064654895,5.677022483280398e-06,0.0070084925,0.023639074,0.9574716,0.0028208846,0.00040961689
