sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.076604836,0.11090449,0.100226685,0.22168978,0.07501913,0.19295464,0.2197669,0.12958145,0.1384824,0.01897979
S0767,0.07851513,0.16880669,0.07431248,0.15279676,0.030325614,0.15796286,0.22461131,0.16847223,0.13697253,0.026459908
S0768,0.076604836,0.11090449,0.100226685,0.22168978,0.07501913,0.19295464,0.2197669,0.12958145,0.1384824,0.01897979
S0769,0.107496865,0.2912007,0.03109681,0.18622728,0.046327185,0.43937016,0.1425476,0.054785926,0.26211116,0.023137206
S0770,0.16709998,0.17959811,0.05914425,0.58069426,0.0052264687,0.6204881,0.8150103,0.19542018,0.2993382,0.07576703
S0771,0.07851513,0.16880669,0.07431248,0.15279676,0.030325614,0.15796286,0.22461131,0.16847223,0.13697253,0.026459908
S0772,0.18280183,0.15181434,0.10690482,0.42127723,0.0052264687,0.3075135,0.77240556,0.19591992,0.2256692,0.030693064
S0773,0.076604836,0.11090449,0.100226685,0.22168978,0.07501913,0.19295464,0.2197669,0.12958145,0.1384824,0.01897979
S0774,0.2859671,0.048279315,0.13976477,0.38279346,0.0052264687,0.22554716,0.2529263,0.082224846,0.22962618,0.11512025
S0775,0.0662279,0.05912669,0.077450395,0.14405975,0.0116205765,0.2720309,0.32077315,0.068629555,0.27175015,0.006478005
S0776,0.054896582,0.058451094,0.18548088,0.115550786,0.03235452,0.13373695,0.1617746,0.049683914,0.11044398,0.006598537
S0777,0.076604836,0.11090449,0.100226685,0.22168978,0.07501913,0.19295464,0.2197669,0.12958145,0.1384824,0.01897979
S0778,0.07851513,0.16880669,0.07431248,0.15279676,0.030325614,0.15796286,0.22461131,0.16847223,0.13697253,0.026459908
S0779,0.08980033,0.09255253,0.05873277,0.15740044,0.05897952,0.09353804,0.20979631,0.19187815,0.28415522,0.006478005
S0780,0.37961823,0.19476682,0.03476317,0.089866355,0.029887253,0.47642124,0.5194802,0.04844278,0.074084654,0.03281615
S0781,0.07851513,0.16880669,0.07431248,0.15279676,0.030325614,0.15796286,0.22461131,0.16847223,0.13697253,0.026459908
S0782,0.28001627,0.033986036,0.080714166,0.035153925,0.021354808,0.07390022,0.23076218,0.050004117,0.21629204,0.006598537
S0783,0.08272862,0.11850068,0.11570054,0.24223845,0.0052264687,0.555357,0.20238739,0.06794969,0.6400544,0.030693064
S0784,0.24555889,0.18809175,0.06454201,0.16583762,0.0116205765,0.26312178,0.32077315,0.4325323,0.1966584,0.022557708
S0785,0.547581,0.13194855,0.20900558,0.5659223,0.0052264687,0.3075135,0.7381618,0.58120966,0.3478468,0.242452
S0786,0.05782808,0.029698301,0.17466587,0.7846848,0.0052264687,0.48920754,0.71406245,0.029637491,0.056079615,0.05370496
S0787,0.1492509,0.033986036,0.3721696,0.035153925,0.021354808,0.07390022,0.4655953,0.050004117,0.1435251,0.006598537
S0788,0.13645762,0.14361472,0.07924659,0.32895857,0.07501913,0.24181601,0.3793325,0.30244333,0.1384824,0.006598537
S0789,0.07851513,0.16880669,0.07431248,0.15279676,0.030325614,0.15796286,0.22461131,0.16847223,0.13697253,0.026459908
S0790,0.15645634,0.15634549,0.03476317,0.081992514,0.0510153,0.30812123,0.32584196,0.104861036,0.20131806,0.021771947
S0791,0.101446554,0.07003784,0.05873277,0.22263125,0.09116632,0.2019995,0.26635095,0.08771938,0.31645963,0.006478005
S0792,0.074871555,0.18399824,0.102360465,0.16598764,0.07501913,0.16358326,0.3067008,0.11213928,0.24842957,0.006478005
S0793,0.09036129,0.19829877,0.05873277,0.12430872,0.09433997,0.23547845,0.29201314,0.13353549,0.10541327,0.006478005
S0794,0.07851513,0.16880669,0.07431248,0.15279676,0.030325614,0.15796286,0.22461131,0.16847223,0.13697253,0.026459908
S0795,0.08663412,0.035984885,0.043078728,0.04759517,0.08351297,0.13856149,0.42090687,0.025582867,0.24342792,0.006598537
S0796,0.32925773,0.31965807,0.12118441,0.42391527,0.012126544,0.30596605,0.5911261,0.3215006,0.45114344,0.028218698
S0797,0.08272862,0.11850068,0.11570054,0.24536984,0.0052264687,0.22541322,0.23280752,0.06794969,0.7284812,0.030693064
S0798,0.08663412,0.035984885,0.054041263,0.04759517,0.08351297,0.38264692,0.31926027,0.025582867,0.25098267,0.006598537
S0799,0.06278524,0.04901357,0.054983664,0.055074584,0.027687935,0.15872,0.3099422,0.059818037,0.041740004,0.11061867
S0800,0.13645762,0.089490674,0.07924659,0.32895857,0.07501913,0.24181601,0.3793325,0.30244333,0.1384824,0.006598537
S0801,0.054896582,0.06671323,0.6095909,0.5052009,0.07430883,0.098985896,0.35652402,0.019576713,0.1906502,0.061580442
S0802,0.06278524,0.04901357,0.0827159,0.055074584,0.027687935,0.051079307,0.13369247,0.17069963,0.041740004,0.04112601
S0803,0.074871555,0.10291485,0.102360465,0.2981627,0.12167349,0.15247776,0.63611764,0.11213928,0.15435638,0.006478005
S0804,0.07851513,0.16880669,0.07431248,0.15279676,0.030325614,0.15796286,0.22461131,0.16847223,0.13697253,0.026459908
S0805,0.046296943,0.051487453,0.14394245,0.14485383,0.045607504,0.4403147,0.24064904,0.019576713,0.3042149,0.023137206
S0806,0.24012583,0.0543885,0.19439848,0.11314331,0.03235452,0.12588765,0.42242172,0.049683914,0.11044398,0.006598537
S0807,0.16024016,0.091893435,0.10682303,0.29397702,0.025612589,0.17489202,0.66198033,0.06095255,0.09818891,0.05086076
S0808,0.46181947,0.2416238,0.03476317,0.081992514,0.05556266,0.30812123,0.37878236,0.22494337,0.57018507,0.021771947
S0809,0.16832452,0.0543885,0.06507437,0.13516678,0.03235452,0.12588765,0.36642155,0.049683914,0.11044398,0.006598537
S0810,0.101446554,0.058464605,0.05873277,0.21568133,0.28658932,0.2019995,0.25752595,0.08771938,0.084399074,0.006478005
S0811,0.0670917,0.11427083,0.08162071,0.09635967,0.059200436,0.26981962,0.60340583,0.060973704,0.1177813,0.006478005
S0812,0.07851513,0.16880669,0.07431248,0.15279676,0.030325614,0.15796286,0.22461131,0.16847223,0.13697253,0.026459908
S0813,0.07851513,0.16880669,0.07431248,0.15279676,0.030325614,0.15796286,0.22461131,0.16847223,0.13697253,0.026459908
S0814,0.12334125,0.11146904,0.22618935,0.081992514,0.10093402,0.30812123,0.31258827,0.104861036,0.119641125,0.021771947
S0815,0.120361,0.0663082,0.11020774,0.101050116,0.021354808,0.64190996,0.5846991,0.23950596,0.09965018,0.006598537
S0816,0.12196037,0.04655261,0.07924659,0.18485638,0.021354808,0.117255464,0.1687349,0.13934983,0.17798518,0.006598537
S0817,0.076604836,0.11090449,0.100226685,0.22168978,0.07501913,0.19295464,0.2197669,0.12958145,0.1384824,0.01897979
S0818,0.074871555,0.10291485,0.102360465,0.2981627,0.12167349,0.15247776,0.63611764,0.11213928,0.24842957,0.006478005
S0819,0.09195324,0.09119158,0.5956079,0.4203534,0.012126544,0.27181044,0.54245234,0.08923469,0.117335685,0.09822015
S0820,0.07851513,0.16880669,0.07431248,0.15279676,0.030325614,0.15796286,0.22461131,0.16847223,0.13697253,0.026459908
S0821,0.100356,0.041823573,0.5035773,0.27987626,0.012403781,0.2121649,0.33065736,0.09610584,0.061009917,0.030360539
S0822,0.08663412,0.035984885,0.054041263,0.04759517,0.08351297,0.21215814,0.3811004,0.025582867,0.25098267,0.006598537
S0823,0.101446554,0.07003784,0.05873277,0.22263125,0.09116632,0.2019995,0.26635095,0.08771938,0.31645963,0.006478005
S0824,0.074871555,0.10291485,0.09162067,0.2580008,0.11789063,0.2305013,0.2406077,0.20217255,0.15435638,0.006478005
S0825,0.026284367,0.02949682,0.5352725,0.40857694,0.0052264687,0.16998145,0.78549665,0.0742586,0.10981867,0.11037059
S0826,0.076604836,0.11090449,0.100226685,0.22168978,0.07501913,0.19295464,0.2197669,0.12958145,0.1384824,0.01897979
S0827,0.0463015,0.042701982,0.2959153,0.27619535,0.0052264687,0.22554716,0.1461585,0.13646081,0.36303225,0.16157283
S0828,0.08272862,0.11850068,0.11570054,0.24223845,0.0052264687,0.555357,0.20238739,0.06794969,0.49588388,0.030693064
S0829,0.0662279,0.05912669,0.077450395,0.12952138,0.0116205765,0.28139547,0.32077315,0.068629555,0.3046093,0.006478005
S0830,0.07175366,0.11427083,0.08162071,0.09635967,0.059200436,0.26981962,0.60340583,0.060973704,0.1177813,0.006478005
S0831,0.055590447,0.035984885,0.041324135,0.04759517,0.0757054,0.0940168,0.3786041,0.025582867,0.28087974,0.006598537
S0832,0.076604836,0.11090449,0.100226685,0.22168978,0.07501913,0.19295464,0.2197669,0.12958145,0.1384824,0.01897979
S0833,0.05782808,0.029698301,0.14269686,0.22760925,0.0052264687,0.37495825,0.22589047,0.13344929,0.048385963,0.07309077
S0834,0.12544286,0.16930047,0.09718616,0.20411804,0.021354808,0.080677785,0.26229453,0.10361728,0.27276695,0.006598537
S0835,0.05782808,0.029698301,0.14269686,0.22760925,0.0052264687,0.37495825,0.3130172,0.23697482,0.048385963,0.07309077
S0836,0.07851513,0.16880669,0.07431248,0.15279676,0.030325614,0.15796286,0.22461131,0.16847223,0.13697253,0.026459908
S0837,0.15867585,0.047272086,0.53522116,0.12351667,0.07430883,0.042541087,0.17829047,0.019576713,0.43276033,0.023137206
