sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.0033783184,0.003612977,0.0067119296,0.0031877416,0.0010850561,0.0027341868,0.007133077,0.51203895,0.003961572,0.0015851455
S0767,0.18936142,0.013841122,0.0010361074,0.03416244,0.0006865613,0.013280247,0.028164197,0.68921924,0.043631606,0.0006988964
S0768,0.92399937,0.004465992,0.001376353,0.005066787,0.0015816009,0.007052306,0.41215628,0.97969294,0.020690782,0.00052278413
S0769,0.0018696098,0.0013037148,0.024489665,0.022269579,0.00055777,0.98672694,0.0069524283,0.002191544,0.96522087,0.0020027584
S0770,0.006024741,0.0013311723,0.0021584055,0.3489758,0.0011663507,0.99778444,0.9665785,0.0008780575,0.0023586124,0.00067821535
S0771,0.58618337,0.09293417,0.0021654756,0.27515236,0.0018458738,0.6978537,0.06357682,0.43625554,0.040014256,0.0013500706
S0772,0.011913002,0.003077878,0.0067698634,0.04316847,0.00055777,0.034097254,0.9853681,0.011267651,0.0019001485,0.00063313026
S0773,0.0028251787,0.06906378,0.019987015,0.6715539,0.0015003927,0.8457623,0.021598589,0.017641464,0.016609346,0.0029179398
S0774,0.5516652,0.0032621827,0.0016558408,0.0025888877,0.0007155539,0.0023335435,0.03240394,0.46159583,0.002329042,0.00058764126
S0775,0.06347346,0.0016811634,0.0055371416,0.0107731735,0.00055777,0.04400951,0.94122905,0.012059066,0.004881689,0.0007581504
S0776,0.009412309,0.011682093,0.9754022,0.016572999,0.0007155539,0.009654475,0.022697957,0.029587984,0.0047062836,0.0005830578
S0777,0.0031844599,0.006376594,0.9459964,0.0107334815,0.0024395613,0.009810836,0.011366058,0.1157699,0.0056901923,0.0035810953
S0778,0.9762537,0.9370557,0.0015814316,0.97206026,0.00080061174,0.9473834,0.8474461,0.9638777,0.959757,0.0012352514
S0779,0.048126623,0.010364468,0.015957175,0.14900936,0.0010518848,0.017234724,0.015014635,0.006926551,0.16588746,0.016739719
S0780,0.0037789177,0.0024832995,0.02394179,0.0066734343,0.0007404577,0.9988254,0.74330837,0.0013543126,0.0035349084,0.00070907583
S0781,0.0020170116,0.0008613405,0.7470192,0.0010411856,0.00055777,0.001673655,0.13180965,0.0038173506,0.006143202,0.0011083437
S0782,0.032779776,0.0026250777,0.0024557821,0.0034983666,0.006211151,0.0030802053,0.18097404,0.18005094,0.0036096144,0.05454525
S0783,0.02682932,0.0066945725,0.00238891,0.015688349,0.00066626625,0.70820165,0.9769304,0.0017544423,0.0061588534,0.003807434
S0784,0.5986832,0.002800863,0.0013407482,0.002263358,0.0006865613,0.005330979,0.0058009396,0.2865299,0.0027151713,0.0022197224
S0785,0.10902697,0.010933346,0.004481306,0.042068463,0.0006865613,0.007585403,0.027488537,0.11954265,0.8598848,0.9717056
S0786,0.0008643553,0.000821459,0.014078398,0.80117965,0.00055777,0.99448144,0.9954367,0.0020745194,0.0010501621,0.00084074266
S0787,0.00827317,0.00094353117,0.608022,0.12635599,0.00058128056,0.8047216,0.93707013,0.017765865,0.0016875635,0.0006204986
S0788,0.99603206,0.9968857,0.0010198832,0.9968054,0.0015081156,0.99529773,0.9948778,0.9953555,0.997175,0.0656158
S0789,0.0047745495,0.0016419244,0.0013127045,0.0045428458,0.00069732725,0.0063980743,0.2049558,0.16565433,0.0030336948,0.0006256946
S0790,0.0013209066,0.005501366,0.001620944,0.015934959,0.00055777,0.022969168,0.99595237,0.0010578753,0.0010459063,0.0006431739
S0791,0.00092251546,0.00061337743,0.5347054,0.90006506,0.000613371,0.8580608,0.9934674,0.0012004302,0.0009400679,0.00072986627
S0792,0.022038018,0.004105242,0.97088706,0.021348724,0.00066626625,0.020012418,0.010753824,0.0031305726,0.003421452,0.0006316861
S0793,0.025681479,0.13703796,0.0033924328,0.01628218,0.0026807052,0.0067363726,0.003206483,0.002982907,0.009206165,0.0029105933
S0794,0.00430734,0.027077291,0.0012345369,0.88984215,0.0021547189,0.004075573,0.033511132,0.16544718,0.002763456,0.0040360224
S0795,0.015771128,0.0019628857,0.0007358824,0.0044785263,0.00079055503,0.0063695554,0.98899907,0.0060476884,0.0020887991,0.012236484
S0796,0.0006782574,0.0008990506,0.7606955,0.0010332179,0.00055777,0.006904639,0.6967864,0.00080878776,0.00081973645,0.00069564336
S0797,0.08042378,0.002787835,0.30854473,0.004371801,0.000601048,0.0037173794,0.00757936,0.0023186754,0.9958086,0.005350151
S0798,0.002625964,0.025614442,0.001242647,0.0038727596,0.9919877,0.00337907,0.004976779,0.004842941,0.0040140147,0.0010386766
S0799,0.0025597906,0.007863508,0.093184546,0.8711394,0.004122625,0.012433882,0.024918735,0.028649047,0.0051013646,0.0034063708
S0800,0.0016935227,0.0006333596,0.0023145261,0.43599543,0.00055777,0.97204125,0.10058382,0.0012792642,0.0029472413,0.00068646314
S0801,0.02021755,0.0024758042,0.93088275,0.9888313,0.00066463096,0.72215325,0.9936474,0.026271727,0.004024385,0.00053320144
S0802,0.0025053476,0.0072085215,0.0012098778,0.040257312,0.0021547189,0.0029901664,0.023426047,0.89939916,0.0038956848,0.0037187128
S0803,0.0037979344,0.00259015,0.9003079,0.007263215,0.00055777,0.0050011883,0.9901979,0.0009228636,0.0031225814,0.00086468813
S0804,0.0036805943,0.002988491,0.08264467,0.4909282,0.00066626625,0.0031649785,0.0029543596,0.012699299,0.1779942,0.0007962571
S0805,0.011511475,0.00815567,0.0007645302,0.25754368,0.00055777,0.69003195,0.8008093,0.010376222,0.03042791,0.9739448
S0806,0.0024032395,0.0038568107,0.22187234,0.68119276,0.00055777,0.80878204,0.04711776,0.003305134,0.008063666,0.0008084322
S0807,0.0026052748,0.0008630398,0.99405164,0.003239786,0.00055777,0.003850852,0.9804536,0.0009903295,0.042657178,0.0006348753
S0808,0.010492818,0.008966257,0.0053010527,0.0023230575,0.0022406175,0.0064484356,0.0038264317,0.002353385,0.9969357,0.0055138296
S0809,0.0022998357,0.041444935,0.01176651,0.018362787,0.0020457862,0.08104004,0.035596922,0.0058194823,0.020966288,0.0055918656
S0810,0.002281638,0.017784454,0.0055408003,0.007104412,0.998376,0.0022619835,0.004372507,0.0018955537,0.0017484706,0.0026908785
S0811,0.007635266,0.004055318,0.025139846,0.43311438,0.0016781922,0.9984328,0.909952,0.009645702,0.008022169,0.0018416668
S0812,0.010423875,0.9976419,0.0054521235,0.009768144,0.004461057,0.0046004993,0.0033348477,0.004360767,0.005378539,0.0008938484
S0813,0.0018921565,0.019913394,0.004060263,0.005670967,0.8651476,0.0028575854,0.0024201227,0.0016647236,0.0039499667,0.00074613345
S0814,0.02286166,0.010083192,0.5696814,0.01912936,0.0030345486,0.005710267,0.025113843,0.004443456,0.54349464,0.0010488989
S0815,0.00925878,0.0010539492,0.83345747,0.22703536,0.00058128056,0.52029127,0.99089175,0.08397786,0.0030470064,0.0006587715
S0816,0.11029431,0.009453822,0.0014076935,0.0031487066,0.0006865613,0.00212345,0.043235388,0.03987934,0.0020944611,0.0008309262
S0817,0.001846394,0.0011216508,0.0013538213,0.0021295636,0.000583776,0.0011886355,0.031465407,0.020693764,0.0021285058,0.0008868829
S0818,0.05940946,0.018262846,0.0019830547,0.9659246,0.00055777,0.008917383,0.0076247165,0.006533119,0.9765855,0.13593984
S0819,0.015868831,0.0035552292,0.3174466,0.98678166,0.0008515303,0.103701256,0.9951067,0.008066244,0.115037724,0.0007003019
S0820,0.004666427,0.002341002,0.009854992,0.0020179227,0.00055777,0.0021853028,0.9927564,0.0013421752,0.00081451726,0.0007655662
S0821,0.00078177865,0.0007280754,0.9895802,0.9603915,0.00055777,0.03738591,0.97142404,0.00093298656,0.048103735,0.00067300384
S0822,0.06820737,0.0010092658,0.0014784653,0.0022361374,0.0008516881,0.011833879,0.92662203,0.015683401,0.0020762724,0.0018408579
S0823,0.020437129,0.005998442,0.004890847,0.0076367874,0.0024696118,0.011117729,0.011747849,0.003785168,0.997834,0.00084646815
S0824,0.0030423705,0.00075351115,0.0063299593,0.37928447,0.00055777,0.99460274,0.2123027,0.0049618073,0.0013995196,0.0006422205
S0825,0.0012852001,0.0006544664,0.9916992,0.0046482636,0.0005813271,0.008015382,0.9376969,0.0017157503,0.0024808366,0.0008659728
S0826,0.0055124387,0.009763119,0.0008659851,0.0023011786,0.9933995,0.008117135,0.009949971,0.0023475038,0.0018842913,0.0010386766
S0827,0.00084636285,0.0005516951,0.27092448,0.048183907,0.00055777,0.9731714,0.12918942,0.00093383464,0.014682359,0.00069196767
S0828,0.0007390544,0.00048839755,0.982268,0.21998839,0.00055777,0.004283863,0.019989407,0.00092618365,0.04426925,0.00065325404
S0829,0.0045730784,0.0017471021,0.0037667342,0.006860619,0.0030338492,0.0103094,0.013155535,0.0020705569,0.9958972,0.0007364749
S0830,0.0010555936,0.0017824084,0.025004948,0.2167336,0.00055777,0.9748902,0.9921828,0.0014164392,0.0010773697,0.00078140624
S0831,0.7305629,0.024264649,0.006606105,0.037719525,0.00064196775,0.017330106,0.16308795,0.16310568,0.052972477,0.0005564502
S0832,0.010119253,0.015674835,0.0009610146,0.009039378,0.9954253,0.004339324,0.010709619,0.0049374816,0.0032545791,0.0013136206
S0833,0.016650153,0.0067671896,0.018659297,0.0017365789,0.0012063046,0.9835031,0.0022412466,0.008602598,0.052345257,0.0023329451
S0834,0.02577824,0.03761246,0.0046420507,0.02007251,0.0017554774,0.013632705,0.1733073,0.014176845,0.9444743,0.004031494
S0835,0.017535802,0.0042202524,0.0035982665,0.014080086,0.00080061174,0.002607805,0.008111822,0.8287495,0.009722482,0.0043566986
S0836,0.0030800898,0.0011309098,0.06348752,0.012337802,0.00055777,0.0025683136,0.0035863211,0.003182576,0.9959508,0.001489389
S0837,0.0014555625,0.0021863605,0.75003415,0.015522909,0.00061107904,0.018819798,0.04858666,0.004682034,0.94540095,0.0022178919
S0838,0.0138730975,0.0028639731,0.0008137314,0.006180524,0.000608382,0.0042040837,0.9815854,0.011539446,0.0027253754,0.0005096707
S0839,0.007982306,0.00682388,0.008791088,0.7743336,0.0022555625,0.014617147,0.0253787,0.21743393,0.0074737794,0.0026546258
S0840,0.006814818,0.06545056,0.00655452,0.0028648174,0.00066626625,0.030818773,0.955635,0.0041940687,0.0075289514,0.004877137
S0841,0.0066608177,0.0020972176,0.0020937866,0.0047536995,0.000608382,0.002040577,0.012197706,0.011730634,0.03197798,0.0009535926
S0842,0.008734779,0.011114537,0.004011987,0.02255285,0.002130344,0.013890362,0.012062937,0.16208367,0.9383659,0.7451299
S0843,0.090776354,0.0031309552,0.00084605924,0.0016372927,0.00064196775,0.0019498281,0.6875614,0.5199207,0.0022947798,0.00070403586
S0844,0.0043643727,0.032134764,0.0011881341,0.028623858,0.0021547189,0.0032697704,0.02055546,0.8876968,0.0036698354,0.0045053526
S0845,0.9972205,0.9970777,0.0009646625,0.987278,0.0011512389,0.988236,0.9961611,0.98620737,0.7165134,0.011108339
S0846,0.0030964906,0.0026639805,0.001161441,0.0016033411,0.0006865613,0.0011537189,0.011940417,0.0067806127,0.002745394,0.00057486835
S0847,0.0030285073,0.97230905,0.006701698,0.901078,0.0025984626,0.0058847186,0.17123757,0.009830645,0.12898456,0.0043844385
S0848,0.0014904573,0.0010610583,0.0013053301,0.006775249,0.0007564884,0.0059830975,0.98636764,0.0033210448,0.0014524194,0.00662976
S0849,0.002336365,0.009970458,0.01856223,0.23860866,0.000608382,0.12451216,0.056471664,0.0041854586,0.7749703,0.054529626
S0850,0.03302714,0.01648008,0.012063487,0.001988712,0.0121790245,0.042143073,0.7126973,0.0058906805,0.2599423,0.002795671
S0851,0.8115621,0.011546209,0.17324844,0.032447003,0.0015816009,0.05822189,0.4015188,0.28322262,0.028396405,0.000623588
S0852,0.026274495,0.020636778,0.004228322,0.014306289,0.0019979407,0.9923374,0.09329503,0.017050184,0.070039414,0.0010170562
S0853,0.0018862484,0.010366073,0.9125366,0.026340913,0.0012039957,0.011033424,0.298279,0.08450585,0.012102273,0.003568374
S0854,0.0035356828,0.002088646,0.005471648,0.0066186055,0.00066626625,0.20458968,0.89634174,0.22618242,0.60452145,0.000861027
