sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S1558,0.22879334,0.0043743546,0.0063515063,0.006004225,0.0006910412,0.011963606,0.061879255,0.039729454,0.0071239886,0.036994938
S1559,0.31863758,0.23188573,0.0056553106,0.010352786,0.0006557113,0.019320866,0.07742513,0.010360424,0.0623022,0.11507416
S1560,0.4976648,0.045617457,0.020297008,0.011303832,0.0006557113,0.020573705,0.02529091,0.009877841,0.022060819,0.014227749
S1561,0.009970599,0.01270065,0.09983628,0.039358996,0.004016839,0.005076336,0.14965366,0.03536957,0.015985128,0.013106571
S1562,0.0077443533,0.62477773,0.094360225,0.023505485,0.0016985257,0.005380506,0.10154023,0.04457232,0.016795376,0.017830942
S1563,0.0036552902,0.37229708,0.042633854,0.013545402,0.0008411943,0.005899905,0.11435244,0.04504954,0.015894819,0.014576337
S1564,0.47319436,0.010460558,0.0076891175,0.0023876682,0.0069095516,0.0023082,0.09542468,0.040773284,0.005952657,0.030350305
S1565,0.07237916,0.008669939,0.05344238,0.007579375,0.0006557113,0.009178335,0.079400316,0.0073394002,0.017079337,0.009615091
S1566,0.30521291,0.16612428,0.00761488,0.009529441,0.001023904,0.016911132,0.054318503,0.015922194,0.010927357,0.0019796498
S1567,0.10731472,0.16242021,0.0027866634,0.008380255,0.0006910412,0.014054631,0.019783886,0.024296114,0.0046327715,0.69044757
S1568,0.0060135005,0.44519368,0.02788398,0.008858066,0.0010130961,0.0041015516,0.15146907,0.045678798,0.007969539,0.012077732
S1569,0.71035814,0.012266335,0.06235491,0.011152881,0.0006557113,0.01639105,0.057953846,0.024242198,0.028651137,0.0046848077
