sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.0022644105,0.0022006617,0.0037593532,0.0042856717,0.0010202753,0.004257659,0.008279534,0.48234585,0.0056750234,0.0012279664
S0767,0.09963966,0.044188257,0.0015076073,0.041713,0.00068799313,0.008321538,0.019387063,0.20853548,0.017686043,0.00070980605
S0768,0.3428996,0.18736927,0.0012104333,0.004061281,0.0014853707,0.0028306406,0.25152895,0.91673046,0.016389268,0.0009941326
S0769,0.0019605863,0.0021874364,0.019743072,0.035368618,0.00068799313,0.9651598,0.030881438,0.0026174856,0.932003,0.0021461525
S0770,0.0035818457,0.0023365938,0.0029557634,0.1716257,0.0015476791,0.99466753,0.9595147,0.0011452798,0.0032777272,0.00064628856
S0771,0.04613964,0.05791899,0.00416753,0.060765807,0.002194002,0.4918546,0.06628659,0.20003642,0.036985938,0.0020685832
S0772,0.009358069,0.0034537038,0.011223332,0.02620564,0.00068799313,0.0674776,0.95889217,0.003351223,0.0017742274,0.0006425174
S0773,0.0023365638,0.01688473,0.011888795,0.5171879,0.0013890371,0.6152073,0.039065126,0.008218799,0.007769949,0.0016456987
S0774,0.1543768,0.0012475495,0.0017083569,0.0013086444,0.00068799313,0.0027183199,0.029635906,0.08508863,0.0023080024,0.0005306742
S0775,0.047709618,0.0018363651,0.0070352904,0.0073990277,0.00068799313,0.022159759,0.89892924,0.0054105935,0.005634447,0.00065969856
S0776,0.00845384,0.004534997,0.89707637,0.032290783,0.00072832726,0.019396143,0.015453364,0.0033930293,0.012089144,0.0004897549
S0777,0.008863192,0.0060832542,0.82401615,0.0101291165,0.0024716118,0.0036491652,0.014562591,0.0773696,0.005044385,0.002971017
S0778,0.9076314,0.8394247,0.0020696623,0.89097416,0.00077549485,0.8630653,0.69455016,0.7857552,0.7718039,0.001585476
S0779,0.036609624,0.013892584,0.049949054,0.06978708,0.0010147991,0.02417662,0.026112631,0.012025369,0.24459064,0.08792583
S0780,0.003663075,0.0023337866,0.02003969,0.010444001,0.00078567944,0.99814224,0.78472483,0.0012240974,0.0059478204,0.0006619185
