sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S1558,0.042270605,0.0031233605,0.008108701,0.005263478,0.0006409086,0.0033502132,0.09063009,0.019035155,0.0028477747,0.03617451
S1559,0.06964104,0.062349223,0.0055658985,0.014954769,0.0014292513,0.0981243,0.07933546,0.070927605,0.1375801,0.15327482
S1560,0.022656083,0.007115686,0.005445769,0.011511583,0.001733338,0.011700804,0.0736028,0.009835372,0.034841444,0.09387803
S1561,0.006934493,0.111140974,0.11837892,0.01903438,0.0006900201,0.0036431716,0.038344037,0.029827338,0.05239547,0.012012641
S1562,0.0036400675,0.42024425,0.5257621,0.023477383,0.0006900201,0.0062396238,0.1519064,0.330465,0.045187153,0.022254912
S1563,0.004160286,0.40223736,0.13811606,0.026656972,0.0006409086,0.006823147,0.09691122,0.03283922,0.027373886,0.014454243
S1564,0.43571046,0.012885843,0.017089674,0.016206741,0.022501301,0.0049203625,0.14441226,0.13054986,0.015062523,0.15150549
S1565,0.012047637,0.035576448,0.00610739,0.024524799,0.0006409086,0.00839008,0.034247864,0.007735125,0.027054483,0.0064283223
S1566,0.44658732,0.03763561,0.016411152,0.010027809,0.0026299797,0.08924939,0.26329482,0.1487154,0.13581613,0.05049432
S1567,0.03453629,0.06425612,0.0062629986,0.0136699835,0.0006409086,0.007125698,0.015483965,0.005187222,0.015911184,0.04155701
S1568,0.0060642413,0.6409673,0.11234223,0.014704325,0.0006409086,0.0050380663,0.04424864,0.025792973,0.013947064,0.0171483
S1569,0.10624923,0.029014532,0.008392043,0.017733857,0.0006409086,0.010378681,0.026174407,0.036641203,0.11578569,0.003829765
