sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.0024625643,0.0049070353,0.004563254,0.0032735565,0.00086220587,0.0027965049,0.0056068744,0.609459,0.002749508,0.0021558243
S0767,0.02141734,0.062136468,0.0011848442,0.013230675,0.00086220587,0.0055270074,0.0034363053,0.17763828,0.012796113,0.0009809985
S0768,0.32591683,0.12084523,0.0011191292,0.006488058,0.0018716992,0.003156972,0.15635133,0.96536016,0.040150866,0.0009535335
S0769,0.0062256395,0.0026168968,0.009169965,0.022450637,0.00086220587,0.99382704,0.014284861,0.0073489947,0.16396819,0.001071197
S0770,0.005003224,0.0013222496,0.0051438403,0.5636666,0.0013482312,0.99552506,0.9724672,0.0011709247,0.0026946522,0.0009722234
S0771,0.038271695,0.004195676,0.0027113252,0.031951036,0.00086220587,0.013618735,0.045980807,0.09062397,0.017008677,0.00069653493
S0772,0.013548747,0.0013174233,0.011750844,0.009810114,0.00086220587,0.27482,0.961558,0.0060461434,0.0031087883,0.0008008864
S0773,0.0020508422,0.0312878,0.0063368976,0.5475978,0.00086220587,0.35127503,0.021412024,0.010506482,0.009570376,0.0020682693
S0774,0.43541777,0.0013150733,0.0040402086,0.0036515428,0.00086220587,0.0032945308,0.016006256,0.23124065,0.0037697235,0.000863681
S0775,0.033937752,0.0016337027,0.012007776,0.02631099,0.00086220587,0.0045508333,0.9564168,0.00789972,0.005307453,0.00056825246
S0776,0.0074115195,0.005181721,0.84980696,0.033542875,0.0009533918,0.010580623,0.042501338,0.006034432,0.0049788575,0.0005694168
S0777,0.0044285213,0.0050182207,0.8888238,0.0069790757,0.0009317461,0.0032767537,0.039774075,0.032672465,0.008176096,0.0054038214
S0778,0.90934354,0.95706284,0.0054760147,0.94142467,0.00086220587,0.93114305,0.50186723,0.71729106,0.6098404,0.0006579972
S0779,0.12655783,0.010486488,0.04031297,0.062886104,0.0019127622,0.26304883,0.0057575027,0.021188034,0.06272957,0.038987342
S0780,0.03424427,0.0025996543,0.008439918,0.004908123,0.0009533918,0.99761933,0.7621094,0.0016031784,0.004825573,0.0005090485
S0781,0.0017657669,0.0034837471,0.003901907,0.0016538916,0.00086220587,0.00078678457,0.004449708,0.00404536,0.0028801977,0.001237229
S0782,0.023567853,0.010463185,0.02575721,0.0032344763,0.14970528,0.11074994,0.13895908,0.09881819,0.024830833,0.008040734
S0783,0.05178149,0.0011908477,0.0023592487,0.22469759,0.0010464834,0.49011233,0.23013698,0.0018235997,0.0057092574,0.0017047394
S0784,0.248988,0.0031760791,0.0017995533,0.0015013939,0.00086220587,0.0036828385,0.007057891,0.11282273,0.0025254618,0.0018494794
S0785,0.045202058,0.0024890252,0.004727328,0.014857373,0.00086220587,0.0077733765,0.01011462,0.032144863,0.22355993,0.77821964
S0786,0.0008464943,0.0010253008,0.005865283,0.83632916,0.00086220587,0.9723645,0.97525465,0.0007517901,0.0014664067,0.0006197052
S0787,0.017857835,0.0013083534,0.20735943,0.13226947,0.00086220587,0.2251045,0.9895107,0.004123099,0.0017122885,0.0011824133
S0788,0.993057,0.97862387,0.0048105973,0.9846119,0.0011407345,0.93219084,0.9882004,0.99000436,0.968563,0.0120931715
S0789,0.004041673,0.0042022998,0.002014647,0.0075461445,0.0010464834,0.04132076,0.18100132,0.23450917,0.008062995,0.0005650855
S0790,0.0032343504,0.0044341735,0.0022085663,0.015327981,0.00086220587,0.0045995144,0.99789447,0.0012200826,0.002497406,0.00048964936
S0791,0.0014810313,0.0015979802,0.13469794,0.79332733,0.0018716992,0.26785296,0.9881473,0.0025474837,0.0012802498,0.0011824133
S0792,0.014968669,0.0068293023,0.68551636,0.006009318,0.0010464834,0.0062444247,0.024089074,0.0051028384,0.008132779,0.0005815457
S0793,0.008450032,0.047876507,0.0034212288,0.015343967,0.969203,0.017247457,0.026061332,0.0070485272,0.030875988,0.024767224
S0794,0.004950106,0.009315336,0.001694779,0.86966497,0.0017834862,0.0016652476,0.022448141,0.0882801,0.0032238828,0.0021285526
S0795,0.0154979145,0.0037840155,0.002206261,0.0030492714,0.0010464834,0.0030755147,0.9421513,0.0037778711,0.003461668,0.0027772288
S0796,0.0022213683,0.0009869876,0.49396312,0.0027072732,0.00086220587,0.01956653,0.7327534,0.0016384833,0.0021679592,0.0009465336
S0797,0.09559526,0.0062345047,0.023087796,0.052267503,0.00086220587,0.008356905,0.0071409564,0.005977108,0.96138436,0.002775436
S0798,0.006323961,0.04352422,0.0022918035,0.0057142344,0.7992285,0.014356652,0.0073256358,0.008254413,0.0048497687,0.0016800873
S0799,0.0029968624,0.010069736,0.02333099,0.32756573,0.0009317461,0.0019750325,0.105402775,0.1296443,0.007299236,0.0039792676
S0800,0.00080512103,0.00068487856,0.0057416847,0.05439819,0.00086220587,0.9959266,0.037853237,0.0008158759,0.004141568,0.00053099316
S0801,0.016523162,0.0035389417,0.11374919,0.9342814,0.00086220587,0.8479666,0.9899928,0.0033805415,0.005256365,0.0011164141
S0802,0.002046424,0.008780641,0.0018384833,0.03531096,0.0017834862,0.0018212784,0.016376542,0.75794107,0.0034968723,0.0027488794
S0803,0.0054219114,0.0009786148,0.1707389,0.0064362544,0.00086220587,0.0018462164,0.98278815,0.0014859487,0.0015138116,0.0010893688
S0804,0.004795208,0.0073988596,0.021644495,0.13521746,0.0010464834,0.008485428,0.015274714,0.0098877745,0.083375625,0.0007607892
S0805,0.04007815,0.0035509935,0.001794393,0.421547,0.00086220587,0.95659107,0.52076936,0.0048881904,0.45561484,0.5081678
S0806,0.0012137821,0.0049513583,0.33751404,0.7712402,0.00086220587,0.16299218,0.37248832,0.0023833152,0.009267155,0.00059945387
S0807,0.0015654736,0.00094499846,0.9447681,0.003675644,0.0009533918,0.0042147334,0.94810337,0.0012556884,0.006268209,0.0016570977
S0808,0.007217995,0.0075764484,0.024858473,0.0068961824,0.001490742,0.01867723,0.0057436964,0.008005948,0.9903391,0.014746305
S0809,0.0014765925,0.010881374,0.0123328995,0.01658774,0.0017834862,0.0058443584,0.01584536,0.011889382,0.064204656,0.0010420231
S0810,0.0016557123,0.0068698134,0.0017184542,0.009371128,0.9784329,0.0015733774,0.0044090687,0.0025640323,0.0020039768,0.0027670022
S0811,0.0037502542,0.0018808632,0.004330881,0.08799555,0.0011407345,0.99664944,0.91319305,0.0034865888,0.004197966,0.0010164715
S0812,0.0040718117,0.9819895,0.0018311903,0.017037114,0.0019003458,0.0028859095,0.004491004,0.005981688,0.007410271,0.0021523344
S0813,0.0020903412,0.008592876,0.001960688,0.003016155,0.9784329,0.0014643575,0.0029184057,0.0024029857,0.0023358816,0.0010471841
S0814,0.008984112,0.0036799214,0.3830292,0.0080878865,0.0013482312,0.006656292,0.0063365106,0.0052026063,0.099876404,0.0005225811
S0815,0.0081180055,0.0012546865,0.16015424,0.21945423,0.00086220587,0.54783165,0.9921204,0.0036952223,0.0019861062,0.0008924548
S0816,0.025396569,0.007641704,0.001466663,0.0049950345,0.00086220587,0.0052072927,0.014848846,0.017943325,0.0053245705,0.00088997267
S0817,0.0025449162,0.004390981,0.001092942,0.0023330206,0.00086220587,0.0014530919,0.007809709,0.017233552,0.0023850845,0.0013505168
S0818,0.02990645,0.014312226,0.0017190212,0.6692637,0.00086220587,0.022408357,0.022631299,0.016167322,0.9723943,0.008856948
S0819,0.01606883,0.002556851,0.44037408,0.9869263,0.00086220587,0.3341694,0.9919835,0.0052189548,0.0067048697,0.001236286
S0820,0.0049281474,0.0011692753,0.0062169484,0.001979827,0.00086220587,0.006753352,0.9924313,0.0011244874,0.0012291917,0.001243975
S0821,0.0009484397,0.0010235055,0.9774065,0.85267276,0.00086220587,0.13914329,0.8434992,0.0007077566,0.0044128317,0.0008194123
S0822,0.028992634,0.0011974712,0.0063396576,0.003818974,0.0019556633,0.017643826,0.9475733,0.0047020684,0.0031336558,0.004059671
S0823,0.0023569055,0.0020249672,0.0046704444,0.004263853,0.001537674,0.0021552888,0.0050434805,0.0019674224,0.9947254,0.0005511656
S0824,0.0025496825,0.000902595,0.0022049346,0.5560685,0.00086220587,0.98459345,0.059093315,0.0011455952,0.0010035852,0.0012255365
S0825,0.002452132,0.0016045476,0.94048584,0.0067084017,0.00086220587,0.0060504093,0.4076449,0.0016050135,0.009504028,0.0007984058
S0826,0.006750646,0.06252077,0.0012361853,0.0038703193,0.9515131,0.0023410043,0.011228556,0.0032775202,0.0069057015,0.0013653388
S0827,0.0016524295,0.0008147796,0.2478507,0.04199179,0.00086220587,0.88029766,0.043168016,0.0010220201,0.0052942326,0.00055518246
S0828,0.0010933924,0.00085502636,0.88022506,0.1204618,0.00086220587,0.0044656596,0.00596952,0.0007585305,0.03309056,0.0004834466
S0829,0.0021319839,0.0023027884,0.0042728065,0.006046929,0.0016362158,0.0027918757,0.018710181,0.002082835,0.9857896,0.0005749248
S0830,0.0018444967,0.0026705298,0.08400975,0.15993136,0.00086220587,0.556433,0.9861589,0.0013334894,0.001206526,0.0021223016
S0831,0.20319423,0.012249315,0.008703971,0.07599938,0.00086220587,0.011940761,0.21547827,0.081832826,0.055370655,0.000593161
S0832,0.013872288,0.02189843,0.0033946338,0.008721738,0.9765315,0.012553276,0.07215611,0.0066423174,0.0043850983,0.0016193427
S0833,0.007621441,0.012643288,0.044706054,0.0045743072,0.0016362158,0.9243264,0.0054081436,0.004743849,0.007855588,0.0027126342
S0834,0.013830187,0.034423437,0.018023478,0.061080925,0.0010464834,0.25547245,0.013478581,0.02564398,0.97370607,0.013752472
S0835,0.030627176,0.023210354,0.005658231,0.004905152,0.00086220587,0.0039629852,0.0066631623,0.90733874,0.005313964,0.002039704
S0836,0.0030386974,0.001721318,0.044042535,0.0069089793,0.00086220587,0.0026174223,0.005812518,0.0016272834,0.9800669,0.0007376732
S0837,0.0016558147,0.0050910627,0.7399372,0.098560795,0.00086220587,0.0049378495,0.013063136,0.009352178,0.69535387,0.0031881793
S0838,0.005391902,0.0027219844,0.00138632,0.0018102231,0.00086220587,0.0016737522,0.97519374,0.013810852,0.0019428809,0.0012162136
S0839,0.0142136505,0.0029300582,0.015978072,0.20236884,0.0009317461,0.0030647002,0.05336817,0.28727168,0.0051930915,0.004147687
S0840,0.011870099,0.039267063,0.0039575812,0.0071806377,0.0010464834,0.0044797403,0.89029187,0.036144514,0.010404096,0.003906712
S0841,0.0020185076,0.0019482392,0.00158852,0.0062961583,0.00086220587,0.0015683732,0.0061860736,0.012764955,0.00595099,0.0012359216
S0842,0.019264646,0.09179452,0.0032982358,0.042772967,0.0017414163,0.0023991102,0.07217084,0.02052079,0.34900254,0.8373382
S0843,0.023112912,0.0024786557,0.0027407843,0.0022993148,0.00086220587,0.0020849123,0.89947265,0.42835018,0.0054600774,0.0013140116
S0844,0.0053454256,0.0066651637,0.0024506222,0.015960881,0.0017834862,0.012743569,0.034141347,0.7806894,0.004047612,0.0028847023
S0845,0.98121476,0.91872066,0.004058472,0.98785675,0.00086220587,0.9242704,0.99027175,0.963338,0.9900333,0.0056175217
S0846,0.007381797,0.002008984,0.001170355,0.0015004684,0.00086220587,0.0013670673,0.007850699,0.031368386,0.0043156673,0.0009809985
S0847,0.0037566717,0.17042242,0.0037267066,0.79842407,0.0011967112,0.0044590966,0.032808203,0.01203662,0.012003838,0.0032050768
S0848,0.00571952,0.0026871392,0.0012618455,0.0024703003,0.0010464834,0.0027418765,0.9790522,0.0029545198,0.0014207879,0.0031326357
S0849,0.001741171,0.004954383,0.013483279,0.071841456,0.00086220587,0.005302722,0.4891475,0.01401688,0.44008407,0.0034613092
S0850,0.013399397,0.037995603,0.011884561,0.0031923542,0.0017834862,0.003918155,0.11270817,0.009685425,0.37465575,0.0027448027
S0851,0.23497486,0.17868496,0.00892536,0.013759134,0.0010015148,0.001978484,0.20527394,0.8978876,0.032860007,0.0009535335
S0852,0.007978784,0.015788902,0.01761852,0.013083862,0.0013482312,0.9778426,0.019857787,0.0039973212,0.011019868,0.00055401237
